
# The Grey NATO – 169 – Challenge // Hamilton
Published on Thu, 11 Nov 2021 06:00:21 -0500



## Synopsis
Jason Heaton recently returned from a trip to Germany with Leica, where he got to experience the brand's headquarters, museum, and production facilities. He talks about the history of Leica and the Leica M camera system, as well as his experience having an uncomfortable COVID test while jet-lagged. James Stacey discusses an upcoming trip he has planned to photograph the lighting of Split Rock Lighthouse on the anniversary of the sinking of the Edmund Fitzgerald. For their weekly challenge, Jason and James pick three Hamilton watches each to purchase within a $2,000 budget, revealing their choices and strategies. Jason's picks are the Khaki Field quartz watch, the Khaki Aviation Pilot Pioneer in aluminum, and the Jazzmaster Seaview quartz diver. James selects the Khaki Aviation Pilot Pioneer chrono quartz, the American Classic Intramatic automatic, and the classic Khaki Field mechanical hand-wound watch.

## Links
- [episode page](https://thegreynato.substack.com/p/hamilton)
- [episode MP3](https://www.buzzsprout.com/2049759/11310949-the-grey-nato-169-challenge-hamilton.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 169 and we thank you for listening. James, you jet-lagged or getting used to being jet-lagged again? |
|Jason Heaton|Man, I couldn't tell you how out of sorts I am, but yes, I'm very jet-lagged.  I came back to, you know, we don't swear on the show. So I came back to a very complicated scenario here in terms of workload and podcast turnaround and stuff like that for Hodinkee. But yeah, I was in Germany for three, three and a half days with Leica. It was an incredible trip from like what I learned and saw and everything. But yeah, really out of shape when it comes to when it comes to traveling. And, you know, I've avoided dealing with a lot of the intricacies of COVID tests and things. Yeah. Like I had my first COVID test just before this. Yeah. And then I had another one in, in Germany, had to get a PCR. Their PCR is there, at least the one that I paid for, which due to a scheduling error was like, I needed the 20 minute one. Oh. So, you know, it was like $200 or whatever, like who cares about the money, but they, they don't go through the back of the nose. They go down to the back of the throat.  Oh, and, uh, and due to, you know, maybe getting an hour and a half's worth of sleep and the rest of it, I wasn't feeling really hot, kind of nauseous. And I, I definitely almost barfed on the poor lady. Um, I, she was not a fan of mine by the time we finished that interaction, but, uh, luckily, you know, negative as you would assume, or at least hopefully assume. Yeah. Wow. Yeah. I mean, this trip was incredible. So it was kind of assigned around the Oscar Barnack awards, which is Oscar Barnack developed the first Leica camera.  before that they were kind of in microscopic, uh, lens design and things like that. And he took that design and made a, uh, essentially a camera you could put in your pocket, which in 1914 didn't exist. So if you, if you think of what cameras are now, even up to cell phone cameras, it's kind of because of this one guy. And, and then, uh, so it was the first one in, in, you know, the length of film strips 36 is kind of based on his wingspan. There's some weird stuff that, that links back to how deeply Leica has been into especially like street photography, essentially mobile photography. So no more, no more transfer plates, no more like giant Ansel Adams setups or, or, you know, the smoke bulbs or any of that kind of stuff. Suddenly like you could go and take a picture while traveling, you could, you could take a street photo. You could take something kind of that wasn't planned as much. Sure. Yeah. And then to see that and, and, and to go to their museum and see the legacy where that you started this or like a, which they're now worth six or $7 million if you can find one. And then you watch the cameras progress and they really, kind of stick with the same format. It's this really beautiful, highly functional. It's not so much a Bauhaus because I don't think that would apply to a camera that well, but it is very German in its kind of synthesis of form and function. Yeah. In that they made something that was super functional and because of it, it came out being something that's kind of beautiful. And I think that's, that's still what they do. And, you know, we talk about like occasionally on the show and I loved, I love these cameras The ones I have, I absolutely adore. And then I got to shoot with some even higher end stuff like the SL series, which is kind of their, their competition for the highest end DSLRs, insane processors, insane speeds, the ability to mount essentially any lens you can imagine with an adapter, but anything from Leica's history, we came across a guy running an M10D, which is a modern, you know, seven or $8,000 body.  and he was running a microscopic lens on it that was made over 100 years ago. So he adapted the lens to one type of adapter and then he created his own adapter by modifying a second adapter and put it on and it all resolves. So it's a really, really intense, amazing company. I don't think we have to go into it super long because I did an entire episode for Hodinkee Radio. There won't be that many crossovers between TGN and Hodinkee Radio, but just in the hopes of this episode not being 30 minutes longer than it needs to be, Check out Hodinkee Radio. The episode's called Into the Heart of Leica, and it's a couple different chats. I spoke with the gentleman who's in charge of Leica, who runs it, Dr. Andreas Kaufmann, and I spoke to a really talented and really engaging and thoughtful and kind of a very super smart sort of guy named Mark DePaola, who's a photographer in New York, kind of known for his work with Leica. Yeah. So we got kind of two sides of it, the artistic side and the kind of business side. I thought it came out pretty well. It was a big lift to get it all edited and everything.  and out on time, but, uh, super fun to, to see it happen. And it's one of those things where like, I think people have even written me about this, uh, in, in the email and the DMS, like my creativity through the pandemic, aside from maybe watch photography has really waned. Yeah. I just, I don't have that motivation to pick my camera up and do anything. And I met all these people and it wasn't like a watch trip where there was some watch stuff that I can't really talk about. Just stay tuned for the most part that everybody else on the trip was kind of like a working photographer that had a relationship with With Leica, there's some guys that have great YouTube presences. Big Head Tacos is a great one, and Beers and Cameras, and you can check out these out. I'll put them in the show notes and such, but there's a handful of great people there, and it kind of, I got that kind of buzz back to be out with a camera and trying some new things and kind of expanding my attempts at being an okay photographer. So that was great, and yeah, a huge thank you to Leica. I tried to buy a camera while I was there. It didn't work out, which is probably good for my bank balance. |
|James Stacey| Yeah. I could see how that would happen. I could see how you'd be. |
|Jason Heaton|Oh yeah. And they have a, this is, they, they have their, this amazing customer service platform there where they service all the cameras by hand. And we saw it and it looked like a watch service area. Specialized tools, incredible, like hundred year old tools, 50 year old tools for setting the focusing mechanism in a range finder. And all of these, like, it's very, like, there's still this like handcraft to it.  Yeah, which is kind of remarkable, especially if you know the camera world, a lot of it has become very not only digital, but like automated. |
|Unknown|Yeah. |
|Jason Heaton|And so that they can make a lot. And there's all sorts of product that that Leica makes that they just make as many as they can. But someone has to hand polish a part of it. Oh, sure. Some insane, sane, expensive piece of glass or whatever has to be done by one person because they're the only one that won't mess up this glass. Wow. So some of these lenses take a long time to make and then even longer to come to market.  Yeah, I was blown away. You know, it was this weird mix of like, um, it was a little bit like visiting, uh, like a Ferrari or, or, or something like that, where you see there's elements where they've, they've really gone to the extent of making it as kind of cutting edge, um, as possible in terms of accuracy, you know, special measurement tools, a lot of really cutting edge specialized optics, uh, to make sure that they're doing a good job, but then the other side of it is still being done by hand. Huh.  which is I think kind of wild in today's world. But like I said, a lot of this is on that other episode. I'll throw it in the show notes. I don't think we have to go too deep into that. If you have any Leica questions, put them in a Q&A and we'll circle around to it. I feel like I've been talking a ton about Leica. It was super impressive and exciting to be back on a press trip, but also just it really highlighted how much I've become something of a homebody in the last year and a half. And I really missed the comfort of my own bed in a way that I don't think I ever have in my life and, uh, my own time zone. Right. It was only five hours, but because of the timing of the flight, I think I was, you know, I was getting an hour or two of sleep. Yeah. You know, I think that's something that you get used to when, when you have a pace where you're constantly kind of jumping around. But when you, when you step out of that river, it's, it's, uh, it's a little bit chilly to jump back into it. |
|James Stacey|Yeah. That travel muscle memory, uh, it takes a while to, to get back for a couple of years. I mean, I do think that, um, you know, I saw some of your photos from the trip and I haven't checked out the hood and key radio yet, but it's, it's such a privilege to, to visit. I mean, that, that brand is, is like going to visit, you know, Mercedes or Porsche or Rolex, Rolex, or, you know, any of, any of the kind of, I hate the word iconic, but iconic brands in any field. And, and you know, what a, what a tremendous privilege that would have been. That's, that's really amazing. |
|Jason Heaton|Yeah, I agree.  Yeah, no, I definitely of all the people there from a photography skill standpoint, I was the least deserved of the of the spot on the slot. But it was it was it was super interesting and varied, you know, we saw Old Town Vetzlar, which is it has been essentially the home of really high end optics, not only just Leica, but others for over 100 years. And, and a really, really impressive thing. And it was nice to be back in, you know, Europe and small European town and and that kind of thing. The COVID of it all is a real bummer. I don't really have a love of wearing a mask for 14 hours straight or trying to sleep with a mask on or that kind of thing. So hopefully as that stuff fades, travel kind of regains some of its glint. But if it had been a less interesting offering, come see Leica's headquarters, which is kind of like a dream trip. Yeah. Uh, I think it would have been, it would have been easier to have said like, nah, you know, I think I'll stay home. I'll read the press release or whatever. So, uh, some of these are worth it. And I think others probably won't, you know, I think the context of press travel has probably changed quite a bit. |
|Unknown|Yeah. |
