
# The Grey Nato - EP 17 - On Paper/On Wrist: The Doxa 50th Sub 300
Published on Tue, 13 Sep 2016 09:00:05 -0400



## Synopsis
This podcast episode covers a variety of topics related to travel, adventure, diving, gear, and watches. The hosts discuss the new Doxa 50th Anniversary Sub 300 dive watch, with one host reviewing the watch in detail while the other provides commentary based on online information. They also talk about a new dive computer called the Deep Blue Cosmic that can log dive data and sync with a phone app. Additionally, they share their experiences with finding the perfect bag, watch bracelets, hammocks, and recommendations for books, movies, and articles related to adventure and exploration.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-17-on-paperon-wrist)
- [episode MP3](https://www.buzzsprout.com/2049759/11311105-the-grey-nato-ep-17-on-paper-on-wrist-the-doxa-50th-sub-300.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 17 of The Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton. |
|James Stacey|And I'm James Stacy. Just a little housekeeping before we dig into the main part of this episode. First off, Jason and I want to thank everyone who sent in a design for our logo design giveaway. We got a ton of really great submissions, but ultimately we could only pick one.  And so the time has come to announce our selected design and designer. |
|Jason Heaton|And we'd like to congratulate Greg Behrens for his excellent logo design. Greg, we've been in touch with you and your Greynado prize pack is either in the mail or hopefully on your doorstep or in your hands by now. Greg's design incorporated many of the key tenets of the Greynado from watches to mountains, water, and even the lat long coordinates for Minneapolis and Vancouver, which was a really cool, cool little addition. Uh, we loved Greg's use of color and it's really easy for us to envision his design working well on stickers, patches, uh, pretty much anything that we've got in mind for, for cool stuff for the show. |
|James Stacey|Yeah, for sure. That's a great work, Greg. Thanks so much for the cool design. We're absolutely thrilled that we have this great new logo and everybody listening should go and follow Just a reminder that if you're liking The Grey Nato, please, please take a moment to review the show on iTunes.  Your view can help us grow, which should help us work on bigger and better things for you, the audience. So if you like the show, feel free to leave us a review. We would really appreciate it. And finally, please keep sending in your questions via email. We're working on separated Q and A episodes. In some cases, we're going to bring in experts to answer certain types of questions, and we hope to get through a lot of questions in the coming weeks. So hit us up at thegraynadoatgmail.com. Let's get on with the show. |
|Jason Heaton|James and I often get watches that, um, the other guy hasn't seen. And so we're calling this new kind of series, On Paper, On Wrist, in which one of us will have the watch to talk about. And one of us just has the internet. Just has the internet, yeah. So on this episode, to kind of kick things off, we're going to be talking about a pretty cool watch. It's the Doxa 50th Anniversary Sub 300, which is a watch that I've got in for review and unfortunately James has only read about. I first learned about this watch, it was kind of just almost by happenstance, you know, it was at Baselworld back in the spring. And there's so much buzz around new releases and new launches of watches from, you know, Oris and Tudor and Rolex and everybody scrambles around to see this stuff. And I, I made a little appointment with, with Doxa, who's over in, in hall two, kind of up in a corner. And I just went to kind of chat with, with Rick, their, their marketing guy. And I was sitting there and he, he pulled out, um, he said, I've got something special to show you. And he pulled out, uh, a box or something, watch roll. And lo and behold, here are these three watches. One is the orange dial, the Professional, one is the silver dial Sea Rambler, and then of course the black dial Shark Hunter. And he said, you know, 2017 is the 50th anniversary of the launch of the first Sub 300. And they wanted to do this commemorative edition. And he swore me to secrecy, said he wasn't showing anybody else. And then, you know, I think within a day or two, I saw that watch time had published a little article on their website with lots of photos of the watches, and so the news was out. It kind of trickled, kind of went viral on kind of the small scale that Doxa kind of operates on, but it's slowly, I think, kind of built a buzz, but Doxa kind of has this weird, it's one of these companies that, you know, their following isn't based on kind of big marketing budgets and ambassadors or you know, fancy websites. It's really kind of a quirky little brand that kind of lives by the, uh, it's, it's online community of, of forum, uh, followers on, on watch you seek as well as their Instagram. |
|James Stacey|And certainly their website isn't great. No, certainly not. I wouldn't call it the worst offender in the market. I'm far from it really, because it is functional, but like, it's very difficult to find out kind of what their current product lineup is. And then, At least when I checked in preparation for this and in the past, after you had mentioned the 50th anniversary sub 300, it's not mentioned on their actual website. Right. So you can find out about it on their Facebook. And if you Google the exact name of the watch or a derivative thereof, you'll get links to a couple posts about the watch and to their Facebook page, which is where they're pushing through for the order process.  Yeah. But yeah, I mean, like, what do you think that even the best way to know something about Doxa is? Because I would say it's probably not their website. |
|Jason Heaton|No, it's definitely their forum on WatchuSeek. They've operated this official forum for probably as long as the watch brand was relaunched back in the early 2000s. And, you know, when I started my forays into watches and got involved with WatchuSeek, you know, the doxa forum was one of the early ones that I visited and it was robust and active even back in the mid 2000s. And so they've got a really strong following. They've, they've kind of nurtured that and it's the way that they disseminate all their information. They've got a couple of longtime moderators that are pushing out information about new models. They're taking in feedback and suggestions from members and they've built a nice community. But I think, um, The forum model, I don't want to say it's outdated just yet, but there are a lot more people kind of going to social media these days, especially like Instagram, to a lesser degree, Twitter, and of course, Facebook. And Doxa has actually got a really nice Instagram feed now, which I think is, they've got a nice following. I think they've got about 11,000 followers now. And they do a nice job with sort of motivational kind of posts, sort of inspirational diving or adventure photos and sprinkled in with wrist shots provided by people and announcements of new watches. So I would say if you're looking for information about a Doxa watch, either go to the watchuseek forum or just check out their Instagram. And the guy who runs the Instagram is pretty responsive. And if you pop in a question or something, he is usually pretty quick to answer. |
|James Stacey| That would be my suggestion. I think that would be the lowest stress method of keeping up with the brand because I think the website is perhaps a little outdated in terms of the speed of its response to whatever's actually happening with Doxa. It's not necessarily a bad website. I just think there are some better sources of information. And I think the pre-order process kind of highlights that because you find almost no mention of this watch. It's a limited edition watch.  They're making, is it 300 of each version? Yeah. So it's 300 of each version, a total of 900 watches, and you can pre-order them through like a specific form that you can find on the Docs & Watches official page. And there's a form for the professional, which is the orange dial, the shark hunter, the black dial, or the sea rambler, which is the kind of silver dial. And then within the form, you're basically just filling out literally like a web form, paying a deposit of $500.  And then that gets you, you know, your watch on hold. Right. And it's an interesting, a perfectly effective way of kind of pre working a pre-order for the watch. It's just surprising that it's not on their main website. Maybe that's by design. Maybe they want this to be very much something for their community. And I get the feeling that Doxer really loves that community, like you said, through Watch You Seek.  I think it was just kind of an esoteric way to go about selling this model or even just promoting it, not just the actual, you know, mechanics of selling the watch. Yeah. But even just letting somebody know about it, you pretty, you pretty much had to go through their Facebook, which is a perfectly fine way to disseminate information, but you would think that they would also have something on their website. And, uh, and so for your $500 deposit, that brings your pre-order price down to $19.90.  upon delivery. The total price for the watch is $2490. And, uh, you know, for that, I would say it's probably, probably difficult to find a really comparable watch as far as one that mixes in kind of that dive watch history along with the design. Like if you're in, if you're kind of on board for Doxa, this is a bit of a no brainer at that price point. I would assume being of this limited version, we've seen other LE docks hold their value fairly well. |
|Jason Heaton|Yeah, and to your point about, you know, disseminating information, it's, I mean, think about it. This is a pretty significant release for any brand. 50th anniversary is a big number. I mean, any brand doing anything for 50 years or commemorating something that's 50 years old, it's a big number. It's like 25, 50, 75, 100. And it's a significant watch for them. It's their original diving watch that they're commemorating. And you just think that they would be taking out full page ads in magazines or, you know, doing some sort of a splashy promo on their website. But like you said, there's just, there's nothing there. But I do think that it's because, I don't know if it's intentional, but the brand is so enigmatic that, you know, they, it's quirky that they, they really do nurture that community. And maybe they just think 300 of each it's maybe it's just something we just want to kind of keep in the family.  you know, maybe they don't have any aspirations of being, you know, a giant sort of Tudor or a sized release, because I think when you look at what those brands are doing with, you know, the Black Bay is ubiquitous. I mean, you see it on every website and every banner ad. |
