
# The Grey NATO - 170 – A Tale Of Two Dive Watches (the Pelagos FXD and the Deepstar II)
Published on Fri, 19 Nov 2021 09:01:09 -0500



## Synopsis
The episode covers two recently released dive watches - the Aquastar Deepstar 2 and the Tudor Pelagos FXD. Jason and [SPEAKER_00] discuss the specs, design, pricing, and their overall impressions of these watches. They analyze how the Deepstar 2 pays homage to the original Aquastar diver while offering a modern reinterpretation at an accessible price point. For the Pelagos FXD, they examine its unique features like the titanium case with fixed lugs, slimmer profile, and design collaboration with the French combat diving unit. They appreciate Tudor's boldness in creating niche, quirky watches catering to specific audiences.

For the final notes, Jason recommends the new CWC NATO stretch strap, praising its comfortable stretchiness yet secure fit. [SPEAKER_00] discusses the insightful podcast episode where director Michael Mann joined to provide rare insights into the making of the classic film 'Heat', a movie greatly admired by the podcast hosts.

## Links
- [episode page](https://thegreynato.substack.com/p/170twodivewatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310948-the-grey-nato-170-a-tale-of-two-dive-watches-the-pelagos-fxd-and-the-deepstar-ii.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|[SPEAKER_00]| Hello and welcome to another episode of The Grey Nato. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 170. We thank you for listening. |
|Jason|Jason, how are you doing? Good. Good. We're churning along 170. Here we are approaching 200. I remember 100 like it was yesterday. |
|[SPEAKER_00]|Yeah. I mean, I guess, where does that put us? Probably late spring for 200. We'll have to figure out something fun.  Yeah. Uh, we have some fun announcement coming next week, which, uh, so tune in for that if you're keen, especially if you'd like, if, if you have any interest in sort of supporting the show or that sort of stuff. And then, and then as far as this week, we actually delayed this episode one day, uh, because of one of the watches we're going to be talking about later in the show came out, uh, this morning. So the morning that this launches at the same time, actually, we did not only do we delay a day, we delayed it kind of 27 hours. We normally go up. Nobody cares about this. Just me. We normally go up at 6 AM ET.  And then whenever I actually wake up, I publish the notes to sub stack, maybe an hour, hour and a half later. And this time we're going to go up at nine. Uh, so it's a little later, but we thank everyone for the patience. We wanted to be able to talk about the new Aqua star, deep star two as part of the main topic. There's been two exciting dive watches that kind of came out since we recorded the last episode. And obviously both are actually are pretty in our wheelhouse, I think, and come from people that we know and like, and kind of have an interesting history. So, That's going to be the big kind of middle part of the show. But Jason, what I'd like to hear about is this, uh, is your trip up to, uh, the, the sort of beacon lighting for the Edmund Fitzgerald. How was that? |
|Jason|It was, it was good fun. You know, I think I highly encourage people to, if you have weird, spontaneous whims or excuses to get out of town for, um, like micro adventures, uh, just go and do it because, you know, so often, we, we, you know, we plan like a long weekend or a week long vacation and then neither doesn't come to fruition or it gets over, overplanned and, and doesn't happen or something. And, and we kind of decided to do this, you know, the day we recorded last week, it was not that long ago. |
|[SPEAKER_00]|Yeah. Right. It feels like longer than that. |
|Jason|We pretty much just cooked this up, this, this, this, this cabin that we, that we rented was the same one we rented back in April when we went up, up there. And it just so happens that it, It popped up with a reduced rate because they had an opening midweek. And it happened to be over the days of this annual beacon lighting at the split rock lighthouse to commemorate the sinking of the Edmund Fitzgerald in Lake Superior. And I was like, it kind of all came together. And I said, let's, you know, let's take off and do this. And, and Ghoshani was able to, you know, quickly take the time off work and we loaded up the Land Rover and drove up and, and, you know, it was, it was fun. It was quirky. It was, you know, the weather wasn't spectacular. Um, it wasn't, It wasn't terribly cold, but, um, kind of a gale blew up, uh, just on time, uh, for the, the beacon lighting and the winds kicked up and the waves were crashing on the shore, which was very fitting for what we were there for. And so it was fun that this lighthouse was built in 1905. So it's, it's, it's old, it's beautiful. It's very picturesque because it sits on a cliff over Lake Superior. And, you know, we've, we've been there several times. In fact, we've, we've dived in the water below the lighthouse because there's a shipwreck just down there.  But, you know, they had the lighthouse staff was reading the names of the deceased from the shipwreck of the Fitzgerald. And then there was a small choir that sang the naval hymn. And then at 430, which is pretty much dusk, they lit up the beacon, which they don't do regularly because that lighthouse is now not in service. They, you know, ship navigation on the Great Lakes is done via GPS nowadays. And so you don't need visual cues from lighthouses to tell where you are.  So that was kind of a thrill. We, we, we were up on the observatory deck of the lighthouse. And then when they lit it up after the ceremony, we hiked down to a, a beach, um, probably about a mile down the, down the beach and kind of wraps around into this Cove and you can see the, the lighthouse from a distance and great place to take pictures. And neither of us had brought the right long, longer lenses that we needed, but it was still fun. We were kind of setting up in the dark. We had tripods and Gashani had her, um, uh, Nikon Z seven, and then I used the, my old F3 film camera, which has a self timer and has an auto exposure function, which was novel back in the early eighties. And so, um, I set it up and got it in as good a focus as I could from that distance and, and, and let her rip. And so I haven't developed the film yet, but I'm, I'm eager to see what, what comes of it. So that's great. |
|[SPEAKER_00]|Well, we'll, we'll put some of those photos in the, in the, yeah. |
|Jason|Yeah. And, and other than that, we, we kind of just stayed at this beautiful a-frame cabin up on a Hill and uh, hiked a little bit and read a lot. And then we actually, you know, I brought my new Mac book up, uh, not with the intention of doing any work, but in case we wanted to stream some shows and you had mentioned, I think it was last week in final notes that the Alpinist, that movie was available on prime video. And so we, we streamed that and it was as good as, as you said, I mean, it was as good as all the hype and it was, it was just a tremendously powerful, sobering, beautifully made movie. I mean, just, everything about it, the footage, the way that it was done. It was very thoughtfully and compassionately done and kind of makes you think about a lot of things. And it was, uh, it was really good. So I'm not going to go into the detail that, that you did last time, other than to just encourage people to, to check that out. Definitely worth checking out for sure. And then another movie we watched was, um, actually this was after we got home was a road runner, the movie about Anthony Bourdain, which I know you've seen as well. And I haven't, I have yet to watch it. |
|[SPEAKER_00]|I wanted to get his entire, I wanted to get through his entire thing. And then I read some kind of semi negative stuff about people who knew him really well, who said that the movie didn't, like kind of did him dirty. Like didn't paint all sides of it, kind of painted the part that people already knew that the part, obviously the depression, the sadness, the kind of emptiness, that part, but not the whole picture, which I'm not sure what the veracity of that is. But when we get to the end of probably the three shows, maybe even the three shows in the book, Yeah. Um, I think that's when I'd be ready to, to, to be able to watch that and then see if I had the context for it or not. What'd you think of it? |
|Jason|Yeah, we, we both really liked it. I mean, it was, it was a terribly sad movie and, and to watch that on the heels of watching the Alpinist kind of not to get overly philosophical, but they're, they both have this similarity, their underlying element of, of, you know, people dying too soon and, and for, Arguably questionable reasons, both of them in very different circumstances, but it was, you could say it was kind of a grim, grim pair of movies to watch kind of back to back, but both really, really well done. I don't know the, like you said, I don't know the veracity of the claims about Roadrunner and, you know, how objective it was or whatever, but. |
|[SPEAKER_00]|I mean, it's really hard to hit a really strong balance when the core topic, the subject material isn't there to speak for themselves. Yeah.  Yeah. Um, to, to provide any context, you know, uh, I think that's a tough one. I think what is interesting, especially for those two movies is they, they exemplify two people that, that were very much had some acclaim. Obviously with Bourdain, we're talking about worldwide fame. Um, at one point, you know, 20 million households could have watched his show at any point, like a really remarkable. And I bet you that number was much higher actually, uh, later on. I just remember him saying that at one point during, um, uh, a joke that, you know, that they couldn't get they couldn't get into a certain spot in Romania. And he was like, there's a lot of people that watch this show, but sure. We'll just go do something else. Yeah. Two guys that really kind of wore their, their almost pathological need to do what they like to do right on their sleeve. It was, it was a big piece of their personality and there's really no comparing the way that both of them kind of met their end. Right. Two kind of entirely different scenarios. But I think both really, uh, beautiful and human. You know, I haven't seen Roadrunner. I've seen the trailer and obviously I understand a lot of what went on with Bourdain just in following his life and his work and stuff. And, you know, just two really kind of beautiful people that had not just demons, but just, you know, that seemed to have a kind of supernatural push to do and to see and to experience and to live life almost to their own metric. Yeah. Even if it didn't work out. Right.  Right. It's definitely not an easy double header for sure. I hope you watch something maybe a little bit lighter at some point in the last few days. |
|Jason|Yeah, really. And then going to the ceremony for a deceased shipwreck. Yeah, true. I don't know. I don't feel particularly down after that. It was... No. But you're right. Yeah. Maybe it's time to pull up a comedy or something. But how about you? I saw you ran into some snow at the cottage. We got a little bit here. |
|[SPEAKER_00]|Yeah. So I was, you know, Work has been insane. The hours have just been crazy. So I had this little window where it looked like my brothers would be up at the cottage. And this is probably, I mean, it's always hard to say we might have another weekend up there before it's legitimately too cold to keep the space warm. Because we didn't do any of the winterizing, or the really not just winterizing, but like making it ready for winter this year. But so went up for a day and a half and kind of kicked around and took some pictures.  watch some Bourdain and just kind of relax. And it was pretty good. It felt really good. And like you said, it's nice to have these kind of impromptu... I wouldn't call this an adventure necessarily, but then it snowed and we got to do that and those sorts of things. So it was nice to get up there. While we were there, the Jeep ran over 200,000 kilometers. So that was kind of a nice little point in time. I guess that gives me about 22,000 kilometers I've put on it since we bought it.  Wow. And, uh, and then the other one I would highlight is, uh, I've been there twice now, once outside when it was nicer weather. And then once inside, uh, cause it was fairly cold. Is this a Bosch Kung brewing? So if you're, if you're around Ontario, you've accessed Ontario beers, pretty solid stuff. They didn't really have anything bad. They've got a lot of really funny merch and the rest of it, but they're, they're kind of operating. They have two breweries like brew restaurants in, in the Minden area, which is kind of, um, in the general area of where my cottage is, an hour or so away, but it's a beautiful drive nonetheless. Yeah, they have a sort of tap room below a restaurant called Rhubarb in just outside of Minden, Ontario. And if you're ever up that way and you drive by and you see this, it looks like a big black barn and then giant letters. This is Rhubarb. And you're interested in a solid pint. Check it out. They make really good stuff. Definitely worth a shout out. Nice. And I'll put them in the show notes. I don't know I know there's, I'm sure there's plenty of folks listening that like to drink a beer, but I'm not sure how far any of this stuff ever gets distributed. You know, there's, there was a lot of stuff that I liked in Vancouver, like 33 acres that you can't really find here. And so I assume it doesn't make it to the States either. I don't know. But these guys, you know, my longstanding sort of favorite for Ontario beer is a collective arts and they do a really beautiful job. Really, really incredible. A lot of stuff. That's pretty good. Despite the fact that I have fairly narrow tastes when it comes to beer. Yeah.  And, uh, and these guys are, are, are getting right up there too. Cool room, a nice spot to sit a nice patio that faces a little Lake if you're there in the summer. |
|Jason|So gosh, geez, I mean, we're, we're, we're, I mean, I'm sure it's the same on your side of the border, but you know, we're just so spoiled for choice when it comes to good micro brews and tap rooms and just small breweries nowadays. I mean, we can't, you know, can't throw a rock from our house and, and, you know, not hit, you know, two or three. I mean, they're just, they're, they're popping up everywhere and, you know, It's the difficult part is picking which one to try. And I kind of go through phases when it comes to beer. I mean, I haven't been drinking beer lately. It's been kind of more of a whiskey time around the fire kind of thing, but we're getting into that season where like a porter or a good stout or something just is so, so nice. Feels so cozy. It's like, you know, it's like a meal in itself. So yeah. |
|[SPEAKER_00]|Yeah. I mean, for me, I'm that jerk that, that the memes make fun of. The only beers I like are kind of like the kind of strong, overdone IPAs. I didn't really come to beer. I was introduced to the wider world of beer by my wife. And so we like to make little derivations if we're going places, try and see if there's an interesting brewery nearby that you can check out and sit and have a basket of French fries and a beer. And she has much wider tastes than I do, but I'm learning bit by bit. I mean, my home plate is still bourbon, but Yeah. The selection really sucks in Canada right now. You can't get anything that's legitimately worth drinking or being excited about. Yeah. Um, yeah, it's just, and when, when the LCBO, which is our kind of liquor control unit here where you buy everything in Ontario, when they do get something that the, there's like a crew of people that are ready for it. So, I mean, I can't tell you the number of times I drove 30 minutes to try and get a bottle of like, okay, bourbon, like say Blanton's. Yeah. Yeah. It's good. I like it. It's not amazing.  It's not especially collectible, but in Ontario, it's, that's like peak stuff out here. Oh yeah. Yeah. You know, you're not going to find like a nice willet. You're not going to find any, any of the stuff that people get legitimately or the really rare stuff that people get excited about in the States. So yeah, it's nice to expand the horizons a little bit. And then also I'm getting older. A bourbon at the wrong time of day can give me a hangover. So I've lost some of that, the edge I had when I was younger,|
|Jason| I think we've been encouraged in the past by a handful of people like, Oh, you guys should do an episode on, on booze or on whiskey or whatever. And I, you know, we legitimately probably could talk for a full show about our favorite, you know, rum, whiskey, beer, wine, whatever. It's just, you know, I guess I'm not sure if a full episode is, is merited, you know, given that there are probably a lot of listeners that don't drink or aren't that into it. |
|[SPEAKER_00]|But you know, I mean, yeah, I also, you know, I like to be as cognizant as possible. And I know you do too, that there's, there's people listening who have overcome, Yeah. Drinking problems. Yeah. Right. And I, I'm not here to tell anyone to drink. I feel like the whole world is telling people to drink from the time you're about 14. Yeah. Right. So I don't know that we need, need any, and there's also lots of great podcasts that already cover this. Yeah. Anyone can find it if they need it. It's not hard to find it in most places in North America. |
|Jason|So yeah, true enough. All right. Well, I think we should jump into the main topic and I think on the way to the main topic, we are going to do a very appropriate risk check, I think. |
|[Silence]|Yeah. |
|Jason| We're both wearing the same thing. What's on your wrist? It's the Aquastar Deepstar 2. I have the shimmery blue dial on. And you do too, but a different color. |
