
# The Grey NATO – 171 – The 2021 Holiday Gift Guide
Published on Thu, 25 Nov 2021 06:00:29 -0500



## Synopsis
The podcast discusses a new system for listeners to financially support the show, either through a $5 monthly subscription for bonus content or a $100 annual subscription that includes merchandise like a branded NATO strap and decal. The hosts also share their holiday gift recommendations across various price points, ranging from affordable items like playing cards and books to more expensive products like a jerrycan minibar and an electric utility bike. They emphasize that the show will remain free for those who cannot contribute financially.

## Links
- [episode page](https://thegreynato.substack.com/171giftguide)
- [episode MP3](https://www.buzzsprout.com/2049759/11310947-the-grey-nato-171-the-2021-holiday-gift-guide.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 171 and we thank you for listening. James, how's it going? We're a bit of a short week here in the U.S. and it's a holiday when we're launching this one. |
|James|Yep. Yeah, this one will come out, I guess, as the sort of American Thanksgiving kicks off. You weirdos down south decide to do things pretty late.  It's already Christmas as far as I'm concerned up here, but to each their own. And of course, happy Thanksgiving to anybody who's celebrating it. I guess aside from that, I don't have a ton to talk about, but we do kind of have some big news that I hinted at last week. You think we kick off there? Yeah, let's do it. |
|Jason|Let's get right into it. |
|James|It's been a long time coming that we've wanted to try and find a way to have the audience support the show if they want to. And I think in the past, we haven't been very good at asking for money. We certainly haven't been good at liking doing the business side of anything. That's why we're both creatives and big stressors on our accountants and business managers. But I think we've come up with an interesting way of kind of supporting the show and it's all done through Substack. So if you're already on the subscriber option, you'll have the ability to quickly up your subscription if you want. We think it's pretty straightforward and simple. Obviously, if you have any questions or problems, you can email us at at gmail.com. But, uh, Jason, why don't you walk them through the levels? |
|Jason|As James mentioned, we're running this, this program through Substack, which isn't, you know, it isn't a perfect format, but it's what's been working for us lately to deliver show notes and to provide an embedded player. If people want to listen to the show that way, if you're already subscribed to the Graynado on Substack and are getting those weekly emails, it's pretty simple to upgrade to a paid subscription to support us. When you go to the graynado.substack.com, If you're logged in, you'll see a big orange subscribe button in the top right corner of the screen. And when you click that, you will see the, we basically have two subscription options, which I'll walk through in a minute. But if you're not already on our sub stack and getting those weekly emails with the show notes, just go to the graynado.substack.com and you'll find a place right on that page where you can enter your email address. And then when you click that, it'll take you to the subscription options. And for those, we have two.  We have a $5 a month option, which basically gets you, you know, the standard weekly episodes, which everybody gets, even if you're, you're staying with the free option, but then you're also going to get an extra episode a month. And at this point we're, we're going to make that our Q and a episode. So starting in the new year, the Q and a episode will be an extra episode available only to those who pay for the $5 a month level, or we have a hundred dollar a year level. If you want to pay once, for the entire year, you get the, the weekly episodes plus the Q and a episode and drum roll, please. A supporter kit. So the supporter kit is our TGN logo. It's a decal, a three inch decal that you can put on your laptop or water bottle or car or whatever you want, as well as a gray Ute NATO strap. Um, this is, uh, the, the strap we provided in the supporter bundle years ago. It has a signed TGN buckle. This is an all new crop of them that we got from Terry.  These are lovely straps, some of our favorite NATOs. So when you sign up at the $100 a year level, you get the decal and a strap of your choosing, either 20 or 22 millimeter. Once you sign up on Substack, you're going to get a thank you email that's going to have a link in it where you can choose your strap size and enter your shipping info. And then we'll get those expedited. Probably in the first week of December, I'll be getting those shipped out to everybody.  Yeah, pretty straightforward. It's all through substack. And as James mentioned, if you have any problems, you can just send us an email at the great NATO at gmail.com. |
|James|Yeah. And you know, the thing that we want to make clear is the show will remain free. If you're listening and you think this isn't worth five bucks a month or, or I don't have a hundred dollars this year or whatever, that's fine. We're still going to do about 48 episodes a year, which is what we've been doing for some time. Well, I mean, since we went back to weekly, we can take some time off around Christmas and then there's usually one or two weeks a year where it just, the schedule becomes difficult. So.  We'll say something like 48 a year. Just like with the last bundle, Jason, I want to make this very clear. This isn't a great deal. If what you want is a, is a great NATO, you can get the exact same one. It just doesn't have the, the TGN engraving on the buckle from Hodinkee for about 25 bucks. This is how you can support the show. And if you're enjoying it, basically the annual option ensures that Jason and I won't lose money on the NATO, the sticker, the shipping, the processing time, et cetera. These are being shipped by hand. There's, we don't have like a fulfillment center or any of that kind of thing.  We don't really know how many of you are going to clamor to get after this, but we hope it's enough to have made the investment in the NATOs and the rest of it make sense. And then as far as the Q&A goes, that'll become a fifth episode a month. And again, if you're in either of the paid tiers, $5 a month or $100 a year, which again is only like eight and a half bucks a month, a little less than that, then you get the Q&A. Obviously we have a backlog of questions that have come from people who sent them in assuming they would get an answer regardless of spending money. So we're not going to kick off the paid Q&As.  until later in the year, probably January or February of next year. So that way we can get through the backlog of the questions we have. If you sent us a Q&A question, you know, before, say, November 25th of this year, you're in the log, you'll get your answers. We're going to go through those and do a couple like super Q&A shows to get through those questions. And then moving forward, it'll be something where, you know, if you want to be able to send in a question and get a direct response from Jason and I, that'll be part of kind of the the paid level. Kind of predicting other questions that might come up. We're not going to be selling a strap separately. We kind of see it as the easiest kind of most fun way to signify yourself as a TGN supporter, if that's something that you're keen on doing. We may do merch in the future. It depends on what we learn about shipping and the rest of it. |
|Jason|Yeah, I would also add that this is open to listeners worldwide. There are very few geographies to which I cannot ship things from the U S. I think, uh, I think I've, I've had experience, uh, in the past shipping to, uh, I think it was Taiwan. And I think, uh, I think, uh, Russia, of course, uh, North Korea, I think Iran, you know, there's just a handful of places that I can't ship. And certainly we will get in touch with you if there's a shipping issue, but otherwise, you know, it's fair game. Uh, we've got listeners all over the world and happy to happy to get this stuff, uh, distributed. So. |
|James| We think this is good value. I support a handful of different Patreons and sub stacks and such. And we think that this kind of balances out where it's not just additional content for all the ranges. And it's a level of work that we can manage and the rest of it. The last thing that I'd like to clarify, in the past, I've said that we read and reply to every email. And that has been the case up until now. But honestly, I can't keep up with it anymore.  kind of too many messages coming in. A lot of them are double ups or things that we end up talking about, you know, a week later on the show or something like that. So the email will remain open, thegraynadoatgmail.com, but we can't promise that you'll get a reply anymore. We'll do our best, but I'm no longer able to make that promise as there's just that many messages and the workload and such to go weekly has really, you know, kind of eaten up some of that time. So that's kind of the big business update for the show. If you want to support us and you've been enjoying the show, We're 171 episodes in. You can pick either five bucks a month or a hundred bucks a year. I think the hundred bucks a year, I think the hundred bucks a year is a sweet deal because I think these NATOs are pretty rad, but I don't know that I could be more biased in that opinion. |
|Jason|Well, I think, you know, we've had, we've had people write us unsolicited asking how they can support the show. Several times. Yeah. You know, Hey, how can we give you guys money? We've had other emails asking, you know, are you guys ever going to sell merchandise again? I'd love to get one of those straps.  Hopefully this, this solves a few of those, those problems, if you can even call them problems. But I think, you know, James and I put, put a lot of time into doing these episodes, especially James editing every week. And, and, you know, we, we sit down and try to, you know, put our best, best foot forward with, with every episode of TGN. And I, I know we have a really loyal following of folks out there, listeners, and I'm excited to kind of kick this off and see where it goes. |
