
# The Grey NATO - 172 – Caves, Wrecks, And Glaciers With Underwater Photographer Becky Schott
Published on Thu, 02 Dec 2021 06:00:12 -0500



## Synopsis
The podcast discusses a recent episode featuring an interview with underwater photographer and explorer Becky Kagan Schott. Becky shares her adventures and experiences diving in extreme environments like glaciers, underwater caves, and shipwrecks in the Great Lakes. She talks about the challenges of cold water diving, the specialized equipment required, and her approach to lighting and framing her underwater photography. The hosts also discuss new product releases from Doxa watches, recommendations for books and movies related to adventure and diving, and the importance of driving with headlights on at night.

## Links
- [episode page](https://thegreynato.substack.com/p/beckyschott)
- [episode MP3](https://www.buzzsprout.com/2049759/11310946-the-grey-nato-172-caves-wrecks-and-glaciers-with-underwater-photographer-becky-schott.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of The Gray Nato, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 172, and it's proudly brought to you by the newly formed TGN supporter crew. We thank you all so much for your continued support. Jason, how are we doing? Busy shipping out there? Oh, great. |
|James Stacey|Yeah, yeah. It's the, it's the, The Heaton Fulfillment Center here. It's going well. I mean, man, what a difference a week makes. Just last week we were kind of kicking this off and this week it's just what a success. |
|Jason Heaton|I'm just blown away. The numbers are way more than I expected. Honestly, I'm kind of floored and I haven't been doing any of the shipping, but I'm kind of tired. You know, it's been a busy season and I can get emotional pretty easily and to see the support that came in was pretty humbling and has been a real bright spot in a cloudy season. I gotta say, just a huge thank you. Surprisingly, I thought we bought way too many NATOs. It turns out we probably bought the correct amount. Yeah. So we still have some left. Bundles are still going. You can get a NATO and a sticker if that's what you want. If you don't, there's the $5 a month option.  Basically, you can go to thegraynado.substack.com or even just thegraynado.com, and you'll see a button for support. If you happen to miss last episode, this is a new platform we've launched to kind of self-fund the show, and it's gone off really well. We're super impressed by it and by the response. We have kind of three tiers, I guess. You can just continue on as you are. You'll still get four episodes a month. We're not taking anything away. If you'd like an extra episode, that'll be the Q&A moving forward, and we have more than enough supporters to do a pretty solid Q&A each month. So I'm excited to hear how that works out. That's $5 a month. And then if you'd rather go all the way and get the signed TGN Grey NATO from UTA, that's $100 a year. And that will include, once you sign up, you'll get an email with a link, and you can decide between a 20 and a 22 millimeter strap. Both have a signed buckle. Both are grey. They look great.  And that also comes with a, uh, a nice, uh, logo style sticker that you can put on a laptop or water bottle or whatever. And, uh, yeah, that that's basically, I mean, we, we talked a lot about it on the last episode. I'm sure we'll, we'll find a way to kind of include it in, in most shows moving forward, but a huge thank you to everyone. Who's gotten in on it. Uh, if you have any problems with your order or with that process or any of it, um, the great NATO at gmail.com, we can sort it out easily. Uh, we're customer service professionals at this point. |
|James Stacey|Yeah. And surprisingly, I mean, uh, uh, to my, to my, um, great joy. Uh, we haven't actually gotten a lot of emails with issues, just a handful of people that maybe ordered the wrong size strap at first or something like that. But, uh, been going smoothly and people are already getting straps. I've seen a lot of posts on Instagram and stickers. Yeah, it's, it's great. And like you said, it's, it's just been such a bright spot and so encouraging to see all of our loyal listeners and folks, you know, signing up to, to help us out here and, and, And we're just so pleased. So it's great. Absolutely. Yeah. Yeah. And that's, that's been my week. I mean, ever since, uh, I guess we kicked it off on Thanksgiving. I, I, I did manage to relax that day, but then after that I got to printing labels and packing up and, um, and then, and then I did a, I did a big, the big first FedEx run. Took its toll. Yeah. Loaded up a Giles, my little blue 1976 Land Rover headed off to FedEx. It's, it's near the airport here. It's down this long frontage road.  kind of at the end of this, this long kind of lonely road. And I was, I was whipping down this road at about 35, which is close to max speed for that thing. And I'm starting to hear this whoop, whoop, whoop, howling sound. I thought, Oh, it's like an air leak somewhere. Like one of the windows has fallen open or something. So I let off the gas and it kind of went away. Then I gave it gas, gave, you know, started howling again, made it to FedEx, dropped the big load of packages off. And then on the way back, the noise got louder. And then as I pulled away from a stop sign, there was a, Uh, kind of a telltale clunk. I just lost all forward momentum, coasted to a stop and, uh, and it got it flat bedded. So now it's at, it's at my Land Rover shop expedition auto works here in, in the twin cities. And I'm waiting for a diagnosis, but I, I think it's something called the clutch release bearing. I just have a feeling I've done a little research and, and, uh, it's been kind of acting up lately. The clutch was on its last leg. So in a way I'm.  I'm kind of thankful that it's in the shop and going to get that taken care of. And for all I care, they can keep it all winter because, uh, cause I've got a backup. I've got a different Land Rover. |
|Jason Heaton|One less thing to shovel around, I suppose. |
|James Stacey|Exactly. Yeah. And now I'm doing FedEx runs on the bicycle. I, uh. Oh man. You got better weather there than we do. Weather's been holding. It's, uh, you know, just above freezing, um, here still, you know, maybe hitting 40 these days and.  So I bundle up and just throw, throw the packets. These are, these are not giant boxes. Um, so it makes it easy to throw it in a messenger bag and, and go a few miles down to the FedEx Dropbox. And that's kind of made a fun daily errand for me. We're getting, you know, still a steady stream of, of requests and strap orders here. So that's, uh, that's been my week and it's been, it's been a lot of fun, good exercise, very fulfilling. I feel like I've done something every day and it's great. |
|Jason Heaton|Yeah, that's awesome.  Yeah, when the holiday weekend kind of kicked off here, you know, it's not technically a holiday in Canada, but being that kind of my main client is Hodinkee, they were closed for a few days. So I ended up with some actual time off. I'd kind of preloaded enough of the work to take those days off. And we got a dumping of snow here, but just the day before we got the most of it, my wife and I went out to Rockwood Conservation Area, which is kind of near Guelph. It's about an hour, an hour's drive.  from central Toronto and just this really nice kind of rocky, craggy sort of walk through the woods and spruce and birch and highly recommended if you're in that area and you want to do something, I would say, unless it's really snowy, it's maybe an hour to do the loop. So it's not, it's, you're not asking a lot. It'd be a good one to do with family that maybe don't, don't love hiking or don't go out a whole ton.  Um, it's in a little bit of a depression, so you might get some shelter from wind, but there's also some open spots. It's kind of a loop around, um, a lake, uh, that has some really rocky sections that are, um, kind of like these kind of eroded pothole shapes. Uh, so yeah, we had a good time doing that. And, uh, and that, that was most of the weekend. Other than that, I just tried to rest, uh, did a bunch of reading. Oh, the other thing, I only bring this up cause it's, it just confounds me. And, uh, And I don't really know how to soapbox at a high enough level for this, because it's something I'm seeing a lot around Toronto and it's not something I saw around Vancouver. And Jason, maybe you see this or maybe it's just, it's a Toronto thing. I don't know. But I drove back from Guelph, like after dark, we stopped at a fixed gear brewery and had a beer and a pizza. And then we drove back and it was at, you know, at sunfall. And there's a lot of people driving, like, and not just on normal roads. We saw some of that too, but on like, 400-series highways, major highways, driving with their lights off. Really? Like at dusk after dark? I think I saw nine cars. No, this was in the dark, full-on dark. |
|Unknown|Oh my gosh, what? |
|Jason Heaton|And so we're talking, I saw a Bell television, Bell telephone, like a modern, so that would be a Ford Transit E-Connect. So like a modern car that has the light switch with a setting that says auto. Yeah, right.  I saw another guy in like maybe a last generation Ford F-150 pulling a trailer. Yeah. And the trailer's lights also weren't on. Oh, wow. Yeah. So he's pulling like a boat or maybe a flat trailer, like with a four by four on it or something. And then just on his running lights. Wow. Wow. And like on some cars, your running lights include an element on the rear, but a lot of cars, at least in Canada, the rules might be a little bit different in the States. It might be one of those things where it's, it's a slight change, but in Canada, some cars, the running lights are literally just a really dim setting on your headlights or some accessory lights on the front. |
|Unknown|Yeah. |
|Jason Heaton|I don't, I want to believe that there's nobody with the natural intelligence to really enjoy TGN that is also driving around with their headlights off at night. |
|Unknown|Yeah. |
