
# The Grey NATO - 175 - Don Cochrane Of Vertex Watches
Published on Thu, 06 Jan 2022 06:00:32 -0500



## Synopsis
This episode begins with Jason and James discussing their recent holiday adventures, including James' winter getaway to a cabin and Jason acquiring a digital piano. They then welcome Don Cochran, the owner of Vertex Watches, for the main interview segment. Don shares his background working in Formula One racing, Tesla, and private aviation before reviving his family's historic watch brand Vertex. He discusses the challenges of modernizing a heritage brand, the development of Vertex's new M60 Aqualion dive watch, and his passion for both watches and classic cars. After the interview, Jason and James highlight a few final notes including a YouTube video on building a cabin from wooden pallets and The Watch Annual photo book they are both featured in.

## Links
- [episode page](https://thegreynato.substack.com/p/vertex175)
- [episode MP3](https://www.buzzsprout.com/2049759/11310943-the-grey-nato-175-don-cochrane-of-vertex-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the GrayNATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This episode 175, the first of 2022, and it's proudly brought to you by the newly formed TGN supporter crew. And we thank you all so much for your continued support. Jason, uh, happy new year. How are you? |
|James Stacey|Yeah. Happy new year. 2020, uh, 3.0, right? |
|Jason Heaton|Yeah. Yeah. That's how it's feeling, man.  Uh, I don't, I definitely don't want to start off this episode with like a, an airing of the grievances. I think we missed that by, uh, about 10 days, 10 or 11 days to, to thread that needle. But goodness sakes, what a, what a time of year for another, another whole COVID thing, you know, just kind of take Christmas away and new years. And this time of year, I always look forward to catching up with family and none of that really happened. But, uh, Yeah. Like, wouldn't it be nice if we could turn on the radio and hear about anything else or open Reddit or whatever and meet up sometime, you know, cross borders. Yeah, that too. Yeah. Yeah. But focusing on the new year and the new possibilities and the rest of it, uh, you know, TGN subscriptions are still coming in. Uh, you can obviously, uh, check that out if you haven't already, uh, thegraynado.com, uh, for more details, click the support button and get the explainer.  I do want to clarify a few things as we got some emails from people who maybe didn't catch the explanation on the show. So the levels of supporting the show kind of work in three stages. You can pay nothing and the show will continue as it is four episodes a month. Maybe share it with a friend or that sort of thing if you're enjoying it. Next up is $5 a month, which includes the fifth episode a month, which is going to be the Q&A moving forward. We're going to start that in February.  If you're either a $5 a month or a $100 a year annual supporter, please go ahead and send us your questions, thegraynadoatgmail.com. Those will be addressed sometime in February as the start of the fifth a month episode. And then finally, as I alluded to there, there's a top tier, which is the annual supporter level, and it's $100 a year, but it also includes a sticker and a gray NATO with a signed TGN buckle, either in 20 or 22 millimeters.  And what we want to make clear is if you've signed up as an annual supporter, you'll get a thank you email from Substack. And in that you'll find a link, which you can click on to give us your preference between 20 and 22 millimeter and submit your address. This is how we do the orders. If you can't find that email, you need to check your junk mail or your promotions email or your social folder. Obviously, if you go through this process and you have any problem, you can always hit our customer service line.  TheGrenado at gmail.com. We remain here. I'm blown away by the support. We've said this a few times. The numbers keep kind of growing and I'm thrilled to see this. I think the Q&As are going to be awesome because they can be anything we want at this point. It's just for supporters. You can ask us anything you want. It doesn't even have to be about watches. It could be more simple stuff, more complicated stuff, more hypothetical stuff, media, like whatever you got, bring it on.  Uh, I think it's going to be a fun part of the year to, uh, to get back into the Q and A's and, and to do so with, uh, you know, with folks that are making it possible in a very active manner. So a big thanks from Jason and I moving forward, of course. And, uh, if there's any issues at all, you can send us an email, uh, but otherwise, uh, consider supporting the show if you're enjoying it. And if that's your scenario. Yeah. |
|James Stacey|And, um, just quick follow-up here. Uh, big thanks to Terry at Ute watch, uh, strap company. Um, he.  Got us back in stock with the 20 millimeter TGN straps. So, uh, if you ordered those while they were on back order the past few weeks, they are now sent off a huge pack of them to some new supporters last week. Uh, so those are on the way and we, we have, uh, a decent stock here as well. So if you're, if you're thinking about supporting and you want a strap, now you can actually choose 20 millimeter and get it in short order. So, and it's been fun seeing everybody.  putting up their photos of their TGN straps on watches. It's been great. And we thank you for sharing that. And we try to reshare whenever we can. So yeah, it's been fun. Absolutely. And, uh, you know, it's cold, it's winter. I mean, I've been, I've been having some winter fun the past couple of weeks and, and to make it even more fun, you and I each got a, a really nice care package from our friends at Nerona. Uh, Nerona is a Norwegian based outdoor gear and clothing company.  And they are big fans of the show. And just like last year, they sent us each a really nice package of some select pieces of kit for us to wear jackets and pants. I got a nice duffel bag, and I'm just looking forward to testing all this stuff out. And we thank Neurona, who we like to consider now our unofficial sponsor of the TGN Winter, given the, especially the puffy jackets we each got that we can test out and wear. So big thanks to Neurona, and we'll We'll certainly be, uh, giving our feedback on these products going forward this winter as we, as we get a chance to, to wear them a little bit more. |
|Jason Heaton|Yeah, it's a neat thing. Cause they don't, they didn't send it with any, with any, like, please talk about it on the show or, or, or write about it or take pictures of it or whatever. They just kind of sent it, you know, we we've, we've got a, a, a nice little relationship with the crew at Neurona and, and the stuff is incredible. Like, uh, you know, it's easy to talk about on the show because it is as high level as any, any sort of this gear that I've come across at this point.  Yeah, like Jason said, a huge thanks to Nerona and as we get a chance to put more of these through their paces, maybe some skiing, maybe some hiking and otherwise. So we'll be sure to fill in any blanks that come up along the way. And speaking of skiing, you were out skiing recently, right? You got a bit of a getaway over the break? |
|James Stacey|Yeah, I haven't been on downhill skis yet this year, which starting to feel a little bit like a little late need to correct that here. Um, soon, but, uh, yeah, I've been on my cross country skis for the past couple of weeks now that we got some decent snow and, and Gashani and I did a little something different for Christmas this year. We, we got away. We actually, um, we, we quite far away. We rented a, this beautiful a-frame cabin that we've, we've stayed at a couple of other times earlier this year. Um, it's at the top of a very long, steep Hill, uh, up on the North shore of Lake Superior.  And, uh, and, and we drove up there a day or two before Christmas and, and spent three nights there and just got dumped on, I mean, there was over a foot of, of new snow while we were there and high winds. And it was, I don't know when you're at a place like that, it's like, I don't know. It's a, it's a pleasure to kind of be snowed in. It felt very cozy. We had a fire going and we're just like, you know, watching shows, listening to books on, you know, audio books and cooking and drinking and.  And then, uh, we, we ventured out on snowshoes one day and kind of tromped through the woods. So yeah, it was a, it was a proper winter getaway. I don't think we've had one like that in, in a couple of years. So it felt, it felt really good. So it's been, it's been great. And then, um, you know, one of the nights, uh, we, we, we grilled outside, uh, a certain, certain friendly neighborhood podcast, co-host, uh, gifted us, uh, this lovely snow peak, uh, Takibi fire grill, which is this spectacularly cool little, um, you know, Japanese designed, uh, sort of foldable portable grill set. And, um, anybody that knows Snowpeak, you know, here's another brand, you know, Nerona is great, but, uh, you know, Snowpeak has that very, very kind of Japanese aesthetic when it comes to, to kind of design of all of their products. So, you know, I've had, you know, whiskey flasks from them and little titanium shot glasses and things like this. Well, You were kind enough to send us, uh, this, this fire grill and, uh, we'll put a link in the show notes if you want to check it out, but we packed that in the car and it sets up in about three minutes and, um, brought some, some wood and some charcoal and, and we braved the high winds and the cold. I kind of found shelter in this kind of corner behind the, the garage of this place that we were renting. And we set up on this hillside and built a, a toasty little fire and, and, and cooked some food. So it was, uh, it kind of added to the whole.  the whole cozy factor and it was a lot of fun for sure. Yeah. |
|Jason Heaton|I've had those I've had that system kind of on my radar for a while because I love the, I love an elevated fire. Yeah. Yeah. Uh, you know, I think that you have to be very considerate of where you can do a fire and where you're allowed to have a fire and the kind of impacts the fire can have on the ground and the rest of it. And, uh, and this takes out a lot of that guesswork. It's, it's this really clever design. You see it from lots of companies, but I feel like Snowpeak is kind of the right one. |
|Unknown|Yeah. |
|Jason Heaton| It's this really gorgeous kind of four-walled open, well, not quite pyramid, but it's that sort of concept of essentially like a bucket up above the ground that you can cook or that you can start a fire in. And then if you want, there's a whole grill system that goes on top of it. I just think it's really clever. And my experience with Snowpeak is that they are absolutely a pinnacle of quality in terms of build and finishing and the rest of it. Everything that I've come across from them is just really, really nicely made, and it lasts forever. And I just like the company in general. So it was a bit of a no-brainer when my wife and I wanted to send you and Ghoshani something. You sent a handful of very thoughtful and impressive gifts over the last few months, and we wanted to try and level that playing field in some manner.  And yeah, I'm a big fan of these, so I'm glad that it worked out. And I like the kind of flexibility. If you just want it for a fire, that works too. If you want to cook something over it, you can do that as well. And I think the system even expands beyond the standard one. I think they have ones that have more little cooking stations and stuff like that. |
