
# The Grey NATO – 177 – Pilot's Watches
Published on Thu, 20 Jan 2022 07:00:14 -0500



## Synopsis
The hosts discussed their favorite pilot's watches across various brands and price points. They talked about affordable options like the Citizen Nighthawk and Seiko models, as well as more premium offerings from brands like Breitling, IWC, and Zenith. They highlighted the versatility and functionality of true pilot's watches designed for use in aircraft, while also touching on the appeal of watches with an aviation aesthetic that may not be intended for actual flight use.

## Links
- [episode page](https://thegreynato.substack.com/p/177pilotswatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310941-the-grey-nato-177-pilot-s-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 177, and it's proudly brought to you by, well, you guys, the newly formed TGN supporter crew. We thank you all so much for your continued support of the show. Jason, how are we doing there? Doing great. |
|James|Yeah. Just keeping on here. It's turning into a proper winter here. We've had, we've had a snow that's actually sticking around. So it's, uh, it's been a lot of fun here. I know you just got dumped on and you're having fun in it too. |
|Jason|Yeah, we got a ton. I mean a ton for here. I granted there's people listening who are used to like for the whole winter, having snow sitting. It's not necessarily the scene in Toronto all the time, but they knew a storm was coming. There were different predictions as to how bad it, we ended up getting a couple of feet basically. So it came overnight, which is surprising. Like where you go to bed and it's not even snowing.  And then you wake up and it's like, oh, this is going to be like a major part of portion of our day, keeping them like shoveling and getting neighbors able to leave their homes and stuff like that. |
|James|Yeah. Oh, that's awesome. Yeah. We've had snow sticking around this year, which is a nice treat. And the past few winters have been hit and miss. And so we went snowshoeing. We were at my parents over the weekend and went snowshoeing with them on the frozen lake behind their house.  Um, I don't know. It's just, there's something festive about just being out in the snow. Even, even what you were doing, shoveling. I mean, it's like just that kind of element of community that kind of everybody finally emerges from their house rather than huddling inside. Cause you, you kind of have to, and, uh, yeah, that's good fun. So yeah. And then we, we fired up the grill. Um, once again, that's no grill that you guys sent us and, uh, we put some big slabs of salmon on it and, and grilled over, over wood fire outside. It was, uh, pretty spectacular. It was a great meal last night. So yeah. Awesome. |
|Jason| That looked awesome on the, uh, on the Instagram. I'm glad you're getting some use of the, is it, it's like easy to use, easy to clean, that sort of stuff. Incredibly easy. Like super dirty cooking on it or anything like that. |
|James|Incredibly easy. The, uh, the great that, uh, we'll put a link in the show notes. I think we probably did last time too, but the grill that you actually lay on top, once you've got the fire going, it comes right off, obviously lifts off and then it fits right in the dishwasher. And so, you know, you throw that in the dishwasher, you dump the ash out the next day after it's, after it's cooled off.  And, and it just folds up on itself like, uh, like origami and slides into that nice canvas bag that it came with. I mean, it's literally a two, you know, two minutes set up and two minute teardown. So it's, uh, it's super, super friendly for, you know, for even bringing to somebody's house or, or taking for car camping or something. So yeah, I'm loving it. Very cool indeed. Yeah. And I noticed you have some new, uh, it's not technically a risk check, but you, you, you posted something from shoveling this, uh,|
|Jason| you know, those, those who've been listening to the show for a really long time, way back might remember that right around the early point of the show, like I, at the time I had a, an office day job where they didn't want your phone on your desk. It was like a thing and very childish in my opinion, but still I had that going. And, and so I still wanted to know if I had notifications and was missing a phone call or something like that. So I had found at the time this thing called a me band from a Chinese electronics company called chow me.  And I think it was at me band one or two, it was probably a two and I wore it for a long time. And then I left that job to become kind of full-time freelance and do the watch thing and the podcast and the rest of it. And I stopped wearing it because like I didn't need the notifications. I wasn't really at the time worried about my fitness tracking at all. I wasn't, you know, I was in Vancouver, I was running a lot. It didn't make any difference to have those metrics. So for the new year, I wanted to get kind of a little bit more in depth on keeping up with a certain amount of like, we talked about this in the last episode, working out enough, uh, for some functional fitness and some, some, the ability to, you know, maintain certain metrics for being able to adventure and hike and the rest of this. And then the sleep thing has become really nice. I really like to, uh, do the sleep tracking kind of understand how, what time I go to bed and what I eat and the rest of it might affect that, that sort of part of it. And so, you know, you can wear the garment a lot, but, but my thing is, is as much as I love the garment and it really is a perfect sort of tool watch for an activity.  most of the time I still want to wear like a mechanical watch. I want to wear a Seiko dive watch. I want to wear the Explorer. I want to wear the Braymont, whatever it is. Right. |
|Unknown|Yeah. |
|Jason|And so I do really like this idea of, of being able to essentially, um, you know, double wrist or, or, or whatever, but where the, the other option on my right wrist is just kind of a bracelet rather than a watch. |
|Unknown|Oh yeah. |
|Jason|Yeah. So it turns out, Xiaomi continued making this and they're now up to the sixth generation, the Mi Band 6.  and they're about 50 bucks American. You can buy them on Amazon. I bought mine, uh, through, I think Walmart in Canada, if that's helpful, Alibaba carries them should be between like 50 and $70. I think I paid 75 Canadians. So that's about 50 bucks, a little bit more. And it's this really small rectangular. So it's sort of tonneau shaped if you imagine on your wrist, but it's not very wide. And the current gen has like a full kind of borderless, AMOLED screens. You get a lot of color and it's very bright. You can read it in the sunlight. It has something like a two week battery life. If you don't have all of the health features kind of constantly tracking. And I find that I have it cranked way up with almost all the features on, and it still seems to get like five to six days before you even get a message that the battery could be charged. And because it's tiny, it charges in a few minutes. You can like take it off after a workout. And by the time you're done in your shower and dressed and everything, you've got another 70 or 80%. Wow.  And it doesn't weigh anything. And then basically you get the time, you get notifications from your phone, you get several different layers of heart rate measuring all the way up to essentially constant, like what you get on the, on the Garmin's and the Apple watches and such. This will do blood ox or the SPO2 stuff. It does sleep tracking. It does. It has a nice app. The MeFit app can integrate directly with Apple health. So if you want to use this as your endpoint for your Apple health, Um, you can basically say like, I want my heart rate from the, from the me band. I want the sleep data from the me band and it passes it on to that. Uh, obviously timers, uh, alarms, stopwatches, that's all fine. Tells you the weather. And then the thing that I like, and I still use the Garmin, but now I find that I'm double wristing with the Garmin on my left wrist when I'm working out and this on my right is it has little metric little, you can put it in like indoor cycling mode. And it's not so much that it has a lot of data, but it just tracks. So you can save the workout. |
|Unknown|Oh, sure. |
|Jason|Right. And so I'll still wear the Garmin. So I have cadence and, and, uh, you know, the, all the, the heart rate numbers are really standard. For some reason, I just kind of trust, uh, several hundred dollar Garmin versus a $50 little tracker. Maybe that's not accurate. Remember they're all using the same sensor. I don't know that the numbers seem very similar when I'm working out within one or two beats.  Um, on either side, which has to be within some range of, uh, you know, error. |
|Unknown|Yeah. |
|Jason|And I think this is something that not everybody wants, but a lot of people want the ability to have the fitness tracker and some of the smartwatch features, but not in place of your watch. |
|James|Yeah. I like that idea personally that I think that's, that's really cool. Can you, can you shut off the display so that it's just sort of this anonymous sort of subtle black band or you said it's very bright. |
|Jason|Well, the display is only on when you turn your wrist or tap the screen. Okay.  Um, so you could set it to tap only and that way it would only ever come on if you touched it. |
|Unknown|Yeah. Yeah. |
|Jason|And then, but you can even like, it's bright enough that there's a flashlight setting. So like you can click it and the whole screen goes white to, you know, help you see a little bit in the dark. Um, you know, you can buy it, but it just uses these, it's, it's like a, a pebble, like a sealed unit that has a channel around it for the strap to click into. |
|Unknown|Oh yeah. |
|Jason|But the strap wraps all the way around it. So it's this very simple piece of, um, silicon. And I bought like, 20 more straps, all different colors on Amazon for $12. So I've got, got it on like a Navy blue, um, got a handful of colors. I'm really impressed by it. I can, uh, my wife got one as well and you're able to like friend a person so you can see how much they're sleeping, how much they're working out. You can like nudge each other to, you know, kind of like say, Hey, you should probably do something or I don't, I'm not really sure what the nudging is for, but You can bother somebody with the nudge and... Get up. Yeah, I like... Yeah, exactly. You should say, hey, how about... But yeah, so far I'm just impressed. I like these sorts of things. I grew up with a fascination for little technical widgets. I like that it's not expensive and I really like that I can have the Braemount or whatever on the other wrist and wear this and kind of have the best of both worlds where I'm not missing notifications.  I'm getting my heart rate tracking and my sleep tracking, the step counts if you want it, um, all that kind of stuff. And then when you're ready for a workout, you can do it and put it in and then it goes into the apps and it kind of shares with a few different spots if you want it to. And for the money, I think it's a bit of a no brainer if you're a watch nerd that also would appreciate some smartwatch sort of stuff. |
|James|That's uh, that's enticing. I like that. I, I, I'd be very tempted to, to try one of these out because you know, my, my dilemma always is that when I set off to do any sort of thing, cycling, skiing, whatever I switch out or have in the past. I'll get to, get to this concept in a minute here, but, um, I've always switched out for the Garmin then switched back when I get home and the Garmin just wears like a watch, like a nice watch, but a smartwatch with a screen that I'm not as keen on wearing full time. So I like this idea for, especially for, for that little money. Um, that's pretty cool. |
|Jason|I like a nice screen. You know, I think that's maybe what was missing on some of the previous ones. Uh, I can't imagine.  wearing the smartwatch full time, right? Like we've talked about this a ton that like the Garmin stuff is like perfect for maybe a couple of days when you know you want your notifications or when you're doing a big activity of some sort that you want to track. And I feel like for all of the in between the slightly less serious side of fitness tracking, I think I'd lean on something like this, which the vibrates a little bit if you get a message and can kind of keep you on top of a, on top of your day.  and give you kind of a snapshot of where you are in terms of sleep and energy and stress and that kind of stuff. |
