
# The Grey NATO – 179 – Bond, James Bond
Published on Thu, 03 Feb 2022 07:00:25 -0500



## Synopsis
This is a discussion about the James Bond films spanning over 60 years and 25 movies. The hosts share their personal histories with discovering Bond, their favorite films and performances, the cars, watches, gadgets, villains, and overall impact of the franchise. They provide an in-depth review and critique of the latest film No Time to Die, including spoiler discussions about the major plot points and character arcs. They also speculate about the future of the Bond franchise after Daniel Craig's departure, including potential new actors to take over the role, continuing the legacy through books/TV shows, and evolving the series to be more modern and inclusive.

## Links
- [episode page](https://thegreynato.substack.com/p/179bond)
- [episode MP3](https://www.buzzsprout.com/2049759/11310939-the-grey-nato-179-bond-james-bond.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 179 and it's proudly brought to you by the newly formed TGN supporter crew and we thank you all for your continued support. Visit thegreynado.com and click on support to check it out. Without further ado, let's dive into episode 179. James, how's it going? |
|Jason Heaton| Yeah, not too bad. You know, it's a, it's another day here. It's still kind of cold. It's still super snowy, but it's February, but we've made, we've made it to February, which can be, I don't know, like, is that the worst month for weather for Minneapolis? |
|James|I think it's the month when I have the most winter fatigue. I've started to realize it. I like winter a lot, probably more than most people, but by this time I'm kind of already thinking ahead to, yeah.  And even though it's the shortest month, it always feels longer than the rest because I think you're anticipating March, which starts to feel like you're turning the corner. |
|Jason Heaton|You know, I'm not wild about winter. I think that's pretty clear on the record here. My interest kind of comes and goes and I'm sure if I devoted more time to like getting outside in it, I would enjoy it more. Yeah. But I find February to be the tough one for me. January, like from a mental standpoint is tough because it's the start of the new year, but it also feels like you slow down because of how, what the weather's like. |
|Unknown|Yeah. |
|Jason Heaton| But I often find February, especially like February in Ontario, is pretty gnarly. That's where you're going to get the coldest days, typically, but not always. Who knows? It could be a little bit different this year. We're staring down the barrel of another snowstorm that might start, you know, before this episode actually comes out. Yeah. But aside from weather, you know, I don't know if I left it in the cut from last week, but I was having a real doozy of a time getting a battery, a new battery for my Jeep. The one that was in it just couldn't handle you know, cranking at negative 20 Celsius, I think of 18, stuff like that, like around 10, negative 10, it would, it would work again. |
|Unknown|Yeah. |
|Jason Heaton|You know, I, I, I looked into battery options. I don't really, I'm very much trying to stick to, especially for 2022, like a buy once cry once philosophy, like I'm not cutting any corners on this stuff. And especially not when you've got to drive in the winter, uh, in the cold and the weather, all that kind of stuff. I hate to have a car not start when I was a long way from home. Oh yeah. So I wanted a proper battery and the one to buy as an Optima yellow top. This isn't an ad I paid full price for this expensive battery, etc. But that's the one that I like. They have never let me down. You can fully recharge them. They're good tech. And they're a little bit more expensive than a battery might cost at, say, Canadian Tire or whatever. But I bought it, and it said two-day shipping from everybody's favorite website. And I think it took 17 days to get here. Holy cow. Jeez. It rocked up in a box that clearly wasn't the one it was shipped in. It was just destroyed and covered in tape. It had been taped up and repaired.  Oh, wow. But for the last two weeks, I guess, if I knew I was going to use the Jeep the day before, I would go out and remove the battery, bring it inside to warm it up and then go back out in negative 15, reinstall the battery with a driver and the rest of it, and then drive away. And thankfully, I believe that phase of my life is over. |
|James|That sounds like the kind of hack I used to do in college. You know, I used to put like a big moving, I used to drape a big moving blanket over the engine I'd run it in the evening and then drape this blanket over the engine and shut the hood down on top of it. And then hope it would start the next morning when I had to get up to go to work. |
|Jason Heaton|I mean, it was like the stuff you do, you know, man, because the Jeep doesn't have a block heater and I looked into installing one and it's very complicated and takes time and effort and nothing I want to do in cold weather. Certainly. Yeah. Yeah. Uh, so I, I moved away from that idea as a, as a young, uh, also, uh, not necessarily wealthy kid. You can, you can hang out like a work light.  Sure. In your engine compartment near the battery. Oh yeah. That's kind of like a really bad, inefficient block heater. Yeah. But you know, the Jeep's a bit of a rat's nest when it comes to these things. There's not like a lot of space. I would hate to melt something in there. And uh, and so it was kind of between like, do I do the, get a battery tender so I could, I could kind of keep the battery charged in the Jeep, but have to run that outside. And finally I was like, look, I'm spending the better part of $500 on a new battery, which I thought I would have had immediately. And I didn't. So I just figured that the free route, of taking the battery inside and letting it warm up. I don't drive a ton. Yeah. Like there's no need for me to drive really. Uh, so this is, it was a little pain, but I thought people might get a kick out of it. Cause that is a very like 18 year old, your first car. Uh, it doesn't really start in the winter. So I just removed the battery every time I leave it makes it harder to steal too. I suppose. Right. |
|James|Or with a stick shift, park it on a Hill so you can bump start it. |
|Jason Heaton|Exactly. For sure. Yeah. Yeah, yeah, yeah, yeah. Yeah.  Unfortunately, no hills quite nearby, unless I wanted to use one of the many snow banks we're currently dealing with in the city here. You've been getting outside for more enjoyable experiences, yeah? |
|James|In 2021, Gushani and I bought a season pass for the local downhill ski area, and we did the same this year. And last year we were going, man, we'd go once or twice a week. And this year we went just for the first time last Thursday afternoon.  We played hooky from work and went out to the ski area. They opened at noon and it was great. There was hardly anyone on the Hill and we had some really good runs. The weather was great. Um, but I, I'm not sure what's different this year. I think, you know, last year for one thing, the ski area, which is actually owned by Vale resorts, uh, it's one of the kind of satellite, uh, ski areas and they did it on reservation. So if you were a season pass holder, you'd make a reservation for a specific day and then you were kind of assured that it would be not as packed with people because of COVID. Well, they've, they've taken away that, uh, that kind of layer of caution this year. And so now it's, it's a bit of a free for all. And we, we had driven out there on the weekend a couple of weeks ago, naively thinking we could, you know, just pull up and park and hop on the lift. And man, it was just, there was a line of cars out the, out the parking area. And so we turned around and came home and did something else, but But it felt good to get out, you know, the ski legs came back pretty quickly and we had a really great time and there weren't many people there. |
|Unknown|And then good. |
|James|Yeah. Other than that, it's been, you know, cross country skiing, which I've been doing a couple of days a week. And then we went for a really nice hike on, I guess it was Saturday this week. It was warm and kind of put our, uh, we've got those, uh, kind of yak tracks cleats on our hiking boots and just went out and tromped around a bit. So, yeah, I mean, you know, we were talking about winter and kind of fatigue and, and, you know, I'm just like fighting it as much as I can by trying to get out and do as much fun stuff as I can, you know, build outdoor fires and hike and, and, you know, tromp around the lakes and that sort of thing. So we'll see that hopefully that'll get us through, through the next few weeks. |
|Jason Heaton|Yeah. Well, in the spirit of it now being February, we have to start turning on some of the added benefits of those who are specifically supporting the show via our TGN supporter crew.  So those of you who've been waiting for a Q&A, here are your official directions and how it's going to work. Originally, I was just going to make special posts from Substack for the one Q&A episode a month and send those to people who are on the subscriber list. There was a specific request on the show notes from several shows ago to not split the feeds, essentially to offer two mirrored feeds. So the normal feed is how the podcast is delivered now, and it's done so via SoundCloud and People didn't want to have to be subscribed to both, which I understand. I guess it's, it's quite a bit more work to do it the way that we're going to do it. So I hope people do appreciate it. Um, but the way this is going to work for the Q and a is, uh, the, the, we're going to create an entire secondary podcast feed, which will be private. It'll be hosted by a sub via sub stack. And when you're a supporter or, or shortly, I'll be sending a message out to all of our current supporters and you'll get a feed, which is like a long website address.  And you can put that into the podcast app on your phone or your computer or whatever. If you use Pocket Casts or Apple or whatever you prefer, you can take that feed, put it into your system, and it'll pull the episodes. And basically, that private feed will have five episodes a month. So towards the end of every month, between, say, the 22nd and the end of the month, we're going to drop the monthly Q&A. They're going to be longer than they have been, especially the first one in February, because we're going to cover for January as well. We have a bunch of great questions.  But if you are a supporter or not, you can send a question in, but if you want to be able to hear the answer, uh, I suggest being a supporter, you'll get an email with instructions on how this will work. Uh, but basically you'll be able to sort of unsubscribe or remove the feed for the SoundCloud side and get this new one. Um, you'll get the same four emails for main episodes per month, and then those on the feed will also get the fifth email with the show notes and everything for the Q&A. If you're listening and you'd like to send in a question, please send it to thegraynadoatgmail.com. We're not replying to say we got it. Every question that comes in will be dealt with on the show. That's how the Q&A works. And it doesn't have to be just about watches or Land Rovers or Jeeps or whatever. It can be literally anything you'd like to pick our brains on. We're trying to make this more of like a community talk. Make the recording on your phone's voice memo app and then just email it to thegraynadoatgmail.com.  We then add it to a folder, and then we just start going through that folder when we sit down and record, which we're going to do in the next few days. If you're not subscribed and you're interested, visit thegreatnado.com. And for everyone who is subscribed, I hope that's clear enough. Basically, you'll have a new feed, which will have everything. You'll only have to deal with one feed, and then that's the feed for anyone on the supporter crew. |
|James|That make sense, Jason? I think so. I mean, I think, you know, I'm sure there'll be some teething issues and growing pains and a lot of questions, but that's what we're here for, and we want to make this as as easy on you guys as possible. And thanks again for all the support. And we hope this works out well and it's sustainable as we go forward. |
|Jason Heaton|Yeah. And then like we've said in the past, we're currently developing some ideas for continually expanding that content. I don't think we'll go to many more than five shows a month. There might be cool opportunities to do the occasional surprise show, which again would be in that private feed when I make it available. But I do think we're considering starting to do like written work or, or some video stuff. It just, just depends on opportunities in the future. So if you, if you start to get more emails from us, that's why we're looking to try and expand and make sure that, you know, the folks who are actively supporting the show feel like they're getting pretty good value. You know, I think we're essentially charging what a dollar to an episode. And Jason, I take that each get one of those dollars and we take it seriously. Yeah, true. |
