
# The Grey Nato - EP 18 - In Focus: Take Better Photos
Published on Tue, 27 Sep 2016 09:04:37 -0400



## Synopsis
The episode covers various aspects of photography, including camera gear, techniques, and recommendations for different genres like underwater photography. Jason and James discuss their respective camera setups - Jason being a Nikon user and James using Canon. They share tips on choosing the right camera and lenses based on one's needs and budget, emphasizing that the gear is less important than practice and understanding the fundamentals of photography. The discussion also touches on underwater photography, with Jason providing insights into his experience shooting with different housings and strobes. In the end, they stress that the best camera is the one you have with you, and learning to use it effectively is key.

James shares his excitement about acquiring a vintage Seiko World Time watch, and they mention a few other notable items like a book on adventure photography and a blog recommendation.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-18-in-focus-take-better)
- [episode MP3](https://www.buzzsprout.com/2049759/11311104-the-grey-nato-ep-18-in-focus-take-better-photos.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 18 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. |
|James Stacy|I'm Jason Heaton. And I'm James Stacy. Today's topic is photography. So cameras, lenses, underwater shooting, Instagram, GoPro, you name it. Jason and I are fairly avid photographers, but have actually come at this hobby slash profession from two different perspectives. One of us shoots Canon, one Nikon. I shoot mostly watches and cars, while Jason's cameras cover a wider range of subjects. I try and keep up with it from the Canon perspective, but I buy gear very slowly and I keep it for a very long time because I have kind of very specialized uses. So Jason, what's kind of your main kit and what sort of subjects do you typically photograph with that kit? |
|Jason Heaton|Well, as you mentioned, I'm sort of a, what they call a Nikon shop here. And to sort of preface all of this by saying I do a lot of the photography work that happens here is with, with my wife and kind of photography partner, Ghoshani, who, you know, if you followed me on Instagram, you see a lot of photos that she's taken of, of me diving or of watches that I'm reviewing for different publications. So Ghoshani is actually the primary shooter in our house. But I do, uh, take the occasional press trip or, or just, uh, go on various adventures and take a camera with me. But we're, we're kind of a Nikon house. I think, you know, when it comes to gear, people tend to come down on one side or the other when it comes to a specific brand, simply because, um, depending on the, the type of camera that you choose, you're kind of limited to a specific lens or mount for, for the cameras that you have. And once you start investing in lenses, you know, it adds up fairly quickly. And if you switch over from say Nikon to Sony or Nikon to Canon or vice versa, you end up kind of having to ditch or sell your entire collection of gear and then start over again. So we started down the Nikon path a few years ago, starting with like a D 70 S, which was an old crop sensor, probably a six megapixel camera at this point, uh, moved on to a D 7,000, which was a fairly good step up.  Again, a crop sensor camera. We bought an underwater housing for that and started our underwater shooting with that camera. And then we kind of made the big leap to a full frame camera. And we'll talk a little bit about, you know, the differences between crop sensor and full frame cameras in a minute here. But our current Quiver consists of kind of two, well actually three primary cameras. One is the Nikon D800, which is a, it's a bit of a monster. It's a full frame, 36 megapixel, full-frame camera SLR that Nikon made a few years ago they've now up to I think the D810 is the replacement for it. That camera is used primarily for kind of stuff where you need high resolution for cropping or for a lot of detail in photos because of the high megapixel count so we kind of limit that to studio or close-up shots of watches. The downfall of that camera or the kind of limitation of that camera is because of that sensor with all of those megapixels on it, it doesn't do very well in low light. So if we're doing anything sort of more quote-unquote photojournalistic where you're shooting, you know, in varying light conditions or where you can't always control your lighting, we have the D4S, which is Nikon's kind of flagship photojournalist camera. And that only has a, it's a 16 megapixel sensor in it.  But it does really well in low light, has a really high frame rate. I think it can shoot 11 frames per second. So that's kind of our go-to in the field camera. The third camera that we have is a Sony A7 Mark II, which just came out last year or earlier this year. And they made three versions of the A7. They made an A7R, which stands for resolution, which is, I believe that one's also 36 megapixels, or is that one even higher? I can't remember.  But then they also have the A7S, which stands for Sensitivity, which is their low-light camera. We just have kind of the middle-of-the-road A7 Mark II, which is kind of splits the difference. It does really well in various conditions. The advantage of that Sony is it's a super light camera. It's a mirrorless camera, so it's not an SLR like the Nikons, but it does allow you to interchange lenses. And Sony, even though they have kind of a limited quiver of lenses, the lenses that they have are really good.  And so we generally, we bought that camera specifically to use for underwater photography because it's a small form factor and you can get a really good Nauticam housing for it. So it's become kind of our go-to underwater camera. But then because you're traveling when you're diving, typically when you take it out of the housing, you can use it topside as well. And it's a really light, great portable, just sling it over the shoulder, hike with it, put it in a backpack kind of camera. So those are kind of our three go-to cameras. I also have an old Nikon DF, which I bought a few years ago because I'm kind of a, you know, if you haven't noticed from the show, I'm a bit of a Luddite. I kind of like my, my manual switches and, um, and dials and things. And the DF was a camera that Nikon came out with that sort of had the appearance of an old film camera, but yet it was a, it's a full frame, uh, SLR, uh, digital SLR. So I haven't used that camera much. I'm probably going to sell it. Um, So I don't really kind of include that in sort of our current quiver of cameras that we use. But it was it was fun to use. But if anyone's interested, get in touch. I'd love to love to part with that one. James, you're on the Canon side. I know you just kind of upgraded to the 5D earlier this year. I think it was right. |
|James Stacy|Yeah. So after after many, many years with a 7D, which is a crop sensor, I assume a lot of people who would be listening to a podcast about cameras know the difference between full frame and crop.  The practical difference is a crop sensor is a smaller sensor that essentially magnifies the focal distance of the lens. So for Canon, and I just don't know Nikon, I think Nikon's 0.4, for Canon it's 0.6. So a 100 millimeter EF lens on a full frame will be good for 160 on a crop sensor. It's not that interesting, really, and I'm not sure it even matters to the majority of shooters. And in fact, if you're mostly shooting watches, the crop sensor may actually get you essentially more zoom, gets you closer to your subject. But with a full frame, you get a larger sensor, which typically means better sensitivity and a higher resolution. And I had the opportunity recently to move from a 7D to a 5D, which takes you into kind of the Canon prosumer, entry-level professional models with the Mark III.  They just recently announced the Mark IV. I have kind of a general disdain for camera gear, unless you really believe that the new piece of kit will actually make your photos better. Like you found some describable, provable limitation. And that's where I had gotten with my 7D, but really only in terms of macro photography with watches and moving to the 5D freed up a greater, uh, depth of field, a more aggressive depth of field, I guess, and, uh, and the ability to shoot better video. So I do really like the 5D, but I don't think anybody listening needs to buy a 5D to make better watch photos or family photos or whatever. Typically the camera's just way less important than practice. Right.  If you want to see that idea put to use, check out a guy, I'm sure lots of you have heard of him, Chase Jarvis. He had originally written a book called, I think it was something like The Best Camera Is The One You Have With You or something similar to that a few years ago. And they do all sorts of work with varying cameras. He's a professional photographer and a really kind of dynamic personality, an interesting guy. But he can take a fantastic photo with an old cell phone.  It's about knowing how light operates. It's about knowing how to best use the gear that you have rather than expect the gear to make up for your lack of knowledge. |
|Jason Heaton|Yeah. I feel like, you know, just to kind of amplify that point about, you know, not kind of getting too crazy about gear. I do think that, you know, we live in a time when, you know, we're seeing a lot of these mirrorless cameras, really excellent point and shoot cameras that I know both of us have had experience with the Sony RX100, which is a perfect example of that aphorism of, you know, the best camera is the one you have with you. It's such a great camera to kind of just tuck in a pocket. You know, an iPhone especially, I think, I don't have it, but the iPhone 7 is supposed to have better low light capabilities. So it's really these things where as cameras advance, it's those features that you need to look for that, for instance, my iPhone 6, does not do well in low light. That's the only reason I would buy an iPhone 7, which I don't plan to do. It's simply because if I'm shooting somewhere and it's a little bit darker and I want to just kind of pull out something and take a photo at a dinner or something like that, that would be better. But like with cars, you know, sports cars, for instance, oftentimes the limitations are with the driver or in this case, the photographer, not with the gear. I mean, you'll never see the limits of, you know, a Porsche 911.  you know, GTS or something like that, as you would with, you know, you'll probably never explore the outer limits of, you know, a full frame Nikon D4S. I mean, it's just, it's too much. It's just too good of a camera. There are too many features. Um, so really kind of just focus on what are you shooting? What, what needs do you have and, and kind of let that drive what gear you get. |
|James Stacy|Yeah, definitely. I think I got a little sidetracked there. I get a little ranty when it comes to gear.  because I find that that's the most common question you'll get. You'll take a lovely photograph of something and people, oh, what, you must have a fantastic camera. And I mean, the truth is sometimes that photo came off of my Samsung Note 5. It takes a great photo if you give it enough light. Or my RX100. If I didn't shoot for, you know, a blog to watch or a nouveau mag, I would probably not have an SLR simply because the RX100 is like 80% of what you want from an SLR.  but fits in a coat pocket and charges over USB. And it's pretty fuss-free, takes great video. If you find that the camera you have now is limiting your ability to take photographs, then sure, find another camera. But otherwise, go on YouTube and learn how to best use your camera. You know, if you have an entry-level SLR or a mirrorless or even something like an RX100, learn how to shoot manual.  Right. And learn how to kind of judge a scene without needing the cameras, uh, you know, onboard exposure meter. But even if you just want to learn the basics, I mean, I remember kind of one of the first cameras where I really started to focus on photography was I had a Canon G7. Do you remember those? Kind of like a precursor. Those are great cameras. Yeah. Yeah. And, uh, that one had a dial that would control the aperture and a dial that would control the, um, shutter speed and what you could do is essentially rotate either dial and see the effect that it had on the screen. |
|[no speaker identified]|Yeah. |
|James Stacy|And it was like a cheat to learning how changing your aperture changes not only the amount of light the camera's getting but the way that it looks at the scene. Right. And how aggressively it has to focus as you feed it less and less light. |
|[no speaker identified]|Mm-hmm. |
