
# The Grey NATO – 180 – We Shouldn't Have Overlooked These Watches
Published on Thu, 10 Feb 2022 07:00:17 -0500



## Synopsis
The episode discusses overlooked watches from various brands that Jason and Brad feel deserve more attention. They share their picks for underrated or lesser-known models from brands like Omega, Rolex, Tudor, Oris, Sinn, Seiko, Citizen, and Bremont. The recommendations range from downsized versions of popular lines to unique complications or aesthetic variations that tend to fly under the radar. They also touch on Jason's upcoming ice diving trip, Brad's plans for winter camping, and Jason's progress on his next novel.

## Links
- [episode page](https://thegreynato.substack.com/p/180overlooked)
- [episode MP3](https://www.buzzsprout.com/2049759/11310938-the-grey-nato-180-we-shouldn-t-have-overlooked-these-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Brad| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 180. And it's proudly brought to you by the newly formed TGN supporter crew. We thank you all so much for your continued support. And if you're interested in supporting the show, please visit thegraynado.com for more details. Jason, how are we doing? |
|Jason|I am doing just fine.  This show comes around so quickly now. It's, uh, it feels like a bit like the Groundhog Day movie where it's, uh, you know, what I scramble to come up with something new to talk about and chit chat and, uh, look out the window at the weather. And here we go. |
|Brad|I'm not only am I very excited for summer, um, because it means more, more doing things, which also means more to talk about on the show. Like the idea that maybe in the next few months we'll return to some, some semblance of like normal travel ability. Yeah.  Yeah. Which I think will really start to open up the show. Uh, I worry you and I both worry that it can get a bit repetitive, you know, right. We talked about the weather a bit. We talked about the Washington wrist. We dig into a topic. We give you a couple of suggestions and you go and like repetitive is good. It's understandable. It's predictable. I think repetitive is pretty nice during this time in our lives where things seem unpredictable and out of control at times. Um, but I am excited to have kind of more to talk about. Yeah. I don't want to sell this episode short in any way, But I do want to start by just saying a huge thank you to everyone who checked out the Bond episode from last week. One of our best performing episodes, you all who put this as a suggestion, thank you so much. Those sweet of you, you made our jobs easier and more productive. So I just wanted to throw that out there that we're really still looking over that big list of comments and we're going to keep mining those options for more interesting shows that give us a little more flexibility. I thought the Bond episode would do fine and it ended up doing like fine plus plus.  So thank you very much for listening. And if you haven't gotten to it and obviously if you didn't get to it because of spoilers, that's, that makes a lot of sense. But if you haven't gotten to it yet, it's worth a listen and we had a really good time with it. |
|Jason|Yeah, that was a, that was a lot of fun. And speaking of listener suggestions, today's episode also came from that same listing. I think somebody, somebody mentioned doing an episode on ugly duckling watches and we didn't, we're not going to call this one that, but it's kind of along the same theme and we'll get to that in a little bit. But, Before we do that, what's new on your end of things? |
|Brad|Well, speaking of having something to do and being tired of winter, my wife and I have decided we're just going to lean into it, stop being hermits for a certain extent. And a friend of ours is very into camping year round, but has a whole winter setup and kind of offered to show us the ropes of camping in like legit winter in Ontario. I've done some winter camping, which is a little bit closer to three season camping out west.  uh, where, where I was in Vancouver never really got quite that cold. So you didn't have to go quite as deep into the gear. Uh, but yeah, so we're, we're going to do some camping in the next couple of weeks, which I'm pretty excited about. And, and I, that meant some gear and it feels so weird to be buying gear for something like outdoor travel, that sort of thing, just cause it's been so long since I've bought any, or even had a chance to really use a lot. Like when we camp at the cottage, it's just like car camping stuff, pretty entry level, simple gear. Right.  As it turns out, there's a bit of a shortage on some of this stuff. It can be really hard to buy. So it took some time, but I was finally able to score two Therm-a-Rest Neo Air X Therm Maxes. We're keeping with that theme of buy once, cry once. This is, I think, the best performing sleeping pad in the world from what I can read anyways. I still don't understand how a bag that packs down to be about the size of a Nalgene bottle has an R-value of 6.7.  This feels insane to me, but it should be very warm. They get great reviews. You can't find anyone who's seems to be really let down by one. And then, uh, we, I also went with a pair of, uh, mountain hardware, uh, zero F. So what's that? Negative 18 C bags. That should do. Yeah. Yeah. Yeah. And we'll, uh, you know, supplement that with, um, the right pair of socks. And I always like to sleep with a toque when I'm in a tent. So we'll do that. That's a beanie for all of you that aren't from where I'm from. |
|Jason| Oh, that'll be, that'll be a blast. So are you, uh, are you going to borrow the tent from, from the friend or do you can use your own tent or? |
|Brad|So friend has a tent, like a little bit like a mini yurt sort of thing that has a stove. Oh, there you go. You can't all sleep in there. There's not quite that much room. He's very partial to sleeping, not in the hot tent. He says it can literally be too hot. Um, so we'll have the option of either using that or I'll probably just bring your, the tent that you gave me years ago. Cause that's meant for camping in the snow. Oh, the Alps, right? Was it the Alps?  Yeah. It's an Alps mountaineering ghost. That doesn't sound right. I'll have to go back in the show notes. The last time we talked about it and I'll find it, but it's a little, they don't make it anymore. It's a, it's a, I would almost call it a one and a half man. Cause it, it, it pinches at the feet. Yeah. So you over, you'll have to overlap things like sleeping pads. Yeah. But it's a fully staked low profile tent that's designed for a glacier use. So that should be fine.  And I mean, the last couple of days it's been like around freezing, so I don't actually know how cold it'll end up being. This might end up being overkill, but that's okay for sure. You can use the sleeping pads I can use year round. You buy something that good, you can use it all the time. And then the mountain hardware bags, I didn't go with down bags, because I'm not that worried about packability. I went with a synthetic bag, which is gonna work better if I don't care for it correctly, keep it dry, that sort of thing. So that should be good.  And then, yeah, the only other thing on the horizon, I might get my way into some snowshoes, but I think maybe rent to start, just because I don't know how much snow there'll be by the time we go out in the next couple of weeks. |
|Jason|Yeah, and I suspect that if you did decide to buy, you could probably get fairly cheap on what your version, Kijiji or Craigslist or something, because, you know, it's that kind of gear that people buy and then they, you know, it's almost like a treadmill, you know, people use them for a couple of years or don't use them and then they're like, eh, just sell these things. |
|Brad|So who knows?  I think it slots into the same thing where like, you know, over the course of the pandemic, the last couple of years during nice seasons, it's been hard to buy a bike during cold seasons. It's hard to buy like winter outdoor, you know, cross country or skiing or the rest of it. So I think, I think the supplies maybe aren't as aren't as good as they, they might be otherwise in terms of the secondhand, but yeah, I'd love to buy just a couple of pairs of those. I've used the MSR ones, you know, they have crampons on the front and they have the, the heel bar for going uphill.  If I could just get a pair of those, like X rental, I don't care what shape they're in. They should last forever. MSR makes incredible stuff. So I don't know where we'll land on the snowshoes. It might end up being kind of a game day decision to decide, you know, if there'll be enough snow or if we need them where we're going. Yeah. Yeah. Oh, that's exciting. That's cool. Yeah. No, I'm, I'm pumped for it. It'll be nice to kind of get away. We haven't had a vacation in a little while and we kind of looked at the cost of the sleeping pads and the bags. It's like, well, this is what a, hotel for several days would cost in the end. And we'll keep getting value out of these. We'll use the pads all summer. And with two little kids that are growing up, having extra sleeping bags is really not a stressor for me. There's no option where you just spend $2,000 and you have a bag that works all the time. Like summers are real hot here. A sleeping bag is almost out of the order. And then winter gets really cold. So you kind of have to accept that you'll have, two or three bags depending on what you're using and how big their pack is and whether you're going out of the car or not and that kind of thing. So, but yeah, I'm pumped for it. It'll be something to talk about, you know, once we've done it and report back on this gear and you know, if I learned anything really exceptional about winter camping. |
