
# The Grey NATO – 181 – Jason Under The Ice
Published on Thu, 17 Feb 2022 07:00:04 -0500



## Synopsis
The podcast discusses Jason's recent experience with ice diving, a unique and adventurous form of diving where you go underwater through a hole cut in a frozen lake. He shares the gear preparation required, such as wearing a dry suit, using cold water rated regulators, and the challenges of achieving proper buoyancy with the added layers and camera equipment. The dive itself is tethered to a rope system for safety, and Jason describes the otherworldly experience of swimming beneath the ice ceiling, observing the bubbles and filtered sunlight. James and Jason also talk about new watches they recently acquired, including the Tornek Rayville TR-660 dive watch and the Aera D1 Diver, discussing their design, specifications, and brand backstories.

## Links
- [episode page](https://thegreynato.substack.com/p/181jasoncold)
- [episode MP3](https://www.buzzsprout.com/2049759/11310937-the-grey-nato-181-jason-under-the-ice.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 181, and it's proudly brought to you by our recently formed TGN supporter crew. And we thank you all so much for your continued support of the show. And for those of you that are unaware of what that means, uh, or, and you would like to Find a way to support the show, please visit thegranado.com for more details. There's a link for support. There's a link for notes. There's a link for the feed. So check it out. James, how's it going? We're halfway through the longest, shortest month of the year. Yeah. |
|James|February does drag in a special way, doesn't it? It's been, it's been a real mixed bag for weather here. Lovely days, but the weather, the temperatures all over the map and I'm still in the, now the fine, by the time you're listening to this, I'll be, I'll, I'll be, at the stage just before I start putting stuff in the Jeep to drive up north for some winter camping. And at this point, I don't really know if it's gonna be three or four degrees and everything we bought is overkill, which is fine. Who cares? It's not like you buy it for one outing. Or if it's gonna be a cold snap, it's supposed to start snowing to about two days before and apparently will continue to snow. The interesting thing is where my cottage is typically there's a, uh, the, the highest elevation is nearby and it seems to split a lot of weather. Huh? Um, so we, we do it a lot where, um, you know, throughout the whole summer, we joke that every Sunday it rains. Uh, and the truth is, is every Sunday it rains somewhere nearby and it's very commonly not right on the property. You can watch the rain across the lake. Sometimes you can, you drive into town and it's raining in town. Um, but there's something to do with the way that the kind of this nearby highest point in the area breaks up some of the weather. So having not spent a ton of time in the winter out that way, I don't really know what to expect. I'm hoping it's cold enough to be like a proper winter outing. Yeah, yeah. But it's also one of the things where you can take it as it goes. If it's not really what we expected, there's nice breweries not that far away. We're doing this kind of on the property to make it a little bit less complicated than dragging a sled through a provincial park or something into the back country.  I'm looking forward to that. We've got the new sleeping bags, the pads, maybe doing an Eddie Bauer run for some lined pants in the next day or two. But other than that, it's all, it's all pretty straightforward. I mean, it's just winter stuff. So, uh, and, and most of the camping gears already, I left most of it at the cottage anyway. So the stoves and the tents and the rest are already up there. |
|Jason Heaton|Well, it sounds perfect. I mean, I think even if it's not bitterly cold, um, which I think could be very unpleasant, uh, for, for stuff, you know, sleeping is, is one thing, but then there's all that time.  setting up and, and, you know, building a fire and cooking when it's like, if it's really cold and your fingers are numb and whatever, I mean, there's a lot of time when you're just kind of sitting around outside. And I think even if it's near, you know, zero or 32, whichever scale you're looking at, it's, uh, that's, that's plenty cold. If you're just kind of hanging out, you know, not moving around that much. |
|James|So, yeah, I hope it's good. I wouldn't mind it if it was, you know, comfortably warm during the day and then and then got cold enough to make the actual camping experience feel different than sleeping at home or whatever. Yeah, right. And I think that's probably what we'll end up with. I don't expect it to be like negative 25. Yeah. And, you know, debilitating. And I don't really expect it to be like, you know, five Celsius or something. So that should be fine. |
|Jason Heaton|I hope it snows while you're sleeping, though. That would be that would be so cool to wake up and kind of, you know, the cliche of, you know, knocking the snow off the tent and unzipping to like a fresh blanket of snow. That would be really cool. |
|James| And especially because we've had the, the warm cold cycle here. So the snow sucks. It's frosty, you know, crust snow, very February. And so it would be nice if we got a nice blanket, especially up North. I don't care. Be like poor Toronto. Give it, give us a break with everything else that's going on for transportation in the city, but you know, dump a bit up North and then we can set up on softer snow rather than the harder stuff and the rest of it. |
|Jason Heaton|Right. Yeah.  Oh, I can't wait to see photos and hear all about that. Yeah. |
|James|Yeah. It should be good. I'll certainly take a camera with me and hopefully enjoy some time by the fire and whiskey warmth and the rest of it. How about you? How have you been? You had a solid weekend, which is going to be the kind of main topic, but what else have you been up to? |
|Jason Heaton|Yeah. So as of yesterday, I ended my one watch one month experiment that I've been talking about in the past few episodes.  uh, where I was wearing my, my white dialed Omega Seamaster since mid January. And, you know, I started it almost because of that sort of exchange we had on an episode when I said, Oh, you know, this watch could almost be my one watch and maybe I'll just wear it for a month. And you said, Oh, that'd be make for a great article. And sure enough, it did. And then I've just been trying to wear it. I'll did wear it for, you know, 24 seven doing everything, you know, rowing, running, skiing, ultimately diving, which we'll talk about. But, Yeah, it was, it was a, it was a good exercise. I, I'm back to switching. I put a different watch on yesterday. I've got a different one on today and I could have gone on longer. It was, it almost got to the point where it was kind of nice not to even think about and I wasn't bored with it at all. And I can see putting it back on, you know, really soon and just kind of keep keeping on with it because it's, it's a very comfortable watch. And I think on the rubber strap, which is how I wore it, uh, it was, it was versatile enough for, for really active, endeavors. And then we've, we've got some extended travel coming up here in a couple of months, uh, where I won't want to be packing multiple watches along and that probably will just be my, my go-to for that. So we'll see. But yeah, that was kind of the, kind of the big news, I guess, watch news on my end and then not, uh, notwithstanding the, the watch that, that arrived recently that I've, I've got on today that I'll talk about in a bit here, but yeah, one month, one watch. And I think it inspired a few other people to try it as well. So If you feel so inclined, give it a go. It's a good exercise. |
