
# The Grey NATO – 183 – TGN Book Club 2
Published on Thu, 03 Mar 2022 07:00:10 -0500



## Synopsis
This podcast is a conversation between James and Jason about books. Jason is encouraging people to read a certain book called "Stories of Your Life" that is also being adapted to a film. James wants to know if listeners are interested in reading the book together. The episode also includes recommendations on other books to read and a discussion of how reading can provide an escape during difficult times.

## Links
- [episode page](https://thegreynato.substack.com/p/183bookclub2)
- [episode MP3](https://www.buzzsprout.com/2049759/11310935-the-grey-nato-183-tgn-book-club-2.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 183 and it's proudly brought to you by our recently formed TGN supporter crew, Going Strong. We get new supporters every day and we thank you all so much for your continued support. And those of you out there that would like to support the show that aren't already, please do visit the gray, nato.com for more details. James, uh, how, how are we doing up there in the snowy, maybe Toronto or is it warm now? |
|James|It's a, it's warmer today, but it's been pretty snowy. We're, we're kind of in that middle where it's like, there's a, you know, there's piles of six feet of snow everywhere, but I can see grass as well. Yeah. |
|Unknown|Yeah. |
|James|We're recording this March 1st. Uh, it, you know, it's, it's a weird time to talk to feel like talking about anything. Yeah.  the last week since we recorded the last episode, obviously the crisis in Ukraine has kicked off. |
|Jason|Yeah. It's been very, very preoccupying. I just don't quite know how to approach it. Um, you know, personally it's just, uh, I've been sort of glued to news feeds and not terribly interested or enthralled with, uh, with social media feeds, which is, uh, you know, for better or for worse, it feels a little bit, um, discordant to, to kind of scroll and look at watch photos or post watch photos. Um, on the other hand, life goes on for people and you have to kind of find little bits of joy in everyday life. But boy, it's difficult these days. I mean, it's been, it's been pretty depressing to, to see what's going on and very, very sad. |
|James|So, um, we don't, you know, we don't often discuss world affairs or politics. That's not the purpose of this show. And Jason and I learned a lot in the past when we have to be kind of delicate to the idea that this show does maintain itself as entertainment legitimately. And if you want commentary, look, you can get it from every other corner of the world, but we want to make it clear that, you know, we, obviously stand with Ukraine. And we're just really hoping that the end result is a descaling of aggression and some, you know, support on every side to make sure that disenfranchised parties are protected as much as possible. |
|Jason|Yeah. I mean, like you said, I mean, just since we recorded last, I mean, certainly we saw it escalating for weeks before that, but just the scale of the destruction and some of the images coming out of that are are just horrifying to watch. And I think it leads to a sense of, of, uh, helplessness and frustration on this end, because for one thing we're, we're, we're very far from it, um, you know, geographically, but, but also it's, I want to do more for the people of Ukraine and kind of to raise awareness and, and possibly contribute in some way to, to what's happening. But you probably hear that, that we're being sort of raw and unfiltered in this early part of the show, because I think neither of us are really quite clear on how to approach this other than just to kind of air our feelings about it. |
|James|It feels, um, deeply complicated. It feels almost impossible to, to get an impression of the whole picture, right? Yeah. No, no one wants war or at least no, no one rational wants war. And, uh, you know, the, our, our only real suggestion is if you have the ability to support the red cross or any, any sort of direct funding, uh, we, that, that's kind of what we think is, is the, best outcome if you're looking for any sort of advice. But yeah, donate to the Red Cross. Oak and Oscar is running an auction. So this comes out Thursday, March 3rd. And their auction is for a one-of-one version of their watch with a blue and yellow strap combination. 100% of the proceeds are going to the Red Cross. And currently they're doing the auction through Instagram, which I think is a great format. And they came up with this really quickly. It's a great looking watch and an awesome way to I kind of support the space and access, you know, some of the wealth that sits within this hobby, right? Yeah. |
|Unknown|Yeah. |
|James|And that'll run until tomorrow. So if you're listening the day, this comes out or Friday the fourth, I believe it runs until 5 p.m. CST. And if you're Canadian and you donate to the Red Cross, our government will double your money up to a hundred grand. I don't know who's, if you have the ability to give a hundred grand kudos, but give it, give what I would consider a normal sum of some you're capable of and you get to double your money so that I think that's a, pretty a way to have an impact certainly beyond what governments are already doing. |
