
# The Grey NATO – 185 – The TGN Auction For Ukraine And The Latest From Bremont
Published on Thu, 17 Mar 2022 06:59:07 -0400



## Synopsis
This episode of The Grey NATO podcast covers a variety of topics related to travel, diving, driving gear, and watches. They discuss the upcoming TGN auction to benefit humanitarian efforts in Ukraine with items donated by brands and listeners. They talk about the excitement of the Endurance shipwreck being discovered and the history behind it. The hosts also review new watch releases from Bremont including the Williams racing chronograph, jet black series watches, and limited edition tributes. Final notes cover recommendations for stories about "backyard adventuring" and the art of falconry.

## Links
- [episode page](https://thegreynato.substack.com/p/185ukraine)
- [episode MP3](https://www.buzzsprout.com/2049759/11310933-the-grey-nato-185-the-tgn-auction-for-ukraine-and-the-latest-from-bremont.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 185, and it's proudly brought to you by the recently formed TGN supporter crew. We thank you all so much for your continued support of the show. And if you'd like to support the show, please visit thegraynado.com for more details. |
|Jason Heaton| Jason, how are we doing? I'm doing great. Yeah, it's warming up. We had some big fluffy snowflakes yesterday, but the forecast shows nothing but spring weather coming up and I'm very, very pleased to see that. |
|James Stacey|I'm hoping for the same. They're saying that later in the week here in Toronto, by the time this comes out, we'll actually be seeing double digits as far as Celsius goes. And I do hope that's the case. Right now, it's snowing pretty good. |
|Jason Heaton|It's the swan song of winter. Let's call it that. |
|James Stacey|Yeah.  We're getting, we're getting a little slice of it, but yeah, I'm hoping, I'm hoping for a warmer weekend and, uh, and that sort of stuff. So it'd be exciting if it, if it came to, uh, came to be. |
|Jason Heaton|Yeah, I got, um, you know, a few episodes back, I talked about these ice bug cleat, uh, running shoes that I got that I was running in and over the winter. And, um, I, I recently got some warm weather running shoes as well, um, which I have yet to try. I might try them today.  And they are, I shouldn't say Swiss made, they are Swiss designed. It's these, this brand On, O-N. I think Roger Federer was an investor, early investor in the company and he wears them for tennis, but they've become quite, quite popular. I've gotten great reviews and, uh, yeah, I'm excited to give them a, give them a try. They, they look sharp and they're, um, they're nice and cushy and yeah, so that'll be my, my dry pavement, uh, set of shoes for, for the coming season here. So I'm excited. |
|James Stacey| That's great. Yeah. No, it's, uh, it's fantastic. I'm, uh, I'm just, just starting to look into running and getting my, my, uh, road bike kind of tuned up. Um, it needs a new set of tires and some other work done. Uh, but it's, it's nice to be kind of planning these things, right? |
|Unknown|It sure is. |
|Jason Heaton|Yeah. I, I took the wax off my skis and I, uh, I aired up the bike tires and lubed the chain on Gashanis and my bikes. And so we're, it's, uh, it's that time, put the sweaters and moth balls and, and move forward. So excited. You know, it's funny, you mentioned the, the supporter crew, like we always do at the beginning. And now we're what mid-March and we've had, uh, we launched our kind of supporter crew campaign in mid November. It's already been four months. It's amazing. We've, we've built such a big, big community. I just, it just occurred to me, as you said, uh, the recently formed and it's, uh, it's been a while now and it's fantastic. It's great. It's going so well. |
