
# The Grey NATO – 186 – Marshall Sutcliffe Of 'Wristwatch Revival'
Published on Thu, 24 Mar 2022 06:58:00 -0400



## Synopsis
Marshall Sutcliffe is the host of the popular YouTube channel Wristwatch Revival, where he films himself restoring old watches. He got into watchmaking several years ago after previously working in video production and wanting a more hands-on hobby. Marshall discusses how he taught himself watchmaking through online courses and learning from other enthusiasts. He shares insights into his process for filming the restorations, the tools and equipment he uses, and the types of watches he enjoys working on. Marshall also talks about potentially expanding into more complicated watch movements like chronographs in the future as his skills progress.
Jason and James ask Marshall about his background, his passion for watchmaking, and the production aspects of his YouTube videos. They explore why Marshall prefers restoring vintage watches rather than modern ones, and how he finds interesting old timepieces to work on. Marshall explains that while watchmaking is a challenging craft to learn, there are good resources available for amateurs who want to try their hand at simple repairs and restorations. Overall, it's an engaging discussion about Marshall's unique hobby and creative online video series.

## Links
- [episode page](https://thegreynato.substack.com/p/wristwatchrevival)
- [episode MP3](https://www.buzzsprout.com/2049759/11310932-the-grey-nato-186-marshall-sutcliffe-of-wristwatch-revival.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 186 and it's proudly brought to you by the recently formed TGN supporter crew. We thank you all so much for your continued support and if you're out there and are not sure what that means or if you'd like to join, please do visit thegraynado.com for more details.  James, uh, last, uh, recording here before we jet off for different parts of the world, different parts of the world. Yeah. How are you doing? |
|James|I'm okay. I'm okay. Yeah. You know, the warm weather's back. Um, you know, we, we had some like legitimately warm days recently. I was outside cleaning my Jeep, which really needed it, especially the interior is full of French fries and spilled coffee and things like that. So that was nice. Salty footwells. Yes. Yeah. All of that kind of stuff for sure. Uh, I couldn't quite figure out all the salt. I need an even better vacuum. Yeah.  But yeah, I mean the, I guess the big update is this is a, when we're recording this, there's about 36 hours left in the TGN auction for Ukraine and it's at $11,500. And I kind of like that's so much money. I can't even figure it out. You know what I mean? |
|Jason Heaton|I know, I know. It, it, it shot up very quickly. Yeah. Last week when we announced it and we were just like excitedly writing to each other back and forth, it's up to this, it's up to this. And then, and then it kind of leveled off at 11 five and it's been there for a while. I mean, exceeded any expectation I had for sure. |
|James|Absolutely. I mean, yeah, we, we will, we'll wait obviously until it's finished and, uh, and let the, um, the winner decide how much publicity they want. If they want to come on the show and talk about it, all of that is on the table or none of it. Yeah. Whatever makes them most comfortable. Yeah. I mean, I'm like, uh, I'm a little bit lost for words. It's so much money and I'm so happy about it. Yeah. And, uh, I couldn't, I couldn't be more thrilled by not only the bidders that ponied up the bids. And then of course, whatever the high bid ends up being, like you said, it's currently sitting at 11.5. And a huge thank you to everyone who shared the post, who commented about it, who put it on their Instagram and the rest of it. It made a big difference. And I want to say that, like, this isn't something that Jason and I feel like we did. It's something that is, you know, essentially tied to the high bidder and to all of these great companies that stepped up to kind of support this project. You can see the list on Instagram of everyone who decided to offer something up, including some personal listeners and bigger companies, Hodinkee and Braemont and Super Alpine. And it was just really, really incredible. And we're going to do a bigger download about all of those brands and the rest of it once we have the final results. So that'll be in the coming weeks and possibly when we have the high bidder on. I think that would be another good time to make sure we highlighted this.  It's a real team effort, and I couldn't be happier with how it's gone. So we wanted to at least highlight that. Maybe it'll be a little higher, but by the time this episode comes out, the auction will be over, and we'll be moving on to making sure the high bidder gets all the goodies, and we'll see if they want to come on an episode sometime in the near future. |
|Jason Heaton|Yeah, definitely. In fact, just before we started recording here on a Tuesday, the last of the auction goods arrived. They got a box from the Houdinki shop with that Lovely Benruth type one dive watch and a bun strap and a watch roll. Nice. Yeah. And, and, you know, cantonment a little kerchief kit arrived yesterday and we've got the Bramont folly clock and, and Colson keen leather journal. It's, it's all sitting here in a box right next to me. And I'm so excited to get that packed up and shipped off to whoever won this. So yeah, thanks again to everybody who not only bid and helped spread the word, but also especially to those brands that, that really pitched in for this. So super, super encouraging.  Yeah. So, you know, it's funny, we're, we're recording this and it'll go live just, um, I don't know, a few hours after, after the winner is finally kind of determined. So we, we can't really, you know, name the winner or the final result, but we'll, we'll definitely do that in the coming weeks. So super exciting. But in the meantime, we've got, uh, we've got an exciting episode today and then you and I are taking a week off to, uh, to jet off. Um, as I mentioned at the top here, you're going, you're off to Geneva on Sunday, right? |
|James|Monday. I leave on Monday. |
|Jason Heaton|Monday. |
|James|Yeah. |
|Jason Heaton|Yeah. Exciting. That's watches and wonders. |
