
# The Grey NATO – 187 – Watches & Wonders 2022
Published on Thu, 07 Apr 2022 06:42:54 -0400



## Synopsis
The podcast discusses the recent Watches and Wonders event in Geneva, where new watch releases from various brands were showcased. Jason, who attended the event, shares his hands-on experiences and impressions of some of the standout pieces, including the Tudor Black Bay Pro, Doxa's white pearl carbon watches with lume dials, and the Oris Pro Pilot X. James, who was in Sri Lanka during the event, offers his thoughts on the releases from afar. They also touch on other notable unveilings from brands like Grand Seiko, IWC, Rolex, and Patek Philippe, among others.

## Links
- [episode page](https://thegreynato.substack.com/p/ww2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11310931-the-grey-nato-187-watches-wonders-2022.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Graynado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 187 and it's proudly brought to you by the recently formed TGN supporter crew. We thank you all so much for your continued support and if you haven't signed up for that and you'd like to support the show, please visit thegraynado.com for more details.  James, we're on opposite sides of the world and we've both come back from, or at least you came back from a trip abroad and I'm still abroad. So how's it going over there in Toronto? |
|Jason Heaton|Uh, you know, things are fine. I've, I've, uh, kind of, I'm in the middle phase of losing my voice. Um, it kind of, it turns out I haven't spoke this much in a long time. |
|Unknown|Yeah. |
|Jason Heaton|It was a lot of, um, you know, 18 hour days of, of talking and yelling over loud music and the evenings and all that kind of stuff in Geneva.  It was a great trip with the Houdinki team. We got a lot of work done and saw some great watches, which is, you know, a big part of what we'll chat about today. But I promise I might be a little on the tired side and a little on the froggy side as far as my voice goes, but I hope it just adds some gravitas to the ceremony today. How are you doing? You've had an interesting 24 hours? |
|James Stacey|Yeah, yeah. |
|Jason Heaton|I mean, it's been kind of an interesting week for you at this point. |
|James Stacey| Yeah. Yeah. I mean, I, I, I'm in Sri Lanka. Uh, people don't know from, from our last discussion, but, uh, you know, it's funny, we're operating at about, um, I think about 11 and a half hours difference. So for me, it's, uh, what time is it here? It's a little after 5.00 PM and you're operating at a little after like 7.30 AM. So it's, uh, yeah, this is a pretty early for me. Yeah. Right. Yeah. I'm, I'm still fighting some jet lag, so I'm sleepy. You're probably sleepy cause you're just waking up, but, uh, Yeah, we landed here last Friday in the wee hours and we landed in the middle of a curfew because the government, uh, the government I believe is on its way out. The current government here in Sri Lanka, it's been in the news if anybody's been following, but, uh, there's been some mismanagement of the economy and fuel shortages and power cuts and, uh, and the, the public is quite upset. So there've been a lot of street protests which have resulted in, curfews. We had a full curfew over the weekend, so kind of locked down in the apartment here that we're renting, and it's made for some interesting, interesting experiences here. We had a social media blackout, and then, and then with, you know, the power cuts and the fuel shortages, it's just been, it's just been wild, and I feel like I'm kind of witnessing history here. I mean, as we're here, I've only been here, you know, four or five days, and it's been, It's been just nutty. And then to top that off today, today I was out for a very early morning bit of exercise. Uh, there's a kind of a rice paddy field with a jogging path around it. And I was out, um, uh, walking this morning and I got bitten by, by one of the stray dogs that, that is around goodness sakes, which, which pretty put a pretty deep puncture wound in my leg. And I had to go to the hospital and, get a bunch of serum shots in my leg and then a rabies vaccine. And so that I spent most of the day there kind of getting things sorted. Everything takes a little bit longer here. So, you know, day five, I mean, I, I, it's been crazy. I mean, we've got like government overthrow and street protests and power cuts and now a rabies vaccine. So, you know, I don't know what tomorrow brings. I'm, I'm here for a whole month. So yeah, you know, we'll see. |
|Jason Heaton| But, uh, I assumed it wasn't like insanely serious cause you didn't text me about it. Like I just, I was on your, I was just checking in on your Instagram and I see, you know, a bloody leg and I thought, well, that looks like a bite. |
|Unknown|Yeah. |
|Jason Heaton|And then the next picture is this giant lizard, a huge monitor. And I was like, did you get attacked by a frigging Godzilla? I guess a dog's not necessarily much better than, uh, than, than, uh, the, than the monitor. I may be a little bit less jarring. I don't know. |
|James Stacey|Yeah. And it's, it's, it's, there's no way to really tell if the dog, has rabies. So it's funny, you know, while I was at the hospital, they were asking me, could you identify the dog again if you saw it? And if, if you could, can we monitor the dog's behavior to see? And I was like, how am I going to locate this stray dog and then try to figure out if it has rabies and, and then had signs on the wall in the, in the room at the hospital that said, please monitor the dog for 14 days. And if it dies during that time, take its head to an MRI unit.  and then bring the resulting scans here so we can determine whether or not indeed it was rabid. I mean, just kind of, kind of a weird experience overall, but yeah, the monitor lizard was, I found that. So my, my leg was kind of pouring blood and I was walking back to the apartment here, getting ready to go to the hospital. And, uh, and I come across this like seven foot long lizard across the sidewalk. And, uh, and I took a picture of it and I posted it on Instagram stories. And then that was right after my, bloody leg picture and I got a flurry of direct messages from people saying, did you get bit by that dragon? I had to quickly clarify like, nope, nope, nope. It was a dog. I mean, which isn't much better, but, uh, no, yeah, that was crazy. I love seeing these monitor lizards. They're just one of my favorite animals around here. They've got the forked tongue and they're, they're just so prehistoric looking. So it's been, uh, for sure. Yeah. It's been, it's been crazy. |
