
# The Grey NATO – 189 – Cole Pennington III
Published on Thu, 21 Apr 2022 06:54:06 -0400



## Synopsis
In this episode, James and Cole discuss a variety of watch-related topics. They talk about the fire that severely damaged the Roald Dorf shop in Vancouver and efforts to allow the owners to retrieve any remaining stock or equipment. Cole shares his experience attending the recent Watches & Wonders show in Geneva and some of the watches that stood out, like the new Oris ProPilot X and the Aquastar Deepstar. They also discuss the challenges of writing about watch pricing and value propositions for different audiences. Towards the end, Cole provides insight into how he pitched and produced the new Watches in the Wild video series for Hodinkee showcasing watch culture and enthusiasm in unexpected places around the world.

## Links
- [episode page](https://thegreynato.substack.com/p/cpiii)
- [episode MP3](https://www.buzzsprout.com/2049759/11310929-the-grey-nato-189-cole-pennington-iii.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello, and welcome to another episode of The Great NATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches this episode 189. And it's proudly brought to you by the recently formed TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegreatnado.com for more details.  For those of you who have a calendar and are paying attention, Jason is still in Sri Lanka. This is one of the weeks where he's off, which means we have a special treat. And that's my pal and a former, several time former guests on the show. Cole Pennington is on. So this is Cole Pennington three. You're the only one to three Pete on TGN Cole. |
|Cole Pennington|So welcome back. Third time's a charm, you know? |
|James|Oh yeah. I think it's going to be a good one. I think this one will also have a little bit of weird energy. We normally record the show early in the morning, fairly early in the morning, early for me, let's call it 10 or 11.  And in this time we're recording it, uh, you know, like, uh, we'll call it 11 hours before it has to be live. So it's going to be, it's going to be a more fun, interesting sort of take on the show. But I think that, I think that works a different energy than Jason and I would have. Um, I think, uh, I think all that sort of, uh, lines up. How are you doing? And, and thanks for being on the show. |
|Cole Pennington|Yeah, the, the, the pleasure is absolutely mine. I'm, uh, just as excited as I want, as it was for one and two. And, uh, yeah, thank you for having me. This is a huge honor, actually.  Really? |
|James|I don't know what an honor, but we love we love having you on. It's always a good fit. And you've been having some adventures, which I'm excited to get into. Before we get into that kind of stuff, a bit of a bummer to open the show, actually, because, man, this is tough because this goes up tomorrow and I genuinely don't know what the state of this scenario will be. If you've been following my Instagram or Roald Dorf's Instagram on April 11th, there was a huge fire on an Abbott Street block in Gastown, which if you don't know, Vancouver is kind of a really beautiful It's the old side of downtown, the old town of, um, of Vancouver's downtown area. And that's where Roaldorf moved, you know, days before the pandemic started, they then weathered the whole storm of the pandemic. Nobody could come into the shop, et cetera, et cetera. And then, um, you know, the, the, the same weekend that the ship, the cruise ship start to come back to Vancouver, there's a huge fire and, um, the entire building, it's actually hard to talk about. It's been an emotional few days. I can't imagine what, uh, Jason and his team are going through.  But, um, the, a huge fire kind of took out that whole building, including their shop. And, uh, and currently there's a little bit of a battle going on where that these people, you know, there's seven or eight businesses on the main, on the street level. And then there was, I think 75, maybe even more than that, um, single residency units in, in, in this old converted hotel. And everybody wants to go back in and see if any of their stuff is still there.  and retrieve it. And in Jason's case, he wants to go back in and check for things like stock and tools, irreplaceable goods, handmade tools from Woestep, stuff like that. And the city of Vancouver is really dragging their heels. They're blaming liability. I'm going to be honest, I don't buy all of what they're saying. Nothing happens quickly in Vancouver, but they're willing to demo this building within five days. That seems unusual to me. And there's some other pressure going on there.  I just did want to say a big thank you because this is a Wednesday we're recording this. And as of Wednesday morning, Roald Dorf had kind of asked that people send emails to these folks at city council and at the mayor's office and such in Vancouver. And a lot of you sent emails and my guess is we flooded their inbox, which I'm thrilled about. Currently, at the moment we're recording this, the best information I can give you would be that apparently somebody snuck into the building, which paused its ability to be demolished.  it was supposed to be torn down earlier today, uh, morning in Vancouver. And apparently somebody got into the building and then the firemen couldn't find that person. Um, I've only heard that through back channels. I don't know if that's the case. It's not like I've read that in the news or something like that at this point, but, um, that's my understanding. So hopefully they don't find them, um, at least long enough for somebody to consider the fact that people are moving in and out of this building and it's not collapsing. So maybe give, folks like Jason and a couple of these other shops a chance to... Look, if the ceiling's gone on the top floor, I get it. There's nothing left. It burned and then it was covered in thousands of gallons of water and the rest of it. But there's stuff in his shop that would have survived that. Not all of it, probably not most of it, but some of it. And some of it's irreplaceable. So I don't really know what the situation will be even by the time I post this tomorrow morning or by the time people start listening to it in Vancouver tomorrow or later.  Follow along with Roald Dorf, I'll put it in the show notes. Keep an eye on my Instagram. Any information I get, I will try and pass forward. But we've got a ton of emails into the TGN inbox and a ton of DMs on Instagram about it. It's absolutely heartbreaking. They were right on the edge of really seeing this dream come to a reality. And I personally see this as a setback. I think the watch community is big enough and about people who are as keen about watchmaking and supporting the community like Jason and Mary and the staff there and all that. It'll be interesting to see how this goes moving forward, but I really hope that the City of Vancouver... Does their anything. These small businesses, this is a second generation small business that moved to a more expensive part of town in the hopes of supporting the watch community and making a better business and the rest of it.  And it's just been a nightmare. This has turned out to be a nightmare. My heart goes out to Jason and to Mary and everybody involved with Rodorphin. Of course, the other businesses and the folks that live in that building or lived in that building, it's all heartbreaking. And yeah, I don't really know how this is going to turn out at this point. But because we only do the show once a week, stay tuned.  If there's a greater story to tell, Jason's been on the show before. He's answered your watchmaking questions before. The guy is as dialed in as anyone is to the watch community. So we'll have him on if there's more to talk about, but otherwise pay attention to Roald Dorf for the next little while. Their Instagram, I'll put it in the show notes. Of course, it's an evolving scenario. It could be different by the time I publish. It's one of those things where it's a little bit difficult to cover with a podcast, but I definitely wanted to, uh, to get a mention in kind of, uh, from the top of the show. Cause it's, uh, it's heartbreaking to see this happen to a friend and someone who supported so much of, um, kind of people's introduction and stewardship through the watch world. |
|Cole Pennington|Yeah. I remember I talked to Jason for that retailer spotlight series and was blown away and yeah, it became like, you know, Instagram buddies chitchat every now and then. I do like to see a little vigilante justice by someone going into the building. That made me feel good. |
|James|I didn't know that, but it's, I guess it's the, you know, the, the Vancouver squatter equivalent of chaining yourself to the tree maybe. Yeah, exactly. It's good to see that. Cause I think apparently there was some talk about there being a protest Or maybe the two were disconnected. Maybe this person just wanted to see what they could get out of their place or someone else's. I have no idea. But the end result is they couldn't start demolishing the building. Maybe that lasts a day. I have literally no idea. We're pulling for them. And as soon as we have more to share, whether it's GoFundMes or something to do with a new store, hopefully in Gastown or whatever, It'll be on Instagram. And, uh, the moment we have a kind of a complete scope on it, I'd love to have Jason on, on the show to chit chat about the experience because it's, it's just, um, it's wild. It's wild to think that, you know, beyond where it's so much. Yeah, exactly. So much work, so much work, so much love, so much attention, so much care, all, all kind of, uh, gone. And in this case, because so much of it, um, of the, of what was in the store was specialized, including, uh, you know, handmade clock that can't be replaced.  It's a, it's, it's a tough thing to kind of wrap our heads around, but I wanted to start the show there. We don't have to dwell on this for the entirety of the show. You know, I think this would be an ongoing conversation moving forward, but our love goes out to the Roald Dorf folks and everybody affected in Vancouver. It's, it's really sad. |
|Cole Pennington|Likewise. |
|James|One of the reasons we're doing this late in the day is you, you just got back from a fairly long drive. Bless your heart for jumping right on a microphone. I appreciate it. |
