
# The Grey Nato - EP 19 - Watch Accessories
Published on Tue, 11 Oct 2016 09:06:47 -0400



## Synopsis
The hosts discuss various watch accessories like NATO straps, leather straps, rubber straps, bracelets, tools for changing straps, and other useful items for watch enthusiasts. They also cover some new gear they've acquired like a Breitling Emergency watch, backpacks, and travel bags. In the final notes, they recommend checking out the documentary "Gringo" about John McAfee, the Fire Beaner multitool carabiner on Kickstarter, and a video of Chris Harris driving a Jaguar E-Type at Goodwood.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-19-watch-accessories)
- [episode MP3](https://www.buzzsprout.com/2049759/11311103-the-grey-nato-ep-19-watch-accessories.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Welcome to episode 19 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. Today's topic is watch accessories. That is tools, loops, winders, cases, travel bits, bracelets, pretty much anything you could add to or use with a watch.  James, I think, you know, we got a lot to cover here. Let's jump right in. I think maybe the best way to organize this is to kind of nip off, you know, different categories one by one. And I think the logical place to start is probably with straps. |
|James Stacy|Yeah, let's do straps. |
|Jason Heaton|Under which, you know, there are categories within that category as well. I mean, I think, you know, given the name of our show, The Gray NATO, I think you and I are both big NATO strap fans and You know, I'm wearing a NATO strap right now, and I'm guessing you are as well. For sure. A lot of brands out there. I've got a bag. I've just got a massive Ziploc full of NATO straps, and every time I think I've got enough, I see another cool one or another color or some size that I need that I end up, you know, buying another one. |
|James Stacy|Yeah, NATOs are kind of a strange thing because it actually, I don't know, I don't know about you, but it took me quite a few years to come around to NATOs. Yeah, me too. When I first got into watches, it was all about the bracelet. And then I quickly kind of learned that depending on the time of year, bracelets aren't that great. And, you know, when you first, at least when I first started, I was starting with very entry level watches and the bracelets could be very rough. Yeah. |
|Jason Heaton|I think too, I think bracelets are, you know, they're, well, now I guess we're going into bracelets, but I mean, I think bracelets are easy to kind of, the easy thing about bracelets is taking on and off, but I don't think they work well in really sort of active situations, which is I think where NATO straps really shine. |
|James Stacy|Yeah, for certain. And yeah, like I said, it just took me a while to get to, get to NATO's, but now that Now that I'm there, it's easily my favorite way of wearing a watch. And you can go, just by changing the color, you can really change the kind of vibe of the NATO from kind of eccentric with, say, a bright red or a yellow, to something kind of more stoic, like the gray, or a little warmer, like a brown, or a sand, or, you know, khaki. They all have kind of their own topics. And I think anyone that follows my Instagram knows that my general kind of NATO of choice these days is from toxic NATOs.  just based out of Colorado, a gentleman named Terry, who I had the great pleasure of meeting this past week. |
|Unknown|Oh, cool. |
|James Stacy|But, uh, the, the toxic stuff is just, it's kind of the hardiest NATO that I've come across. Great hardware, much nicer hardware than your standard $10 Amazon or eBay NATO. I used one, you know, for pretty much the entire summer. So all sorts of sweat. I took one on each trip up, uh, up Baker.  Uh, I used a NATO or I, sorry, I guess one, one trip was, uh, uh, toxic Royal, which is like a NATO, but it's, it's just a single piece. Oh yeah. With a, uh, a soft loop, like a soft keeper at one end. And then the second time I used the rubber NATO, which we've spoken about before, certainly. |
|Jason Heaton|Yeah, no, I'm, I've got a toxic on as we speak here. And, uh, it's like you, I mean, I pretty much worn one of the three or four toxic NATOs that I've, that I own all summer in both 22 and 20 millimeters.  And, uh, you know, the first thing that struck me about the toxic Nados is the, the, just the buckle alone is it's, you know, it's big. I mean, so many Nados that you get have these kinds of flimsy little buckles. And I think maybe that's just based on tradition. I think some people like that. It kind of has that, you know, like if you look at ones from kind of the classic brand, which is Phoenix out of the UK, which arguably made the original G10 strap that we've come to know as the NATO strap for the British Ministry of Defense. Yeah, for sure. You know, you look at those, those Phoenix straps and line one up next to a toxic and it looks, you know, the hardware looks fairly flimsy. I mean, they're great straps. I love the Phoenix straps, but, uh, yeah, I think, I think as NATO straps have become a more popular and you're getting more brands out there, the companies are actually kind of one upping each other with, with hardware, I think is where you can kind of make a difference. |
|James Stacy| Yeah, I think it's hardware and then you could there's definitely a difference in the sort of weave if you've seen the kind of expensive NATO from Omega. It's much more like a seatbelt sort of weave. Yeah, very nice strap, but there's just simply no aside from having say a branded strap for your Speedmaster, there's really no reason to spend that much on a NATO. You could have a whole collection of NATOs for that much money. Yeah. For me, I think I have three brands that I wear with some frequency. I really like the toxic ones. They're my go-to. And then I have a handful from Crown and Buckle. Oh, yeah, me too. Which I like quite a bit. Their premium NATO is really nice. The hardware is sewn in, so it's a little bit more secure than something that uses a spring buckle.  yeah like the uh like the toxic that's a little bit more classic nato to have the sewn in buckle um and they you know you you have choices when you buy that strap as far as the uh finishing of the buckle and those sorts of things and i've been very happy with those and i've bought those for uh friends or people who want to try a nato or their first few natos and then i have a a couple of the phoenix g10s and they're simply fantastic and i think if you're wearing kind of a military a true military watch that's kind of the nicest way to do it is on the correct strap. That said, like I said, most of the time I'm reaching for a Toxic and I'm looking at my watch box now and, you know, of six or seven watches that are out, seven of them are on Toxicnadoes. So that's, that's just, and it's, you know, there's something that just kind of works about them. I really love the hardware. I love the, the way that if, if you do use them hard enough to get some fraying. Just burn them. Yeah. Just hit them with a lighter just for a split second.  it seals it right up. Just a really nice quality strap for the money. I like that they're, you know, based relatively local in North America and I kind of like the attitude of their website. If you haven't been to the ToxicNATO's website, be sure to check it out and we'll throw a link to anything we talk about. To make it clear, nothing that we're talking about tonight, we've not been paid by any of these people. |
|Jason Heaton|Yeah, it's just all stuff we've|
|James Stacy| It's been all trial and error. You know, these are all brands that we've purchased and supported in some way or another. And, and, you know, these are products that we own via the conventional methodology. |
|Jason Heaton|Yeah. You know, speaking of toxic, I mean, kind of when I first got into watches, the NATO strap of choice that I think was kind of the toxic NATO of its day, we're talking just probably, you know, five, six years ago was the, uh, the Maritak, uh, straps, um, NATO straps, which you could buy through, I think in the US or whatever, it was like, you know, broad arrow.net. I think it was through the military watch resource. Maritech, you know, I think they still make a great NATO strap. They're, they're very tough. It's a really tough nylon. The weave is very different from almost any other that I've seen. And it almost has a bit of a sheen to it. It's a, it's kind of a tighter weave. And I think, I don't recall, but I think their hardware is sewn in as well. And those are the straps, you know, you'd always see on like the marathon watches and they just had a real sort of I don't know, military sort of feel to them, very, uh, sort of credibility that kind of came with, you know, the watches that, that were generally sold on them. I think you got, you know, the MK2 watches, the, uh, and the marathon watches kind of came stock on, on Maratek straps. And, um, I still have a couple of Marateks. I, for some reason, I think the aesthetics of them didn't quite do it for me. So I was kind of happy to see, you know, brands like Toxic and Crown and Buckle kind of stepping up with, I guess, you know, bigger Corduroy, I guess is sort of the look that, that I like. |
