
# The Grey NATO – 190 – One Month In Sri Lanka
Published on Thu, 28 Apr 2022 06:31:29 -0400



## Synopsis
This episode features a wide-ranging conversation revolving around James and Jason's interests in watches and travel. James discusses Jason's recent Roldorf encounter and some of the podcast episode's details and behind-the-scenes aspects. Jason provides an overview of his recent trip to Sri Lanka, including sights he saw, the current economic/political situation, and the challenges presented. They chat about Jason's watches, the lack of certain creature comforts in Canada, Sri Lankan cuisine, and more. The bulk of the discussion centers around Jason sharing his experiences exploring Sri Lanka, its culture, cuisine (particularly surrounding curries), and some of the hurdles faced by its residents.

The episode also includes two segments: one highlighting an upcoming follow-up interview with a watchmaker centered around Roald Dorf's Instagram page, and another where James talks about a Film Club collection he curated for watching films and TV shows in a streamlined way. Overall, it's a laid-back, loose conversation between the two friends surrounding Jams' love for all things Roald Dorf and Ghoshani's homeland, with James providing thoughtful commentary about embracing different cultures.

## Links
- [episode page](https://thegreynato.substack.com/p/190srilanka)
- [episode MP3](https://www.buzzsprout.com/2049759/11310928-the-grey-nato-190-one-month-in-sri-lanka.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 190 and it's proudly brought to you by the recently formed TGN supporter crew. We thank you all so much for your continued support. And if you don't happen to be part of that supporter crew, but you'd like to be, Please visit TheGrenado.com for more details. James, gosh, it's been a while. It's been a couple of weeks. Yeah, I know. I caught Cole's episode, which was fun, but I got a little misty listening, thinking back to our chats. |
|James|Yeah, it was great of Cole to help cover for that episode. It's always nice to sit and chitchat with Cole.  I'm, yeah, I'm missing my, my weekly dose of Jason. Um, um, as, as I know that you're, you're having, um, uh, you know, uh, a good visit in, in Sri Lanka, but I'm, I'm looking forward to having you back on the normal schedule at some point soon. |
|Jason Heaton|Yeah. The schedule is a bit challenging, right? I mean, it's, uh, gosh, what time is it? 8 30 PM here. And you're like 11 AM. So we, you know, we've got that challenge and then what was it? Uh, couple of weeks ago, we ran that film club episode, which I think was another, another good one. So that was, that was fun to listen to from here, given, given that we recorded it back in way back in March. |
|James|Yeah, for sure. And I think that one came together really nicely. And I did want to make a quick note right here at the top of the show, a big thank you to Kyle Martin, who noticed that I forgot slash neglected to put the entire listing of the film club in the show notes would have made the show notes really long.  And Kyle went ahead and made a letterbox portfolio for the TGN Film Club. Wow. The link is now in the notes. It's in the final paragraph of the notes for episode 188. And you can now see like a whole collection and it's visual. And I'm thrilled. This is great. Oh, that's awesome. So a huge thank you to Kyle for making that. It really simplifies, you know, now when we do eight, I'll just be able to use this link again and people can see all the videos that have been picked. So that was super rad. |
|Jason Heaton| Oh, that's great. Wow. Yeah. Yeah. And I also want to, um, mention a quick note here. Um, you know, given that I've been away from the U S for now pushing over three weeks, uh, close to a month by the time this episode goes live, any TGN supporter kit orders that have come in and I've seen several, um, and thank you for those, uh, over the past few weeks, uh, those, those supporter kits, uh, that come as a part of a new, Membership to the TGN crew have not been shipped. I will be doing that as soon as I'm back in the US, uh, in the first week of May. So I want to thank everybody for their support, first of all, and for your patience. I had put a note on the, on the order page on the website that, uh, that things won't be shipped until May, but I do appreciate, or we, we both appreciate the support and, uh, and the patience while you wait for your, your strap and sticker. So anything else we should chat about before we dive in here?  Roldorf, what's what's happening there? I've been following that from a distance. And boy, what a what a story. I mean, it sounds ups and downs there. What's the latest? |
|James|Yeah, so the latest is is I'm still recommending people follow as closely as possible to Roldorf's Instagram because that that's how you'll get the latest. You know, breaking news is not really well served when this episode won't go up for six days. But yeah, the emails that we talked about on the last episode and that I put all over my Instagram, they were able to effectively delay the demolition for the better part of 24, almost 36 hours. And in that time, more discussions were had about what valuables were still left in that area, both business valuables and personal valuables for some of the people that were living in the old hotel building.  Since then, they've started demolishing the building, which is the decision the city made is it wasn't safe due to structural and asbestos and other things like that. This is a huge blow to those businesses, to the people who lived in those areas. There's a lot of people impacted here. And as far as the Rolldorf scope goes, it looks like they were able to salvage something as, as the building came down, uh, as to what, I mean, this was just, um, yesterday afternoon. I don't have a full kind of scope on what that is. So yeah, my, my suggestion is that, um, keep your eyes on the Rollorf Instagram. If you want updates on this and when the story is kind of somewhat more complete and hopefully we can start focusing on next steps and how we can support, you know, not only my very good friends at Rollorf and co, but also the, just the people, the other people affected by this, uh, fire.  We'll have more news in the future, but between my Instagram and Roald Dorf's, that's probably a good place to keep your eyes up for the latest in news. Because again, there is a delay when it comes to things in the podcast. And as I said in the last one, my heart goes out to everyone involved. We'll update you as we can. And like I said in the last episode, I'm more than happy to have Jason on to speak about the experience and what the plans are moving forward.  probably a little early, um, to, to do that at this point. |
|Jason Heaton|Yeah. Yeah. And I suppose for, for, for people who are listening in from far corners of the, of the world here, Australia and Europe and wherever else, um, you know, the, the significance of, of Roldorf, I think to TGN and the reason we, we talk about this is that, you know, Jason was a TGM, TGN guest. He's a, he's a friend of both of ours. And, and, you know, Roldorf is, is, is pure, you know, it's, it's core TGN stuff. I mean, he's, he's, he's a friend, he's a watchmaker, he's a diver. He's, he's, he's just a good all around guy. And then they carry a lot of the brands we talk about and he hails from, or Roldorf hails from your former hometown. And I just think it's, uh, you know, that's what you do. You step up for, for, uh, for your friends and chums and that's what we're trying to do here. So, yeah.  We'll stay in touch and keep an eye on how that's going. |
|James|For sure. So I guess, you know, aside from that, I don't know that we have a lot of other chitchat just because we haven't been, you know, most of this episode is going to be, you know, kind of a download about your Sri Lanka experience. But why don't we do a little bit of watch stuff first? What's on risk today? |
|Jason Heaton|Yeah. I mean, this is kind of an interesting tie in to kind of where I am. I mean, you know, having spent pushing a month here in Sri Lanka, I think I mentioned last time that I had brought a few watches here. Um, today I'm wearing the CWC again. This is the Royal Navy auto diver. And you know, it's, it's been interesting to see how, what's important here, you know, what, what, how the days play out, what I put on my wrist. And, and to be honest, I mean, you know, when you're, when you're traveling watches kind of fade from importance and, and what you choose for the trip in general, It seems important before you go. And it is because then once you're on the trip, you're like, you look at your wrist and you're like, boy, I'm glad I chose this one. Cause it's all I've got. And even though I brought three watches along, I've really just been wearing the CWC and I swapped it for the tourniquet for, for about a week in there. Um, nice, but you know, some watches just kind of fit a venue well. And I think, uh, you know, kind of a no nonsense, you know, Navy dive watch that not many people recognize on a NATO straps, just sort of perfect for, swimming in the pool and running around the paddy fields and going for rabies shots and, you know, riding around in a, in a tuk tuk around the streets here and stuff. It's just, it felt like the right pick. And so it's served me really well here. |
