
# The Grey NATO – 191 – More New Watches! (Doxa, Timex, Hamilton and More)
Published on Thu, 05 May 2022 06:45:44 -0400



## Synopsis
This is an insightful discussion between two people, discussing various topics and products related to watches and travel. They review a new Timex GMT watch model called the Q which is inspired by the brand's earlier watch designs. They also discuss a new Hamilton watch that pays homage to classic pilot watch designs, as well as a new Bremont watch with an interesting dial style. The speakers share an appreciation for the aesthetics and craftsmanship of these timepieces.

Additionally, one speaker mentions a recent article he read about the Rough Stuff Fellowship, which is a group that publishes photos and books related to vintage bicycles and bicycle culture. The other speaker talks about having recently discovered this group's work and found it fascinating.

Overall, the discussion provides helpful context about the latest watch models being released as well as interesting background information about classic watch and bicycle design influences.

## Links
- [episode page](https://thegreynato.substack.com/p/191aprilwatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310927-the-grey-nato-191-more-new-watches-doxa-timex-hamilton-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|The Narrator| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 191, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  Jason, how's it feel to be back back in your own bed? |
|Andrew|Oh, man. I mean, the bed, the bed feels great. I'm just not spending enough time there. I'm spending time there in very strange doses. It's this jet lag is fierce. I won't lie. It's tough. Yeah. Yeah. Good to be home. Very good. Yeah. Although I could have asked for a little warmer weather. I mean, it's still feels like when we left in March, it's like in the low 40s Fahrenheit here still. It's been a very unseasonably cold. So I'm wearing a sweater and Sleeping with two comforters and a heat pad. I mean, I realize I just came from the tropics, but it's, it's time. Come on, man. Let's, uh, let's warm things up a bit. |
|The Narrator|Thankfully, it's starting to warm up here. Uh, we're getting mostly days up in the, almost into the double digits, but we've had a couple of weekend days nicely. Like I was at the cottage last weekend and it was like, you know, 17, 18, 20 in the sun.  Uh, pretty nice. Pretty nice. You know, I was really, really eyeballing the lake for, for a jump in. If it was maybe a little bit less windy, I might've considered jumping in. Um, cause that's the, it's one thing to get in. It's another thing when you get out. Right. |
|Acknowledging Response|So yeah, right. |
|The Narrator|On those cold days. But, uh, you know, it's, it's a pleasure to have you back and, uh, and to notice, uh, currently no lag in, uh, in Zooms, uh, connection between the two of us. |
|Andrew|I don't miss, uh, trying to tiptoe around those electrical power cuts we were having in Sri Lanka and then, uh, Yeah. Just a more reliable connection that I'm not always eyeing the, I think there was one point in, in one of the, in the show we recorded while I was there where, um, where like I was just chatting away and suddenly I realized you weren't even on anymore. |
|The Narrator|I think we just lost the connection, but, uh, I've also been having a thing with a thing with zoom, uh, because I'm now on a, an M one Mac as are you. Yeah. I'm also having a thing with zoom where occasionally if I don't kind of restart my computer for several days and I do a zoom recording, Yeah. And I might be conflating two different things. It's really hard to tell with software. So this might not be cause causation, causality, the rest of it. But it seems like if I don't restart my computer in the morning before I want to do a zoom recording, which luckily is not how we do this podcast. |
|Acknowledging Response|Yeah. |
|The Narrator|But if I want to, the recording will function. And then after a certain number of minutes, sometimes it's a few minutes, sometimes it's 20, it just disappears. The whole app disappears. And if I go back, if I click on it and reload it and jump back into the same link, everybody's still there.  and it has passed the recording to somebody else and then it will pass it back to me. Wow. But still terrifying when you record podcasts for like a decent amount of your work life. Yeah. But it seems like restarting my computer occasionally seems to fix that. So yeah. Geez. Yeah. So there's that. But what are you doing to to fill the fill the jet lag hours? Because I find I was lucky. I come back from Geneva. I just stayed up And I'd been up for so long that I made it to like eight or 9 p.m. here and my time zone fell asleep. And then I didn't, I ended up with no jet lag. |
|Acknowledging Response|Yeah. |
|The Narrator|Yeah. I was just kind of wiped out for a couple of days, but no, no like weird hours. But sometimes those hours when you're up at a really weird time, they seem to take a lot longer than other hours. |
