
# The Grey NATO – 192 – The Perfect Three-Watch Collection (2022 Edition)
Published on Thu, 12 May 2022 07:14:28 -0400



## Synopsis
Jason and James discuss how they would spend $10,000 on a 3-watch collection if they had to start over from scratch. Jason proposes getting an Omega Seamaster Professional 300M, a vintage Doxa dive watch, and either a Seiko dive watch or a CWC quartz watch as an affordable, rugged option. James considers several options centered around dive watches he enjoys, such as the Pelagos GMT from Tudor and a GMT version of the Seamaster 300M. They banter about the appeal of resetting their collections and curating the perfect trio within a budget. For his entertainment picks, Jason highly recommends the Apple TV+ series "Slow Horses" starring Gary Oldman, while James suggests checking out "Tokyo Vice" on HBO.

## Links
- [episode page](https://thegreynato.substack.com/p/2022trio)
- [episode MP3](https://www.buzzsprout.com/2049759/11310926-the-grey-nato-192-the-perfect-three-watch-collection-2022-edition.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello, and welcome to another episode of The Grey Nato, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 192, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And those of you that are listening that might want to support the show and aren't already, Please do visit thegraynado.com for more details. James, your bags are packed. You're ready to fly out here any minute here now, right? |
|James|Yeah, I'm still batting 1,000 on COVID tests. Apparently, I remain untouchable. My luck has to run out at some point, I assume. But so far, we're good. But yeah, I'm actually... So the previous episode was kind of timed around a New York trip and then I was home for, I don't know what is eight or nine days or something. And now I'm back, I'm going back to New York this time just for some meetings. Um, uh, sadly it's a, it's a pretty full schedule. So if you're one of the folks that, um, you know, pings me when I get to the city, uh, to see if I might be around, I don't think I will be this time. Uh, but hopefully, you know, now, now that the New York travel route is kind of open and easily understood, uh, we should be able to make that up. And, and, uh, you know, we're probably, uh, What do you think, Jason? We're probably at least in the zone to start thinking about a get-together at some point. I think so. Maybe after the summer or something like that. And we actually have a pretty exciting in-person event that we can announce soon, but I don't think we can announce yet. So keep in mind for that. And that'll be a little later this year, which will be super fun. But Jason, you know what? I do want to say just before we dig into the show, you had mentioned the supporter crew and such in our little opening, our repetitive opening blurb. If you're on the fence about the $5 a month or the $100 a year, which gets you the strap and the stickers and the rest of it, the last episode of the Q&A is really, I think, something worth considering, testing the waters at $5 a month for. We had a really good time with it, one of the most fun episodes I think we've recorded in a while, eh, Jason? |
|Jason| Yeah, I really enjoyed that. It was, it was a good crop of questions and I think, um, I don't know, he and I just seemed kind of tuned up for that. Yeah. Yeah. It was a long episode too. I think we'll, and it's funny, you know, we finished, I think we did, I don't know, maybe 14 questions or thereabouts. And I think we've got at least that many already queued up for the next one, which we'll record in a few weeks. |
|James|Well, yeah. If you want to know about some of the music that we connect with our watches or who we think would win in a bar fight or that kind of stuff, uh, Net now might be a good time to jump in. We're going to start really leaning into those Q&A episodes, making them nice and long, taking every question, even the silly ones. We really enjoy those. So if you've been on the fence, not a bad time to consider one or the other of the two levels, especially with the five, you could, you know, if you really didn't like it, you could just bounce back to the normal feed.  Other than that, Jason, I mean, what's new? You're back. It's been what? You've been home for like 10, 11 days. Are you about back on a normal sleep schedule? They say it's like something like an hour a day that you get back, right? |
|Jason|Well, that seems to be holding true. Yeah, you're right. I think it's been 11 days. And I went to sleep at 10 o'clock last night, got up at about 5.15. So yeah, I think that's fairly normal for me, especially in the summer. It starts to get light around that time. So I can live with that. I'm happy with that.  I don't mind getting up early. I just don't like, I don't like early being 1 a.m. So it's, it's nice to be back to. |
|James|I mean, five feels pretty early for me, but I do, I have enjoyed those. So I've been trying, I don't know if I talked about this on the podcast or maybe you and I have just chatted about it, but you know, the pandemic really, like I became kind of lazy in terms of when I would get up in the morning. Yeah. It could be late. It could be nine 30, 10, like later than when I was a kid later than when I was in my teens, that sort of thing.  Yeah. And it's just because like, why, like you're getting it. And all I need to do is roll over and make a cup of coffee and put my laptop in my lap and start working. Right. So I've been trying to kind of let the sun teach me how to get closer back to say seven o'clock. I'm not, I'm not going to go crazy here. And I don't mind getting up at six if it's to go diving or whatever, but I don't really want to get up that early. Uh, just because, uh, uh, seven, seven 30 feels pretty comfortable these days. And that's kind of where I'm pushing, but the sun is making it easier to wake up in the morning and be already bright out.  Yeah. Kind of feel like, Oh, it's going to be a nice sunny day today. Yeah. Has been a real kind of like positive change over the last few weeks here. So that's good. Oh yeah. Totally. Yeah. Yeah. And then speaking of general timing, uh, we were just chatting before we started recording. It's, it seems like you, you got out of Sri Lanka while, while it was still kind of a straightforward thing, right? |
|Jason|Yeah. I mean, for any of them, anyone out there who's been, watching or listening to the news lately. I think now Sri Lanka is really popping up in the news because the prime minister has now resigned and he's fled to the naval base on the East coast and kind of bunkered himself in there and, uh, full on, um, riots in the streets. And it's, it's a real shame to kind of watch and hear from family and friends over there that see what's going on. You know, I, I don't want to kind of hype up only the bad side. I think, you know, I've talked enough about how, how great Sri Lanka is, how much I love the country. And, um, you know, it's just a shame that these, peaceful protests that had been going on for a month, uh, since pretty much the day we arrived over there in early April have gotten really ugly. And I think it was inevitable. And I think, you know, change is needed there. And, and I don't know, I just, I hope things improve. It's, it's a very, uh, hour to hour situation these days. So we're, we're watching that closely, but yeah, I, uh, we fortunately Gashani and I got out, um, just days before things, you know, things hit the fan over there and, uh, happy to be home, but also, you know, thinking about all of our, uh, our friends and family over there. |
|James| Absolutely. Yeah. No, it's a, it's a scary time. And you've been sending me some updates. I've been catching a little bit of it on, uh, on Instagram as well. So, uh, hopefully this is one of those things where something has to kind of not, not to sound naive and let's face it. I probably am naive on this topic, but we're some things have to change very rapidly to allow a base for something good to come up. Yeah. Yeah. So hopefully that's the case. Obviously, uh, uh, it seems like the whole world is dealing with its fair share of, uh, political problems, but that hits home, especially like both figuratively and literally with you having been there for so long. So yeah, we'll definitely, definitely keep that in mind. And if we see a good way of supporting, uh, the, the folks at Sri Lanka, let's, let's try and find an outcome, uh, you know, kind of true to form with what we like to do. Yeah. Um, other than that, I mean, I, I don't have a ton to report. Obviously I was in New York and then have been back and trying to catch up with, uh, with work, which I really haven't, I'm way behind. Yeah. And then, Technically, I'm supposed to leave for the airport in about 20 minutes. |
|Jason|We should probably dive into the topic. |
