
# The Grey NATO – 193 – Great Summer Gear (Watches, Clothes, EDC, And More)
Published on Thu, 19 May 2022 07:00:09 -0400



## Synopsis
The episode is a long discussion about Jason and the host's favorite summer gear and activities. They cover everything from hats, sunglasses, t-shirts, shorts, and footwear to bags, pocket essentials like wallets and knives, and favorite summer drinks. They also discuss their plans for which watch they'll likely wear the most over the summer months.

## Links
- [episode page](https://thegreynato.substack.com/p/193summergear)
- [episode MP3](https://www.buzzsprout.com/2049759/11310925-the-grey-nato-193-great-summer-gear-watches-clothes-edc-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Host| Hello and welcome to another episode of the Graynado. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 193 and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and you're interested in supporting the show, please visit thegraynado.com for more details.  Jason, how are we doing? You finally get some good weather down there or what? I was watching on my app. It looked like you had some some nice days. |
|Jason Heaton|Oh, man, this is like this is the best of the weather because it's we've been sleeping with the windows open and, you know, working out in the garden. There's no bugs so far. Sun's out. Well, today it's supposed to rain a little later, but it's been yeah, it's been spectacular. This is this is like the best of the best of the best weather that we get. |
|Unknown|Nice. Nice. Yeah, I'm glad to hear it. How about how about up there? |
|Jason Heaton|You were at the cottage. I saw a few photos and That must've been nice. |
|Host|Yeah. I kind of got like a weird, like best of best of every scenario. I was in New York for a few days last week for, uh, like literally like 12 or 12 hours plus per day of meetings. Oh, wow. Sort of planning out stuff with Hodinkee looking forward and, and, you know, revolving or refining processes and all that kind of stuff. It's something we do a couple of times a year and it, you know, they graciously include me on that as I remain, you know, a piece of what they put together.  uh, for the world. And, uh, and, and it was fantastic weather in the city and, and which is really nice, uh, to, to, you know, feel like summer's legitimately right on the edge. And then I came back and the weather wasn't necessarily looking great for the weekend. And I got home and the custom scenarios gotten really bad and had a YYZ at Toronto's airport. Uh, so I originally had planned to go directly from like the airport, come home, grab the Jeep and go directly to the cottage that evening would have been made it to the cottage around 10. |
|Unknown|Yeah. |
|Host| And this way I actually made it home from the airport around 1130. Oh my gosh. Um, just weird delays in the flight and then getting a gate when we landed. And then, uh, you know, it seems like they just don't care at customs these days. There's just not enough people at the stalls. It doesn't really seem like anyone's in charge. Uh, so that that's been super fun, especially after being spoiled for years at Vancouver's airport, where they were just set up to take a lot of people through customs very quickly. And I'm sure that that COVID has been hard on, the CVSA and their ranks. And for all I know, this is another thing that connects with some of the problems they've been having at a like a union level for years. All of that's on the table. This isn't a judgment statement. I just like, I'd love if it got back to like 20 or 30 minutes. I feel like that's acceptable. So yeah, but I made it back. It was a little too late to drive all the way to the cottage. It would have been kind of just on the edge of being irresponsible for tiredness, right? That's something I'm like very cautious about driving when I'm tired. And so we ended up just going up the next morning And the weather was like perfect. It was fantastic. It was like nearly 30 Celsius. Yeah. To put you into the nineties. Yeah. Wow. Uh, the bugs are already starting to be a thing, but they weren't too bad. The water was nice and warm for a May jump off the dock. So we did a bunch of swimming and, and, uh, got a bunch of kind of small jobs done around the cottage property in, in preparation for this coming weekend. A couple of days after this comes out is a May long weekend in Canada, uh, similar to your Memorial weekend, the weekend later. So we have Monday off and, girls are out of school and that kind of stuff. So yeah, we're just, just kind of ramping up for that kind of stuff. I'm just kind of thrilled that, like I said, that's like summer's here proper. I'm starting to see like other colleagues take time off work and slow down a little bit, which I think feels pretty good and, and, and healthy and all that kind of stuff. So yeah, that's, that's kind of where I am at. Uh, happy to be back home. I don't have any like locked in travel on the horizon, you know, not, not until mid summer. So I don't know when my next trip will kind of pop up.  But, uh, you know, hopefully just between now and then it's just a lot, a lot of trips up to the cottage and jumping in the lake and that kind of stuff. |
|Jason Heaton|Yeah. I'm still, I'm still kind of relishing just being, being home in good weather, you know, after our long trip abroad, it's nice to just have some unstructured time kind of putzing in the garden. I did a little work on the, on the defender this weekend. I put one of these folding sidesteps on the, on the passenger side so that Ghoshani doesn't have to like do it Olympic vault just to get in the truck. Uh, for sure. I'm tall enough that I can sort of step up and in without much trouble, but you know, a lot of these defenders you see have, have these folding sidesteps. And so I put one of those on, on Saturday and then, um, and then Sunday it was, uh, some gardening. We went for a long bike ride and we're just kind of hanging out on the patio and it's like, that's, that's all I need. I mean, I love it. I think, you know, yeah, eventually we'll get the kayaks out and do some local hikes and stuff. But you know, between now and, I'd say early July, you know, before it gets muggy and too buggy. Um, this is, this is like my favorite, favorite time. This and early fall are kind of the sweet spots for weather. |
|Host|There's little shouldery seasons are great, aren't they? |
|Jason Heaton|Yeah. Yeah. Yeah. Yeah. We have a trip coming up in mid June. I'm kind of excited about where we're going to fly down to, uh, the Asheville, North Carolina area in the blue Ridge mountains there. Fantastic. Do some hiking and, and, just sort of exploring around there and I'm looking forward to that. But in the meantime, I'm just happy to be, to be home and, and, and just knock off a few little chores around here and just enjoy the weather. So it's been great. |
|Host|Yeah. Same, same here for sure. Oh, and the other thing, you know, kind of a little precursor to our, our kind of summer EDC topic that that's the main part of the show today is, you know, I have that Tango bag from the observer collections, like that leather folio with the big handles. Oh yeah, right.  And I've used it a fair bit, but of course that using any bag kind of slowed down over the pandemic. And then a lot of times I try and have, you know, multiple cameras or, or cameras and flashes and computers and chargers and batteries and all that kind of stuff. And it's easy to fill that bag really quickly. It's like, it's not huge. It really is kind of a day or even a little bit smaller than a day size bag. You know, I I've seen various other people, including Robert who designed the bag, like attach things to the bag using the Molly system that's on it, which is kind of subtle.  And so I just out of kind of a boredom, a late night boredom, you know, uh, I ended up on Amazon and found, um, found like a little pouch, like a Molly pouch, uh, and, uh, like a sling for a water bottle. And I added both of those because, you know, going down to, uh, to New York for meetings, I, I brought a camera, but I didn't need a camera and otherwise just my laptop and some odds and ends like stuff I could fit in the bag. So that was kind of my, handbag and the rest was the clothes in a roller bag. And yeah, it works really well. I picked up one of these, I'll talk about it more a little later, but I picked up one of these Snow Peak sake bottles. It's a titanium liquid container. Like stupid expensive, but I ended up with a like a birthday gift that was a gift card from my brother for Snow Peak stuff. Nice. And I'm fortunate to have a little bit of their stuff already, and I kind of always eyed this, and this gave me just enough of an excuse to go for it. And it's single walled, so it's not going to keep your water cool, but it is super lightweight. It's really easy to put in and out for security, right? Because one, it doesn't weigh anything. Yeah. And two, it's not something you're going to forget, like a plastic water bottle that has some water left in it and you get you in trouble or anything like that.  Yeah, that was kind of the only thing that I changed for this trip versus any of the other ones. I'm still kind of working on how big the pouch could be or needs to be to actually be useful. But for now, I like it. And I'll try and get a shot of that in in the show notes if I can. |
|Jason Heaton|So the Mali is the Mali kind of attachment points are already on the bag. |
|Host|Yeah. So along the bottom of the bag, there's two bands of nylon.  Maybe an inch to two inches off the bottom of the bag. There's two bands. I see. It's worked out really well. And the MOLLE thing is kind of endless. Like you can find anything to suit whatever need you might have. |
|Jason Heaton|For those that aren't familiar with the acronym MOLLE, M-O-L-L-E, it stands for Modular Lightweight Load Carrying Equipment. And it's, you might see it on a lot of kind of more tactical backpacks and things. It's these strips of stitched webbing that allows you to kind of thread through attachments like little, like you mentioned, little pouches and bottle holders and things like that. And it's, it came out of the military world, but your tango bag is decidedly on tactical military looking. Um, other than that, it's more of like a leather tote, right? |
|Host|Yup. Yeah. Basically it's a little bit of almost, even for me, like a little bit on the fancy side, it's one of my like nice things, if that makes any sense, right? Like I like it a lot. I have the matching wallet.  more Molly on them. Yeah. But I do worry like the nice thing about the tango is it's pretty sleek to begin with. So when you add stuff to it, you don't kind of get that like a decorator crab vibe. Right. Right. You know, just let's stick more stuff on it. And, and I, you also, the other thing I always worry about is looking to kind of mall ninja. Yeah. Like, you know, going too heavy on the tactical. Yeah. Right. Otherwise I'm like a guy in a jeans and t-shirt. He's just trying to carry a camera from one part of town to another. |
|Jason Heaton|Right. Right.  Yeah, people start thinking of your service and you're like, No, I didn't serve. But yeah, exactly. |
|Host|I had that I had that like in I remember in Hawaii on a dive boat, I had my rush 24, which I basically lived out of that bag. I'll include it in the show notes because it suits this episode pretty well an amazing backpack for the money. Really useful, nice design, the rest of it, but it was jet black covered in Velcro and Molle webbing. Oh yeah. And I would have liked a quote unquote civilian version if had they made it. Yeah. With like maybe maybe just chill out a little bit on all the all the stuff. But I remember I got on a dive boat in Hawaii and like immediately I think it was probably a mix of whatever haircut I had at the time in this bag. And really somebody's like oh did you serve? And I'm like no it's just a really intense backpack. But they work really well. I mean it is one of those things where yeah you yeah you do kind of worry that you know, maybe it looks too tactical, but they also do a really good job as the, maybe that's why the go rec stuff was so popular is that they, they really toned down the exterior of the bag. Yeah. So yeah, you can go just about any way, huge, huge fan of what five 11 makes and in a nice kind of, that's kind of an intro, a good intro for where we'll go in the show. But before we get there, how about how about a wrist check? What are you, what are you wearing this week? |
|Jason Heaton|Yeah, I pulled out my old T graph, the doxa. Oh, nice.  Yeah. We, we had talked, uh, I guess last episode, which by the way, it turned out to be such a popular episode. We got, I think, 48 comments as of this morning. Yeah. |
|Host|People went nuts for that one. Good episode. I thought. |
|Jason Heaton|Yeah. And, and one of my kind of three watch picks was a vintage Doxa, um, of which I own a single example. And that's this, uh, this 1969 T graph, a dive chronograph, which is probably, I mean, you know, whichever watch you happen to have on, on a given day is like the coolest watch in your collection. And, but I I'd almost say that this is possibly it's maybe not my favorite watch in my collection although it's close but it's definitely the coolest watch I own and um it's got a great story behind it and I haven't worn it for for quite some time for various reasons and I pulled it out it was about four days ago because it was the 13th and the date uh was on 13. I was waiting for the 13th to put it on because No quick set. It has a sort of pseudo quick set where you have to flip between midnight and 530 p.m. or something like that. But that takes a while. And, you know, when it's the 17th of a month, you know, you don't want to be doing that. But when it's the 13th, I just picked it up, wound it up and put it on. So it's perfect. It's great. I've got it on like an olive NATO strap. I had it on kind of a big hole tropic style the other day. I mean, it's it's it's just such a cool watch. I'm so happy to be wearing it. |
|Host|Yeah. I mean, I love those. I got a chance to see your Sea Rambler.  several years ago. Yeah. Um, I just, that watch, it's one of the few watches where, um, it, in my mind, it really captures the same sort of like specific appeal as a vintage car. Yeah. Like everything about it. You go like, they don't just do it like this anymore. Yeah. For some of those reasons or some of those changes had good reasons behind them. And some of them didn't like, some of them were just the progression of time. That, that watch is such a time capsule. Oh man.  a certain era of diving, a certain era of watch design, a certain era of like consideration of what it was to be a man and have a watch. You know what I mean? Yeah. And it's so different now. The context is so recursive and a little bit of a snake eating its own tail. And we're now, of course, obviously that watch came from a time that was postmodern, but I feel like postmodernism kind of like reached a special era now where merit is less of a concern than just creation. |
|Jason Heaton|I agree. And I think it's, it's also, um, it's one of those, designs that if somebody did it from a blank sheet of paper today, you might think, wow, that's really funky, cool use of color and blah, blah, blah. But like this was designed at a time when Doxa had this kind of formula with the no deco bezel and the odd hand shapes and that sort of thing. But like to do it with this chronograph with these interesting little sub dial hands and colors and you're right, it was, it was done for specific function and purpose, but I'm sure there was also somebody with a real eye for for design that thought this just looks cool, you know? And I, you know, I had bought it from the original owner who bought it at a dive shop in Chicago when he was 17. And so we had this connection. I'd written an article about it years ago on Hodinkee and pulling it out and putting it on actually made me, uh, just jot off quick email to this guy, Bill, uh, from whom I bought it. Uh, he's based, he's a carpenter out in, uh, in Oregon and just thought I'd write to him. I hadn't written to him since I, you know, the year that I bought the watch from him, we sort of struck up a friendship and, So we chatted a bit back and forth and it was kind of fun to reconnect. So there's that element of it too. So anyway, it's, you know, given the weather and everything else, I don't know, it just feels like the right watch and I'm real happy to be having to, uh, be wearing it today. |
|Host|So what have you got on? Yeah, that's a, that's a good one. Oh, I'm, uh, I, in, in planning for this episode and filling in our notes and everything, I, I, I pulled out the, uh, the S three or two, you know, it's been a couple of weeks since I had it on. That's the, uh, Braymont GMT in the smaller size, the dive watch. Oh yeah.  For those of you who don't know it, that's probably going to be my watch of the summer. We can talk more about that in a few minutes, but that's what I put on. It's on a kind of a green two piece canvas, which I think is a strap from Hallios, but I moved the buckle from the Braymont over. So it looks very much like a Braymont. Very cool. And yeah, it's just kind of perfect. I absolutely adore this watch. I can't wait to put a ton of time in it this summer, underwater, above water, you know, whatever. Yeah. I think this one might have to go with with maybe a bent spring bar and the rubber NATO, the ZD328. Oh, sure. I think it could be the good combo for the sweatier season. Yeah. And yeah, that's what I've gone on. I'm still just so in love with this watch. I just recently got in the new Bamford X Bremont S500 and just reminded me of how much I like this size. Bamford is such a statement piece, both in that it's jet black and bright blue, and it's just a big watch. It's a big watch for a purpose. The same way that you like your S2000, it's not like you're begging for the S2000 to be 40 millimeters. You'd almost be like not getting half of the vibe from it. And I think an S500 or the 2000 on the right strap is a very wearable watch, but it's a very wearable watch for someone who wants a larger watch. That's the point of having these different sizes. And for me, this watch is sort of scratches the itch of what I might put a like a 2254 or, uh, one of the GMT versions of, of the Omega, the previous Omegas. Yeah. Cause it's, it's nice and slim on my wrist. It's got a lot of functionality. It's a real dive watch. And I just really liked the way it works. And, and that the fact that it works on literally any strap, like you could dress this up pretty nicely and you could go the exact opposite direction and go pretty chill with like a Perlon. Like it just works. |
|Jason Heaton|Yeah. Yeah. I feel that about with the exception, I guess, of the S 2000 with, with Braymont dive watches there.  Um, they're dive watches, but they don't feel so overly aquatic. They feel more versatile. They feel like, you know, you know, a lot of people get their hackles up over like a dive watch on leather, but for some reason, uh, Braymont dive watches look good on leather, especially the smaller ones like the S302. I think the, the canvas strap, I mean, it just kind of makes it the sort of, you know, hiker, Jeep driver, cottage work.  you know, whatever, and then throw it on a, on a rubber NATO and you can jump in the water with it. That's absolutely cool. |
|Host|Yeah. Yeah. Great. So, I mean, with, with that, with that kind of out of the way you want to jump into, you know, it's loosely summer EDC, what we're calling it is closer to like great summer gear. That's going to be watches, clothes, and other things that we'd like to have or carry with us throughout the summer. |
|Jason Heaton|Yeah. We've, we've done versions of this, I think in the past, I think, I think seasonal topics. I, I enjoy doing them. I think with the weather changing, I get excited about getting outside and doing stuff and, and, inevitably you accumulate new stuff or you pull out old favorites every time the season changes. And you know, our apologies to, to those listeners in the Southern hemisphere who are just coming out of summer, but, uh, Oh, true. |
