
# The Grey NATO – 194 – Trading Watches and Cars for Arctic Adventure with Hugh Francis Anderson
Published on Thu, 26 May 2022 07:00:10 -0400



## Synopsis
This episode features an interview with Hugh Francis Anderson, a writer, adventurer, and environmentalist based in Tromsø, Norway. Hugh shares stories about his expeditions, including sailing to Jan Mayen island to climb the world's northernmost active volcano, and his plans to recreate the first crossing of Greenland next year. The hosts also discuss the upcoming Windup Watch Fair in Chicago, where The Grey NATO will be exhibiting. They cover various topics such as adventure photography, gear choices, and the appeal of being present in the moment during expeditions.

## Links
- [episode page](https://thegreynato.substack.com/%0A194hughfrancisanderson)
- [episode MP3](https://www.buzzsprout.com/2049759/11310924-the-grey-nato-194-trading-watches-and-cars-for-arctic-adventure-with-hugh-francis-anderson.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 194, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegraynado.com for more details. Jason, how are we doing today? |
|Jason Heaton|Oh, I'm doing really well.  Pleasant enough, uh, if a bit chilly, uh, early summer day, I guess I'm being optimistic in that, but, uh, yeah, it's feeling good spending a lot of time outside. The days are long. I mean, what, what, what can be, what can be bad about that? |
|James|Yeah, this is the first one back for me after, I mean, literally the first one back for me after the, the, what, what's generally considered kind of the kickoff of the summer here in Canada, which is a Victoria day weekend. It's kind of similar in some ways to our Memorial or to your Memorial day weekend, which is next weekend.  Yeah. Uh, so we, we had some nice summer temperatures, uh, here in the city and then up at the cottage this weekend, but also some pretty insane storms and, uh, we've had warm and cold kind of come, come and go. So, uh, I'm going to go for a nice bike ride after this recording. It's nice and sunny out. I'm looking forward to a little bit of a vitamin D. Yeah, that's great. |
|Jason Heaton|Yeah. I, I got out, um, this past weekend. It wasn't, we've got our long weekend coming up, but, uh, I finally got out on the water. I didn't kayak at all last year. I realized, um, water was kind of low all summer, so I didn't do any Creek paddling, but, Saturday morning, I just, um, threw the kayak on the defender and drove down to this lake near our house and paddled around a bit. It was pretty, pretty incredible. You know, you, you, you think of kind of urban adventures as being pretty tame. And, uh, I was, I was out on the water kind of paddling along the shoreline and out of the corner of my eye, I see a very large bird with that familiar flash of white. That was a, it was a bald eagle.  And we get them around here, but, but this was a truly like, uh, you know, discovery channel Nat Geo kind of experience because it's swooped down no more than 30 feet in front of where I was on the water, swooped down right in front of my boat and scooped up a fish right in front of me and then flew back up to the tree just above me and then proceeded to just tear the fish apart and eat it. And I was like, I mean, that's, that's why you get out. You know, that's, to me it was, It was such a magic experience. And I still get goosebumps thinking about it because it's, you know, I mean, it's no better, it's no worse than, than taking a trip to some far flung place and going on safari and watching, you know, an apex predator track down a gazelle or something like that. It was, it was, it was really cool. |
|James|That's awesome. |
|Jason Heaton|So that was fun. And then, then there's a Creek that, that I portage to, I kind of took the kayak on my shoulder and hiked a little ways out of the Lake on the other side and jumped on a Creek that then kind of dumps out right, not too far from our house and walked home with a boat and then jogged back up to get the defender and drive it home. So it was like one of those really kind of fun micro adventure days, um, multi-sport multi-sport day that, that, that I love. And it was really cool. And I'm excited for this episode. I mean, this is nothing like what, what our guest does on a regular basis, but, um, along those, that theme it's, it's definitely the time of, of year to get out of the house and just kind of link up some hiking, biking, paddling, uh, adventures. So absolutely. Yeah, for sure. And then, uh, and then did some gardening on Sunday. We've, we've been getting a lot of plants in, we're trying to get, you know, the season's so short here as I'm, as I'm sure it is where you are. It's like, I mean, it's, it's crazy to think that it's the end of May. We're just putting in, you know, tomato plants and peppers and trying to like get stuff to grow because it's, it's done in four months. I mean, you, yeah, you need to do a lot of growing in a very short period of time. So, so we kind of jumped on that on Sunday, but, uh,|
|James| Yeah. We've got the nursery going just a couple of feet to my left of, uh, you know, one of those growth stations. Oh yeah. And some, some of that stuff will get transplanted outside in the next little while, but yeah, no, it's, it's definitely a nice way to, especially after you have like the busy day, the water, the run, the, the, the rest of it. Yeah. To come back and have something that's a little bit more contemplative. Yeah. Like a, like gardening. So yeah, I appreciate that quite a bit. |
|Jason Heaton|Totally. Yeah. It was, it was kind of the perfect weekend actually. Yeah. And then just briefly, I wanted to kind of throw a thanks out to, everyone that's gotten in touch with me with ideas for, um, our upcoming trip to North Carolina. You know, I mentioned on our last episode that Kashani and I are planning a trip in June to the Asheville area where we're, we're renting a cabin and we're going to try to get out and do some, some hiking and that sort of stuff. And I've, I've just gotten tons of, you know, great ideas and offers and recommendations for everything from breweries to hikes to, um, there's a guy who, uh, oversees the adventure department at, at, uh, at, uh, an outdoor center there who, who offered to, to hook us up with some whitewater rafting if we want to do that. So, you know, it's just been, it's been great. And that's what I love about our TGN community. So I appreciate everybody's feedback on that. So I can't wait to get out there and explore a new part of the country. It'd be really fun. |
|James|Oh, it's going to be so good. I think, I think that's a beautiful area and I think you've got a good time to go there and it sounds like you're, you're not going to be short on recommendations. So that's, that's awesome. |
