
# The Grey NATO – 195 – Big Watches With Oversized Charm
Published on Thu, 02 Jun 2022 06:39:46 -0400



## Synopsis
This episode of The Gray Nado podcast discusses big watches that the hosts Jason and James enjoy wearing, especially during the summer months. They each pick 5 watches that they consider "big" and share their thoughts on why they like these oversized timepieces. The watches discussed include models from Bremont, Omega, IWC, Panerai, Seiko, Citizen, and Oris. The hosts also share some book and product recommendations during their final notes segment.

## Links
- [episode page](https://thegreynato.substack.com/p/195bigwatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310923-the-grey-nato-195-big-watches-with-oversized-charm.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, Lou's discussion of travel, diving, driving, adventure, gear, and most certainly watches. This is episode 195 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all very much for your continued support.  And if you'd like to support the show, please visit thegreatnado.com for more details. Gosh, you know, speaking of that, I mean, just over our long holiday weekend here, James, I saw a bunch of new supporter folks sign up over the weekend and I've shipped off those kits today. So, you know, exciting. I mean, the crowd keeps growing. It's really, it's really awesome. |
|James| Yeah, for sure. Yeah. And we're obviously in a moment, I'll do a re-up on the wind-up watch fair attendance in Chicago, which I think already looks incredible. Yeah. But then for those of you who are wondering, the kind of annual run of the packages will reset in November. And at that time, we will announce what the next year's package comes with for new or continuing supporters of the show. We will have a bundle. A lot of you will come to the end of your first year around November, and then that'll run kind of until the next November, if that makes sense. Because we do get that question a little bit, and I think that's kind of solidified. Yeah. As far as bundles, if you want a different way of getting the bundle, you're going to need to get to Chicago. That way, we don't even have to ship it to you. We'll be selling the bundle along with a handful of other things at the Windup Watch Fair, July 15th, 16th, 17th at Venue West in Chicago. We're really thrilled that we got an offer from the Windup team, the guys at Warn & Wound and such to come by and run a table and say hi to people and be part of the programming, record some shows, the rest of it. I think it's going to be super fun. Most of the plans are in place. We've got a bunch of really fun merch. We've got even everything from free all the way up to a supporter bundle and annual supporter bundle will be available. Lots of fun stuff that I don't think we're really just going to share. I think you've got to come to the show to see what we've kind of put together. Yeah. But it's some stuff outside our norm and some stuff that people have been asking for for a while.  Yeah, so the show runs for the bulk of those three days all day. Swing by, say hi, we'd love to see you, love to meet you. Goodness, the other list of vendors, if you needed more reasons than just go to see Jason and I or whatever, the vendors list is incredible. So there's some amazing brands there. We're looking forward to it and we hope to see you there. If you can make it, again, that's July 15th, 16th, 17th. And then the other thing that has come up about WindUp is people were asking if we're going to do a specific kind of outside of wind-up TGN hangout? The answer to that is no. Not only is wind-up happening in Venue West, there's also a Pitchfork music festival in Venue West. So finding a bar that could take a few hundred people, at most probably, maybe more like 100, 150 people like we had in New York a few years back, would be almost impossible. And the other thing is, it would be doing essentially the exact same thing we're doing all day at the show.  There'll be a bar at the show. You'll be able to get a beer if that's what you want to do. So if you want to come towards the end of the day and have a beer and say hi, we'll be there. That's what we're there for. And that I think will count as the meetup. We're essentially doing three, the 15th, 16th, and 17th of July. Venue West in Chicago, the Wind-Up Watch Fair. |
|Unknown|Yeah. |
|James|So that's the plug for the big fair. I'm awfully excited about it, Jason. I think we're actually ahead of our planning schedule. We've got a place to stay. We've got... Knock on wood. |
|Jason Heaton|I hope so. Yeah.  I hope we haven't forgotten something crucial. |
|James|You know, we definitely have forgotten something, but thankfully we have the better part of what, six weeks here still. So we can still put it together. |
|Jason Heaton|We have a place to stay. You have a plane ticket and, uh, and we've got some merchandise on order, uh, ready to, to bring along. So I, I think that's the bare minimum. I think, uh, I think it'll be awesome. I think it'd be great to see a bunch of people. Everyone's ready to bust out. Not only because it's, well, it'll be midsummer by that point, but, uh, it's been, it's been a few years, so it'll be great. |
|James| Yeah, no, I'm looking forward to it. I've never been to Chicago before. We've already gotten some some nice emails saying like, hey, if you guys are here to do this or that, we're still kind of solidifying what the show schedule looks like. But it's full days for the days that we're there. Yeah. So this, unfortunately, won't be a more social visit visit than being very social at the show. Obviously, if we get a pocket of time or something like that, there's a few few spots in town I'd like to see from sort of a, you know, a tourist perspective. But other than that, mostly just going there for the show. That's what we're excited about.  Jason, aside from the new news and that, and that kind of stuff, uh, how's the last week been? |
|Jason Heaton|Uh, good. Yeah. You know, we had, as I mentioned, we had the three day weekend and you and I talked just before we pressed record that, you know, long weekends are so wonderful. And then Tuesday hits and it's like the reality sets in of this compressed week with, with lots to get done. But boy, looking back, it was, it was a great kickoff to summer. It felt like a proper old fashioned holiday summer weekend. We, um, we did a little gardening here at home and then Um, went out to see my parents and spent a couple of nights at their place. They live on a little lake. It's very peaceful. And, um, I helped them with some yard work and we took some time on Sunday to go for a really long bike ride. We rode to a town about, uh, 15 miles away and got some coffee and then rode back and that was fun. And we grilled salmon on our little, uh, snow peak, uh, grill outside and managed to go out for dinner another night. I finished a couple of books and then I did something I just don't do enough of, which is I just took several naps. I mean, I just kept like between activities, I would just lie down, like put my earphones in and, and before I knew it, I was asleep. And it was like, I don't know, naps are wonderful things. I really wish I could do it more often. It was great. |
|James|That's awesome. Yeah. I, I went when it happens, when a nap happens, I'm certainly not against the idea. It can be hard to plan for it though. |
|Jason Heaton|You took a long weekend as well. I mean, obviously you're, you're in Canada, but, uh, Your work for Hodinkee means they were probably shut down for Monday as well, right? |
|James|Yeah, it was a little quiet for that. So I was around, I ended up spending a good portion of the weekend chasing down some electrical issues with the Jeep. It wouldn't start reliably. And I went back and forth, you know, with dozens and dozens of YouTube videos and a multimeter trying to figure out if it was something more extensive than the battery, which of course I replaced in February.  I sunk a ton of time into sorting out the Jeep and trying to figure it out. And then, uh, you know, the, the bummer was that I believe it was the alternator. Uh, it looks like it was a diode in the alternator or several diodes in the alternator, because when the Jeep was running, it looked normal. You know, it was providing a charge, the battery would hold a surface charge, all that kind of stuff. But, uh, it looked like something was leeching.  from the battery when it was off. And, uh, you know, after going over a bunch of the vehicles, wiring and checking grounds and, and condition of the wires and all the plugs and the rest of it, um, I finally pulled the alternator and ran, uh, another test and it failed that. So I've, I've swapped the alternator in on, um, Monday morning, yesterday morning. And, uh, and so far so good. I mean, I think, I think the damage might be permanent to the battery. Uh, it doesn't, it's not looking good. Uh, it's, you know, it's, it's having trouble. It's dropping, you know, below eight volts on crank, which is a pretty bad sign for the life cycle of what's a brand new, fairly expensive battery. Uh, so yeah, still, still keeping an eye on that, but hopefully this is a kind of the end of that saga and it'll just cause otherwise it's been running great. And now I, now I don't know if the last battery that died in February was because of the, this alternator starting to fail in sort of a sneaky way. |
|Unknown|Yeah. |
|James| So I don't really know. I did my best. Electronics is not really my strong suit. I'm at this point getting better with a multimeter, but some of it's pretty nebulous when it comes to cars. And then I've made a significant number of updates to the Jeep's electronics in terms of the lighting. I don't think there's an incandescent bulb left in the vehicle. So I didn't know if it was something like that had happened or or an animal had gotten in and chewed through something and it was it was causing some sort of parasitic drain or something like that. So hopefully this does it. Otherwise, I've got to go to a different sort of layer of work. But while dealing with that, I did get up to the cottage and we did a bunch of work there. So, you know, put some trim and did a little bit of demo in the kitchen and a lot of paint and that kind of stuff. So it was still a really nice weekend. I spent Sunday evening with my family.  uh, with a little celebration and it was, uh, all things told aside from the kind of background headache of, of not knowing if your car is going to start. Uh, it was nice. Yes. It is always nice to have a long weekend, but boy, does Tuesday really come in with a bang? |
|Jason Heaton|Oh yeah. Did you have to do any bump starts like park on a Hill and start it that way? |
