
# The Grey NATO – 196 – Why We Love Diving (And You Should Too!)
Published on Thu, 09 Jun 2022 06:28:42 -0400



## Synopsis
This episode of The Grey Nato podcast is a discussion about scuba diving in honor of World Oceans Day. The hosts, James and Jason, share their experiences getting into diving, the gear and equipment involved, and the sense of adventure and exploration that diving offers. They encourage listeners who are interested to give diving a try, even just a discovery dive on vacation. The hosts also touch on some recent pop culture like the new Top Gun movie and the return of the TV show Top Gear.

## Links
- [episode page](https://thegreynato.substack.com/p/196godiving)
- [episode MP3](https://www.buzzsprout.com/2049759/11310922-the-grey-nato-196-why-we-love-diving-and-you-should-too.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 196 and it's proudly brought to you by our ever-growing TGN supporter crew, which keeps growing every single day, I've noticed. We thank you all so much for your continued support. We appreciate everybody out there. Certainly, if you'd like to support the show, please do visit thegrenado.com and you can find all the details on how to sign up and maybe even get yourself one of our TGN Grenado straps as part of the deal. Without further ado, let's dive into it. James, we run our kind of weekly reminder here, shouldn't we? |
|James|We don't need to belabor this point. We've said it on past episodes. We'll continue saying it until the episode right up in mid-July, but we will be at Windup Watch Fair in Chicago. We are crazy excited about it. Everything is coming together, which doesn't normally happen. July 15th, 16th, and 17th at Venue West in Chicago. We would love to see you. We will be there. We will have some merch. We'll have some stuff that doesn't cost anything. We'll have plenty of time to chit-chat.  And we're going to be recording some episodes. We're going to be hanging out. We're going to be checking out all the other amazing brands. They're going to be there with us. It's going to be an incredible crew. And if you can make it to Chicago, we highly recommend that you do and come by and say, hi, we would love to meet. And that's what we intend to do. July 15th, 16th, 17th, Venue West, Chicago. Be there if you can be, and we'll be there too. All right, man. |
|Jason|How's last week been?  Uh, it's been good. I think, you know, you and I had similar themes for this past weekend. It was, uh, it was wiring on vehicles, uh, sort of a vehicle electrics, uh, weekend. You, you got your Jeep, uh, issue sorted and I did some putzing on the, uh, on the old series three Land Rover got, um, one of the headlight headlamps that was, uh, never quite working properly. We'd kind of flicker and go out and finally just wasn't working at all. So I got that sorted with the help of a friend of mine. We did some.  multimeter testing and ran a new ground wire and soldered some connections. And now, um, now it works. Now I can actually legally drive after dark and still see something. So I'm pretty pleased about that. |
|James|That's great. That's great. So now with this one, you're still operating on what a sealed beam. Yeah, it's a sealed beam. I mean, they're, so it's not amazingly bright for no. |
|Jason|And if Enrique Mushant is listening, he's long urged me to upgrade to at least some halogen H4 bulbs, which, which I might do someday now that I've actually got, you know, reliable wiring that, that provides power and ground to both sides. Um, I, I might look into that next time I need to change the bulbs. The fact is I don't really drive this thing after dark much, but you know, there's always the chance that if you're out for an evening and you get caught out after dark, I mean, literally it was, it was one very low powered right hand headlamp that was working consistently and that just didn't cut it. So it was good to get that sorted. |
|James| Yeah, for sure. I mean, it was one of the first things I did to the Jeep, which has H4 halogens is what it had was I went to LED because there's so many people that there's the community that supports the Jeep is so big that there's all this other product, right? And these, the seven inch circular lamp is the same one that goes in certain transport trucks and some Harley Davidson. So there's all this like crossover and you can spend from 20 or $30 for something really cheap that might or may not make it through a Canadian winter.  to which of course didn't have a projector. So I'm just blinding people driving down the road. And now that I'm an older guy, I just, I can't stand it. And I always think back to how much of a jerk I was with some of the lighting I put on my cars. But with the Jeep, it has several little projectors all built into the bulb. And as long as you level it correctly, despite the Jeep being quite a high vehicle, like where the headlights are on it are up there, like with some pickup trucks and that sort of thing. And probably the Defender. As long as you level them correctly, people don't flash at me, which is nice as well.  I can see the argument for keeping the older bulbs because of the look, which is why I worked pretty hard to try and find an LED, you know, array that still had a silver background on it rather than all of them are black. And my Jeep is green. So with the black, it's like too stealthy. It's too kind of trying too hard for my aesthetic. Yeah. But then you'd have to, what, install a light bar or something to kind of support it. And then you run into the rules as to like, are you even allowed to run?  a light bar as in the place of headlights or a fog light. There's rules for every state as there are in Canada, right? So, uh, I'm glad that it's working though. You need headlights of some sort, but I'm a big fan of like bright, properly aligned headlights. |
|Jason|I'm a big proponent. Speaking of alignment, I mean, this is just an aside, but you know, both of these vehicles are, um, they were UK vehicles. So right hand drive. And my understanding from something I read was that, um, because these were originally meant to be driven on the, left side of the road instead of the right side, the angle of the headlamps might be incorrect for this country. Um, so that might be something to look into. So I'm not blinding somebody, so I'm not like mis-aiming and like shooting it right into people's eyes or, or something, but I, I've never really figured out what that's all about. I don't know if that's in the bulb itself, or, I mean, if you look at the back of the series three, I mean, there's no, There's no real room for adjustment. |
|James|There's no little alignment screw or spring system? |
|Jason|Well, everything's kind of corroded and it's just sitting in this sort of, you know, barrel, this sort of plastic sort of bowl in there. So I'm not sure that that one, the defender might be a little bit more modern, but not by much. |
