
# The Grey NATO - 197 - Watches, Design, And Wartime Photojournalism With Robert Spangle
Published on Thu, 16 Jun 2022 07:00:07 -0400



## Synopsis
In this episode, Jason and James interview Robert Spangle - a photographer, photojournalist, product designer, and former Marine. Robert discusses his background, including studying fashion design, doing a tailoring apprenticeship in London, and getting into photojournalism covering conflicts. He talks about his experiences embedded with units in Ukraine for 2.5 months, the gear he brought, and his approach to capturing the human stories amid the conflict. Robert also shares insights on his Observer Collection product line, designed for travelers and inspired by his extensive time on the road. The conversation covers topics like ethical storytelling, maintaining balance between intense experiences, and finding purpose through creative pursuits.

## Links
- [episode page](https://thegreynato.substack.com/p/197spangle)
- [episode MP3](https://www.buzzsprout.com/2049759/11310921-the-grey-nato-197-watches-design-and-wartime-photojournalism-with-robert-spangle.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the great NATO, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 197. And it's proudly brought to you by the ever growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit the great NATO comm for more details. Jason, how you doing?  I'm doing pretty well. |
|James|We're, uh, we're in kind of a weird week here. We, we recorded, uh, episode one 96, just a couple of days ago. Um, and then since both of us are traveling next week, we, we were holding onto this, this really exciting chat where we're going to be debuting here today. And so now we're just kind of getting around to the, kind of the intro and outro stuff. So, uh, not much new to report, but no, not so much North Carolina. And then you you're off to a little further afield going to Italy. |
|Jason Heaton| Yeah, I'm just gearing up for this trip. I mentioned it on the show that would have gone up yesterday. So, you know, we don't have to belabor this, of course, but, uh, I'm going to Italy with Chopard for, um, kind of the kickoff of Mille Miglia and some other, uh, sort of Italian based adventures, I hope. And then other than that, I'm, I'm kind of getting the cameras and everything ready for a couple of car shows this weekend, uh, here in Toronto. So triple zero and marked are putting on rare shades. This is, I think, rare shade six or seven, if I remember correctly.  And it's basically a big collection of paint to sample Porsches, like rare paint to sample Porsches. Very specific. And, uh, yeah, yeah, exactly. So it's, you know, it's kind of like a Skittles thing. Like, you know, there's, it'll be a lot of very similar cars and then just in very nerdy colors and that sort of thing. So it's at the Aga Khan, which is this like incredible award-winning museum and, um, and piece of property in, uh, in Toronto. So that should be pretty fun. And then on, uh, on Sunday, there's a collecting cars, show with, um, the guys from the throttle house, one of my favorite YouTube channels, that's out of Toronto here, uh, all about cars and, uh, they're going to do kind of a big cars and coffee thing in, um, just, just not that far from where I live near, near a spot called Oakville. |
|Unknown|Oh, nice. |
|Jason Heaton|Yeah. So that that's kind of my weekend. It's a couple of car shows and then probably otherwise just kind of working to keep everything on track for, uh, taking a few days to, to go to Italy and put things together out that way. So we're, uh, Yeah. We're underway, but like you said, not, not a ton more to talk about considering we recorded, you know, just a few days ago. |
|James|Yeah. And this'll be, uh, our little, our weekend plans and even our travel plans will be old news by the time this episode even airs, because it'll be, I think we'll both be back. |
|Jason Heaton|Uh, I'll be honest coming back. I think when this goes up. Yeah. Okay. Yeah. So this would be edited in the field somewhere. If, uh, if it sounds a little bit rougher, it's because I did it at 30,000 feet. I hope you'll Give me a little bit of buffer there. Speaking of travel and places we're going to be going in the future, obviously it's the top of the show, so we want to do a quick heads up. We will be attending and exhibiting at Windup Watch Fair in Chicago. That's July 15th, 16th, 17th at Venue West. We would love to see you there. We'll have some merchandise. We'll have some free stuff. We're going to be hanging around for the entirety of the show.  happy to hang out, happy to meet, uh, say hi, that sort of thing. We're going to be doing some programming, some live podcasting and stuff like that. So be sure to swing by windupwatchfare.com slash Chicago. It's in the show notes, if that's easier and check out the programming and really a list of really awesome brands that are going to be joining us as a exhibitors in, uh, in July. So if you can make it 15, 16, 17th, uh, venue West, we'll keep saying it until we, uh, run out of time to keep saying it. |
|James|So, yeah, and it's coming up fast. Yeah, I'm excited.  A little daunting. I think we have everything in order. We've got a place to stay. We've got some merchandise on order that should be here in time. And, uh, you know, what else to do? I mean, we're, we just show up and, and, and keep caffeinated, I guess. |
|Jason Heaton|I would think so. Yeah. Keep caffeinated, try and get a little bit of sleep. I think it's going to be a really nice time to, to hang out, you know, watch stuff is slowly coming back. You know, kind of stuff in general is kind of coming back, which is nice, but to, uh, to connect on like a TGN level rather than something really fancy, like an SIHH or a Watches and Wonders, that sort of thing. I'm, I'm really pumped. |
|Unknown| Yeah, it's gonna be fun. |
|James|Yeah. Well, we've got a long chat here with, uh, with our main guest here today, so we should probably dive into it. But before we do, how about a quick, uh, wrist check? What are you, what are you wearing? |
|Jason Heaton|I actually just threw on my Seiko Monster. Oh, wow. Uh, it was, it was on my desk and, uh, kind of calling to me. I, I just finished, um, kind of putting together the final touches of a review, which will be live by the time this episode goes up of that Aorus I talked about last week. Yeah. That really weird 36 and a half millimeter, uh, full steel, uh, kind of re-edition, uh, for the Holstein 2022.  Um, and, and I wanted something that, that kind of, I don't know, I, I saw it and I've been thinking a lot about dive watches. I, you know, obviously it was a world oceans day, uh, last week and that sort of thing. So I grabbed the monster and that's what I've got on. It's nice, you know, shake and bake and put it on and it just kind of works in the summer as well. |
|Unknown|Yeah. |
|James|What are you going to wear to, uh, to Italy? I guess, I guess, what did you wear to Italy? |
|Jason Heaton|Yeah, that's a good question. I don't really have a plan for what I'll take to Italy, probably either the, the Explorer 2 or the Braymont. |
|Unknown| Yeah. |
|Jason Heaton|Um, I don't, I don't think it's the kind of one where I'm going to want multiple watches and, and I may very well try and see if I can get something really special from Chopard to borrow for a couple of days and do some photos and that sort of thing. So if that's the case, I might just throw on like the, the gold Seiko, like thin light, something that will stay out of the way for the most part. I mean, it calls for a vintage watch, but I'm currently pretty short on, uh, like dressy vintage watches. They're all out for service still. Yeah. |
|James|Cool. |
|Jason Heaton|How about you? What have you got? |
|James|Yeah, I, I pulled out a watch that I haven't worn for, gosh, it's probably been a couple of years. I've been on a bit of a doxa jag lately. Yeah. We've been having some fun chats. Yeah. Yeah. I've been wearing, you know, I was wearing my, my T graph for a while there. And then I pulled out this the sub 300, this is the, I think they called it the, the tribute to aqualung or something. This was back a couple of years ago. This is the shark hunter variety. I actually have all three. I've got all three of these black lung.  limited editions. The Shark Hunter is by far my favorite. I mean, I know it's probably the boring choice in terms of when you stack it up against the Silver Sea Rambler or the Orange Pro, but I don't know. There's something about a Shark Hunter that always calls to me. And this Sub 300 case, I hadn't worn one in, gosh, like I said, a couple of years. And I threw it on a... CWC makes these slightly elastic NATOs, which are really nice. And I always forget that I have this strap and I pulled it out, put it on this watch. It's a dark gray bond striped one. So it's, it's the, you know, it's the black and gray bond stripe, but very subtle and it's stretchy. And I don't know, the watch just kind of looks the business. It's super comfy. Yeah. Yeah. I love this watch. I, I'd forgotten how much I love it. So I'm really happy. They're so good. Yeah. |
