
# The Grey NATO – 199 – Citizen
Published on Thu, 30 Jun 2022 06:45:23 -0400



## Synopsis
This episode of The Grey Nado podcast covers a loose discussion on the watch brand Citizen. The hosts, Jason and James, discuss their history and experiences with various Citizen watches they've owned over the years, from divers like the Autozilla and Aqualand to field watches and more. They also highlight some of Citizen's current offerings that catch their eye, like the new Promaster Mechanical Diver, Nighthawk models, and unique designs like the C-3PO watch. The discussion touches on Citizen's pioneering technologies like Eco-Drive and radio time synchronization, as well as the brand's vast collection spanning different styles and price points.

## Links
- [episode page](https://thegreynato.substack.com/p/199citizen)
- [episode MP3](https://www.buzzsprout.com/2049759/11310919-the-grey-nato-199-citizen.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 199 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank everybody out there so much for your continued support and if you'd like to support the show Please visit TheGrenado.com for more details. James, we're two weeks away from Windup in Chicago. We talk about it every week and people are probably getting tired of us plugging this, but we hope to see a lot of people there and I think we will. |
|James|Yeah, we're going to be attending and exhibiting at the Windup Watch Fair in Chicago. That's July 15th, 16th and 17th at Venue West. We'll have some merchandise to sell. We'll be there all weekend to meet with people, to hang out, to record some podcasts, to take part in some of the programming with some of the other brands.  It's a really incredible looking show. It's got a really great list of vendors and brands and kind of activities and setups and the rest of it. So certainly swing by windupwatchfare.com or hit the show notes on Substack for more details. We would love to see you there. I assume at this point, pretty much all of you have heard about it. You know, Chicago is a great place to go for a little vacation. And if you want to swing by the show and say hi and maybe pick up some something cool from us or one of the other vendors, I think that's kind of the point.  Otherwise, Jason, how's the last week been? We're still putting things together for the show, right? Just little details here, there, a lot of Photoshop kind of stuff and getting some of the visuals ready and that sort of thing. And now just starting to really plan in some of the programming as well. |
|Jason Heaton|Yeah, I do feel like it's coming together. It felt a little bit like a big lift for a while there when we were getting the merchandise all sorted and whatever, but now it's settling down and I feel like you know, just time to load up the Defender and get on the road and head down there. And I'm really, really psyched to go and I've gotten so much, you know, as you have and as we have via the TGN email box, just, you know, people reaching out with encouragement and excitement about coming to say hello to us. |
|James|Yeah, a ton of comments on last week's episode, it must be said. Yeah. You know, we had that episode all about various watch rules, which I found really funny and Some of the crew have put in watch rules I didn't even realize were a thing. Yeah. Talk about the esoteric at a certain level, right? It is at once something that could be a little bit frustrating about this hobby, but also something that kind of makes it special. Yeah. Is the specificity and the variety of people and feelings and perspectives and the rest of it. So if you were skipping on the comments or whatever, and you want to swing by Substack and check it out, I think that's a pretty good place to start because there's some good ones in there. A few that I've earmarked to reply to sometime this week because some of them are pretty funny.  Some of them are some great questions as well. Some good comments for sure. Jason, you also had some news this week, right? Just in the last couple of days. |
|Jason Heaton|Yeah. So I've been working with Paul Andrews, who's a listener of the show. He's a really talented designer based in England, and he had designed the cover for Depth Charge, my first novel. And now that I'm kind of well on my way in my follow-up book, Um, which I've titled sweet water. Um, I approached Paul to, to do some more work on the new book and he came back with a really great cover that, that obviously echoes that of depth charge with a, with a different, I guess you'd say a different setting, um, given the, given the, the, uh, the plot of the book. And it's so exciting to like, just have that cover. And so I, I put it out on Instagram. I wrote up a bit of a, I guess the back cover blurb or an elevator speech, kind of a synopsis of the plot.  um for for what the novel is going to be about and uh I don't know it feels more official to have a cover to look at with my name on it um as it was with depth charge it's it's really cool and I've gotten just tons of exciting encouraging feedback from people that uh that are also excited about it you know people are already asking about you know pre-orders and are there going to be t-shirts around the book and whatever and you know all I can say at this point is I'm I've got a prologue and four chapters written. So I've got. Watch this space. I've got work to do. Yeah. Watch this space. We'll, we'll chat about it in the future on TGN and just keep an eye on, on my Instagram. And I, I changed the depth charge novel Instagram feed or profile to Tusker underscore novels just to, to, so that I can use it for future book releases and information. So you can, you can subscribe to that or, or follow that rather if, uh, if you want to kind of get updates. But yeah, so that was, that was kind of exciting and I was really pleased to get the feedback that I did. So that was kind of my big news. I'm just, I'm just, you know, head down writing chapters, uh, every week and then getting ready for windup. That's kind of where I've been at the, for the past little while. How about you? You, uh, you got away for a bit of a impromptu long weekend at the cottage, right? |
|James|Yeah, I, uh, I've been doing much, uh, really like just, just working a lot, kind of staying off of, uh, off of the internet as much as possible.  Went up to the cottage this weekend, just kind of chilled. You know, we kind of had a plan to do some more, uh, kind of rental work and, and that kind of stuff. But we got up there and the weather was like kind of perfect, but as good as June can really do, uh, you know, high twenties, low thirties, water was warm, but not too warm. And, uh, ended up just kind of swimming and checking out a brewery and that kind of thing. It was a, it was a really nice weekend. I, um, I'll talk about, uh, one, one special element when we get to, uh, to wrist check. Well, yeah, you know, good weather, some solid snorkeling, got a got a upfront experience, not well snorkeling with a with a nice sized snapping turtle, always a fun animal to kind of get anywhere near. Yeah, you know, before we do get to risk check, I got two shout outs I wanted to get get into the show. The first one is giant mouse. This the knife brand Jason that you have some experience with. Yeah. And they were kind enough to send me a knife. It's the ace grand It's kind of their EDC sized folding knife with a G10 handle in bright orange. I think I put an Instagram photo up last week sometime. I'm really impressed. You know, a super solid knife, feels great, works really well. It's insanely sharp, really comfortable. Nice deep pocket clip on it as well. So a big thank you to Giant Mouse for sending that my way. Certainly very generous and not exactly required at any level. I certainly have plenty of knives.  a really impressive product. So I wanted to make sure I shouted that out. |
|Jason Heaton|Yeah. Giant mouse. Um, it's an interesting company, you know, they, they had sent me, um, a couple of their knives, uh, a year or two ago. Um, one of their management team, Jim is, uh, is an ardent listener of TGN, uh, really likes the show, um, likes what we talk about. And, uh, and so he was kind enough to send me a couple of knives a while back. And then recently, um, knowing that, that I'm a diver, he sent me, they had done a limited edition knife.  called the Ranae or Ranae, which is like Latin for, for frog. And, um, they had done this limited edition dive knife for the Danish frogmen. Uh, I don't know what you'd call it, society group, whatever they'd like the support group for either retired or current, um, Danish special forces divers. And it's this big, scary looking kind of commando style knife that they produced in limited number for this group.  And I was wondering what the connection was with Denmark. And it turns out that Giant Mouse's two of their founders were, are, sorry, Danish. And so that's kind of where the Danish connection is. Jim is American and he's on the management team as well. But yeah, I got to thank them for that as well. It's a knife I don't, I won't be like clipping in my, to my calf while I go to the grocery store or anything like that. But it's just a very impressive blade. |
|James|Yeah, no, I was, like I said, you know, it's not an ad or anything just They were kind enough to send one. And, uh, I've had certainly had the pleasure of owning a wide variety of, uh, of pocket knives and folders and the rest. And I would say that, you know, the, I think they sell these for about 195 bucks and it makes perfect sense that that money, if you're used to anything in that price range, I think you'd be very much impressed by, uh, by this. And, uh, I got to say like the orange, you know, with the sea rambler just kind of works. |
|Jason Heaton|It's a nice little combo, easy to find too in the dark or in the bottom of a bag or something. |
