
# The Grey Nato - Episode 02 - Origin Stories
Published on Tue, 16 Feb 2016 08:50:32 -0500



## Synopsis
This podcast episode discusses Jason and James' origin stories and how they got into watches and adventuring. They talk about specific watches that sparked their interests like Seiko dive watches, the influence of movies/TV ads, and transitioning from digital watches as kids to automatics as adults. They recommend affordable watches good for adventures like the Seiko SKX007 or Marine Master 300m. They discuss beating up watches through real-world use and adventures to give them stories and character. For book/video recommendations, they mention works by authors like Robert Kurson, Jon Krakauer, Tom Wolfe, and adventurers featured in TED Talks without reproducing full copyrighted text. The overarching theme is balancing a passion for watches with an adventurous outdoor lifestyle.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-02-origin-stories)
- [episode MP3](https://www.buzzsprout.com/2049759/11311122-the-grey-nato-episode-02-origin-stories.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 2 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton, a Minneapolis-based freelance writer for a number of gear, travel, and timepiece publications, including Gear Patrol, Hodinkee, Revolution, and Men's Journal. |
|James Stacey| And I'm James Stacy. Based in Vancouver, I call myself a professional enthusiast. I write about watches, cars, and almost anything that catches my eye for a blog to watch.com, nouveau magazine, and more. Today, our main topic is origin stories. Uh, we're basically going to discuss where we got our start in watches. It's kind of the common thing that comes up at a cocktail party or, or, you know, a get together with other watch guys and gals. And, uh, I think it's something that is probably best covered in an early episode of the gray NATO. So.  Jason, where did you, where did you kind of get into watches? What led you to watches? And how long has this been, you know, essentially some sort of a problem in your life as far as your love of watches? |
|Jason Heaton|Yeah, this feels like a therapy session. No doubt. You know, I always wore a watch. I'm sort of a, I was a teenager in the 1980s. And I always had sort of cheaper watches, Timex Ironmans and, and Casio's and things like that. But there was one point in the mid-80s when my friends and I used to as teenagers or want to hang out at the mall and I remember walking by a jewelry store there and there was there was this big steel dive watch in the window and it was a Pepsi bezel you know the red and blue bezel it was it was a Seiko and I'm not sure exactly which reference it was it might have been one of the 7002 references but Um, at that time it was just so different from anything I'd seen or it wasn't, you know, something like that wasn't even on my radar. And when I saw it, I just had to have that watch. And I remember going into the store and, and trying it on and I had this big, beefy, long rubber strap. And, um, it was an automatic, you know, so the secondhand swept smoothly and, you know, it was 80 bucks or something like that at the time, which, um, was way more money than I had. And so I remember I worked all summer.  cutting grass painting houses and I raised enough money to buy it and I wore that watch for years and I just I loved it I felt like you know I felt like James Bond or something when I was wearing it. It was just like it immediately sort of set me on the course of not only watches but it's sort of it also tied into sort of a more adventurous lifestyle it was sort of the tail end of my high school years and I was kind of trying to figure out what to do with my life and and you know I can't I don't want to overplay it, but it sort of set me on the path that I took for the rest of my life, you know, sort of mingling diving and adventure and watches all in sort of one package. And, you know, I don't have that watch anymore. I've got a good handful of Seiko diving watches, but, you know, I can distinctly remember that episode sort of setting me on this course. How about you? How'd you get into watches? |
|James Stacey|For me, you know, I grew up Essentially, as soon as I could read, I was reading about cars and military aircraft, really just anything kind of mechanical and interesting and kind of out of the normal. So I've loved that a long time. And then my other favorite thing when I was really young, like a little, little kid was anything that glowed in the dark. So I remember watching TV and there was an ad for the very first generation Timex Indiglo. |
|Unknown|Oh, yeah. |
|James Stacey| I want to say I was about six or seven years old. And we went to, uh, for my birthday, we went to a movie and before we went to the movie, you know, we stopped at the bay and, uh, and got one of these, uh, Timex Ironmans. And I don't think I saw like two or three full minutes of the movie, which I think was Beethoven. That the Beethoven with a dog. |
|Unknown|Yeah. |
|James Stacey|Because I just sat there, you know, pressing the Indiglo button for two and a half hours straight.  I think that first battery lasted like three months. From there, uh, you know, I pretty much just kind of stuck with digital watches. And then as I got older, I got pretty deep into loving tech and, uh, and that sort of thing. That's certainly my, my earliest roots in podcasts are some of the really old tech podcasts that are still around this week in tech, Dignation, stuff like that. And, uh, and then towards the tail end of university.  I realized I wanted a watch because I had one that someone had given me for a gift and then the battery died and I didn't know that you just put a battery in it and that sort of thing. So I started googling watches and it's been a long term problem of mine that I start googling something and then I wake up 10 years later and I've essentially found the end of whatever Google's got. But with watches you don't find the end, there's no end.  Right. So I think that's pretty much what brought me to here. But yeah, I bought I bought, you know, I'm only casually ashamed to admit in my early days, I bought a couple Invictas. |
|Jason Heaton|I haven't had the pleasure. |
|James Stacey|Two months later, I realized, you know, I found out what a Rolex really was. And the fact that I was basically just wearing the worst of the worst clones. |
|Unknown|Yeah. |
