
# The Grey NATO – 200 – The Past, Present, and Future of TGN
Published on Thu, 07 Jul 2022 06:56:33 -0400



## Synopsis
This is the 200th episode of The Graynado podcast where the hosts Jason and James discuss the past, present, and future of their show. They reflect on how the podcast began after James had wanted to start a watch podcast for years. They received a pivotal endorsement from Hodinkee early on which helped grow their audience. The podcast has evolved through different phases including an ad deal with Hodinkee to going ad-free with a Substack subscriber model and greater community engagement. They express gratitude for their supporters and look ahead to potentially doing in-person events, merch, collaborations with brands, and even organized travel experiences for listeners in the future, all while maintaining the core spirit of the show.

## Links
- [episode page](https://thegreynato.substack.com/p/200pastpresentfuture)
- [episode MP3](https://www.buzzsprout.com/2049759/11310918-the-grey-nato-200-the-past-present-and-future-of-tgn.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. We've made it to episode 200 and it's proudly brought to you by you, the ever-growing TGN supporter crew, all of you out there listening. We thank you so much for your continued support, especially those of you that have been with us since episode one. And if you'd like to support the show, please visit thegreatnado.com for more details on how you can sign up in various capacities, whether it's just a free feed of the show or if you want to support us financially, we're appreciative of all of that. So, James, we made it. How are you doing? Yeah, not too bad. 200. |
|Unknown|It's pretty exciting. |
|James|Yeah. Yeah. You know, I guess the big thing that we've been saying at the top of every show, it's kind of, it is in many ways the way that you and I are celebrating 200.  is we'll be at wind up watch fair in Chicago. That's July 15th, 16th and 17th. I believe this is our last warning, um, about our, our attendance because we won't be doing a show next week. We're too tied up with, um, with, uh, wind up and everything that goes with it. Uh, so there won't be a show, uh, next week on the 14th. The next one we'll be back on the 21st with, um, I guess it's all sorts of stuff from the show. Yeah.  or at least the start of things from the show. We're going to record several episodes or pieces of episodes, that sort of stuff. And some late-breaking news, a special heads up for those of you who are planning to visit the show on Saturday the 16th. We've booked the lounge space at Venue West for a little TGN hangout from 5 to 6 p.m. right at the end of the show. Should be a nice way to end the day with a bit of socializing. So if that timing works out for you, we'll see you there. And of course, a big thanks to the wind-up folks for helping us secure that slot.  and that's windupwatchfare.com. You can find it in the show notes, July 15th, 16th, 17th at Venue West in Chicago. We're very excited to the point of being a little bit stressed about things like flight cancellations, which is seemingly what Toronto's airport does the best these days. |
|Jason Heaton|Defender reliability for the first eight hour drive. |
|James|Yeah, we both may have pretty significant drives. Can you imagine? |
|Unknown|I think the chief would make it. |
|James|Yeah, yeah.  It's got a battery. It seems to be running these days. One of us will be there. By hook or by crook. Yeah, exactly. Somebody will be there. Other than that, I mean, you know, this is 200. We're not really breaking the mold with this one. We're going to kind of talk about the past, present and future of TGN, especially because we have so many new listeners that may not know some of the origin stories. You know, before we get to that, Jason, how was your weekend? It was a long weekend, July 4th, long weekend, July 1st, long weekend for the Canadians. How are things on your side? |
|Jason Heaton| Yeah, good. I mean, it was, it's, uh, it's, it's a hot muggy July day here. I mean, it was, it was kind of warm and mixed weather over the weekend. We had some rain yesterday, which, you know, if I'm honest, a good rainy day every now and then is, uh, is kind of welcome when, when, you know, summer is like dawn till dusk kind of busyness. And, and so it's kind of a rainy day. It's kind of forced downtime. And so I enjoyed that, but, but, uh, yeah, other than that, I mean, I, you know, did a little of all the summer essentials over the weekend.  went to a friend's house for, for, uh, it was actually a vegetarian barbecue, which was interesting and fun and very tasty. And, uh, drank some beer there and, and went out for a long bike ride on, I guess it was Sunday. And then late last week, I bought one of these, uh, I don't know if you've seen, um, this might fit more into our, our watch talk, but, um, Mark too, you know, our friend Billy Yao, um, his company released a limited edition Paradive, one of our favorites.  kind of micro brand dive watches with Prometheus design works. And, you know, Prometheus is one of those kind of small brands that makes really cool outdoor gear, kind of tactical stuff and good practical outdoorsy stuff. And, and they released this, this really cool version of the Paradive with them. And, uh, you know, Prometheus has been kind of on my radar. You and I both have one of their compasses and as part of the promotion or the lead up to the release of this watch, They had been kind of teasing out this photo of this really cool zip up wetsuit jacket, uh, that they call the Waterman. And it wasn't part of the promotion with Mark too, but it was, um, it was featured in some of the photos and I really wanted kind of a lightweight, uh, wetsuit jacket. So I bought one and it arrived last week, just in time. I signed up for an open swim club that swims around buoys out in the Lake near our house. And so.  I gave it to the it's made in voyage last week and really love it. So if anyone's kind of looking for kind of a lightweight, you know, thin neoprene zip up that you can wear for, you know, snorkeling or, or, uh, open water swimming or, or some scuba diving, it's, uh, I highly recommend it. It's, uh, so far it's, it's been really great. So that was fun to kind of get in the water and, you know, get away from, uh, you know, a bike and running, which I've been doing most of this summer and do a little bit of swimming. So, uh, that was great. Just getting in the lake.  So yeah. And, and I saw that you also did some, some snorkeling as well. Some underwater photos even. |
|James|Yeah. Yeah. We had a, we had a fun weekend. We had really great weather. So I was, I was kind of up at the cottage first through the fourth, uh, for the most part of the longer weekend. And I had decided that, you know, as slowly dipping back into diving, um, I wanted a new mask. Uh, it was the last thing that broke for me when I, when I kind of ended my foray in diving a few years back, I had a Cressi mask that just broke while I was on a trip, and I hadn't bothered replacing it. I always just figured, well, I've got other stuff to do that'll also get me to a dive shop, so I'll just buy another mask when I get the chance. And I had had a couple cheap Cressi masks from Amazon that just no matter what I did, would not not fog up. I did the toothpaste treatment, I did the senior frog stuff, I did the gel. I've done the I've done pretty much all of it. The baby, the baby soap, like all of it. And, and no matter what, like either something's on the mask or something's like, wasn't quite right in the manufacturing, they were so cheap that for all I know that could be knockoff Cressy's if that's such a thing. So I ended up, uh, you know, taking my own advice, going to a local dive shop. Um, my, uh, eldest daughter needed some equipment as well. Fins, a proper mask, that sort of thing. She's really enjoying this, the snorkeling as well. And I, uh, I tried on a ton of masks and decided on a Halcyon H view.  Uh, you know, a well-known company in the dive space. I'm really only used to the Cressy stuff and maybe some of the scuba pro masks. That's what my, my shop in, uh, in Vancouver carried. And then I remember I was on, uh, Clipperton and I tried, uh, one of my co-divers brought a spare atomic mask. It was, uh, uh, supported by them at some level. And, uh, and if, you know, I think it's like a five or $600 mask and it was incredible. Um, like really high end optic, the rest of it.  This Halcyon HV was a little over a hundred bucks, maybe 140 Canadian, something like that. And so comfortable that you kind of forget it's there. |
|Unknown|Yeah. |
|James|And it's a, it's one of the single frames. So it's one larger panel of, um, of glass with, um, a really simple skirt, uh, not a lot of structure to it, a little bit more old school than it's look and just like very, very comfortable, low volume, bright, easy to use. And I did my normal treatment, which had worked on past mass, but not those cheap Cressies.  And no issue with fogging either. And just had a really nice weekend of snorkeling. I've got a little bit of a gear review coming in final notes for taking some pictures underwater, good or bad. So we can get to that when we get to it. But yeah, beyond that, I have the the Bremont S302 on my wrist with a rubber NATO. We recently published a recently published like a story on Houdinki about like the watches we'll wear this summer. And that's what's going to be on my wrist for the majority of the summer other than, you know, aside from something like an SPB 143, which I'm sure we'll get sometime on wrist as well. I don't know if you saw that post Jason, but the comments got kind of wild. Cause some guy got in there and was on my case about suggesting that people wear their dive watch in the water. Oh really? Oh, I didn't see that.  Um, let me find, let me find the exact. And if you're listening, like if you're a listener of, of, I don't, I don't mean this as shade necessarily, but it is a buck wild comment because like dive watches are literally made to go underwater. Oh my God. Let me see if I can find it. It's here somewhere. And you know, it's, it's hard to encapsulate somebody's like entire comment or entire thought process in a single comment. Cause sometimes it can be hard to explain the depth of your thinking. But this guy said, why on earth would you wear a watch to snorkel? Do you wear socks in the shower?  As a watchmaker, so many customers come in with water damaged watches cause they read things like this and they think they can wear their watch in the water. Watch enthusiasts keep your watches away from water. It's one of the worst enemy of watches and it's a bad habit for a lot of watch owners. And like, I don't like, I'm not even sure that this is real. It might be a joke. Yeah. Um, I could see that my friend, my friend who posted this, if, if you're actually a watchmaker, you are wrong. Like, Just like with dive equipment, like a dive watch is meant and designed to go underwater. Yes, of course it has to be serviced and cared for, but this is a brand new dive watch that's certified to 300 meters and I'm using it for about three meters. And even if I was using it for 30 or 40 meters, short of mechanical failure, like in usage, leaving a crown unscrewed or the watch wasn't serviced correctly over time, I've never had a watch flood.  So I don't, I think this is just such a, like a wild comment. Like, I think you're dead wrong for one thing. One, your watchmakers, so people flooding their watches or needing to service their watches should be in your favor. You would have customers from that within like, if your comment had been, don't take your watch underwater. If you're not sure that it's water resistant, get it tested. We say that all the time. That's great. That's great advice for sure. But this is a, like a brand new watch well under warranty has been cared for. And I checked the crown before I jump in, but like, I'm in and out of the water all the time with pretty much all of my modern watches. This is, uh, this is not good advice, uh, from, from this comment. |
|Jason Heaton|Yeah. And the socks and the shower analogy doesn't, doesn't hold up either. I, that's not even a parallel situation. I just don't get that. |
|James|I mean, if, if I, if I own shower socks, sure. Yeah. I might wear them in the shower when I wanted to. Yeah. Maybe if I was using a public shower or something like that. Yeah. Um, but like socks aren't made to go in the, in the, in the shower and a dive watch is made specifically.  designed in many specific ways to go under. Wow. Uh, yeah, it could, yeah, it could, it could be that this is just like a, uh, a nice troll at which point, you know, well played. But I just, I like, I was, I was literally like had the watch on sitting on the dock about to go in and was just like randomly killing some time in the sun, kind of warming up. And I saw this comment and I was like, I don't even want to log in to reply to this. |
|Jason Heaton|This is crazy. Let nature take its course with a comment like that, I guess. |
|James| Jason and I are pretty much on the record. Wear your watches well, take them in the water if they have water resistance to support how you're using them. And if you're worried that they might flood or that they're too old and the gasket might not be secure, et cetera, get them quickly serviced by a watchmaker or just test it. Have them dry tested to a certain depth, that would be enough, and go from there. I mean, Jason, you've dove with vintage watches several times. They just have to be kind of like you would take a vintage car racing.  It just has to be checked out and ready to go. Uh, you can't assume that everything would be water resistant, but, uh, for a brand new dive watch, uh, I, I disagreed pretty deeply. |
|Jason Heaton|Your, your photos from, from the weekend, the few that I saw on Instagram look, uh, that I'm, I'm highly jealous of that kind of beach setting that your dock setting, the water looks just perfect there. It's like this kind of Sandy slope that kind of goes into the water. And then there's kind of gentle grass and kind of weeds, but not like the kind of the dark and scary, weed choked lakes that we get a lot of around here. So that just looked ideal. |
|James|Yeah. The lake has zebra mussels. So it's quite clear. Uh, the water is quite clear. Huge infestations, zebra mussels cut my toe pretty good on one. Um, that's, which is just going to happen. The difference this year is, and they'll come, but the difference this year is it seems like the weeds themselves, the, the, the long weediness on the bottom has been delayed. I went out a good distance into you know, quote unquote, deeper water. That's a really shallow lake. 15, 16 feet is the norm. Um, and, and the snorkeling area, like where we, where we hang out is where it's nice and bright and full of fish is like three to six feet maybe. Yeah. Yeah. Um, super easy, great conditions. Uh, not too warm, not too cold, but just right. But, um, the weeds or whatever are really delayed this year. Uh, I think by this time last year they were pretty high and there were whole kind of walls of them in some places.  but the visibility is super high this year and we just haven't seen the weeds yet. It could be that the temperature is maybe a little down or I'm not sure. |
|Jason Heaton|Oh, interesting. So you had the Bremont on then, what are you wearing for episode 200? |
|James|For 200, I figured I'd pick what felt like kind of my most TGN-esque watch in terms of an evolution of the form. Yeah. I think obviously the Doxa would have been a great choice, but I've been wearing the Doxa a ton and I decided that the SPB 143 kind of represented 200, you know, from episode one, we were talking about SKXs and, and SRP 777s and stuff like that. Um, and, and I feel like as the show's grown, so has kind of Seiko's offering in the space. Uh, and, and I still think the SPV 143 is just, um, just a fantastic watch for the money. It's a little on the expensive side for a watch with that movement and that sort of timekeeping. And I think you can maybe get better value from some of the Swiss options these days, but there's something I like way more about a Seiko. Yeah.  You know what I mean? Like when you factor both for what they're offering at a pure product level and then how it hits me, the Seiko hits way harder than what you can find at say $1,000 to $1,500 from a Swiss brand. |
|Jason Heaton|Yeah, and I think watches are about so much more than the specs or what's on paper or even the price. I think that watch, for whatever reason, I associate with you more than I think any other watch that you have, even your Explorer.  I think your, your love of it a couple of years ago when you got it and just kind of the look of it, it just fits your personality and kind of your vibe. And, and I think it's, it's a great choice. And I, I still think that watch holds up. It's, it's a watch that I always kind of eye out of the, you know, the corner of my eye when I see it pop up for sale or when people are reviewing it and in all of its different forms, you know, with, I love the blue dial version, the white dial version, they're, they're just, they're such killer watches. And I think Seiko for whatever reason, and you know, I'm, certainly not the first or even the thousandth to say it, you know, just holds us such a special place in so many watch enthusiasts hearts. And I think that's a, that's a great choice. |
|James|Yeah. Yeah. It's cliche, but they do, they do just kind of hit different. Yeah. And there's, there's something about cracking open a Seiko box. That's not the same as some of the other stuff I've bought and owned. Yeah. Yeah. Um, there's, there's some joy to it. Cause you know, you're not challenging your ability to pay your mortgage, maybe to, uh, to have one, but it's still a real dive thing. It's still kind of comes from this great history. Yeah. And, um, and it feels distinctive from, from the stuff that that's chasing, you know, to look like a sub, right. Um, a submariner. Um, Oh, and then the other fun one, did you catch a, uh, over, uh, world oceans week, we did a little photo breakdown with Becky. |
|Unknown|Oh yeah. Yeah. |
|James|With Becky shot and the lead image. And the reason I picked it, the lead image, she's wearing an SPB. I don't remember the exact reference. It's the Ellie with the gold hand. |
|Unknown|Oh, sure. |
|James| but it's on a bracelet over her dry suit. Oh, it's huge. And the bracelets got about 20 extra links in it. I love it. Yeah. I'll put that in the show notes in case you missed it. But when you were talking about the different versions, I was like, Oh, but that's the, that's the coolest person in the world wearing one right now is Becky with that giant bracelet. |
|Jason Heaton|I love it. You put it on your thigh. Yeah. |
|James|Yeah, yeah, exactly. So what have you got on for 200? You've got lots of, lots of pretty TGN sort of stuff to pick from. |
