
# The Grey NATO – 203 – Mike Pearson (Zodiac) And Wesley Smith (Standard H) From Windup Chicago
Published on Thu, 04 Aug 2022 05:44:43 -0400



## Synopsis
This episode features two interviews from the Wind Up Chicago watch fair. The first is with Mike Pearson, who works for Zodiac watches and was instrumental in originally connecting Jason and James. They discuss Mike's background in the watch industry, his passion for watches and storytelling, and his excitement for his new role at Zodiac. The second interview is with Wesley Smith, founder of the apparel brand Standard H. They talk about the origins of his brand, his podcast focused on entrepreneurship, his automotive and watch interests, and his plans to expand Standard H's product line.

## Links
- [episode page](https://thegreynato.substack.com/p/203pearsonstandardh)
- [episode MP3](https://www.buzzsprout.com/2049759/11310915-the-grey-nato-203-mike-pearson-zodiac-and-wesley-smith-standard-h-from-windup-chicago.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches this episode 203. And it's proudly brought to you by the ever growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show directly, please visit thegraynado.com for more details. Jason, how we doing? |
|James| I'm doing pretty well. It's, uh, it's a rare evening recording session for us here. Um, you're, you're just back from a long travel day and, uh, yeah, it's, uh, it's pushing, well, it's seven o'clock here, eight o'clock your time in the evening. So I don't know if this, this episode will take on a different tone, but, uh, at least the main topic was, was kind of prerecorded. So we'll, we'll see how the intro and outro go for us. |
|Jason Heaton| Yeah, this is the third of our four-piece wind-up Chicago chat. So we've got Mike Pearson and Wesley Smith on. Two separate chats, one with Mike Pearson and another with Wesley. Mike works for Zodiac now, but is largely the guy that connected Jason and I. And then Wesley Smith is the fellow that founded Standard H, makes some great t-shirts, and is really just a lovely dude to sit and chat with. Yeah. So that's going to come up in a few minutes here. I'm fresh back from eight days on the West Coast for a Hodinkee project.  Uh, some of which has made it to social media at this point. I'm going to save it for a longer thing that can wrap once people see the project. I think that's when I would talk more in depth about it. Uh, but we're out there just filming a ton of stuff and it went for a long, long time. And there were some pretty, pretty long days in there as well. It was amazing to see some old friends in LA. We drove on a dry Lake bed, drove a Range Rover on El Mirage, which is pretty cool.  attempted to go diving in Monterey at Monastery beach. And unfortunately, due to the quality of the rental gear kind of went through a significant amount of headache with the weights and the rest of it. And then got in the water, got all the way out there. And at depth, I couldn't keep the mask on my face. So it was, uh, it didn't work out. It didn't work out for me, but, uh, Cole had a lovely dive with a few folks, including Asha Wagner, uh, such a treat to meet her in person. Uh, you know, core TGM, uh, friend of ours and, uh, and yeah, and get to hang out with her and have a beer afterwards and the whole sort of thing. It was, uh, it was awesome. So, uh, Asha, if you're listening, thank you so much for the hospitality in, uh, Carmel and Monterey. And, uh, hopefully we cross paths soon. I definitely, uh, owe you a dive that I actually, you know, come on. After that, I lost my wallet. So that's been super fun, really great experience. Um, and then I, I literally, I got home four hours ago.  So yeah, just, uh, just getting into this, uh, to make sure we stick on schedule. Uh, but yeah, it's been, it's been kind of a crazy weekend and once I know what actually makes it into the video, there'll be, there'll be more to talk about, uh, about it. And certainly I think we have Cole on to chit chat about it as well, but it was, um, it was fun. It was nice to, nice to be out and about and, and see parts of, uh, California I've never seen before. Big Sur and, uh, the one and that sort of thing. |
|James|Yeah. You were up and down the whole, the whole length of the state. I mean, it's such, it's such a vast, state with so many kind of different individual cultures and ecosystems there. And, uh, yeah, I mean, it seemed like you were gone for so long. Every time I would kind of pop in and communicate with you about how our, uh, kind of shop launch was going, it was like, well, where are you today? And you were just, you were, you were everywhere. So yeah. Good to have you back home. |
|Jason Heaton|Yeah. We, we, we got around for sure. Yeah. Um, and, and speaking of how, how did the shop launch go? |
|James|Shop launch went really smoothly. I mean, it's been a busy week. Uh, Ghoshani and I have been busy, you know, packing and shipping and, and, you know, kind of, uh, doing various FedEx runs. We, we kind of started out doing them in the back of the defender, like literally chock full of, you know, hundreds of packages. And now we're down to kind of daily bicycle FedEx runs with, you know, a dozen dozen shipments. So, um, it's, uh, it's kind of down to more of a manageable trickle, but boy, it was hot and heavy for the first couple of days. And I was just so pleased how.  How people received the merchandise that we were selling at the Chicago wind up and and so excited. I mean, people are already getting them and posting pictures and it's been great to see where the kerchiefs are popping up. Someone, you know, had their kid hold one up on kind of a mountainside somewhere. And yeah, it's just it's been really cool, really, really going well. So thanks to everybody for for the response and being so understanding. And certainly if you have any any problems, issues, questions as you're Packages are arriving or not arriving. Uh, if that, if that's the case, uh, unfortunately I haven't had much of that. Um, do get in touch at thegranadoatgmail.com and we'll get you sorted out. |
|Jason Heaton|Yeah. And if you, if you didn't catch the last episode where we kind of gave the breakdown of this, it's, um, it's a bundle of merch offered in, in, I mean, you get to pick the size of the t-shirt, but otherwise it's a fixed bundle and it's a t-shirt, a gray t-shirt with a logo on it.  On the on the left chest, one inch enamel pin, a square three by three sticker with our slogan or kind of statement at the top of the show. And of course, the Cantonment kerchief set, which is a two kerchiefs and one of which being the TGN adventure flag. So if that's something you're keen on, visit thegranado.com slash shop to take a look. And Jason, am I accurate in saying inventory is a little low for medium and large, but other sizes are still looking okay. |
|James| Yeah, I mean, as predicted, I guess medium and large are the popular sizes. We didn't order as many smalls and two XLs, and there are a handful of each left. But strangely enough, you know, it's been an interesting kind of demographic study of the TGN audience. I thought more XLs would go, but we've got a fair number of XLs. So if you're a size extra large t-shirt, you're in luck. We've got a lot of those left, but we're getting down there for medium and large. I don't remember the last count, but it's, you know, it's getting down there, so don't Don't delay, um, get your order in if you're interested in getting some of this stuff. I think the, the kerchiefs are kind of the super unique part of the kit and, and, uh, right. And we've got plenty of those left. |
|Jason Heaton|So, um, yeah. Yeah. I would expect that we'll do another bundle at some point in the future. It just may or may not have the kerchiefs there. They were kind of a fixed thing that took a bunch of time and in hat had a very set kind of production number.  Yeah. And, uh, I really, really like them. So if you're, if it's something that you, you feel like you'd want to get in on, uh, now, now it would be the chance for you. Definitely. Let's see. We got a little bit of housekeeping to get through. Uh, first off, uh, Q and a, I know it's late. We're recording this on the second, it goes up on the fourth. I'll be recording a Q and a next week. Uh, when I'm back in, in full pace after this trip and, uh, in a little bit of, um, time off I have this week, the Q and a will come out next week, probably Tuesday, Wednesday, something like that.  Oh, the other one, uh, TGN is taking a summer break. So, uh, there will be no new episodes on the 18th or the 25th of August. So you've got an episode on the 4th and, uh, one the following Thursday, and then we're going to take two weeks off and then come back September 1st with a really cool extra special episode that has a time peg. Uh, and, and if you're into some of our most popular shows of the past, I think that you'll, you'll really enjoy this one. |
