
# The Grey NATO – 204 – Oris North America CEO VJ Geronimo From Windup Chicago
Published on Thu, 11 Aug 2022 06:18:52 -0400



## Synopsis
The episode starts with Jason and James welcoming listeners and discussing their recent activities, including Jason's trip to Milwaukee for diving and harvesting vegetables. James talks about attending a Fleet Foxes concert which he describes as one of the best he's ever been to. They then discuss James' upcoming hiking trip during their two-week summer break from the podcast. The main segment is an interview with Vijay Geronimo, the CEO of Oris Watches North America. They discuss Oris' involvement with events like Wind Up Watch Fair, the brand's sustainability initiatives like the Billion Oyster Project, new product releases, and Vijay's personal history in the watch industry. The episode concludes with Jason and James sharing their picks of the week - a dramatized movie about the Thai cave rescue and a YouTube video about minimal desk setups.

In the second paragraph, Jason and James share their weekly picks - Jason recommends the movie "13 Lives" about the Thai cave rescue, while James suggests a YouTube video from the channel "The Dream Desk Setup" showcasing a modern and minimal desk organization.

## Links
- [episode page](https://thegreynato.substack.com/p/204vjoris)
- [episode MP3](https://www.buzzsprout.com/2049759/11310914-the-grey-nato-204-oris-north-america-ceo-vj-geronimo-from-windup-chicago.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 204, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please do so by visiting TheGreyNado.com and clicking on the support link.  For more details. Yeah. James, how's it going over there? |
|James|Yeah, not too bad. You know, this is our last episode before taking a two week summer break. So if you're listening to this kind of in line as it comes out, there won't be an episode on the 18th or the 25th, but we will be back on the first with a very special chat. I think people are really going to love it. And we're excited to have that one come out. But we are going to take a couple of weeks off to kind of regroup and do some stuff. You know, it's been a busy season between wind up and then launching the the shop bundles.  I mean, I don't know what I'm saying. A lot of that, Jason, is your busyness. How's the, how are the shop bundles going currently? |
|Jason Heaton|Shop is going gangbusters. In fact, it's, I would say it's almost winding down just because we've sold out of medium and large t-shirts. There's probably one small left at this point when we're recording, that'll probably be gone by the time this episode airs, but do check the shop link to the graynado.com slash shop. We definitely overestimated the number of XLs.  Needed. So there's, there's plenty of those left and then a handful of two XL. So if you're a bigger guy, you work out a little more than, than the rest of us, uh, you might, you might be in luck here with a couple of these, uh, these bigger shirts. And then, um, in terms of the enamel pins and the, the kerchiefs, those are starting to get down there as well. So at some point we're probably going to switch over to. Partial kits or, you know, just individual items or something. So just, just stay tuned to that. But I think for the next couple of weeks, we'll ride with what we've got and then assess things in September. |
|James| So we'll be back, you know, September 1st with new details, depending on how the orders work out. But a big thank you to everyone who's been so supportive of these bundles and the bits and bobs. And we're basically getting daily, more than daily kind of Instagram tags for people taking the kerchief, the adventure flag on. Incredible. On adventures, everything from like going and chopping wood to a great walk with the dog to, you know, like more intense stuff. So it's been super fun, especially the like micro adventures that, you know, which we've talked about a ton in the past. |
|Jason Heaton| Yeah. Yeah. Yeah. So cool. A guy sent a photo. I don't think I was able to, to repost cause I think he's a private guy on Instagram, but he sent like a short video of he had, he'd like run it up on the, on the, one of the lines of his sailboat and it was like flapping in the breeze. It was, you know, it's just, it's just really cool stuff. |
|James|I love it. That's so good. I love it. Yeah. Yeah. I'm, I'm taking a vacation during, during our, our two weeks off and going somewhere I've never been before. So I'll be sure to take it with me. I'm, we're going on sort of a hiking trip.  Uh, you know, to a, to a place you've never been before. So I'm pretty excited. It's a, it's very cool. |
|Jason Heaton|Wow. Wow. That's awesome. Yeah. I'm, I'm, uh, headed down to Milwaukee on Sunday, um, for a couple of days with my old dive buddy, Chris, and we're gonna, we've got a boat, a small boat chartered with a guy who has a boat and we're going to go out and do dive a couple of wrecks, uh, off of, uh, offshore there. So that should be fun. I'll, I'll be sure to take the kerchief and, uh, try to get a photo or two of that. So I'm looking forward to that. Yeah. I think, I guess we're, I guess we're, we're making like Swiss watchmakers and actually taking a little bit of summer, summer holiday. |
|James|A little bit. Yeah. Just, just a little bit, not too long. Don't want to leave people hanging for too much. And obviously I'll miss recording shows with you. Yeah. But yeah, it'll be nice to, to have a break and come back kind of, kind of like back to school. Maybe, you know, with the pencil sharpened as it is. Right. Yeah. I think it'll be good. What else, what else you've been up to? I mean, we're, we're recording this a day early due to my return to a Hodinkee work schedule.  Um, but it was a fun weekend on my side. How about you? |
|Jason Heaton|Yeah, it was pretty fun here too. We, we hadn't been down to Decorah, Iowa, which is where Ghoshani went to college and lived with a family down there for a few years. And so we hadn't seen those folks in a couple of years since before COVID. And so we, we just, it was a quick 24 hour trip. We drove down, met up with them, had some dinner and then, um, and then drove back yesterday. So it was a quick turnaround and it was a really rainy weekend. And when we got home, there were like tons of of vegetables ripe and ready to harvest. So Shani did this big curry cook up with these beans and, and we had some cucumber to harvest and beets and onions and tomatoes. So it's, uh, it's starting now. We're, we're starting to get into harvest time, which has been a long, long time coming. We've been waiting for that stuff to ripen up. So that was, uh, that was fun. So all in all, it was a kind of a rural classic Midwestern weekend going to Iowa and harvesting vegetables. It was great. Very cool. I love it. Yeah. And you went to a concert, you got to see your favorite band. Yeah. |
