
# The Grey NATO – 205 – Bond Author Kim Sherwood On ‘Double Or Nothing’
Published on Thu, 01 Sep 2022 05:30:33 -0400



## Synopsis
The episode features an interview with Kim Sherwood, a British author and lecturer who has been chosen to write a trilogy of continuation novels set in the James Bond universe. Sherwood discusses her lifelong love of the Bond novels and films, her writing process for the first book "Double or Nothing" which sees 007 missing and follows a team of other Double O agents, and her approach to updating certain elements while staying true to the spirit of Ian Fleming's work. Jason and Jason also share their thoughts on Sherwood's book and provide recommendations for other recent novels they enjoyed reading.

## Links
- [episode page](https://thegreynato.substack.com/p/205kimsherwood)
- [episode MP3](https://www.buzzsprout.com/2049759/11310913-the-grey-nato-205-bond-author-kim-sherwood-on-double-or-nothing.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello, and welcome to another episode of the Graynado. |
|Jason Heaton|It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 205. And it's proudly brought to you by the ever growing TGN supporter crew. We thank you all so much for your continued support of the show. And if you'd like to support the show, please visit thegraynado.com for more details. Hey, Jason, we're back. |
|Jason|Yeah, welcome back. Yeah, we're We're back after a couple of weeks off. You had some big adventures. I had some smaller adventures. But yeah, it was it was a good, good little break. You feeling pretty good? |
|Jason Heaton|Yeah, yeah, it was nice. It was nice to have a break and, and kind of step back from a few things. I took August off of Instagram, like deleted it from my phone. |
|Unknown|Yeah. |
|Jason Heaton|And then when I went, when I went offline for this, like kind of more full vacation, I disabled my Gmail and the rest of it. So it was really nice. I think my phone, my phone usage went from a, you know, three and a half to four hours a day to like 25 minutes a day. Oh, nice. And I read some books and all that kind of stuff. So it was good. I, I, I enjoyed the break. It was really nice. You know, we're recording this Monday, you know, three, four hours after I turned my email back on. Yeah. And so right now I feel pretty stressed. Yeah. Yeah. It had been kind of a while since I took like a legit vacation that didn't also coordinate with like a holiday. |
|Unknown|Yeah. |
|Jason Heaton|Yeah. Like, you know, you take some time over Christmas, but of course you're running around every day trying to see friends and family and make sure the gifts and everything are all sorted out. So this is like a real, a real vacation. Yeah. |
|Jason|It was, it was good. You blipped on for a brief while and you sent me a couple of photos that looked pretty spectacular. And then you kind of went dark again and I was like, wow, that looks amazing. Tell, tell, tell us where you went. You went out East to the Maritimes? |
