
# The Grey NATO – 206 Re-Reupload – New Watches! Pelagos 39, Diver's Sixty-Five 12H, And The Steel Doxa Army
Published on Tue, 13 Sep 2022 12:00:00 -0400



## Synopsis
The hosts discuss several new sports watch releases, including the steel Doxa Army, the new 39mm Tudor Pelagos, and the Oris Diver 65 with the Caliber 400 movement. They analyze the designs, specs, pricing, and how these watches fit into the respective brand lineups. One host is auctioning off his Doxa Sub 300 Poseidon edition to raise money for a children's charity in Sri Lanka. For final notes, one host recommends a book about the construction of the HMS Queen Elizabeth aircraft carrier, while the other recommends a YouTube channel that modifies children's ride-on vehicles with powerful engines.

## Links
- [episode page](https://thegreynato.substack.com/p/newwatchessept2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11312193-the-grey-nato-206-re-reupload-new-watches-pelagos-39-diver-s-sixty-five-12h-and-the-steel-doxa-army.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 206 and it's proudly brought to you by our growing TGN supporter crew and we thank you all so much for your continued support. If you'd like to support the show and you aren't already, please visit thegreynado.com for more details.  James, second episode back from our summer break. It's starting to feel like back to school time or something here. We've done a few this week. |
|Unknown|Yeah, it sure is. Yeah, this will be our third recording this week because you're going away this weekend and into the next. And it works out fine to do a Friday recording. Should be a nice light topic. You know, we're talking about new sports watches, so it's not exactly the hardest show out there. I wanted to say a big thank you for everyone who kind of Rocked up to the last episode and we great numbers on that episode. And we were so thrilled to have Kim on to talk about the book and to be back after the summer break and the rest of it. So just a, you know, a continued thank you for keeping the show in your list and, and, you know, downloading it the day it comes out, all that kind of stuff, uh, means the world. And it turned out to be a great episode. I think I hope, uh, hope Kim's.  happy at the way it turned out and, uh, and the, the book gets the recognition it deserves. |
|Jason Heaton|Yeah, me too. I mean, I, I heard from several people who kind of rekindled their interest in, in picking up some Fleming books and, uh, and just the bond universe in general. And, and, uh, you know, sadly, I think Kim's book isn't available in the U S for, for quite some time. I think she told us in the interview that, uh, it was gonna be early next year, which, um, um, who knows, maybe there's some back back channels, people can work to get the book. You and I were fortunate to get that advanced copy. |
|Unknown| Yeah, I do wonder if maybe like Kindle or some of the other ones that aren't necessarily distribution based would be available, or maybe that's how the licensing works. Like for them to have the Kindle, they have to carry the paperback or all that kind of stuff. But if it looks like it's not going to come out in North America and some other spots until later, we'll mention it again when it does come out and keep an eye out on that and just give people a heads up. But yeah, 205 came out nicely. The books were added. And to your point, I also did the same sort of thing where I listened to the interview and edited it for the, for the episode. And then like immediately on my Kindle went and bought Casino Royale. And then yesterday I was, I was, um, I was just feeling like I needed a little break. And I started watching Goldeneye, which I don't think I'd watched since I was going to say 11, 12, something like that. |
|None|Wow. |
|Unknown|Yeah. And I actually don't know if I ever saw the whole movie. Like, I think I might've seen an edit of it on TV or maybe something taped to a VHS at a friend's house or something like that. And I really enjoyed it. Credit to what you and Kim were saying in the interview. It does hold up and it's pretty good. I mean, I don't know. I'll go through the other Brosnan ones. There's definitely a couple in there I've never seen, but that one works out really well. Bean's a solid bad guy. It's got the, kind of the big set pieces and the, you know. |
|Jason Heaton|The stunts are off the charts. |
|Unknown|I mean, they're some of the best. Yeah.  Some great ones. I enjoyed it quite a bit. If, uh, if, if you think that they don't necessarily carry the same execution as a Daniel Craig bond, for example, the tone's different for sure. The nineties are different than, than when Craig came along, but they're, they're lovely and they're a little bit more goofy, but not to the point that's like distracting. They're just kind of.  Right. A little bit more funny, a little bit more, you know, there's, there's little site gags and stuff going on with Q, like the, the guy getting stuck in the phone booth and that kind of stuff. And it's all, it's all kind of funny. And I enjoyed it quite a bit. It's a, it's cool. I do agree with the car being a weird, a weird sort of thing as they move into the BMW stuff to see him in the, you know, that, you know, the kind of second opening of GoldenEye where he's in the DB5 outside of Monaco. Yeah. It really feels perfect. Yeah.  Um, and having driven those roads, that's a lot of fun. I haven't driven them in a, you know, in a DB five or a three 55, but, uh, some good roads out that way for sure. |
|Jason Heaton|Yeah. I mean, it makes me think that, that, you know, as we're digressing further into this, uh, more bond talk, but it makes me think that the, um, the first film of each of the bond actors tends to be kind of their best. I mean, live and let die was good with Roger Moore. And of course, Dr. No was fantastic. Uh, golden eyes, casino Royale.  on Her Majesty's Secret Service, which was Lazenby's only film. But yeah, it's like they hit a high point early. Dalton only did two. |
