
# The Grey NATO – 208 – Film Club Vol. 8
Published on Wed, 21 Sep 2022 12:00:00 -0400



## Synopsis
The podcast features a discussion between the hosts about various topics, including an upcoming trip, movies, a notable business decision by the company Patagonia, and interesting articles they've read. They share personal stories and anecdotes, and also have a segment called "Film Club" where they recommend and discuss different movies.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclubvol8)
- [episode MP3](https://www.buzzsprout.com/2049759/11360689-the-grey-nato-208-film-club-vol-8.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 208, and it's proudly brought to you by our TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  James, we're doing an early record on a Friday. It's kind of unusual for us. We both sound incredibly gravelly today. |
|Unknown|Extra, extra gravel. Yeah. The coffee hasn't quite kicked in yet. Uh, just, just kind of got through the, the morning, uh, athletic greens routine and, and then sat down and turned on the mic. |
|Unknown|Athletic greens. That's, uh, I've heard good things about that. You're, you're in a routine with that. |
|Unknown|Yeah, probably, I don't know, six months maybe we've been doing it.  Um, it sounds, it's crazy. It's something I don't talk about on the podcast because that's all you hear about it on podcasts. Is it like one of the most popular podcast advertisers? |
|Unknown|Uh, Oh really? Okay. |
|Unknown|Oh yeah. They're, they're super popular like it, but like as, as one of these kind of blanket, you know, whether it's manscaping or male chimp or, or now athletic greens, but the product itself, uh, I promise I, they did not give it to me for free. I have no relationship with this company, but, uh, the product is great. I like it quite a bit. |
|Unknown| Oh, cool. |
|Unknown|Might have to try it. |
|Unknown|I've heard good things. Yeah, I'm happy with it. You know, I'm not great at doing things like vitamins or necessarily getting all the vegetables I should be eating. Right. So I figure this is a little insurance policy. I think it costs something like two or three bucks a day. That's how they work it out. Yeah. Nice. |
|Unknown|Yeah. |
|Unknown|It sounded like an ad. I really promise it wasn't. |
|Unknown| What else is new here? Well, the reason we're recording on a Friday morning is because you're gone next week. You've got kind of an interesting trip ahead of you. |
|Unknown|Yeah. I'll be doing a little, uh, sort of a content project, uh, talking watches and some other stuff, um, kind of between Zurich and, uh, a couple of stops in Austria. It'll be the better part of a week. Not bad. No, not bad at all. The better part of a week that I'm gone. Um, so we obviously don't want to take a break if we don't have to. So we're just recording this one a little bit earlier.  And, you know, this will be yet another one that's edited on an airplane or something like that. Cause I've got some flights ahead of me. So, uh, yeah, this is the one, one of the last things I have to do, uh, before I leave for that trip. So I'm excited. There's a nice photography angle to this trip, which is good. And I haven't been in the Alps for a while. Right. Um, so I'm, I'm pumped to get back there. I love Austria. I love that part of the world, especially, so it should be, should be good time. And it's some places I've never been before. Um, I have actually, I'm, I said, it sounds like I'm being, um, coy about it. I just, I haven't seen the itinerary. Uh, I just, I know that I'm starting off in Zurich and then we're essentially heading, uh, East crossing a good piece of the country on, uh, by, by car. So, uh, I guess, uh, I'm, I'm still out of pace on Instagram these days, but I'll do my best to kind of spin that back up now that I might have something more interesting than here I am going from my bed to my desk and then to my couch. |
|Unknown|Some good mountain vistas. |
|Unknown|Yeah. How about you? Anything, uh, you, you've been up too much this week. I mean, we did record just a couple of days ago. |
|Unknown| We did, but it's been a momentous couple of days. Our, our buddy, Mike Pearson, who was just on an episode recently, we met him in Chicago. Um, uh, now with a Zodiac watches, he's actually in town this week. Uh, he's, um, helping open Zodiac in a new retailer here, continental diamonds. Good, good friends of mine. Uh, they've been good to me over the years. And, uh, of course, so is Mike and he's, he's in town and I couldn't pass up an opportunity to meet up with him. And, and so, For the past two nights, actually, we've, we've had some curries that the first night he was over here, um, killer chatting with Gashani and me, and he brought a, you know, big bag of watches and we chatted and had a couple of beers and Gashani cooked a good curry. And then yesterday I went and saw him over at, at continental diamonds and, and, uh, chatted with him there. And then we left straight from there. I threw the kayaks on the defender and we, we went to a nearby lake and we, we did some kayaking kind of right at sunset. And it was great. I mean, we were having this, you know, amazing.  late summer burst of warm weather and it was really pleasant. And then after that we went straight to an Indian restaurant and, and, uh, had more curry. So it was a, it was a really good time. Yeah. It was really good to see Mike as usual. He's always fun to see and get caught up. You know, when we saw him in Chicago, I just, I didn't get the, I didn't get a proper kind of catch up with him. So it was really nice to, you know, just, uh, just hang out and chat. |
|Unknown|That was really fun. He texted me and said, you guys had a great time. So I'm glad to hear that, you know, Yeah. Maybe someday we can all link up somewhere. That sounds, uh, but that, that's, uh, that's great that you got out and who doesn't like a good courier too? Yeah. Yeah. That's awesome. Yeah. And then the, uh, you know, the other thing that I wanted to cover before we jump into, uh, into risk check is the, this Patagonia news. I assume most people who are, you know, kind of keyed into something like TGN wouldn't would already know about this, but, uh, you know, I don't think there's anyone in the world who puts his money where his mouth is like Vaughn Chouinard. And, uh, he, I assume you read all about this as well, Jason, but he, has donated essentially the entire company, uh, so, uh, into two different things. So there's a, there's a trust that's going to hold all of the voting stock and essentially operate as the company. And then there's, uh, everything that's non-voting, um, is going to something called the hold fast collection. For those of you who maybe don't, you know, it's been a little while since we talked about Patagonia, but like easily my favorite company in the world. I love the way this guy runs and thinks of business and, and, uh, in my mind, it even, perhaps now more than ever, or in a way that's more important. I've always seen them as kind of the American Rolex. Oh yeah. This sort of, you know, making great products that last, but also maybe at times too popular for their own good. You know, you can make the claim that Rolex is a charity. That's how they are set up, but it's, it's kind of in a different metric than what Patagonia has done. And I guess starting now, they've announced that a hundred percent of the money that's not going to be reinvested into Patagonia will be given to the nonprofit.  And they figured that'll be a hundred million dollars a year to fight climate change is the goal. Wow. Right. Yeah. The estimated full value of this move is something like $3 billion. So apparently, and this is, I read this in several articles, so there must be a root interview or something that everybody's pulling from, but apparently he was recently on a list of American billionaires and apparently that pissed him off. And as the story goes, according to the current CEO, they, he was challenged by the Chouinards, the family, to essentially find a way to protect the future running of the company, but to entirely devote every last penny they could to fighting climate change. |
|Unknown|Yeah. |
|Unknown|The way they did it is all pretty above board, but you know, it's, the family has to pay about 17 and a half million dollars in tax. Wow. So this isn't like you donated and now they get tax write-offs for the rest of their life. Yeah. And because the, the, the Holdfast collective is a 501, they can make unlimited donations to political causes, but there's no tax benefit. Sure. Yeah. So there's no, this isn't like, this isn't like moving money around to, to, to kind of like figure it out. Um, and, and so instead of going public, they call this going purpose, which I think is kind of funny, very, you know, very Patagonia. Right. And, uh, the, the really interesting thing, and this is what I, it took me a couple of things that I'll, I'll link the, um, the letter from Patagonia and, the outside online piece, which was one of the better ones I found about it. Um, but I learned just this morning as we were prepping these notes, the last few stages of notes that the trust has no beneficiaries and the stock can't be sold. Yeah. So there's no upside to doing anything with the, the trust unless they're, they're functioning towards the goal of, you know, cover covering for a climate change. Yeah. Yeah. It's just like one of the most impressive things I've ever heard. |
