
# The Grey NATO – 209 – The 'One Watch' Draft
Published on Thu, 29 Sep 2022 06:00:00 -0400



## Synopsis
Jason and Jason discuss their "one watch draft" picks across different price points - under $500, under $1500, under $2500, under $5000, and over $5000. They share the watches they would choose if they could only have one at each price range, explaining their reasoning and preferences. The conversation covers various brands and models, including affordable options like Seiko and Scurfa as well as luxury brands like Omega, Bremont, and Vacheron Constantin. They also mention backup choices they considered for certain price points.

## Links
- [episode page](https://thegreynato.substack.com/p/onewatchdraft)
- [episode MP3](https://www.buzzsprout.com/2049759/11399328-the-grey-nato-209-the-one-watch-draft.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello, and welcome to another episode of the Graynado. |
|Jason Heaton|It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 209, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details. Hey, Jason, how you doing? |
|Jason Bickford| Good. Good to be, uh, good to be back chatting. We, uh, we had another kind of extended time away, uh, due to your travels, but, uh, yeah, here we are. How was your trip? |
|Jason Heaton|It was good. It was good. It was a long, it was kind of a long trip. It was nearly a week. Uh, I did a little stopover, flew to Zurich and then took the train up to Solothurn, which is kind of this beautiful, small Swiss town. Um, but it's also the kind of manufacturing home base for Porsche design and where they both design and kind of implement upon several different watches.  hung out there, kind of got a feel for what they were working on and what their pipeline is and all that kind of stuff, and tried to figure out if there was any interesting stories, because there are 50 years of the Chronograph I, which is, at least from my viewpoint, probably their most interesting watch. Just a gorgeous design that has really sort of informed German watch design in several ways for the past 50 years. You look at it and you think like, oh, Zen, Right. Bell and Ross, that kind of thing. And you realize, Oh no, these guys came beforehand and had this kind of pretty special watch. You know, they also say it was the first watch to be full black, black case and black bracelet. Right. So we, yeah, we saw a few things from that. It's funny. |
|Jason Bickford|That's a brand that we, I don't think we've mentioned it more than two or three times on our entire history of TGN, but I was curious whether it's, it's to your taste. I mean, I remember going to Basel a few years back and sitting in on some meetings and they had the once they'd kind of revived the brand in the past, I don't know, five years or so, they've really come out with some interesting stuff with that kind of very architectural skeletonized kind of lugs. Yeah. Kind of the, their usual DNA to the, to the design. But, uh, I, I like it. It's just, it's, it's not my thing. It feels very, you know, black turtleneck kind of architect sort of wear more than sporty outdoor stuff. |
|Jason Heaton| Yeah. And I think that's why the chronograph one works to my liking, you know, just it's 1972 sports chronograph looks pretty good. Um, and, and I think the thing that I find found, I mean, now I've now had a lesson in it, but found difficult about under understanding the brand is, is, I mean, to put it simply, I didn't know who owned the brand or why they existed. And the interesting thing is, so I can give you a very brief timeline in the early seventies, I want to say 1970, uh, the Porsche family, uh, sold Porsche cars, AG, Porsche, AG, et cetera.  And part of that sale was that the the current family that was in place would leave their role. Oh, it was now going to going to go to a normal sort of, you know, Germans have German and Austrian. You know, there's very specific ways of doing business. |
|Unknown|Yeah. |
|Jason Heaton|And when that happened, F.A. Porsche, he started Studio F.A. Porsche. And that's the studio that would, you know, previously he had designed the 911 and the 904 and then moving to the studio.  That eventually became the impetus to have Porsche design. So not just designing cars, but designing all sorts of things. Yeah. They've designed trams, boats, cars, you know, electric razors, sunglasses. Yeah. |
|Jason Bickford|Like a backup USB drive that's designed by them. Yeah. |
|Jason Heaton|Yeah. So there's, there's a licensing business there and there's a full on design business. And then on top of that, you have Porsche design making their own products.  And one wing of that is Porsche design time pieces, their watches, which is again, um, kind of homed in Solothurn, uh, since I want to say either 2011 or 2014, it might've been the changed hands in 2011. And by 2014, they started the new watch line, but I could have those dates a little bit off. That's when Porsche, the Porsche took over that brand as well. Um, so it is, these are watches made by Porsche. They say Porsche on them because it's the same company and comes from the same family. |
|Unknown|Yeah. |
