
# The Grey Nato - EP 21 - Watches Under $1000
Published on Tue, 08 Nov 2016 08:54:08 -0500



## Synopsis
The episode is a discussion about affordable watches under $1,000. Jason and James share their recommendations for various watch brands and models in this price range, covering different styles and features like diving watches, pilot watches, and dress watches. They also mention some honorable mentions that slightly exceed the $1,000 budget.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-21-watches-under-1000)
- [episode MP3](https://www.buzzsprout.com/2049759/11311100-the-grey-nato-ep-21-watches-under-1000.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 21 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. You know, we're approaching our first full year of The Grey Nado, and we'd like to thank all of our listeners for supporting us this past 11 months since we launched episode one back in January. As we head toward year two, we'd like to put out a request.  If you'd like to help financially support future episodes of The Gray NATO, or if you have ideas on how we can earn enough to pay for some of the ideas that we've got for future episodes, we'd love to hear from you. We're looking for sponsors, large and small, whether it's a one-time donation, some continuing support, or even a corporate sponsorship. So if you're interested or have ideas for us, please do get in touch, and our email address is thegraynatoatgmail.com. |
|James Stacey| Alright, so on with today's topic, we're talking about watches under $1,000. So while Jason and I may own and chat about watches well over this price point, I think the heart of watch enthusiasm still rests under $1,000. And you can certainly find a ton of stuff to be happy with at that and under that price point. So we each prepared a list and like we have in the past, we've done so blind. So I haven't seen Jason's, Jason hasn't seen mine. So it's gonna be fun to kind of see where we overlap. |
|Jason Heaton| Yeah, I think this is probably the most, to me, the most kind of exciting category of watches these days. And, uh, I think it should be a good, good show. Should we kick it off? Maybe trade back and forth. |
|James Stacey|Yeah, that works for me. |
|Jason Heaton|Okay. Well, the first watch I have, uh, kind of goes back to, it's kind of one of the poster children of sub thousand dollar watches in my opinion. Uh, and it comes from Victorinox Swiss army. Um, it's a brand that I know when I was just kind of getting back into mechanical watches, you know, kind of struck me as just a great bargain and kind of a lot of bang for the buck. And the watch that I'm choosing actually isn't a mechanical watch, but I think it just has enough classic style to it. And I don't think there's really anything wrong with quartz in this category. And it's the Swiss Army Infantry GMT. It just has a really kind of a classic And you know, the Infantry is their family of watches that they're kind of trying to make sort of vintagey or retro style. And this watch, it gives you that added functionality of a GMT hand. It gives you some classic styling. It's got sort of stylized Arabic numerals. It has a 24-hour scale on the bezel. You can get it on a bracelet or on a rubber strap.  It retails for about $450. So, you know, we're talking well below our price point. It's a 40 millimeter case. They always do a really nice job with straps. And I'm just a big fan of Swiss Army. I think you get a lot of value with their watches. I think the cases are really solid. They're really versatile. They kind of have that... I think they've managed to do a really good job with sort of straddling dressy and sporty. And this watch in particular, you know, a lot of people will maybe turn up their noses a little bit at, at the fact that it's quartz, but I think for, you know, $450 for a GMT, it would just be kind of a great bang around travel watch. It's, it's dressy enough. You could, you know, wear it on a trip. It has a hundred meter water resistance. So you could, you know, throw it on a NATO strap and swim with it or hike or whatever you want to do. And then still kind of dress it up enough for evening activities.  You know, if someone isn't really a hardcore kind of mechanical watch snob, and you're willing to look at something with a Swiss quartz movement in it, I think it kind of makes for a great option. |
|James Stacey|Yeah, I actually have a Victorinox on my list. But with the Swiss Army, the Infantry GMT, that's a pretty cool watch. And I've actually had for review the non-GMT version that uses an automatic movement. |
|Unknown|Yeah. |
|James Stacey| And it's a great watch. It's a really wearable and it has kind of a nice pseudo military aesthetic that's not heavy handed. They make it on a leather or I believe like a Milanese mesh. |
