
# The Grey NATO – 210 – On Paper/On Wrist: The Apple Watch Ultra
Published on Thu, 06 Oct 2022 06:00:00 -0400



## Synopsis
The episode is a discussion between Jason and James about Jason's recent trip to Bonaire for scuba diving. Jason shares his experiences diving in the warm Caribbean waters, including details about the dive sites, marine life, and his diving gear. He also talks about the Apple Watch Ultra he's been testing, comparing it to his usual Garmin dive computers. James asks probing questions to understand Jason's perspective on the Apple Watch Ultra's features, battery life, screen quality, and suitability for diving and other outdoor activities. They analyze the strengths and limitations of the Apple Watch Ultra versus dedicated dive computers and smartwatches like Garmin's offerings. The episode provides insights into the two friends' distinct preferences and philosophies when it comes to watches and outdoor gear.

## Links
- [episode page](https://thegreynato.substack.com/p/applewatchultra)
- [episode MP3](https://www.buzzsprout.com/2049759/11445390-the-grey-nato-210-on-paper-on-wrist-the-apple-watch-ultra.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Great NATO. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 210, and it's proudly brought to you by the always growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and you're not part of the crew, but you'd like to support the show, Please visit TheGreyNado.com for more details. Jason, how are we doing? A little further away than normal. Thankful for the internet as ever today. |
|Jason|Yes, indeed. I'm a bit further south than usual. I'm in Bonaire. I don't know what the... I should know by now. I don't know what the latitude is. I believe we're, gosh, maybe 13 degrees above the equator. Okay. So it's...  Little warmer here than back home in Minneapolis, but I'm acclimating just fine here, a little waterlogged. |
|James|So you've been down for what, three and a half days, something like that? |
|Jason|Yeah, we got here Saturday afternoon and settled in fairly quickly. We've got this place to a bit of a routine, so we're staying in the same apartment building, different unit actually than we've been in before, but we rent at the same building. It's kind of an older building right on the coast. We've done it for probably a better part of a decade.  And if, uh, you know, our longtime listeners recall, we, we did an episode from here, uh, last year, last August, when Ghoshani and I came down, it was kind of our boner episode. So we don't have to, we don't have to rehash too much. Things don't change a lot down here. If you can go back and listen to that episode. |
|James|I'm assuming there's some people here who are, who'd be keen to do something like this. Yeah. And I like the fact that you found the place that you, you returned to. Yeah. That was always my thing with diving was I enjoyed diving close to home.  Yeah.  The colder the darker that sort of thing sure you see even less like I'm sure on those diet that dive we did on Kelvin, you know, you see like the equivalent of a an elevator shaft worth of worth of the wall, right? |
|Jason|I suppose I we did a dive this morning on a site called invisibles and if anybody's familiar with Bonaire, it's a fairly popular site here. Although we were the only ones on it when we, when we went into the water. And then by the time we got out, there were another five pickup trucks parked on the beach. So it's a, it's a, it's a popular site. Wow. But yeah, I was curious. We were, we were kind of out. It's, it's what they consider here a double reef. So you, you swim off over this expanse of beautiful shallow white sand for man must be, you know, a hundred, 150 yards. Um, we, we go out on the surface just to kind of, conserve our air. So we're not just swimming over the sand, uh, sucking down our tanks. So we go out on the surface and then there's a buoy that marks the edge of the reef. And then we just go down there and, and then we start our dive. And, and when you go down, there's this beautiful reef at about 30 feet, um, really bright, um, lots of lush coral growth and, and colorful fish. And then gradually it slopes down. And I think I hit about 70 feet and, and then it, it's like another expanse of sand. And then there's another, reef that kind of rises up from there. And that's a, it's deeper. So it's a little darker and whatever, but it's, it's still pretty lush. And, and I was like out there on the second reef and kind of looking at my air supply and thinking like, okay, how much time do we need to get back? Et cetera. And I'm like, how far have we come? I, I'm just, you know, I thought I was, I actually had this thought in my head of like, if we, I know there's that show on one of these cable channels, like drain the oceans, I think it's called. And if we drained the ocean, how long would it take me to walk back to the car? And I still don't have a sense of that. Because when you're swimming, when you're diving, it's not a speed thing. You're just barely kicking, just propelling yourself around at a very leisurely pace. So it's not like I really have a sense of ground that we've covered or anything. |
|James|Yeah. How big is the Hermes? |
|Jason| Hermes is like a 600 foot long wreck and, and, you know, we, we, we didn't do it all in. No. Yeah, certainly not. You know, we did it over three dives. So yeah, big wrecks are a little, you get a better sense of, of perspective, you know, cause you know how long 600 feet is. And my contention always is with, with reef diving is let's just, let's just concentrate on like one little patch and just get to know it. You know, I'm just hover, just spend time just looking at one or two coral heads. And that's what we do on the night dives. Last night we did a night dive after sunset just off the back of the apartment building where we stay. You know, we just swim out to the reef with our lights and, and kind of just cruise around and just easier to, well, it's more difficult to navigate after dark. So we just, um, we just kind of hung around one area and then swam back in and, uh, it's just, there's plenty to see in a very small space. |
|James|Yeah. Yeah. It's a bit like if you imagine going to your favorite hike, you get out of the car, you walk about 50 feet.  And then you just walk in small circles for 45 minutes? |
|Unknown|Yeah. |
|James|That's kind of what scuba diving is. Yeah. Not always. I mean, drift diving, you can cover a huge amount of space, right? |
|Jason|Sure. Yeah. Or if you went in your back garden and just got down on your hands and knees and just kind of put your chin in your hands and just sort of sat and looked at a specific plant for 30 minutes or something, you could really see a lot after a while. Lots of little bugs come out, little critters. |
|James| So absolutely. So when you're, when you're not diving, uh, what else, what else can you get up to on the island? |
|Jason|Gashani was working today for about four or five hours. She was on some zoom calls with her office back in Minneapolis. And so I tried to give her some quiet time. So I, I hopped in the rental pickup truck that we have. And I, I went to swap empty tanks for full ones. Then I went to the grocery store and stocked up cause we do most of our cooking and eating here. And, and, uh, there's a cruise ship in town. So Bonaire has become something of a cruise destination and man, these ships are huge and we're a little ways out of town. And as I was approaching town to go to the dive shop and the grocery store, you see this ship and it looks like, you know, I mean there are no tall buildings here and it looks like a skyscraper towering above everything else. And of course that brings literally thousands of people to the Island and there's just golf carts and trucks and rental cars going up and down the road, which is usually empty. But, uh, you know, there's, there's plenty to do here. There's, um, uh, You can drive over to the east side of the Island, which is kind of the wild side. It's a, they're really, there's a little bit of diving over there off a boat, but the shore is just too rough for anything offshore. There's some wind surfing that goes on over there and, and lots of flamingos. There's big flocks of flamingos that kind of hang out in the salt flats. And, uh, and then the downtown is kind of this quaint old Dutch city with an old fort and some kind of one main street of, of shopping and kind of these brightly painted Dutch style buildings.  uh, with a, with a few interesting kind of souvenir shops and good restaurants and bars and things. But other than that, it's, uh, it's, you know, it's kind of beach and diving and that's right. That's what we're here for. And our apartment's a pretty sleepy little building there. You know, it's not like party town here. Like you might get at some of the resorts or hotels closer into town. And so we just, when we're done diving, we just, we pop a beer and sit on the, on the balcony here and just kind of watch the, watch the ocean. And, uh, that's, that's kind of our pace here. |
|James| So I think we've covered some of this in the past, but I want to get to the hard hitting questions about Bonaire. Yeah. What's the local beer? |
|Jason|I feel like you've told me at least once. There's a beer called, let's see, what do we have in the fridge? I just stocked up. Actually, I got some Leffy. Leffy, it's a blonde. |
|James|Oh, it was Leffy. Yeah. |
|Jason|It's a blonde, but it's, it's from Belgium, so it's actually not local, but there's a strong Dutch influence here. So you get Amstel. There's a, there's a kind of a Caribbean version of Amstel called Amstel Bright, which is this really, really light kind of Pilsner. And then of course, Heineken is everywhere. There's a beer called Polar. I'm not sure if that's a local beer. Okay. There's a few Mexican beers. There's a soul. These are all very light beers. Like we're talking four to 5% alcohol. So kind of perfect for hot weather after diving or even between dives. We come back from like a noon dive and we'll pop a beer and doesn't really go to your head like a, you know, something stronger would. Right.  But I don't know that they actually brew any beer on Bonaire. It's such a small island that I don't know that there are any breweries. There's a good, good rum distillery here. If anyone's visiting that you can go to the Kodushi distillery and, um, and they've got a rum there called Rum Rincon. Rincon is the name of a town that's kind of inland here. And it's a, it's a nice rum, a good sipping rum. You can just have it with an ice cube and that's quite nice. |
|James|And with, um, with the grocery store, are there any snacks there that you can't get back home? Weird potato chips?  That sort of thing? Or is it all kind of run of the mill? |
|Jason|The grocery store here is, you know, the first few years we were coming here, it was some kind of smaller supermarkets. And then I don't know how many years ago it was five, six years ago. They opened, there was a big, big one, like a giant, like mega store called Vandentwiel. And it's a, uh, presumably a Dutch owned, um, uh, store and they have everything. I think they have more stuff available here in terms of variety of foods than we get at, at like Whole Foods Market in Minneapolis. It's absolutely astounding. And what's cool is like you go to the cereal aisle and they're about no joke, like 25 different kinds of muesli, like granolas. But in terms of snacks, you know, we like, uh, um, you get like the plantain chips, like, uh, you know, like it's like a fried banana chip, you know, plantains or plantains.  you know, dried mango, um, nuts, good, you know, good, good, uh, good selection of fruit. Um, and then, you know, the, the beer and, and, uh, and Gishani has been already, you know, cooking up a storm. She made a curry for us that's lasted a few days. |
|James|And, and yeah, that's good. I always like to know what kind of the local snack scenario is. I, you know, having just been in Austria, there was an afternoon where I had skipped lunch to get some work done and take a nap and that sort of thing. And then, I realized they needed a bite to eat in the hotel for whatever reason, didn't have any food. Like at all. There was no restaurant. There was no anything. Yeah. And I walked to the end of this little street we were on and found a, you know, like a, a convenience store guy inside playing video poker on his cell phone. Neither of us spoke each other's language. Yeah. So I'm kicking around. I'm looking at like, I love weird Kit Kats. I think everybody does. That's not, that's not like a very interesting personality trait. So I'm looking at some weird Kit Kats and some cool, like, uh, Austrian German, uh, cookies and stuff like that. And I ended up getting a, uh, uh, a container of, um, they were spicy sour cream Pringles. Oh, wow. Wow. And it's just a combo we don't have over here. |
|Unknown|Yeah. |
|James|Spicy and sour cream. Yeah. And I'd say they taste exactly like how you expect, which probably should have kept me from bothering. Right. The fun thing about the fun thing, because obviously like chips over here, this is a derivation, but whatever.  but like chips over here, like jalapenos, a big thing. |
|Unknown|Yeah. |
|James|Spiciness. Yeah. And in, in Switzerland, Germany, and I guess even in Austria, you'll see a lot of stuff. It's like paprika. Hmm. Sure. It's not like super spicy, but it is pretty good. And that's what I should have gotten. Yeah. It was just some like paprika chips. But I, I went, I got, I tried to get flashy and I paid for it. They weren't, they weren't bad, but I mean, Pringles are Pringles, right? The flavor doesn't, the flavor is only part of the Pringles equation. |
|Unknown|Yeah. |
|James|Right.  Yeah, that's always fun. And I'm glad to hear you're down there. You know, I had been hoping that we could make it down for, you know, one week of this trip and it just didn't work out. So I'm definitely back on Instagram and watching all the posts and the dive looks great. |
