
# The Grey NATO – 211 – Perfect Product #5
Published on Thu, 13 Oct 2022 06:00:00 -0400



## Synopsis
The episode is a return to the "Perfect Product" format where Jason and James discuss products they find excellent and useful. Jason shares his pick of affordable swim fins from Duffin Hawaii which he finds versatile for snorkeling, swimming, and free diving during trips. James talks about his Tenba DNA 16 Pro camera bag, praising its durability, organization, and functionality for travel over many years. For watch-related products, Jason recommends affordable ribbed NATO straps from CNS, and James highlights the high-quality bolt action spring bar tool from Hassler Instruments. They also share some updates on past TGN guests like Henry Catchpole joining Hagerty, Robert Spangle's new book, and Cole Pennington writing for Watches of Espionage.

## Links
- [episode page](https://thegreynato.substack.com/p/perfectproduct5)
- [episode MP3](https://www.buzzsprout.com/2049759/11489890-the-grey-nato-211-perfect-product-5.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 211, and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, if you're not already, please visit thegraynado.com for more details.  James, good morning. We're recording this fairly early on a Tuesday this time. |
|James|Yeah, it's a bit of a busy schedule this week. I feel like we say this more and more, but you had some diving concerns. You're still in bone air, which is rad. This is week two of our 50% bone air episodes. It's the highest percentage of bone air we can promise to the audience these days. And yeah, you had some diving concerns and I have some meetings.  Uh, they, they come up occasionally, not, not exactly my favorite part of the business, but you've got to get it done. So yeah, we're recording a little bit earlier. I probably the only, the only thing people would notice is a little bit more gravitas to the old voice. Like we've said in the past, not quite warmed up yet. |
|Jason Heaton|Right. And, uh, Shani and I were up early this morning. So we went for a dawn dive. Uh, we were probably in the water by six 15. So that was about two hours ago thereabouts. And, um, yeah, we did a good, I think it was a 62 minute dive just cruising around on the reef. It was kind of the opposite of a night dive where it starts kind of dim and then gets darker and darker. This is the opposite. So it was fairly dark when we went down and then gradually started to brighten up. And by the time we finished at, you know, 730, it was nice and bright, the sun kind of gleaming through. It was, it was gorgeous. And then we, we, uh, encountered a green sea turtle that was hanging out at about 20 feet. I don't know if it had been sleeping. It was just, just woke up when, when we arrived, but it was, uh, it was, it was such a privilege. I mean, seeing turtles is, you know, certain places it's common, but, uh, here you're lucky if you see one. So it was really great to, yeah, it's probably made my voice a little gravelly as well. I mean, I think sucking on dry compressed air for an hour probably does something to your vocal cords. So.  If I have the vocal fry going on, that's why. Yeah. |
|James|Well, we're just getting cooler as we go here. Yeah. It's not like we smoke a lot of cigarettes. This will be a fun episode. It's a return of one we haven't done in a while. You know, we've been going back through kind of the catalog lately because there hasn't been a ton of watch news, you know, that that's been in the zone and timed correctly. So we thought it'd be fun to go back. We haven't done a perfect product since episode 148, so not too bad.  This will only be the fifth one in over 200 episodes. But, uh, before we get to that, uh, Jason, aside from, you know, morning dives, what'd he been up to in Bonaire? |
|Jason Heaton|Kind of spent a lot of time in the water. I think, you know, this trip we, um, we're, we're diving on average, maybe twice a day, which is less than what we used to do. And, you know, last night we had the tanks all set up and we were going to go for an evening dive. And then it was this perfect sunset and the, the sea was really calm right below our apartment here. And I just said, you know, what do you say? We kind of leave the tanks behind and just kind of go for a leisurely swim just down here and watch the sunset. And it was, it was just perfect. I mean, the water had that kind of silver Mercury sort of effect going on in the sun. You could just see it sink and fall below the horizon. And, and, uh, I don't know, it's one of those special things that, you know, when it, when it's Minneapolis in January, I'll be thinking back to that, that evening. So we've been doing a lot of that. And then, you know, this is probably our at least 10th visit to Bonaire and And we've never actually gone over and, and dove the, um, the East coast, which we're, we're on the West coast. All the shore diving is on the West coast. There's, you know, 60 named shore dive sites here. And there is a dive operator that runs dive trips off the East coast, which is the windy side of the island. So you get a lot of chop and waves and it's just a rougher scene over there, but we're, we're going to hook up with East coast diving this afternoon and they've got a Like a former Dutch military rib boat that they take out of a harbor over there. And, and we're going to go try to do some diving there. And apparently the wildlife is quite different. You get sharks and rays and a lot more turtles and tarpons and stuff. So really looking forward to that. So that'll be, uh, that's why we're recording a little early. Cause we got to get out of here by about noon to get over there and get all set up. So that's very nice. I hope it's a great dive that, um, weather permitting, um, you know, we'll, I'll have, uh, photos and a report on that next week when I'm back home, but yeah, that was really cool. And then, uh, yeah, I'm still, I'm still wearing the Apple watch ultra. I think yours is on its way now finally. Right. |
|James|Uh, yeah, I believe I should see one. I don't have a tracking number or whatever, but Apple was kind enough to, uh, to reach out. I think it was, it was actually fortuitous that I didn't have mine yet. I think it led to a pretty good episode last week. Uh, certainly a lot of engagement, ton of comments. If you're not doing the comment thing on sub stack, by all means, it doesn't cost anything to come in and comment. Just make an account.  And you can chit chat with folks, but there was a lot of good feedback about, you know, we, we got a bunch of emails and some DMS about the water ejection and what it's actually doing. Apparently it's actually the speaker that it's getting the water away from. Uh, I'll put that in the show notes. If you want to see like a slow mo of it, the watch actually shooting water out, which is kind of cool. Uh, but no, I think, I think we had a good one and, um, should have it shortly, uh, which I'm looking forward to. I've got a list of activities, uh, for the next few months that I'd like to put it through its paces and then hopefully put a You know, maybe it's a week on the wrist. Maybe it's a big hands on. I'm not, I'm not quite sure yet. We'll see what Houdinki wants. |
|Jason Heaton|Yeah. I, I, I'm, I'm looking forward to your thoughts on it because I think you're a bit more accepting of kind of dipping into the lifestyle of a connected watch. You've, you've done longer term kind of wrist, uh, you know, tests with, with garments and things like this. And I think you'll, you'll kind of put it through those paces. Whereas I'm, I'm much more of a, you know, take it off right after an activity kind of guy. I just can't kind of get around, get my head around wearing it 24 seven. So I'll be curious to get your take on it. I think both perspectives are very valid. I think, um, you know, for, for Apple, for, for people considering the watch, et cetera, because we all wear our watches in different ways. And, um, I'm still, you know, just wearing it for activities and taking it off right afterwards. Um, and I'm enjoying it when it's, when it's on my wrist. I, I think I told you a few days ago that it was kind of a game changer for me when I went for a run the other morning.  And you know, I always, I wear AirPods, I listen to music when I run and I've always had to figure out a way to carry this heavy iPhone with me. And the Apple Watch Ultra stores music and the action button can be programmed to do certain functions. And so I had it set so that it starts my running workout and a selected playlist of music when I press the button.  And it was such a game changer for me to like, it felt so freeing and lightweight to just go for a run with just my AirPods and my watch, this very lightweight watch on my wrist. And I really enjoyed that. And that was great. |
|James|Yeah. I, I think that's going to be one of the pluses for sure. I like that it, you know, these have, um, a cellular platform. Yeah. So I'm, I'm actually, there's, there's a piece of me that wants to see, you know, if I had this on my wrist, could I just leave my phone at home for a weekend? |
|Unknown|Right. Yeah. Yeah. |
