
# The Grey NATO – 212 – The New Watches We've Been Thinking About
Published on Wed, 19 Oct 2022 03:00:00 -0400



## Synopsis
This episode covers a wide range of new watch releases and models that have captured the attention of the hosts. They discuss their initial impressions and thoughts on watches like the Monta SkyQuest GMT, Serica 8315 GMT, Seiko Prospex Cave Diver, Nomos Club 37mm Pneumatic, ZRC Grand Fonz 38 Heritage, and the new Bremont H1 line featuring the brand's new in-house movement. They also touch on more affordable GMT options like the new Seiko 5 Sports GMT and the Miyota 9075 GMT movement being used in some microbrands. The hosts share their excitement for the potential growth in the GMT watch category, especially at more accessible price points.

In the final notes, Jason reviews the documentary "The Sound of 007" about the music behind the James Bond films, while James discusses his recent purchase of the Anker 736 charger to streamline his travel gear and charging needs.

## Links
- [episode page](https://thegreynato.substack.com/p/newwatchesoct22)
- [episode MP3](https://www.buzzsprout.com/2049759/11528004-the-grey-nato-212-the-new-watches-we-ve-been-thinking-about.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 212 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show, please visit thegraynado.com for more details. Hey Jason, you make it home from Bonaire okay?  I did. |
|Jason Heaton|Yeah. We got home, uh, boy in the wee hours on Sunday. Um, and speaking of the supporter crew, uh, thanks everybody for your patience. I actually spent, uh, the wee hours of this morning because I had a little insomnia packaging up, um, gosh, a whole raft of, of new, uh, TGN supporter kits for, for a bunch of folks that signed up while I was away. So, uh, thanks for your patience and thanks for the support. That's excellent. Yeah, we, um, we, we flew in, it was a long travel day. Uh, you know, it shouldn't, Shouldn't feel that long, but it always does coming home. Um, uh, you know, uneventful baggage all arrived, no cockroaches crawling out of our suitcase. Like happened one time before. I guess since we spoke last week between recording then and now we had almost another full week of, of diving and it was a, it was a good one. I mean, we, you know, we've been there so many times, but we hadn't done a couple of things. We, we took a trip over to, in fact, just hours after we talked last.  We drove over to the East coast of the Island, which is, uh, kind of the windier, wavier, rougher side. So you don't do any shore diving over there and hooked up with a small outfit that, that takes people out in boats out past the reef break. And, uh, and we did kind of a really nice dive there where we saw about a dozen turtles on a bunch of mores and, um, just, uh, some cool, very cool, cool new reef that we hadn't seen before. That was fun. And then we did a couple of nights.  of night diving after that because we happen to time our trip right where there's a crustacean called an ostracod that mates three to four nights after the full moon every month and they're bioluminescent. So when they kind of embark on their little mating ritual, they kind of rise up out of the coral.  and emit a glow that looks like beads of light, uh, heading towards the surface. And you have to time it within 45 minutes of sunset down to the minute almost. And then they all lift off and it's about a 20 minute display. And then that's the end of it. So we did that two nights in a row, tried to get some photos, which didn't turn out well, but, uh, it was, it was cool. I mean, it's something we always wanted to do there and had a great last dive the day before, you know, within the 24, just outside the 24 hour window before we hit our no fly time before we could get on a plane and saw a couple of squid. It was a mating pair of Caribbean reef squid that were, Oh, cool. Uh, the female was depositing eggs in, in kind of crevices along the reef. And then the male kind of escorts her and protects her, including from, from other squid. And there were like some males that, that were kind of coming down to investigate. And then the, the escorting male would change color rapidly, flare out its tentacles and look as big as it could. And kind of, you know, chase them away. And then the female would kind of go about her business. And we just watched them the entire dive. And while she was depositing the eggs, there were, there was a moray eel that was following them. And when she would deposit the eggs in the crevice, the moray would go into the crevice, presumably to eat some, if not all the eggs. Right. I mean, that's nature. And, you know, we finished the dive at, um, you know, we almost an hour dive and, and We wanted to finish shallow as you would. And conveniently these two squid kind of were gradually moving up the reef. And then by the time we got to our safety stop, they just sort of disappeared. And we found out later that the female squid actually dies immediately after laying her eggs. So it was kind of, it was, it was very poignant. It was kind of sad also, but, but sort of fitting for, for our last dive. And it was very memorable. So it was, uh, it was really cool.  Nature's hardcore. It is. Yeah. All the time. Yeah. And, and it was, it's funny because, you know, we, we had done a number of kind of photo projects while we were there. And, and so for the last day we decided let's just leave the camera behind and just kind of go and enjoy the dive, you know, kind of like, um, Sean Penn's character in the secret life of Walter Mitty, where he's, he's got the camera lined up on the snow leopard in the Himalayas and Ben Stiller's character says, you know, aren't you going to take the picture? And he said, sometimes I don't.  And, and it was kind of like that, you know, we just wanted to kind of experience what we saw in those dives. And it was, uh, it was really special. It was great. |
|James|Yeah. That's awesome. Yeah. I, uh, this weekend I went to the aquarium, maybe, maybe subconsciously I was missing the fact that you were diving or jealous or something like that. And, uh, I've been several times. We have a membership. So we go pretty frequently and you know, there's good and bad times to go. Sometimes it's busy. This was the weekend, but it wasn't great weather. So it wasn't overly busy.  And, uh, I've been several times and I always, you know, take a pause at the cuttlefish tank. |
|Jason Heaton|Oh yeah. |
|James|Probably one of my top three favorite animals and just a really fascinating thing. And it always seemed like they're different groups of them. Like I'm never always sure if I'm seeing the same cuttlefish because the first couple of times we were there, there was this several group of smaller ones, three, four inches in length. Um, but there's, you know, three or four of them in the tank. And then this time for the first time, there was a larger one, six, seven inches, maybe.  and seemed to be alone. Although with a cuttlefish, they hide pretty well. There might've been one skulking behind a rock or something like that. But he was, um, the, the, the one that was in there was kind of coming and going from where people could see him and where they couldn't. Yeah. And he would, he would come back and put on a little show, whether it was with a bit of patterning or hit the, the, the surface of his skin kind of had like an electric opalescence to it. I don't know if that means he was in a good mood or a bad mood and occasionally he was doing some weird stuff with his, tentacles and they're, they're just, uh, it, you know, it's so cliche, but it's like watching an alien, right? If you feel like you're watching something totally apart from your existence. Yeah. Uh, you know, they move perfectly in the water. They seem to make eye contact. Uh, they seem to have a lot of character and, you know, I'm standing there kind of in awe of this little animal and there's people next to me just saying like, you know, they went on a 32nd diatribe about how ugly it was. And I was like, yeah, you guys need to, uh, I don't know.  appreciate the world around you a little bit better. I think they're fascinating. I'm a big, big cuttlefish fan. The cephalopods in general, for sure. |
|Jason Heaton|Yeah. And so now I guess I'm, I'm, we're, we're back home. It's, it's downright cold here today. I had to go out and get groceries this morning and it was, uh, gosh, it's, it's, it was below freezing. So I'm, I'm bundled up. |
|James|Yeah. It's not that cold here. And then, uh, I I'm about to head out for some travel and I was just looking and it's like, consider I'm going back to central Europe again.  But not not to say that's a complaint in any way. It's just I was there. It feels like I was just there. Yeah, just got over the jet lag and the rest of it. So yeah, I'll be back back in Germany for a Leica event, which is the same one that I attended last year. It's the Oscar Barnack Awards. It's kind of their celebration of photography. It's a couple days and some tours and see some new cool new product and all that kind of stuff. So I'm looking forward to that. It's a fun relationship between Hodinke and Leica. And and of course, I've been using my Leica's even more than I have previously. I've really fallen in love with the M10 over the past year. So I'm really excited to go do that for a few days. And then I get back from that, I'm home for a little while and I go in the opposite direction out to the West Coast for a very short trip, I guess next week. So before you get to episode 213, I'll be back by the time 213 comes out.  you know, work, working on, uh, working on, you know, accumulating those, uh, status qualifying miles and such, but yeah. |
|Jason Heaton|And using that 10 by that you talked about last week, quite a bit. Yeah. |
|James|It's a, it's, I literally had to take a couple of things out of it, just the cables and stuff that I use for this, for when we record, but otherwise it's loaded for bear. I'm about 50% through packing my, my clothes. Uh, sadly this trip requires like a suit and a tie. So it's a different zone for me. Uh, uh, especially, you know, think about the last three years, I think. |
