
# The Grey NATO – 213 – Estate Sale Speedmasters and the New Leica M6
Published on Wed, 26 Oct 2022 16:00:00 -0400



## Synopsis
In this episode, Jason and James discuss a variety of topics, including Jason's recent trip to Germany for the Leica Oscar Barnack Awards, where he got to experience the work of renowned photojournalists and try out the new Leica M6 film camera. James shares his experience of acquiring a funky Omega Speedmaster Mark III watch from an estate sale, which he found incredibly charming and nostalgic. They also provide updates on James' recent trips, the new TGN supporter benefits for 2023, and Jason's recent acquisition of a vintage-inspired jacket from Standard H.

## Links
- [episode page](https://thegreynato.substack.com/p/213m6speedy)
- [episode MP3](https://www.buzzsprout.com/2049759/11575454-the-grey-nato-213-estate-sale-speedmasters-and-the-new-leica-m6.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 213 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegraynado.com for more details. James, you're on the road, kind of on a second trip since we spoke last. |
|James| I sure am. Yeah, I've been in three places. If the audio sounds a little bit different, you know, we're kind of just doing our best with it. But I'm currently sitting in a high rise hotel over downtown L.A. I'm here for an Omega event. I actually don't know what the watch is. We're recording this during a lunch break so that I don't mess up with the schedule. But we actually find out what the watch is in a couple hours. Of course, by the time this episode comes out, the watch will be a known a known thing. But I'm in L.A. I was home for a day.  and a half. And before that I was in Germany with Leica and I had a brief stopover in Geneva before that for just a few hours. So, but that's what the last week has been, uh, essentially, uh, for me, uh, as this is now Tuesday. So yeah, I guess it's been a little, a little over a week that I've been going, but I'm excited to be home for a few days. I'll be home by the time this episode comes out. The LA trip is just barely two nights, um, just because of the travel window, uh, that worked out.  We mentioned the supporter bundle at the top, and obviously we've come to the point where the first annual year, if you signed up very early on last year for the $100 annual kind of bundle, your re-up is coming up. So we wanted to get into just a brief overview of what the next year will look like. We're not going to do like a brand new strap for everybody or anything like that. It's a little bit more spread out this time. So we're going to maintain the two tiers of $5 a month and $100 a year.  And basically the big addition to either is going to be, uh, there's some, some special stuff for the a hundred dollar a year, but the big addition is a Slack for TGN. So we've been testing this for a little while. It will be available no later than December 1st. I would think sometime in the middle of November, you should be able to get your email if you sign up. So a $5 a month gets you obviously all the episodes. So the free four episodes a month and the Q and a, and now you get Slack access. So you'll be able to have kind of an ongoing.  Slack platform, I looked into obviously a few different options, but I wanted something that was a little bit more fluid and less tied to a single episode. Uh, so we're going to go with Slack. Uh, it seemed to be the thing that had the largest window of use, like, like I assumed most people had had some experience with it over the last few years as I have. And Jason and I had been using it for years for our own sort of side chat. Uh, so the Slack access for TGN will be super fun. We're really excited about it. And that's kind of the, one of the main.  new benefits. And then at $100 a year, you have the same as the $5 a month. If it's your first time signing up either from a $5 or from a free subscription up to the $100, you get your choice of a new strap in 20 or 22 millimeters with the custom buckle, our color gray, etc. This level also includes a discount on the TGN shop. So when we do our kind of merch releases, there's a special discount for those with the $100 a year level. And then you also get early notice for events, shop additions, any other special news coming to the show.  We'll first go to the $100 a year crew. And then finally, we have kind of two final twists on the NATO thing. One, if you only got your one strap, like everybody did, and you wanted the other size, those will now be available for sale. We'll send an email out with those details. So if you want to get a 20 and you have a 22 or the other way around, you'll be able to sort that out. And then the very last kind of step here is you'll get essentially a replacement warranty. So if you manage to wear out your NATO.  Uh, let us know, send us a picture. We'll sort out some details and we'll, we'll get you another strap. So we see it as kind of the calling card of the, the TGN crew is having, having the strap, uh, with the, with the sign buckle. So we want to make sure everybody's has a, you know, a tidy one that they like to wear. And that's something that we'll be, uh, we'll be moving forward. So there it is. That's the new $5 a month and the new a hundred dollar a year for, you know, 2022 into 2023. And if you have any questions, you can always email us at the gray NATO at gmail.com. All of these benefits will essentially kick in starting November 1st.  Like I said, the Slack will come out sometime in November. Some of these travel things have just pushed away the last final bits of our testing in making sure that the signup process is pretty easy, but you'll get a link. So if you're a supporter at $5 a month or $100 a year, I think the Slack's going to be a bit of a game changer in terms of some closeness and being able to keep the chatting going. |
|Jason Heaton|Yeah, there's a lot to digest here, but I do think that the Slack channel will be the most significant and noticeable kind of upgrade to, to TGN coming into the new year. And I think for those of you that are used to using Slack as, um, I don't know what you'd call it, like a chat platform, um, say in your work or, or even socially, or, you know, Kashani and I use it. She's working upstairs. I'm downstairs. We're using it all the time. This is something that, you know, James and I will, will certainly have visibility to and pop in and out as we can. It's kind of a further attempt to build the TGN community, kind of what we've done in the, in the sub stack.  Uh, comments on each show. Um, we'd, we'd like to kind of make that more. Accessible on, on a daily or more spontaneous basis. So, you know, and then the other thing is, is the ability for our a hundred dollar a year folks to, to buy additional straps. I think, you know, up to now we've gotten emails from people saying, you know, I ordered the 20, but I've got a Seiko that takes a 22. Is there any chance I can buy a second one? And so I'm, we're pretty excited about that and being able to offer that to our listeners. |
|James| Yeah, it's mostly a small tweak to, to the plan. I think, like you said, the Slack is kind of the big one. I'm really excited to be able to get in there. Uh, you know, the, the comments are great for that. They're for comments and maybe a straight reply, but they're not like incredible for conversations. That's not what sub stacks necessarily for. And this way, I think we already know a handful of you guys pretty well through Instagram, DMS and emails and the rest. And now we can just make it kind of one centralized place where if you just wanted to share a link, you're not just sending it to, Heaton and I, you know, you're sending it to the whole crew and that sort of thing. And I'm pumped. And then the changes to the strap, I think just makes sense. Uh, now that we've learned about shipping and the rest of it, but otherwise, I mean, it's the same thing. If at a hundred bucks a year, you're paying what? Like eight bucks a month, which is something like a dollar an episode for Jason and I each. Um, I think it's worth that much. Uh, that's why we're comfortable asking for it. And if it's your first time and you've been on the, on the ledge, then you get a strap as well, which is pretty fun. |
|Jason Heaton| Yeah. And good luck wearing out those straps. This warranty. Yeah, I think so. It's a fun idea. I'd love to see, I'd love to see some, a few people come in with, with worn out straps. I personally can't say that I've ever worn out a NATO strap. Um, they get pretty ratty, um, but we'll see, you know? |
|James|Yeah. And then the last thing in terms of housekeeping, before we get into the bulk of the episode is that we have something special coming up in the first, uh, several days of November. I can't say a whole lot about it, but this is kind of the first teaser. It's a special project. It's something we're really pumped about. So if you're, not normally subscribed or, you know, you don't necessarily pay attention to when the episodes come out. This one's going to come out at its own time. And it's something that we're, we're really excited about. We'll have more details on next week's episode. But yeah, I think between the changes to the supporter packs and, and this little teaser, I think that that's pretty much the housekeeping for two 13. What else have you been up to these days, Jason? |
|Jason Heaton| Yeah. I mean, compared to your kind of jet set lifestyle, I've been able to kind of settle down and enjoy some fall weather here since, since we got back from Bonaire, gosh, just, just over a week ago, you know, it was chilly when we first, first returned. And we kind of huddled by the fire for a couple of days, but then we've just had this, this glorious kind of sunny fall weather, you know, the colors are, are in full palette here and the trees and, and just been able to enjoy some time outside. So, know, we've done a couple of bike rides. We, we rode to our favorite brewery, um, just a couple of days ago and sat outside and had some beers and, um, we've been grilling in the backyard and, and then on, on Sunday, there's, there's still a hardy group here of kind of vintage car buffs that get together for a cars and coffee event. That's, uh, it's roughly every other week from late summer into fall. And I think they're going to do another one.  here in early November, you know, they kind of do it right up until their salt on the roads for, for a lot of the guys that store their cars away. But that was a lot of fun. There were, uh, there was a good contingent of land Rovers. And by that, I mean, three of us, um, that were there, that was really cool. And some, some other fun stuff. And then, uh, and then just a total, you know, out of left field thing, um, we got noticed that there was, um, kind of a cool watch for sale at an estate sale. And, uh, we'll talk about that in a little bit here when we get into our risk check, but, uh, I, I do want to mention that I got a delivery yesterday from our friend Wesley at Standard H. Um, if you might remember back at windup in Chicago, back in July, he was kind of teasing or showing off some prototypes of his new jacket that he developed called the Targa Florio jacket. And, uh, I tried one on at his booth and just fell in love with it. So, you know, it hit his site last week. I placed my order and it arrived yesterday and I put it on and it's It's awesome. I mean, I, you know, I, I can't say enough about how fun it is to have these, these kind of legitimate sort of friendships, relationships with people that have been on TGN. I just feel so like this sense of, not that it has anything to do with TGN, but the sense of pride when I look around and see, like today I'm wearing my observer, um, denim pants from, from, uh, from Robert Spangle. And, uh, you know, I got this, this, uh, jacket from Wesley and it's just, it's, it's fun to see these, these small, um, kind of small tier, you know, one man designers doing this cool stuff. And, and this jacket is really awesome. I know that he's, uh, he's already sold out of, of several sizes and colors, but, uh, you know, stay tuned to, to standard H website and pick one of these up if you're at all inclined. Cause it's, uh, it's really cool. |
|James|I saw that on your Instagram. I was immediately jealous. That looks great. Yeah. I was impressed by when I saw it in person, actually just, just by chance, I'm sitting here in my hotel room in the XK sweatshirt.  Oh, I wear a lot. Uh, I picked it up while we were in Chicago as well. And, uh, it's, it's become kind of a staple for me. So, um, I'm a big fan of, you know, my, my luggage is basically this sweatshirt and a bunch of his t-shirts as well. Uh, so it's been good stuff. Yeah. Speaking of getting a chance to buy some cool stuff, a big shout out to everyone who wrote me about buying their scurfa, be it an MS 22 or otherwise. Um, I did take essentially the first offer for, uh, an MS 22 that came my way, which was from Brad.  a huge thank you to Brad. It's actually, uh, I'm getting updates on my phone. Um, as we're sitting here recording it, it should be delivered this afternoon in Toronto. So I'm pretty pumped to get home to that tomorrow, uh, to a nice MS 22. So a big shout out to Brad for that. |
|Jason Heaton|Another former TGN guest doing his own thing there. That's a, that's awesome. That's a, absolutely. |
