
# The Grey NATO – 214 – Titanium
Published on Wed, 02 Nov 2022 09:00:00 -0400



## Synopsis
The hosts discuss their recent experiences with titanium watches like the new Rolex Deepsea Challenge, Tudor Pelagos 39, and Scurfa diver. They explore the advantages of titanium like its light weight and corrosion resistance, and why more affordable titanium watches are appearing from brands like Scurfa, Baltic, and others. They reflect on previous titanium watches they have owned and why those pieces didn't stick around long-term. Overall, they see titanium having a resurgence in the watch world, especially for sport and dive watches.

## Links
- [episode page](https://thegreynato.substack.com/p/titanium)
- [episode MP3](https://www.buzzsprout.com/2049759/11616305-the-grey-nato-214-titanium.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 214 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. We've got a ton of new orders after last week's show, which we're really excited about. If you still haven't signed up and you'd like to support the show, please visit thegraynado.com for more details.  James, happy, I guess it's Monday today, a day earlier than we usually record. It is. Halloween. Yeah. Halloween. |
|James Stacey|Happy Halloween. Thank you so much. Yeah. Same to you. I've been doing some face painting and, you know, putting together some, some tiny people's costumes and that kind of thing. So it's super fun. But yeah, we're actually recording a day early because we're recording a special episode tomorrow, which you can expect to see hit the feed on a special day, November 8th, next week. It's sort of a brand new thing for TGN. It's going to be brought to you by Collective Horology and it's inspired by their new collaboration with Armin Strom.  they've teased this at this point, uh, the actual watch. If you're keen, you have to go to their website to take a closer look. But on our side, if you're a fan of adventurous high-end watchmaking, which we certainly are, and maybe even a fan of a good old watch draft, uh, you know, keep an eye out for this special episode. Uh, next week we're really pumped and that's why we're doing this episode a day early. |
|Jason Heaton|Yeah. I'm really excited about it. Uh, love the guys from collective and, uh, you know, who doesn't like, uh, an extra episode. |
|James Stacey|So absolutely. Yeah. Just, just the guy that has to edit it. |
|Jason Heaton|Right. That's true. And you've got a busy week ahead, which is another reason why we're Kind of slamming here today. Yeah. |
|James Stacey|Yeah. It's been, it's been busy. I haven't, I haven't helped any of my busyness as a you're, you're currently listening to the voice of a man who put his own passport through the wash, you know, what, three days before I have to go back to the States for a trip to DC and then into New York. Oh man. So that was a, that was a fun morning, a fun morning. I actually, you know, we probably would have recorded this even a little bit earlier time with the good people at Passport Canada. Um, with a very water damaged passport. Uh, thankfully it does look like that'll be sorted out, but goodness sakes, talk about adding kind of stress to, yeah, just like I say, I feel like I say this too much and it comes out like a complaint. It's not, I mean, nobody's to blame but myself, but yeah, it has been a busy, a busy go and the whole Geneva, Laika, LA for Omega and then home for a few days and destroyed my passport. |
|Jason Heaton|Yeah, seriously. I hope you, uh, I hope you got to keep it. You didn't have to turn it in. Maybe you can post a photo of it. Uh,|
|James Stacey| I didn't even think to take a picture of it. I don't even know how much you can take a picture of, right? |
|Unknown|Yeah. Right. |
|James Stacey|Because the outsides aren't made out of paper. Like the outside looked pretty normal. Yeah. Yeah. But then like the photo of me in there looked like I had left one cartridge out of my printer. Oh, sure. You know, it was just orange. Yeah. And then like where my, my signature was gone and a bunch of the stamps in there had all bled into each other. And yeah, it was, it was, it was, it was, it was, I'm not sure this password would have lasted the 10 years I've done it. I've had it for six and it was getting pretty full, but still what a pain. And, and, you know, not a small cost, uh, all things considered to, to have it done in 20 hours. I'll get another one, but yeah, uh, you know, never a dull moment at the Stacey household. How about you? How's your, how's your week been? Good weekend? |
|Jason Heaton|Well, in comparison, I hate to admit it was a very relaxing weekend. Um, we, you know, we're having this spell of amazing weather and, uh, that led to, a day kind of outside yesterday actually all weekend I kind of fiddled with the Land Rover with the Defender on Saturday for most of the day you know it's it's a great opportunity to kind of spruce it up get it ready for for winter I put some really heavy duty mud flaps on and uh and then kind of fitted some interior kind of niceties and and kind of just you know I just kind of keep doing rust mitigation and and kind of sprucing it up getting ready because you know for the next five six months I'm not gonna be able to be out there in any level of comfort, you know, crawling around on my back underneath the truck. So, right. Yeah. And then we went hiking yesterday. We, we, uh, after breakfast, we, we went, we found this trail that, you know, we've lived here for two decades and, and never knew this existed. It runs right along the Mississippi river, no more than five minutes from our house. And it kind of goes down along the river bank, like right down by the water and up and over, you know, lots of kind of bluffs and cliffs and culverts, uh, storm sewer runoff into the, into the river.  just had a blast. And then we finished with a beer at an outdoor kind of brew pub place, which was just the perfect way to spend a Sunday. |
|James Stacey|Yeah, that's nice. I mean, it's been a real mix here as far as the weather, but we are getting cooler days and then suddenly we get a warm afternoon. So we're getting a little bit of that. I'm hoping it's not raining tonight for trick or treating, but otherwise, what are you going to do? |
|Jason Heaton| Um, a bag of candy to hand out to, to any kids that come by. But last year we didn't have a single and we live in like a neighborhood where there are a lot of kids. So I don't know if our house just looks intimidating. Maybe I need to turn more lights on or something, but, or maybe I just gave a bad batch one year and everybody was like the reputation is spread or something. |
|James Stacey|We'll see. Yeah. Or the kids are expecting, you know, a pipe and a, and a, you know, a fifth, a decent smoky scotch or something like that. I just didn't, didn't get what they wanted. |
|Jason Heaton|Adult trick or treaters. Yeah, right. |
|James Stacey|Yeah, exactly.  But yeah, so that that's good. Um, the, the other thing that I did happen to make, it just worked out in terms of timing was when I was in Germany with Leica and you can hear a little bit more about that on the last episode, but when I was in Germany with Leica, uh, you know, you get to try out a lot of gear either, either gear they have their gear that somebody else is carrying around. |
|Unknown|Yeah. |
|James Stacey|And Josh Rubin from cool hunting was there. And I've known Josh for a really long time and he has, uh, the M 10 D the one that doesn't have the screen. |
|Unknown|Mm. |
|James Stacey| But then he shoots it with what's called a Visiflex, a type 20 Visiflex, this little periscope that clicks into the hot shoe on the top of the camera and gives you a digital viewfinder. Oh, wow. Okay. So when you're shooting a range finder, depending on what you're doing, you know, you're basically looking at a little rectangle in the middle of the focusing area. Yeah. And then as you rotate the lens, cause it's a manually focused lens, you're trying to perfectly align an imposed image on top of it.  So you're always kind of looking for the edge of someone's eyelid or a straight line on a car or a house or something to get an idea of your focus distance. |
|Unknown|Yeah. |
|James Stacey|When you get into really fine stuff or when you get into nighttime, it gets really difficult to tell if you're actually in focus or not. You do get better at it as you go. I've found it got way easier than when I first started.  But I played around a little bit with those Visiflex and I was like, man, I kind of could see like really enjoying one of these, especially on super sunny days when you're just staring at metal like cars. Right. Right. Because now I can, I can, I can kind of relax one eye. There's a little bit less eyestrain than using the, it's not a split prism, but the range finder, you know, design. And so I added it to my Kijiji list. Kijiji is like just a buy and sell everything from cars to everything else.  And I've had pretty good luck finding Leica stuff on there. There's other camera nerds that are on there. I've bought and sold Canon stuff as well. And so just by chance, like dropped a Visoflex into the search. And the guy like three or four hours before had posted a brand, like essentially a brand new one. He'd used it a couple of times. The price was okay. And I was like, there can't be like, there's not that many M10 knuckleheads that want to buy anything used, right? |
|Unknown|Like me looking for like,|
|James Stacey| These were seven or $800. The viewfinder knew, I think maybe even a little bit more. Uh, so I, I wrote the guy and I made an offer that was not like mean. And he came back with only a slight revision and I was like, all right, let's do it. And so Saturday morning I drove out there and picked it up and I played around with it for the afternoon a little bit. Uh, and, and just, I was very impressed by it. I'm having a good time with it for sure. |
|Jason Heaton|It sounds like, um, uh, at least on the, the M 10 without the, without the screen on the back, that, that almost seems like, like a sacrilege to add that to it. |
|James Stacey|But um, it is an interesting combination to, to not only float. Yeah. The lack of a screen, the like bare bones concept of an M 10 a D uh, and then put the visual flex on it. But depending on what you need to shoot, it can make a lot of sense. I don't think I would always have this thing on. Oh, the other thing you can do, this is silly, is um, you can, review photos with it. |
|Unknown|Oh, okay. |
|James Stacey|So if I want to check that I nailed focus on something, I don't have to look at that little screen in the bright sunlight. I can like put my eye up to a covered and that I think might be more valuable than actually, cause I haven't really found like shooting cars or whatever. I've, I've had very good success with using the range finder. Yeah. Um, but then you do want to check and make sure that you weren't a millimeter, two, three, five millimeters off of what you actually wanted to show.  Yeah. And this way it's a lot more like the cue where I can snap the photo and immediately like spin the thumb wheel and it takes the review image and zooms in. Huh. And so that's also quite handy. And it's kind of a funny looking thing. I put it on my Instagram, but just the way that it sits on top of the camera, it definitely looks like an afterthought, but in kind of a charming 1930s sort of Wes Anderson-y afterthought. |
|Jason Heaton|And that's a Leica made product, obviously. It is. |
|James Stacey|Yeah. Yeah. Yeah. |
|Jason Heaton|Yeah. I couldn't get used to the range finder.  experience years ago, a friend lent me an M6 film camera many years ago. And I remember taking it hiking up North for a weekend and I just couldn't get used to, to kind of focusing that way. And, uh, I guess my only other experience vaguely similar to that is using the Nikonos underwater, which, um, you know, just has this kind of dummy viewfinder above the lens that you have sort of, yeah. Um, which isn't very helpful. And it's a certain degree of guesswork, but you sort of get used to it. But yeah, I would definitely be a customer for the Viziflex if I, if I went that route. |
|James Stacey|Yeah. I think, I think I would love to get to a point where I knew, like I was going to see you and I knew I would see you again in two weeks and I could just leave the 10 with you. Oh yeah. Because for me, like some people remember, like I've had that camera for a long time and never used it. I found the range finder to be very intimidating. Yeah.  at the, when I first got into it, I didn't like, and this is a crazy sentence. If you're a, a, like a nerd, I didn't like the 35 Lux widely considered the greatest 35 millimeter lens ever made, certainly for manually focusing, didn't care for it so much. And it took me essentially buying that 50 and feeling like I was doing something I couldn't do with my cue to invest enough time in the platform to get fast at it and not fast, like a pro, like, yeah, but I had to get over this hurdle of like finding it kind of too much in the way.  Anyways, there's probably enough camera talk, but I'm, I'm pretty excited about the Visiflex. I'm looking forward to getting a chance to put it through some, some actual use in the next few weeks. |
