
# Drafting High-End Watches With A Sense Of Adventure – A TGN Special With Collective Horology
Published on Fri, 04 Nov 2022 08:00:00 -0400



## Synopsis
This podcast episode features a collaboration between The Graynado and Collective Horology, where they discuss Collective Horology's new watch collaboration with Armin Strom, called the P3. Asher Rapkin, one of the founders of Collective Horology, joins the hosts to talk about the inspiration and design details behind the P3, which is a limited edition watch based on Armin Strom's Gravity Equal Force platform. They also participate in a fun "draft" of high-end watches with an adventurous spirit, each picking three watches and sharing their rationale for their selections.

## Links
- [episode page](https://collectivehorology.com/)
- [episode MP3](https://www.buzzsprout.com/2049759/11629675-drafting-high-end-watches-with-a-sense-of-adventure-a-tgn-special-with-collective-horology.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to a special presentation of The Graynado in partnership with Collective Horology. This episode is the first of a new concept for TGN that will allow us to collaborate with the people and the brands that we like to produce standalone special episodes that we can offer to all of our listeners.  James, we're pretty excited to introduce this format to TGN, wouldn't you say? |
|James|Yeah, we sure are. It's been kind of a long time coming, kind of workshopping it. And this largely only exists because we haven't had a lot of success with ads in the past, especially because they always felt like kind of a break in the entertainment of the show itself. Even when it was one of our voice reading the ad copy, I just didn't like doing it. I didn't like the way it sounded. I liked it even less when I went to edit it later.  Add into that the fact that the standard episodes of TGN are now entirely listener supported, so that's your normal four episodes a month and then the Q&A, and we figured it was best to try something kind of more, a bonus episode brought to you by a special sponsor. As such, this episode is brought to you by Collective Horology, and we're thrilled to introduce Asher Rapkin, who is one of the founders of Collective. Welcome, Asher. How's it going? |
|Asher Rapkin| Hey guys, it is really, really nice to be here. And I have to say, I'm excited for you in this format in particular. I've spent 22 years of my life working in advertising, so that could be a fun conversation on its own. |
|James|You know, we touched base back at Wind Up Chicago, and you guys had kind of an interesting collaboration, which as of the moment this episode is available, you can go to CollectiveHorology.com and actually see the new watch, a collab with Armin Strom. And we're going to get into a bunch of details about that. And you guys want to do some ads and we kind of said like, no, we don't do ads. And then you're like, well, what do you do? And that kind of led us down this road. You know, I think of it like the Colgate hour, if you remember from the fifties, but instead of the Colgate hour for this time, it's, you know, it's, it's the collective horology hour and it's a special presentation from you guys. So we get to talk a little bit about what you guys have going on and then we're going to have a, a really fun draft. And to say really fun, I'm like legitimately excited. Cause you know, when Jason and I draft watches, it'll be, your one watch option, your watches under $1,000, your maybe a dream collection or something like that. And this is just... Yeah, this blows the roof off. Yeah, full on like we said, high-end watchmaking with an adventurous spirit. But I do think that the kind of natural place to start is there's probably a chance that there's some folks in our audience that don't know collective horology really well. Do you want to give us a little bit of background on how it started and the kind of special thing that you guys bring to watch enthusiasm? |
|Asher Rapkin| Yeah totally. So my partner and my oldest and my best friend Gabe we founded this company in 2018 and released our first watch in 2019 around the idea that we wanted to create collaborations for enthusiasts. And over the last three years or so we've we've done that releasing a wide range of watches at all various different price points with all manner of different makers all held together by really two things.  a desire to use watchmaking as a canvas for storytelling and to expand everybody's horizons. And I don't mean that facetiously because obviously everybody, you know, goes on their own watchmaking journey. But our hope is that we can open people's eyes to new watches and new makers that they may never have considered before. So as such, we create collaborations in partnership with brands that we admire. And that's everybody from Zenith to Josh Shapiro, an American watchmaker, most recently IWC, one of my most admired brands, Urwerk, and now a brand that I'm madly in love with, Armand Strom. And each of these watches are available first to folks that we call members, who are people who participate in our community, who are folks who have invested in a collective watch in the past, as well as new members that want to join and are interested to find out what we will be making in the future. So that's what we do. It's grown, I think, from a passion project for Gabe and I into literally what we go to bed thinking about, what we wake up thinking about, which is probably not all that different from the way most collectors approach watch collecting. |
|James|I mean, it's pretty similar to the way that what's happened with TGN for Jason and I. This was something we kind of did to fill a day or to have something out in the world. And because we like chatting with each other and it's become something really cool with kind of a really fun group of people behind it. And I think they'll connect with the watches. I know I met you and Gabe quite a long time ago, it would have been, when did the Zenith come out? It was mid 2019? |
|Asher Rapkin|It was, it was, it was fall of 2019. And that was my first time coming into the Houdinki offices, which, you know, as somebody, I mean, I, I grew up watch collecting, you know, just at the end of the forum age, um, and just at the beginning of, um, you know, the growth of like mainstream watch media. Uh, so yeah, you know, going up, going up the stairs and knocking on the door and there's the little H and the whole thing, you know, it's, uh, it was cool. It was, it was incredible to go in there. |
|James| It's always nice to see you and Gabe whenever we manage to be in the same part of the world at the same time. Usually that seems like it's Geneva. And then, of course, being 2019, there was a big break there. So, you know, we got to catch up earlier this year and then again to see you pop up in Chicago with Windup. And you were just at Windup New York, right? |
|Asher Rapkin|We were. And actually, you're reminding me, you pointed, Gabe and I, when we bumped into you in Geneva, to the coolest watch that I saw that I believe you said was one of the coolest watches you saw.  which was that absolutely bonkers Van Cleef and Arpels automaton, the flower automaton. The garden flower one. Yeah. Incredible. |
|Jason Heaton|So big thank you for turning me on to that. So, uh, so Asher, you know, I mean, until, until you guys at a collective come out with your, your Van Cleef, uh, uh, collaboration, um, let's, let's, let's talk, let's talk a little bit about the, uh, the Armand Strom collaboration. Cause it's, it's a really cool piece. And I think when you showed it to us, you know, you'd mentioned that, that you kind of felt like this was a watch that, that was, along the lines of a TGN thing, you know, like something we might appreciate. And certainly it is, it's, it's a really cool piece. First of all, why don't you tell us a little bit why you partnered with them, how that came about and, and then kind of get into the nitty gritty about the, the watch itself, you know, its specs and special elements. |
