
# The Grey NATO – 216 – Making the Most Out of Winter
Published on Thu, 17 Nov 2022 06:00:00 -0500



## Synopsis
The episode is a discussion about preparing for and staying positive during the winter season in cold climates. Jason and James share tips on winter gear like boots, gloves, jackets, and head coverings to stay warm and comfortable outdoors. They also discuss ways to stay active and engaged indoors, such as learning new skills like watch modding or cooking, reading books, and embracing outdoor activities like skiing or snowshoeing. Overall, the episode aims to provide listeners with practical advice and a positive mindset for making the most of the winter months.

## Links
- [episode page](https://thegreynato.substack.com/p/216winter)
- [episode MP3](https://www.buzzsprout.com/2049759/11710653-the-grey-nato-216-making-the-most-out-of-winter.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 216, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  Hey Jason, how are we doing? Already deep into snow shoveling season for you? |
|James|Seriously, it was like, I think last week was in the 60s here and then today we've got a second day in a row of snow and I'm looking out the window and it's coming down. We got probably three inches on the ground now. The vehicles are covered and I shoveled yesterday. It's a little jolting. |
|Jason Heaton|It was a little bit, kind of caught me off guard. Man, I was out on a bike ride yesterday and I'm looking out the window now and it's snowing.  All right, well, I want to hear all about what else you've been doing other than shoveling snow and presumably cleaning it off of the square faces of Land Rovers. But I guess we've got some updates for the supporter packs as well. Some news, right? |
|James|Yeah. You know, as we've discussed on a couple of the past episodes, we are coming up to our, I guess, anniversary of the kickoff of our Substack supporter campaign, if you call it that, you know, where we started to receive subscriptions from people. And thank you very much.  We've got such a healthy, loyal group of listeners and people that are supporting us. And we're coming up on that kind of anniversary of that. So people are probably starting to get their renewal notices for their annual subscriptions. And those of you that are doing monthly, you know, thank you for keeping up with those. But we decided to kind of add some perks, if you will, to what we're offering for our supporters. And on the, I guess if you want to call it the shop side, we are starting to, or will be kicking off on December 1st, the ability for our a hundred dollar annual subscribers to purchase additional TGN gray NATO straps. So if you, when you signed up for your annual subscription, you were given a link to order a strap of your choosing in 20 or 22 millimeters. And if you're lamenting the fact that you didn't order the other size, or you've got to say you ordered a 20 and you've got a Seiko that takes a 22 millimeter. Well, now you have the, you will have the ability to.  order that other size, um, starting in December and we're, we're gonna do one per order. Um, so if you ordered a 20 and you want a 22 or you just want a second 20 or whatever the case may be, you'll be able to do that. Um, we will have that open with a link sent to the, the annual subscribers, um, in early December. So keep an eye out for that. And then, um, we're working on some, some fun ideas for some more, uh, TGN merchandise coming in 2023. So, um, we're really excited about that and we'll be offering, Some level of discounting, um, either on shipping or on, you know, percentage off on, on product orders to our subscribers, as well as maybe some early ordering opportunities there. So, um, excited about that. And then also on straps, we, as we mentioned, we're offering a lifetime warranty on the TGN straps. So if you happen to wear one out, um, which is probably unlikely, um, we're talking like.  Yeah, we're talking like, you know, ripped holes, broken buckles, et cetera, you know, send us a photo, um, and we'll happily send you a different one. Um, so, so do that. And, uh, and James, you have an update on slack. |
|Jason Heaton|I do. I'm putting, I'm putting a hard line in the sand cause things keep getting in the way. I will be sending out an email to all the supporters, whether you're $5 crew or a hundred dollar annual crew, uh, before episode two 17 comes out. So I guess that gives me eight days to sort everything out.  and get it going. I'm going to do a little bit of traveling this weekend, I believe, at which point I'll have some time on an airplane to finalize some of the stuff. I know I've said it before. It's been a busy season. But I also feel like I've said that for the last two years. But the last six weeks have been nutty. I'm really excited for the slack. But I also don't want to do something that I don't fully understand from like an IT standpoint and send a link that doesn't work for some people or you know, people don't have the right permissions and can't actually get in and do the chats and that kind of stuff. I want this to be like a smooth process. So I'm just doing my final checks and balances. And that involves speaking with a friend of mine who's done this before at a corporate level. Uh, so yeah, I'm, I'm, I'm working on it. The, the absolute goal would be, uh, no later than the day episode two 17, uh, comes out. So a week from when you're hearing this, if you like to listen on day one, I'm really excited for the Slack, like genuinely, it's something I really want. We've gotten a bunch of notices about it.  I think it's going to be kind of the next phase for the crew, uh, to, to kind of connect and stay, stay together and chat about all sorts of different stuff. So I just want to make sure I get it right. And I do get a little bit stressed about the tech stuff, given what's happened with the feeds lately and other things like that. |
|James|So, yeah, that's, that's really exciting. And I think it'll be, it'll be great to build that community kind of on a, in a real time basis where, you know, if you jump on at any given time, you might find a, A few other folks on there chatting about straps or some kind of adventure plans or something like that. So I'm excited for that to kick off and go easy on us if there are a few hiccups in the early days. But I think it'll go smoothly and I'm sure it'll be a blast. |
|Jason Heaton|Yeah, we're podcasters, not IT professionals, despite the fact that slowly we're becoming, you know, IT dilettantes. So, yeah. So look, beyond the updates for the supportive perks and that kind of stuff, what have you been up to? Are you spending more time inside because of the snow? |
|James| Yeah. I mean, you know, I try to get out. I went for a hike on, on Sunday. Yeah. You know, I've, I've decided that this, and this kind of feeds a little bit into the main topic is just getting outside. I do try to enjoy winter as much as I can. I do a lot of cross country skiing and, and running, but, um, you know, such an easy way to, to get out and get some good exercises, um, to do, I guess, I don't know if you call it like a weighted, weighted hike or a hike with a weighted backpack or whatever. I just threw some dive weights in.  my Patagonia black hole and threw on a sweater and some hiking boots and went down. Uh, there's a park not too far from our house, about a mile away that, that it's a lovely spot with some trails down along the Mississippi river. And I just did about a three or four mile hike, um, for, you know, our hour and a half and came back home and it was just good exercise. There's some stairs to climb and some, you know, it runs along a Creek. So it was really, really just a pleasant way to get out. So I'm going to do definitely do more of that this winter. And then I started a book that I've been.  kind of anticipating for a while. And when I, when I saw it come out, I was really intrigued and it's by Cormac McCarthy who wrote all the pretty horses and no country for old men and the road. Um, one of America's great, great authors, Pulitzer prize winner. And he has a couple of novels coming out. They're kind of companion novels. And the first one that came out is called the passenger. And I was particularly interested because there's a plot line that was kind of teased early on that, that involves a salvage diver who is diving on a sunken charter plane in the Gulf of Mexico. Um, so I was really kind of keen to, to listen to that. And, uh, and by listen, I mean, I'm actually listening to the audio book version of it. And even though there's not a ton of like underwater action, this isn't an action thriller book by any means. There's some nice detail. You can tell he's done his homework and, uh, and it's an interesting plot. I wasn't, uh, I wasn't sure what to expect. And there's also a Hoyer watch that's mentioned, uh, which is kind of fun. You know, one of those Easter eggs for us watch nerds when you're reading or listening or watching a movie or something. And so, uh, I'm only probably a quarter of the way into it and it's, uh, it's a good book. So I, I, I recommend that if anyone's a Cormac McCarthy fan or just wants to give it a try, it's called the passenger. |
|Jason Heaton|Yeah. It's a, I mean, it's a good time of year to find new stuff to read for sure. Right. I guess a lot of what we're saying in this, in this episode today applies to the Northern hemisphere. So to our homies in, uh, in Australia, uh, Check out our summer guide from a few months back and maybe take a peek. |
|James|Yeah, maybe bookmark this one and listen to it in, what would it be, like April or something? |
|Jason Heaton|Yeah, or you know, hey, pick up the McCarthy and hop into the hammock, right? Enjoy that time. It's a nice season to read as well. But yeah, I guess a lot of this will be Northern Hemisphere kind of centric.  in terms of our statements coming forward. But what about you? Yeah, from from my standpoint, I might sound a little different. I've now officially given up recording TGN from the office I built to record TGN. It's been a longstanding problem of RF interference in that corner of my house. And from what I can tell, it's outside my control. It appears to be coming from the panel box that's in the garage through the you know, it's a shared wall. So it's maybe two feet.  I started doing some testing because we had a few really nice folk just say like, Hey, there's a buzz on your audio. That's not on Jason's side. If I listen at a high volume and true, you had to crank the volume up. I had learned how to suppress it months and months ago, and it appears to simply be getting worse. You can now hear it like in other headphones.  Trying not to be emotional about this because it's like a massive disappointment for me that I can't sit at my desk where I have a couple monitors and a whole workflow. I'm now on the other side of my house. Hopefully this sounds better. It doesn't have a buzz, etc. But I'm sitting like in my comfy leather chair. I have my microphone arm lashed to my coffee table. It's a kind of a ridiculous setting in which to record, but I'm doing my best. If this episode sounds wonky, next week will be better.  The audio quality has always been a thing I take pretty seriously and I've just been really dismayed by the RF interference on, you know, where I put my desk. I don't have an ability to put that desk anywhere else in my home, sadly, so I might just get rid of it or keep it just to, you know, store watch boxes and stuff like that. Turn it into a shelf or something. Yeah, that's too bad. |
|James|I suppose you could line the wall with layers of aluminum foil or a big sheet of steel or something. |
