
# The Grey NATO – 217 – A Birthday Bond Seamaster and a New Flyer GMT
Published on Wed, 23 Nov 2022 20:00:00 -0500



## Synopsis
In this episode, Jason and James discuss the recent holiday of Thanksgiving in the U.S. and share what they did to celebrate. Jason talks about his recent trip to Los Angeles where he drove a Mazda Miata and hiked in the canyons. They discuss the new Mido Ocean Star GMT limited edition watch for Hodinkee that Jason is wearing. James shares about fostering a cat for a week. They analyze the new 60th anniversary Omega Seamaster 300M steel watch, debating the aesthetic details of the dial, bezel, and commemorative case back animation. For their picks, James highlights a new documentary about the U.S. Navy's Sea Lab program, while Jason recommends a car video reviewing the Camaro Automobili Evo 37.

## Links
- [episode page](https://thegreynato.substack.com/p/217bond60midogmt)
- [episode MP3](https://www.buzzsprout.com/2049759/11754506-the-grey-nato-217-a-birthday-bond-seamaster-and-a-new-flyer-gmt.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grayado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 217 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support.  And if you'd like to support the show, please visit thegranado.com for more details. James, I guess when this episode goes up, it will be Thanksgiving here in the US. |
|Jason Heaton|Yeah. Let's, let's kick off with a big hearty Thanksgiving to everybody who celebrates it in the States. Thanksgiving is a pretty big deal in the States. It sure is. Yeah. I hope people get to enjoy it and you get a, you get kind of a forced long weekend, extra long weekend. |
|James Stacey|I think between the long weekend and the fact that there's no thing like, there's no pressure to like buy gifts or that sort of thing. It's, it kind of is this, you know, It's one of my favorite holidays just because it's like you get together, hang out, eat some good food, see some family. And then there isn't that like hype surrounding it. Like, like you get the day after Thanksgiving. |
|Jason Heaton|So yeah, I think, I think it's great. And you know, in Canada it's a lot more chill. We don't have as much going on. It's kind of a nice family hangout. Some people take it pretty seriously and do big things. And I always really loved being part of that when, when it was possible. It feels like that was a long time ago before COVID. Yeah.  But yeah, I like the how seriously Americans take it. And I do like that aside from the kind of Black Friday element, which is kind of comes and goes and its level of grossness, people getting hurt for deals is obviously bad and has happened in the past. I do like that at least now you just do most of that from the comfort of your couch. And it's also super easy to ignore, you know, a la Patagonia or something like that. But yeah, a good one. And I hope everybody has a great time. And if you get to this episode a few days late, that's A-OK. And you have an extra plus because, hey, the Slack is live.  probably something like 12 hours before this episode went live. Everyone who's a supporter, whether you're the $5 a month folks or the $100 a year folks should have gotten an email with an invite link. It'll be in your inbox. If you can't find it, you can go to Substack, just make sure you're logged in and you can find the post, uh, which is for subscribers only, which has a link to bring you into the Slack. We've been testing it for the last couple of days. It's going really well. We're super pumped, but all the details are in your email. Please read the email. I would appreciate that as well.  And then click the link, make an account and hop in there and chit chat with us all you like. |
|James Stacey|Yeah, it's so exciting. We've sort of did a soft opening with a few close friends within the past few days and already it's kind of cranked up to just be a fun little group and I can't wait once it starts to grow. I think it's going to get to be a bit of a distraction, so to speak, from day to day work. I'm going to have to you know, set some rules for myself when to dip in there and not because, uh, there's a lot of kind of cool discussions that'll happen. I'm sure. |
|Jason Heaton|Yeah. And if you want to be part of the slack and also support the show and everything else, we talked about it on most of the recent episodes, cause it's been about a year, but there's a $5 a month option that gets you our monthly Q and a, and if you send us in a question, we'll include it in the Q and a as well. And then if you do the a hundred dollars a year, you get everything the same as the $5 a month, but of course you can also get yourself a 20 or 22 millimeter grain NATO, which is signed TGN, a crew sticker.  and a thank you from Jason and I. Those are how you can support the shows if you want. But beyond that, Jason, how have you been? It's been kind of like I was doing a little bit of travel, so we've only touched base a couple of times in the last few days. Things good? |
|James Stacey|Yeah, things are good. We had kind of a fun week. We had an interesting week because we, as you might remember, we lost both of our cats last year and we've been catless for the better part of 13 months or so. And we had talked about doing some fostering of cats and we did our first kind of short term foster care thing this past week. We, um, there's a kind of a cool, uh, crowdsourced, um, animal shelter network here in Minnesota called Pet Haven that, um, instead of having a physical location where they shelter animals, um, they just use this big network of volunteers that taken dogs and cats. And, um, and we are what, what's called a respite fosters. So it's when the longer term foster need to take some time off, go on vacation, travel, whatever.  we'll cover for them for, you know, whether it's a weekend or a week or whatever. So we took in like an eight year old cat for the past week, uh, from, from a couple that were, that were traveling. What's the cat's name? Yeah. The cat's name was nugget eight year old kind of gray tiger striped cat. Um, he was a big boy. He was pushing 20 pounds. They said he's on a, he's on a bit of a weight loss program, you know, to which we contributed with, um, you know, very careful feedings and that sort of thing.  But he was very sweet. He was very timid cat, but very gentle. And once he warmed up to us, he came out and was a real sweetheart. So it was, um, it was fun to have a cat back in the house and, and, uh, we were, you know, as usual, we got attached to him by the time he left seven days later. And, but, uh, it was a good, good way to dip our feet back into kind of the cat world. So that was fun. And, and, you know, aside from that, it's, it's, it was a cold week. I mean, it was, we got a decent amount of snow last week and, You know, I've been building a lot of fires and, and kind of reading books and hanging out inside. And, and, uh, I got out for a hike this past weekend again, um, which is something I'm, I'm trying to do more of this winter, just, you know, like weekly hikes just to get out on some of the local trails and that always feels good to get out in the sun. So for sure. But other than that, we've got a good friend is visiting us this week and we're going to, after we click off here, um, I'm going to go and start ramping up or we're going to contribute some cooked food for the Thanksgiving meal at my parents' house tomorrow. So we're going to start to start getting ready for that.  What are you making? Uh, my responsibility is mashed potatoes. Now that's the, probably the easiest of the bunch, but we're going to do like, it's important though. It's the bedrock. Yeah. We're going to do like, um, some maple glazed Brussels sprouts and we're going to do some carrots and uh, what else are we doing? There's a third thing. Oh, uh, Kashani is going to make a, like a vegan, um, green bean casserole. So, you know, picture the green bean casserole with the cream of mushroom soup. It's not going to be cream of mushroom soup. It'll be some variant of that. So, uh,|
|Jason Heaton| Man, you guys got two of the most important ones. Yeah. Green, green bean casserole and mashed potato. |
|James Stacey|Yeah. Yeah. I make a good mashed potato. I have to admit it's, it's, it's an easy thing to do. There aren't many ingredients, but I think it's all in the texture and uh, I've kind of got that down. So, and then my mom is going to do the all important turkey. She, she, she does that. She owns that. So that'll be great. Okay. Yeah. Do you like turkey? Um, in little bits. I have it once a year. |
