
# The Grey NATO – 219 – The 2022 TGN Holiday Gift Guide
Published on Thu, 08 Dec 2022 06:00:00 -0500



## Synopsis
This episode covers the hosts' gift recommendations for the 2022 holiday season. They each suggest 5 items across different price points - 4 under $150 and 1 "break the bank" luxury item. The affordable picks include things like a titanium mug, slip-on shoes, a tech pouch, a sweater, driving gloves, a pen, and a Kindle e-reader. The luxury items are a nice sweater and adjustable dumbbells. They also discuss updates on the show schedule, issues with the private podcast feed, the growth of their Slack community, and some of their recent experiences. Finally, they recommend an Eddie Bauer video about mountain climbing and the Disney+ series Andor.

## Links
- [episode page](https://thegreynato.substack.com/p/2022giftguide)
- [episode MP3](https://www.buzzsprout.com/2049759/11832386-the-grey-nato-219-the-2022-tgn-holiday-gift-guide.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 219, and we thank you for listening. James, the penultimate episode of 2022, here we are. |
|Jason Heaton| Yeah, we're getting down to the end. This is always a fun one. You know, it was weird on the last episode. I couldn't remember doing a gift guide for 2021 and I went back and looked and I like all my pics. Lo and behold. Yeah, it was there. It was there must have been, you know, it's it's it's that time warp of the pandemic. You just kind of lose. Yeah, lose details of what was last year and what was the year before and that kind of stuff. But no, I always really get a kick out of doing these episodes. And yeah, I'm looking forward to to getting into it. But we have a few updates to to start with. Right.  So I guess we can kick off with the show schedule. For anyone who missed last week, we mentioned we won't be doing shows for the latter half of December. We're taking that off holiday time. So that's the 22nd and the 29th. We'll be back on January 5th, 2023. What a sentence. Right on. And then there's been an ongoing issue with the feed, the private feed. For those of you who are on the supporter crew, there's a private feed that, of course, includes our monthly Q&A. And all of a sudden, it stopped working.  You couldn't really add the feed correctly, and some people were reporting they weren't getting episodes. By the time this episode comes out, everybody who supports the show will have gotten an email with steps to fix this problem. Basically, Substack gives you your own URL. So if you want the best possible performance, and obviously if you're paying for it, you might as well. And if you're confused by that, you can either send us an email or all of the steps and the ability to get some support is in our Slack as well. |
|James| Yeah, crazy. We've become kind of technical support guys as TGN has been growing. |
|Unknown|A little bit, yeah. |
|Jason Heaton|Clearly I'm great at it, right? There's only a problem like every two or three weeks. |
|James|But speaking of Slack, I mean, man, it's blown up. I mean, we talked about this last time, but it's been tremendous to kind of sit back and observe. It's taken on a life of its own for those of you that are supporters and taking part in our Slack space. It's been a lot of fun. I mean, the discussions are lively. They're all over the place. They're very polite and cordial and supportive and diverse. It's been amazing. |
|Jason Heaton|Really, really fun to see. Yeah. No, I've been super impressed. And you start to see folks just digging into various topics and asking for more channels. And we've got quite an array, well over 500 people in there. So I mean, there's still a lot of subscribers that aren't. So if you want to get in It's essentially, like I said, uh, previously functioning like a full on watch forum at this point. Uh, but we also have, you know, channels for adventure and diving and driving and gear and all that kind of stuff. So we're having a blast with it, seeing some incredible watches, getting to chat with a lot of really interesting people. So I think it's working out so far. |
|James|Yeah. And on the shop side of things, um, we're still selling additional straps to our annual supporters. Uh, you would have gotten the email with the link for that and, um, and the code for your discount.  And people have been taking advantage of it. I've got another crop to run over to FedEx today. Yeah, it's been great. I hope everyone's enjoying them. I've seen a few photos being posted of those straps being put on watches, and it's going well. We're getting a little low on stock on the 20 millimeters, but I think they might hold out until we get the restock here probably later this month. |
|Jason Heaton|Great. |
