
# The Grey Nato - Ep 22 - New Watch Alert!!!
Published on Tue, 22 Nov 2016 09:01:21 -0500



## Synopsis
Jason Heaton and James Stacey discuss some new watches they recently received, including the Monta Ocean King dive watch, the Unimatic Modelo Uno (U1B), and the Raven Trekker 40. They talk about the design, specifications, and their impressions of these watches from lesser-known brands. Jason also shares his experience of visiting New York City, including meeting people from the watch community, attending events, and touring a shark research boat. James mentions acquiring the Autodromo Group B watch.

In the final notes, Jason recommends the novel "The Freelancers" by Pierre Gobinet, which has an adventure/diving theme. James recommends the Netflix series "Tales by Light", which follows adventure photographers and their projects, shot in stunning 4K resolution.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-22-new-watch-alert)
- [episode MP3](https://www.buzzsprout.com/2049759/11311099-the-grey-nato-ep-22-new-watch-alert.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 22 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton. |
|James Stacey|And I'm James Stacy. Today's topic is actually just about a handful of new watches that Jason and I kind of got in at the same time on coincidence. But before that, I do have a little bit of housekeeping that we need to get to. First up, A listener and friend of the show, Sam Kimpton, whom I had the pleasure of meeting in Denver a little while ago, was cool enough to go out and try to get a form 4457 from the U.S. Customs Group, which we spoke about in episode 21. So he went out to get one of these forms for his watches, and he was told it's a single-use form that you get as you leave the country, and it's good for a single exit, entry kind of process. It's not like the Canadian one that I got, which just lists the items, and then it's good.  until you don't have that piece of paper anymore. But if you added some extra time before your exit flight, you know, as you leave the US, you could probably be wrapped up in the amount of time customs usually takes you depending on your kind of specific process there. So Sam, thanks so much for that piece of investigative reporting. We really appreciate it. Next up is a huge thank you to everybody who reached out about helping fund TGN. We were blown away by the support and we can't thank any of you enough for your generous spirit.  And just your general support of the show. You know, Jason and I really like making the show and we want to keep doing it. You know, we're looking into a Patreon system that would allow interested members of the TGN audience to support the show directly and hopefully get some cool swag in exchange for their support. So, you know, more on that as it develops. We're not in a huge rush. But again, thank you so, so much. You're all the best. So flattered. It was great. |
|Jason Heaton| Yeah, thanks. Thanks so much, everybody. The response was really heartwarming, and we really appreciate your offers of help and all the advice. I think year two of TGN is going to be even better than the first one. So maybe with that, we'll jump into our main topic. Yeah, sure. James, you know, judging by your Instagram feed, you've gotten in some pretty fun and cool watches lately. So why don't you kick things off with maybe one of yours? Which one do you want to start with? |
|James Stacey|Yeah, for sure. So I got two black dial dive watches in and only about three thousand dollars separates them so let's start start with the uh with the expensive one or more expensive one we'll say and that's the monta ocean king uh so i think we've spoken about monta in a previous episode at least i recall speaking about it basically monta is a new watch brand born from the guys behind everest watch bands and their first watch is the ocean king it's a 40 millimeter black dial dive watch, black bezel, and they really swung for the fences in making a luxury level dive watch at a lesser price point than, you know, your kind of hallmark luxury dive watches. So the Ocean King is $35.50 US is its full price. They're doing kind of a deposit system right now, but you get, you know, a 40 millimeter steel diver, It uses the Eterna 3909 movement, which is a new part of their 39 sort of movements and 65-hour power reserve. It comes with a steel bracelet and a rubber strap, a fantastic rubber strap, I might add. And it really is a fantastic watch. It wears really well. It keeps lovely time. I really like the dial design for the most part and a fantastic bezel, beautiful case.  There's not much to complain about here, which is kind of exactly what you want to be saying about a watch that cost this much money, because it's expensive. There's, you know, we did a whole episode on sub-thousand dollar watches. And so this is a real kind of change of pace, but one that I've, I've really liked and I was surprised by how much I kind of enjoyed it. |
|Jason Heaton|Yeah, that's, that's a gutsy, that's a gutsy price to introduce your first watch at. I, you know, I, on the one hand it's, I'm kind of curious to see how they do. And I'm also kind of give them a little hat tip for kind of really jumping in the deep end. |
|James Stacey|Yeah, I agree. I'm having a blast with this watch. I only have it for a couple weeks. I'm definitely going to miss it when it's gone. It just has a, like, they've nailed the kind of fit and finish of all the elements for this price point. You know, there's a lot of big guns at the $3,000 plus price point. Yeah. And some of them have even gone in-house. You think of the Black Bay. And I think they put together a product that kind of deserves to stand there in terms of its overall level of build quality and finish. I think they've done a really nice job with the Ocean King, and I've really enjoyed wearing it. The rubber strap is just outstanding. Maybe unsurprising given the Everest Bands connection, but really, really great stuff. |
|Jason Heaton|It's really kind of refreshing to see a lot of these watches coming out that are really getting to be a much more reasonable size. |
|James Stacey|Yeah, it's 40 millimeters. You get a nice kind of almost pseudo-onion shaped crown, so the actual control of the movement's lovely.  13.8 millimeters thick, including, you know, the height of the crystal. Yeah. And then it's a 20 millimeter lug. So I've had it on NATO's leather, the rubber, the bracelet. |
|Jason Heaton|It's great. I think during our episode about sub thousand dollar watches at that category, I think we talked about how the separation between watches in that category can be really telling when you get to the details, like the way a crown screws in or the way a bezel ratchets, or, you know, how even the loom is applied.  It's, it's ironically, it's a little more difficult, I think, to tell the difference or to find differences between watches that are in the price point of the, of the Manta. I think once you get, you know, even above $2,000, you know, much less $3,000, you really have to start looking, you know, maybe not with a loop, but you have to start looking for more subtle details to kind of really start to separate what makes a watch I don't want to say better, because I think a lot of that comes down to aesthetics and what's important to certain people. But, you know, what are some of the really fine details that you think separates this from, say, a watch that's $1,500 cheaper than it? |
|James Stacey|Yeah, I would say the bezel stands out. You know, I've been a long, long time fan of the Pelagos bezel as one of the kind of the finer out there. And this one feels just as good, but it's quieter. And, you know, they have two patents.  in the bezel design. It's just a fantastic bezel in terms of its grip, its motion. It's very accurate. It's not especially clicky. The dial has been afforded some even kind of background details like the RIAT or what I guess you could call the chapter ring. Yeah. You know, the ring that raises the edge of the dial to the edge of the crystal is actually cut out for all the markers. Yeah.  which is like a detail you wouldn't necessarily see, but when you have these, you know, the, the, uh, three, six, nine, and 12 markers are applied and beautifully cut, uh, very reflective, like, uh, like a gem set, like what you would expect from a luxury sport watch. You know, a lot of them have this sort of detailing and then they kind of fit right into the rear. And it's, uh, it really is kind of a more delicate treatment of what used to just be kind of a tool dial design.  And sure, I think it definitely comes down to aesthetics and I think that's where someone's heart may lead them to buy a watch like the Ocean King versus some of its competition. |
|Unknown|Yeah. |
|James Stacey|But at that price point, you know, you're up there with the really nice stuff from Zinn, from Tudor, you know, a handful of really great kind of well-respected watches and you need to bring the game in terms of the movement Right. In terms of the overall wrist appeal, the fit and finish. And I think they nailed the sizing, like the proportions great. I don't know that much about the 3909, the, you know, these relatively new Eterna sourced movements. Yeah. But it's not Eterna's first time at the game and it's keeping beautiful time. They're offering the standard three-year warranty, but for pre-orders a five-year warranty. So they're clearly on board.  in terms of the longevity of the movement, at least from a servicing standpoint for the company, because there's not a lot of people offering a warranty of that length. And then beyond that, within the first three years, you can get a full service of the watch completed if it needs it. So that includes everything from a case refinishing, to a new strap, to movement service, gaskets, seals, all that. Yeah. Kind of unheard of to a certain extent. Like you can tell that they're very sure of their product. Yeah.  And I think if it resonates with you in terms of the overall aesthetic, I don't think you could go wrong. It just seems really nicely built. It's a treat to wear. It feels very special, which is a key element at this price point. |
|Jason Heaton|I think that those sort of add on customer service things like that really long warranty and that really sort of full service with the straps and polishing and all that that they're offering.  I think those are the things that kind of get overlooked by a lot of people, um, you know, you buy a new watch and all you can really think about is getting it on your wrist and wearing it. You don't necessarily think about three years later, but that, I think that's also a really separating point, especially, you know, it's one more thing that kind of justifies that, that level of price, I suppose. |
|James Stacey|Yeah. And I think, I think it speaks to, they kind of, I think they know that charging $3,500 for a dive watch from a brand that doesn't have a big marketing cache like a Rolex or a Tudor or whatever. Yeah. That's a considerable amount of money to ask somebody to front, not only on your first watch, but on a watch from a brand name that doesn't have a big status assigned to it, which is kind of a thing in watches. Yeah, right. And I think especially when you're getting into a relatively unknown movement with these new Eternas. I mean, we saw them maybe two years ago at Basel. They started to talk about the 39s. Right. I feel like I wrote an article even longer than that ago when they first announced it. Yeah. But to see it start landing in watches, I think it's pretty positive. It offers kind of a, a, a jump up from your ETA, certainly up from a Miota, maybe even above something like a Soprano. You know, I haven't necessarily gone through all the details of the movements, but there are watches that will compete against the Manta that are running in-house and you have to decide if in-house even means much at that price point. Right.  I'm not necessarily sure that it does with Nomos, I think it does, because you can see what they put into the movements. But with other brands, it could just be that they didn't want any ETA involvement in their product. So they went ahead and built a movement to the same level as ETA. |
