
# The Grey NATO – 220 – Our Fav Watches of 2022 (Tudor, Seiko, Citizen, and more)
Published on Thu, 15 Dec 2022 06:00:00 -0500



## Synopsis
The hosts Jason and James reflect on their favorite watches of 2022, including some new releases as well as watches they experienced over the past year. They discuss affordable and high-end options, ranging from dive watches like the Citizen Aqualand and Seiko GMT to luxury pieces like the Omega Seamaster 300m Bond edition and the Porsche Design Chronograph One. They also touch on the strong year for Tudor, highlighting models like the Pelagos 39, Black Bay Pro, and Ranger. Overall, it's a casual conversation about the watches that delighted them in 2022 from different brands and price points.

## Links
- [episode page](https://thegreynato.substack.com/p/bestwatches2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11867919-the-grey-nato-220-our-fav-watches-of-2022-tudor-seiko-citizen-and-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Gray Nato. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 220 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynato.com for more details. Jason, how are we doing? Last episode of the year.  Yeah. Nice round number 220. |
|James|Not bad. It feels, uh, feels good. It's been, uh, it's been quite a year and, uh, you know, I gotta say I'm, I'm, I'm dragging a bit today, so I apologize if I have a bit of a fatigued sound today. I got a double vaccinated yesterday, flu and a COVID booster and, uh, just kind of feeling a bit, a bit under the weather, but it has nothing to do with TGN. I'm excited to, uh, to cap off our year with our last episode. |
|Jason| Yeah, me too. Man, two doses, that's plenty to then go ahead and record this. Masochism, yeah. Yeah, for sure. I probably would have tried to make that a Tuesday afternoon sort of thing, but good on you. I hope any reaction is nice and short-lived for those. Yeah, right, right.  Other than that, a little bit of an update that I've got would be if you're waiting on November's Q&A, it's because I'm still working on it. I thought I had it mostly polished up and then had a little bit of a problem with a garage band and I'm just rebuilding the show now. I figure because we're not doing anything to come out over the next two weeks, I'll drop it sometime early next week, just before Christmas, and that way it kind of fills in a little bit of the gap for of the Chat about anything you can imagine, basically. Every evening's a new surprise. |
|James|It's great. It has taken on a life of its own. I love to dip in there a few times a day and just like peek at what people are talking about. And there's like guys that are adventuring in Arctic Norway and then you get, you know, the kind of the evening rolls around, people start posting their cocktail hour choices and new straps and questions about, you know, what tires to put on a truck and whatever. And, uh, it's, it's amazing. I mean, it's this, this community, it's like when you put out this, platform for it. And it just kind of grows. It's like the field of dreams cliche, you know, it's like, amazing. |
|Jason|Yeah, no, I'm thrilled by it. It's definitely what I'm doing in the evenings these days. My Instagram is very, you know, quiet and dusty. Yeah, at this point, just kind of enjoying enjoying actually connecting with folks in there. So like I said, if you're on the supporter crew and would like to jump in there and give it a try, Uh, there are, uh, kind of specific instructions that you would have gotten by email, or if you can't figure that out, just drop us a, drop us an email and we'll get you some details on how to get in there. |
|James|Pretty easy. Yeah. I don't have much to report this week. You know, we're kind of, I don't want to say I'm coasting into the end of the year, but I'm kind of ticking off things on my list, you know, things to do. Like I've got, you know, kind of year end business finance stuff. And I sent off my kind of final manuscript edits to my agent for the next book. And then.  We're going to wrap this up today and it's easing into the holidays and the end of the year. And we'll take a couple of weeks off and it's a tough time of year. I mean, not tough. I love this time of year, but it's always tough when we get back into things in January. You know, some people feel rejuvenated. I always feel a bit lethargic coming out of holiday time. Sure. Yeah. Yeah. You know? Um, so we'll see what happens. |
|Jason|Yeah. I also find that I've, I start to take stuff right now and push it to January. Oh yeah.  and go like, well, I'll do that in January. I'm so close to some time off or I've got enough on my plate for these things or that thing. And then I end up starting January and it's like a mad dash to be like, well, why did I do this to myself? Yeah, right, right. It'll be like that again in January, but I'm already pumped. We'll be back on January 5th, which should be great.  you know, besides keeping everything in line and shuffling some stuff into next year and that sort of thing. The only other thing I've done, you know, kind of of note recently is I got to do episode 40 of Single Serving Cinema. That's my brother's podcast with his friend Tay. I've done now several of them. So every 10 they do a potluck episode and I've done those all for Denny Villeneuve movies. So this one is for Prisoners, which is a, you know, a TGN Film Club pick from way back. It's one of Villeneuve's kind of first major films.  And we had a really good time. It came out a little while ago and it wasn't, I didn't think it was necessarily going to be out in time for last week. So I held the mention until this week. |
|James|Yeah. You know, I saw this in the notes and I, it reminded me that I haven't seen this movie and I located it on, I can't remember where it's streaming, but it was one of the services on Netflix. Yeah. Netflix. Yeah. So I'm definitely going to check that out. Maybe that's a good, a good downtime holiday viewing. Yeah, I think so. Speaking of viewing, either last episode or the one before you, you had as a final note, the trailer for last overland. Oh yeah. And I did start watching it. I've, I've watched two episodes and it's, it's great. I mean, it's, uh, it's what you expect. Um, but also a little bit more and also a little bit less. I was hoping for so far a little bit more about, you know, the, the kind of Land Rover nerd in me, I wanted to kind of dig a little bit more into the vehicle itself, kind of some of the prep and maintenance and issues they had with it. And it's turned out to be more of.  a travel log program, which, which is great. And they do go through some spectacular places, but, uh, so I've got two more episodes to go and I'm really enjoying it. So yeah, I know you're, you're kind of holding off on, on watching that, um, for some time soon, but, uh, I think you'll like it. |
|Jason|Yeah. I'm really excited for it. I watched the first 10 minutes of the first episode and then realized like, Oh wait, I don't have four hours to devote to this, to try and get through it. So it is something I'm saving myself as a little bit of a treat for the start of holidays.  with stuff like that, I like to wake up in the morning, get a cup of coffee and then watch a couple hours before I start my holiday day. Yeah. You know, if you're hanging out with family or you're doing that kind of stuff that usually starts around lunch or the afternoon. So this kind of fills in the, fills in the morning. So that, that, that's my plan for a sometime, you know, next week, week after that sort of thing should be great. I'm, it looks fantastic. I really enjoyed the first few minutes. |
|James|So yeah, yeah, that's great. And then besides that, I mean, I don't have much else to report other than I, I received my watches of espionage alpha Zulu strap. Oh, nice. Our, uh, our chum over at watches of espionage, you know, Cole Pennington's writing a little bit with him and, and he's, uh, he, you know, he's got such an interesting take on watches in general, um, from, from his, his time as a covert, uh, operative or, or agent. Um, and, and some of his inside knowledge and, and it's just such a different way to look at, at watches coming from that angle.  And he did this collaboration with Alpha Zulu straps out of the UK and produced this kind of interesting, I wouldn't call it a drab olive color green, but it's, it's an interesting shade of green that I've never seen on a strap before with some stitching, very kind of heavy texture to it, a nice buckle, good hardware. And yes, they are. Well, for one thing, they're sold out. They were a bit expensive, but I I've, I've spent more on a NATO strap. I'm either ashamed to admit or proud to admit.  So this wasn't too extraordinary for what it is. I think it's really well done. So, um, those of you that were lucky enough to get one, you'll know what I'm talking about, but that was a, that was a cool pickup and I've got it on a CWC watch. Um, very cool. |
|Jason|Yeah, that's great. I was, uh, I was keen on taking a look at that. And then I think that came out like over the weekend, uh, when I was dealing with the funeral out in Edmonton and I, I just, you know, I saw it, I saw the price and I kind of thought like, I'm going to have to think about that a little bit when you factor for, you know, taxes and the rest of it and getting it to Canada ends up being It would definitely be my most expensive NATO, and I'm definitely a fan of what they're up to. And then by the time I went back, got on the other side of that trip and everything, they'd sold out. So great for them. NATO or not, be sure to check out Watches of Espionage. I've really been enjoying the process, especially now that they're publishing directly to the website. Right. Solid work for sure. All right. And yeah, I don't really have that much else to do. It's the end of year for Hodinkee and such, so we're writing all these sorts of year-end posts, and that's pretty much filling the days and otherwise just attempting to get outside and enjoy a sunny day. It's probably what I'll do right after this recording. It's, it's a little chilly here today. It's like negative eight Celsius, but I'm looking forward to a nice walk in the park and maybe a little bit of a podcast before I settle into this edit for the rest of the afternoon and evening. Yeah. Cool. You want to dive into a wrist check? |
|James|Yeah. So, you know, I looked at the notes, we're both wearing watches that have some connection to our main topic today. I strapped on the Vertex M60 Aqualion. This is Vertex's first effort at a dive watch, and quite an effort it was, or is. It's just an amazing watch. I posted a lume shot on Instagram this morning, and like, it's got to have the best lume of any watch I've owned. I mean, better than Seiko's and the Lumedial Citizen, etc. It just glows all day long. It's just a fantastic watch. |
