
# The Grey NATO – 221 – You, Me, and 2023
Published on Thu, 05 Jan 2023 06:00:00 -0500



## Synopsis
This episode of The Graynado podcast covers the hosts' reflections on the past year and their aspirations for 2023. They discuss the importance of simplifying their lives, doing less but focusing more on quality activities and experiences. The pandemic forced them to re-evaluate their priorities and find joy in smaller-scale pursuits closer to home. Moving forward, they plan to pare down possessions, travel less, and prioritize personal well-being through fitness goals and local adventures. For The Graynado, they aim to continue building the community through events and specials while maintaining the weekly show's quality.

## Links
- [episode page](https://thegreynato.substack.com/p/2023)
- [episode MP3](https://www.buzzsprout.com/2049759/11973864-the-grey-nato-221-you-me-and-2023.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 221, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  And a hearty Happy New Year to everybody out there, including you, James. I hope I got our intro right after taking a few weeks off. |
|James Stacey|Yeah, we got to remember, see if we remember how to do this. But yeah, Happy New Year for sure. And to everyone listening, I think it's going to be a fun year. Looking forward to a great many things. And that's kind of the overall tone of the show is a little bit of holiday catch up and then some chit chat about like the way that we're planning for 2023, what we're hoping to see, whether it be lifestyle stuff or who knows. But we'll get to that in a few minutes.  What do we got as far as updates? Oh, the slack is still going super. Well, we're now over 700 people crazy, which is which is nutty There's there's a conversation there pretty much every day that I lose some time on it's become my like main social media network Obviously, that's not what it is. It's not really social media, but I just I like it so much more than Instagram Oh, I do too between wrist tracks and the incredible stuff that goes into the adventure channels Obviously we got some some great car conversations going on in there and then pretty much anything you can imagine what watches like I need a recommendation of a strap That's this size that has this sort of hardware all the way down to like have you guys seen this look at this thing? I pulled out of my drawer. I got this repaired like it's full-on and I'm just having such a blast with it So if you're interested in getting in on the slack, let alone all the other benefits You can hit that up at the great NATO comm slash support dash TGN to get in for as little as $5 a month We'd love to have you there And if you're a subscriber and you're not in there, be sure to check your emails, check the show notes, that sort of stuff, because you should have a more recent invite email with the proper setup steps or whatever. But if you have any trouble, thegreatnadoatgmail.com. |
|Jason Heaton|Yeah, and quickly speaking of the benefits for supporters, for our annual subscribers, as you sign up, of course, you are entitled to a free TGN NATO strap, branded buckle, and some stickers. And most of you have taken advantage of that. If you haven't, definitely hit us up if you missed that.  And, uh, if you are an annual subscriber ongoing, you also get the ability to purchase, uh, any number of additional, uh, TGN NATO straps. Um, so if you have any questions about that, again, the great NATO at gmail.com, we've mentioned this before, but I thought it would be bare. I thought it would bear repeating. And, uh, speaking of the straps, I, just before the new year, I got a shipment of. Uh, all new, uh, NATO straps, not all new as in, um, resupply restock. So we're, we're, we're full up and ready to Keep shipping those out. We were getting dangerously low there at the end of the year. So I'm glad to see those arrive. |
|James Stacey|Fantastic. Well, that's great. And other than that, other than, you know, updates on the slack and the straps and the rest of it, how are your holidays? We, you know, I really made a conscious effort to not have my phone with notifications. I didn't, I'm not saying I missed any messages from you necessarily, but I definitely didn't get to them very quickly. How was, uh, how was your time away? |
|Jason Heaton| You know, it was great. I think I followed a similar pattern as you. I, um, I didn't turn off notifications on my phone necessarily, but I don't get that many. But what I did do is I, I just sort of left my laptop shut from about December 22nd until well, pretty much this morning, other than to fire it up, to print some shipping labels for the, our TGN supporter kits and strap orders. And it was just a nice break. You know, I, I kind of buttoned everything up before shutting down. And so I didn't really have anything.  looming or lingering or, you know, niggling in the back of my mind that I had to get done or come back to. Right. Um, which is always nice. I love that feeling of just sort of shutting down. You know, I went cross country skiing almost every day. We've been blessed or cursed however you want to look at it with a ton of snow this winter. And, uh, I've made the most of that. And then just met up with, uh, you know, a lot of friends. We, we did everything from like winter solstice, uh, bonfires to curry dinners here and, and a new year's party at a friend's house. And, It's just been a really chill and, and, and nice break. No, that sounds awesome. You know, I think I mentioned before, before the holidays that I kind of struggle with the whole, you know, reboot to restart at the beginning of the year. And, and it always starts a little slowly for me. Like this week is always, some people really go into it gung ho ready to, you know, kick, kickstart their resolutions and get on with it and whatever. And I'm always like, Oh, I don't want to do this. I don't want to do this. I don't want to do this.  There's a bit of a holiday hangover for me that takes a few weeks and I'm just going to like, let that happen. You know, I'm just going to kind of sure ease into the new year. Let, let things ramp up at its, at its own pace. |
|James Stacey|So, but it was good. I feel like if you, if you imagine, if you imagine like visualizing it as moving quickly across like sand, like a quick sand. |
|Unknown|Yeah. |
|James Stacey| Then you start to fight it. Go check your emails or whatever. And then before you know it, you're up to your waist. And now I'm walking my way out of that kind of slowly. I've grabbed onto like a, you know, a read or a route of some sort and I'm pulling myself out of the mire. But yeah, no, I feel exactly the same way. I had a nice holiday. It was busy, at least on the first half. And then the last few days I've been doing like almost nothing, like an embarrassing level of nothing. That's good.  you know, just just planes. I picked up an iPad before it's been on my list of like to spend a little bit less time staring at a laptop is to have a device that I used for some of the same things but doesn't have any of the work stuff on it. So it's got TGN slack on it and the message app and you know our slack for chatting with each other but nothing for kind of my quote unquote day to day job professional life of writing about watches and occasionally some other things. So it's a little bit Not air gapped isn't the right term, of course, but it is kind of shut off from the work side so I can sit and do something, whether it be a workout or watch a little bit of a Bond movie or whatever and actually disconnect from it just being in a different window on my screen. But I got to tell you, I don't know if I've ever talked about it on the show, but years ago, long before TGN, long before I lived in Vancouver, coming up when I worked in a tech support call center for several years and all of those guys played a lot of call of duty and I got into call of duty with them and this is we're talking like 2010 11 and and I played a ton of it and I and I it got to the point where like it was absolutely the it had the form of an addiction and I only say this all because I remember there was a point when I was starting to get more serious with watch report and realizing that even though I didn't necessarily have deadlines, I had a couple watches into review and shoot a video and that kind of stuff like easy light stuff yeah But I was pushing it back to play more Call of Duty, and I got to the point where I was like, all right, I got to pick you like one or the other. So I put all of my Xbox and several games and the rest of it into like a Tupperware container, big Tupperware container and just sold it. Oh, wow. Come and get it. Yeah. And for years, I've really fought all sorts of other video games. You know, I bought a Switch a couple years ago and got Breath of the Wild, which is the greatest video game of all time.  and played through that, but it was slow. I could play a half hour here. They're never really feel addicted. You know, then you laugh when you look back and like I put 130 hours into that game over, over the course of the pandemic. Yeah. Yeah. To make the story a little bit shorter than it might be. I picked up this iPad and quickly realized that I could connect the switch game controllers as like a game controller for the iPad.  Yeah. And I hadn't played like a first person shooter in a long time, but I got on, I downloaded a few, they all kind of sucked. And then I was like, Oh, there's this Call of Duty mobile thing. I wonder how hard it is to get online and to play the games free. And like five minutes later I'm playing and it all came back. It all came back. Like exactly. Like I immediately realized one, how much I had missed it and two, how much of a bigger mistake I had made. So I've been playing that basically like up to maybe like eight hours a day over holidays. Yeah. Yeah.  And I really love it. And I'm going to have to remove it from my iPad to return or like learn how to limit it or something like use it as a reward. Otherwise, I'll play until the middle like it'll be 2334 in the morning. I'll rearrange my schedule to have an hour or two to play. But it turns out I'm I haven't lost too much of my too much of the original edge in the game is all the old maps. Oh wow. So almost all the all the maps that you play on. I remember from a decade ago or more. Yeah, sadly more than a decade now.  So that was a big part of like my last week or so. And then before that, my wife and I drove down to like the Bucks County area. It's a suburb of Philadelphia to visit her family for kind of the week leading up to Christmas and then to Christmas day. |
|Jason Heaton|Yeah. |
