
# The Grey NATO – 222 – Jumping Out Of Helicopters To Fight Fires With Asha Wagner
Published on Thu, 12 Jan 2023 06:00:00 -0500



## Synopsis
Jason and James host a special guest, Asha Wagner, who is a fire department captain, hazmat specialist, and adventurer with a passion for watches. They discuss Asha's journey into firefighting and her fascination with tool watches that can withstand the demands of her job. Asha shares stories from her experiences as a helicopter rappel firefighter, her approach to selecting durable watches, and her diverse collection that includes brands like Sinn, Omega, and vintage pieces. The conversation also touches on Asha's other hobbies like rock climbing, mountain biking, and her knife collection.

Jason mentions some recent museum visits in Toronto to see exhibits like the Wildlife Photographer of the Year and a Canadian modern design showcase. James talks about finding a fascinating documentary on raising the safe from the Andrea Doria wreck, while Jason brings up the quirky online baseball simulation game Blaseball as his final note.

## Links
- [episode page](https://thegreynato.substack.com/p/222asha)
- [episode MP3](https://www.buzzsprout.com/2049759/12027274-the-grey-nato-222-jumping-out-of-helicopters-to-fight-fires-with-asha-wagner.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 222, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and not supporting the show, but you're interested, please visit thegraynado.com for more details.  Hey Jason, how we doing? |
|James|Hanging in there. Yeah, we're, I guess we're halfway through the meteorological winter and, uh, yeah, it kind of feels like it. I feel like it's, uh, all, uh, all downhill. Uh, if you want to look at it that way until spring comes, but it's been a challenge, but we haven't had a winter like this in years. So I guess, uh, I guess I've gotten off easy. |
|Jason Heaton|I feel like you're getting your normal winter plus Toronto's because there's no snow on the ground here. I think it's, it's about zero today. Um, it's not at all what I was expecting from January.  Yeah. Especially because I thought, you know, coming back around Christmas with the huge storm that ripped through the Midwest and the lakes and such, uh, I thought that we were, that was going to be the start of real winter. Yeah. I thought the other day, like I was considering putting some air in my bike tires and making, you know, just bundling up and going for a bike ride. Cause it was like five or six Celsius. Like as long as your ears and your fingers are covered, you're probably going to be okay. |
|James|Right. Right. No, no risk of ice in the, in the shade where you're going to slip or something. Yeah. |
|Jason Heaton| I mean, it could change tomorrow. Yeah. By the time this episode comes out, I could be under two feet of snow. Yeah. Yeah. |
|James|Who knows? You know, I feel like once you get to mid January, you're kind of on the upswing. So I'm, I'm optimistic. We've got a, we've got a warm week ahead and whatever, but I've, I've been trying to make the most of it. I get out cross country skiing a fair amount. Um, but it's a lot of shoveling and then our roof started leaking from the ice buildup around the, the soffits and the gutters. And so we had to have a guy come and steam all the ice off the roof a couple days ago. And it's, you know, it's just been full on. So all that's missing is like a, you know, furnace problem or a car trouble or something, but you know, knock on, knock on wood. It's, uh, so far so good. |
|Jason Heaton|That's great. Yeah, for sure. |
|James|Yeah. I've been kind of hunkered down last night. I'm, I'm working my way through, you know, I talked about, um, SAS rogue heroes and I know you, you gave that a try as well. And that's so good.  The author who originally wrote the book that that was based on has written a number of other books, including Operation Mincemeat, which was made into a great film with... And was a final notes a little while ago. Yeah. There's another series on in the UK on ITV called A Spy Among Friends, which is based on another Ben McIntyre book. And it stars Damian Lewis and Guy Pearce. It's kind of a real life, you know, based on true events version of Tinker, Taylor, Soldier, Spy, because it's about the exposure of Kim Philby as the uh, the Russian spy that he was back in the sixties and, um, right. Kind of the hunt for, for the Cambridge five, you know, the guys that were recruited by the KGB back in the 1940s and fifties. And, um, it's really well done. It's, it's kind of done in the same way as Tinker Taylor. It has that kind of moody, dark sort of, uh, desaturated seventies feel to it with sort of a jazzy soundtrack. It's, uh, it's really quite good. So I've been watching that through.  through my VPN on ITV. And that's been kind of a good diversion while I'm sitting by the fire with a whiskey kind of brooding. |
|Jason Heaton|Oh man, I'm, we're what? It's the January 10th. I'm nine, 10 days into dry January. Yeah. |
|James|Don't talk about whiskey. |
|Jason Heaton|Yeah. Uh, yeah. Well, you know, dry January, not my favorite necessarily, but, uh, something that's probably smart, a nice way to, to, uh, to start the year. Yeah. And I, you know, I mean, other than that, talk about, uh, breaking into addiction. I'm, I'm only, only deeper into Call of Duty mobile. |
|James|Oh my gosh.  And as predicted, I saw a lot of people on Slack saying, Hey, James, me too. |
|Jason Heaton|Yeah. Yeah. But like a couple of those guys like put their screenshots up and they're like very high level players. Oh yeah. I got to work on it. I got to, I got to rank up a little bit and then, and then kind of get in there. I haven't, I haven't cracked level a hundred yet, but I do find it very, very, very, very entertaining and a nice way to like blow off some steam. |
|James|Oh, sure. |
|Jason Heaton| a heavier weights for the deadlift. I went with the lighter, lighter bit to get back into it, but I'm pretty thrilled. And I think I have a line on a water rower, which I'm pumped for. We got some suggestions on the Slack not to go water rower, to go concept or concept two, something like that. And I've definitely read that they're better, but there's a certain element of my lifestyle where the work, the reason I'm going with the rowing is because I don't like the way exercise bikes look in my space.  And the reason I'm going with a water rower is because it goes full vertical to get out of the way. And they're just simply not that ugly. They're wood. And I don't have any space for a dedicated workout area. So when we do weights, we have a little bench that tucks away and like a workout mat. And that's kind of like ugly enough to have in the background of a Zoom call or whatever.  Yeah, I'm sure the concept two ones are absolutely the best. They absolutely review that way and they're available. They look great. Yeah. And if I had a garage with a you know, a weight rack and right and maybe a treadmill and sure, I get it. Absolutely. Yeah. But otherwise, they look very much like HRG gear. Yeah, yeah, you know, workout equipment and I'm looking for something a little bit more acceptable in a in rooms full of sort of wood and yeah and you know it's a it's a century-old home and that sort of thing so I think that's why we're leaning water or but I found an s4 like yours or my wife did to be fair I found an s4 like yours available not too far away for a fair price so good we've got a feeler out for them maybe I'll have that this evening or maybe they'll ignore what I think was a very fair offer huh nice well fingers crossed I mean I yeah I've|
|James| I've enjoyed having mine and my criteria was the same. I mean, the concept twos are great and I wasn't able to find any that, um, pre-owned that were. As affordable as, as even a new water rower and, and yeah, the looks and kind of the lack of the ability to kind of tuck it away against a wall. It's amazing what a small footprint they have when you put them vertically and, um, and they become kind of a conversation piece with the water tanks and it's sitting vertically. So yeah, I hope you get that. That'd be great. |
|Jason Heaton| Yeah, me too. So fingers crossed on that. And then the only other thing we got up to recently is actually over the course of the last, say, month or so, we've gone to the Royal Ontario Museum twice. Nice. So if you're a Toronto local and you're never really sure if it's worth a membership or not, I haven't bothered buying a membership at this point, I should have. But we went for two specific exhibits, which is the Wildlife Photographer of the Year 2022. So they have a full exhibit going on. It feels like the better part of 100 images, but it might even be more than that. And they're all huge and backlit and in different categories and they tell you the settings and what camera was used and where it was shot and some details of what you're looking at. You can really slow down and walk through that exhibit and enjoy it. I absolutely loved it. It's the second time that we've gone and checked it out. We saw the 2021 as well. And then just recently, I want to say that the start of January or like mid towards the end of December, they started this Canadian modern exhibit, which is modern design from Canadian manufacturers and Canadian heritage. Yeah. And it's a little bit smaller, so I would... And it's not one that you pay extra ticket for, you pay extra on the ticket for the wildlife photographer and it's worth it. But if you're going to the museum anyways, I found this one to be quite interesting and it had some really cool stuff. I joked, I put it on our Slack that I think this is the first time I had ever come across something I owned when it was new in an exhibit. So in the Canadian Modern Exhibit, one of the newer things, to be fair, was like a 7820 Blackberry, a Blueberry, if you remember. Yeah. Yeah. You know, before they had, you know, there's like a digital dot digital screen with the Indiglo style backlight and thumb wheel and the full keyboard. And I had one of those towards the end of my stint in university, and it was an absolute game changer.  But there's some pretty cool stuff in there including some great like furniture and some incredible stereos, claretone stuff. And I highly recommend it. And then there's a third one in there and it's like a mineral rock gem mineral exhibit. And I didn't really know it and it's like extensive. Like you could just sit there and I don't know, we were there for 30 minutes, 40 minutes looking at various stuff and it's really beautiful. And if you get a chance, if you're visiting Toronto and any of these exhibits are still going, It's 30 or 40 bucks a head probably to check this out. Certainly the wildlife photographer of the year was excellent. |
|James|Huh. Nice. What a great time of year to go to museums. I always forget to do that. |
|Jason Heaton|Yeah. If you've got an afternoon and it's that time of year when you're not going to spend the afternoon at a brewery or that sort of thing, then we like the museums. And certainly we spend a lot of time at the aquarium and the zoo and the science center because of the kids. But it's nice when you have the opportunity to go and check out something that's like Not necessarily designed exclusively for children. Right, right. I'm looking forward to getting back to the zoo. They had closed it because of that storm. Oh. So I didn't get there over the winter break. Otherwise, the zoo's open 365 days a year in Toronto. |
|Unknown|Yeah. |
