
# The Grey NATO – 223 – Film Club Vol. 9
Published on Thu, 19 Jan 2023 06:00:00 -0500



## Synopsis
The podcast discusses various films in a "Film Club" format, where the hosts Jason and James each recommend 5 movies. The movies range from older classics like The Sixth Sense, The Bourne Identity, Blade Runner, and The Day of the Jackal, to more recent films like Triple Frontier, Everything Everywhere All at Once, and The Unbearable Weight of Massive Talent. They provide synopses and discuss the merits of each film. They also touch on other topics like new watch releases, a packable tote bag recommendation, and an article about modifying vehicles like Subarus for off-road use.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclub9)
- [episode MP3](https://www.buzzsprout.com/2049759/12073225-the-grey-nato-223-film-club-vol-9.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 223, and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details.  And I guess along with the travel, adventure, diving, driving gear and watches, we're going to talk about films today, James, another film club. |
|James|We sure are. Film club volume nine. Right. Normally we do these like I would say we put more like the better part of a year between each one. We did one on 208. Episode 208 was film club volume eight.  I do think that this, like it's January, I think this is the time of year where you can catch up on some movies you didn't see last year. Yeah. Without kind of feeling like you're losing out on a lot of really good cottage fire time or by the lake or whatever you like to do when the weather is maybe a little bit more agreeable. And obviously you could be cross country skiing or snowshoeing or the rest of it. Yeah. But on a day where you're going to stay inside, I think this is a nice time of year where I look back over the last couple of years and see where the holes are. Things I haven't seen yet. Right.  I'm looking forward to another film club for sure. And yeah, it's a great time of year to dig into a movie with a bowl of popcorn and fireplace on that sort of thing. Yeah, definitely. As far as updates before we kind of jump right into the show proper, the the only update to go over this week is that we've got a little bit of a change for how the invite for the slack will work. So due to the way that slack manages the invite link, you can only have one active at a time. And it expires at a certain point. I actually learned it expires, even if you say don't expire because the link that I created and then painstakingly made sure never to recreate another one. It expired the other day, but now when you sign up, I get an email announcing the new sign up. I will then send you a slack invite by hand so that you'll get an invite directly from slack, which should help mitigate some of the spam filtering that sometimes happens with these things.  And you can click on that and get right in. So that's how it's going to work moving forward. If you signed up for either supporter level recently and just didn't bother signing into the Slack or signing up for the Slack when it came out, just drop me an email and I'll get it sorted out very quickly. It's very simple to do from my phone, so you should get a quick reply. I think that's the only update, Jason. What have you been up to other than bobbing and weaving on the Slack? |
|Jason|Well, speaking of Slack, I mean, it's funny, you know, I got absolutely uh, waylaid by a head cold, uh, back on like Friday evening, it started to come on. And then by Saturday morning, I was just, just lights out, um, in bed all weekend. We had a three day weekend here for Martin Luther King day. And, uh, so Ghoshani was off on Monday and, and she took good care of me, but boy, I was just, just down and out for, for three days straight. And I probably still sound a little rough today, a little more resonant than usual, but, um, That also kind of just caused me to be a bit of a zombie the past few days. And I even missed out on, on the Slack chats for a few days. And boy, when you step away from it and come back, it's like, wow, what happened? I mean, there's so many people in there. And then somebody DM to me on Instagram and said, boy, Cole really blew things up. Didn't he? And I said, what did Cole say? What, what, what's up with Cole? And the guy said, Oh, Cole joined the Slack group. And, Then I had to go and check on Slack and it was like all these messages back and forth. And it was like, wow, it's, it's just super active. But, uh, yeah, it's, it's so much fun. But yeah, I'm, I'm kind of on the men now, but, but one thing that, that I'm glad to hear that being laid up allowed me to do was we binge watched a kind of a cult following TV show, TV series that I'd heard about, but I wasn't sure about called the detectorists. Have you heard of this or seen any of it? |
|James| I know of it. I haven't seen it. |
|Jason|It is incredibly good. It is. I highly recommend it. Oh, cool. Yeah. And I'm sure a lot of our listeners in the UK are familiar with the show because it's a British show and it stars Mackenzie Crook, who actually kind of conceived of the show and writes and directs it. And Toby Jones, who is such a great actor. And it's a comedy. Each episode's like 30 minutes long, but it's one of those really pleasant, like, it makes you feel good to watch it.  not even sure what to compare it to. But the reason it resonated with me was because it's all about this obscure hobby of metal detecting. You know, I'm sure everybody's seen, maybe even some of you are metal detectorists, you know, on the side of the road or in a field or somewhere, you know, waving a wand along a beach or something looking for stuff. And I always kind of roll my eyes and they go, what's that all about? But, You know, it's another one of those obscure hobbies like tinkering with an old Land Rover, collecting watches, you know, whatever it might be, um, building models, collecting stamps, right. Um, that it's kind of celebrated in the show. These, these guys, these two friends are devoted detectorists from a small town in England. And that's kind of the basis of the show. But then it, it's all of the tangential stories that go along with it, the relationships they have, the romantic, you know, failed and, and somewhat successful romantic relationships they have, what's going on in their town, other members of their detectorist club, some of the conflicts that arise with landowners and rival groups. And it feels very TGN to me. It feels like it really celebrates the kinds of communities that I think we're all a part of and that we like. And, uh, anyway, long story short, uh, being laid up for three days straight allowed us to kind of binge the first season of it. And I highly recommend it. It's really good. Check it out. |
|James| I should have gotten you on call of duty, could have had you all leveled up by now. |
|Jason|I'm not sure I could have been coherent enough to even pay attention to that. I was, I was, my capacities were limited to just kind of barely keeping one eye open to watch the TV. Oh, fair. Yeah, you gotta, you gotta be sharp. Yeah. Yeah. And what about you? |
|James| Yeah, for me, the only major news, aside from continuing to attempt to get OK at Call of Duty Mobile when I have some free time, is my hunt for a water rower. Rowing machine was successful. Was able to score a really tidy, well-maintained S4. This one had gone through a couple computers, so it's on the S4. And I picked it up just north of Toronto here in a spot called Aurora for about $900. So if you're also hunting one, that gives you a point of reference.  that seemed to be about going for NCAD, so $900 is more like 680, 700 bucks, something like that, US. Yeah, sounds fair. And yeah, and it came with like separate, a whole, almost an entire kit of consumable parts. I picked it up, it just barely fit in the Jeep without any dismantling, I had to take the head rest off the front passenger seat, and because I didn't wanna have to drain it and then refill it, it's just like the water was already in there and treated, so why not? So I got it home, And so far I've done three, by the time you hear this, five workouts. Yeah. Through YouTube, I bought a little arm that holds my iPad, kind of in the place where a screen would be if it was like sort of a smart equipped unit. Yes. And then the videos I've been watching have been from this guy, Training Tall. I don't know if you've come across him. He's like 6'8 or something. Oh, wow. But he has these very popular and several for kind of beginners.  So they're high intensity cadence workouts for the rowing machine. And while you're doing it, he's constantly making little notes to remind you about various elements of the form. I could not have been more ignorant to the amount of technique that existed in rowing. And once my heart rate is kind of up to a comfortable zone, maybe call it 160, 165 beats, I find that I start to zone out and just keep my stroke cadence at whatever they're asking for, 18, 20, 22, 24, whatever. Yeah. And as soon as I zone out, I suddenly realized that something hurts and it's because I'm pulling too quickly. So my, the top of your forearm starts to wear out really quickly. Right. Or if you're swinging too hard or too early against your hips, then your shoulders start to get sore or your lower back. It's weird if you're like shimmying back and forth. Yeah, it's so far I'm, I'm absolutely in love with it. Oh, that's great.  It definitely feels like I found like a really happy medium between the sort of steady state of running, but without the damage. Yeah. Yeah. Like when I finished this, nothing hurts. My feet don't hurt. Right. I've done a couple of these 40 minutes back to back and I'm tired. Like even as I sit here, I'm tired, but I'm still thinking about doing another one this afternoon rather than taking a rest day. So we'll see. The goal would be to get comfortable, I guess, with three hours a week. Yeah.  which would be somewhere between five and six days of rowing and then have a rest. I think if that doesn't work out, if that leads to being too sore or I'm not getting faster or stronger, then I'll probably alternate rowing in the weights back and forth. So we'll see. |
|Jason|And do you keep it down or do you set it up against the wall? |
