
# The Grey NATO – 224 – Collection Inspection Vol. 10
Published on Thu, 26 Jan 2023 06:00:00 -0500



## Synopsis
The hosts discuss two watches from their collections as part of a "collection inspection" episode. Jason talks about his Omega Seamaster Racing from 2006, which features a unique regatta timer complication useful for sailing races. He appreciates the thought put into the design details to accomodate the regatta timer display. Blake then discusses his Bremont S302 GMT dive watch, which combines a GMT function with 300m water resistance. He values its versatility, attractive aesthetics, and the right mid-sized proportions for his preferences.

## Links
- [episode page](https://thegreynato.substack.com/p/224collection10)
- [episode MP3](https://www.buzzsprout.com/2049759/12119244-the-grey-nato-224-collection-inspection-vol-10.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake Buettner| Hello and welcome to another episode of The Grey Nado. It's a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 224 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you're listening and would like to support the show, please visit thegreynado.com for more details. Hey Jason, how we doing? |
|Jason Heaton|I'm doing pretty well.  Yeah, bright sunny day, midwinter, you know, what can I say? You take what you can get. When we have a sunny day, it's a good day. |
|Blake Buettner|You certainly do. It's been plenty gray, plenty kind of dreary, just kind of hovering around zero. We got a little bit of snow and now it's gone again. But I'm definitely looking forward to the bright, you know, kind of crystal clear blue days. Yeah. As soon as possible. You know, definitely some sunlight is a welcome thing this time of year. It's nice and bright, certainly. It just It's just cloudy. It's just overcast in this, in this neck of the woods. |
|Jason Heaton|So yeah, that's rough. I mean, we've had, we've had quite a few cloudy days and it's a kind of weighs you down after a while. So today it's a blue sky and sun. And this weekend is the big ice diving festival. I've been talking about that a little bit lately and, and uh, excited for excited to do it. But then, you know, I looked at the forecast and as, as one might predict, like the bottom is going to drop out on the thermometer for Saturday. Like we're, we've got like near, You know, zero centigrade, just slightly below temperatures all week and sunny and kind of nice winter weather. And then it's supposed to get brutally cold on Saturday morning. And that's, that's just when it kicks off. So it's like, ah, I mean, you know, the, the diving part's one thing, but then like when you're standing around on the surface of the ice, like it's the wind blowing on a Lake, it's just going to be, it could be rough, but you know what, I've been there before and it's, uh, it is what it is. So they've got warming tents and they've got some fun activities planned. So.  Yeah, it should be cool. I think there's one or two folks from the Slack group, our TGN Slack community that are going to be attending and maybe a diver or two as well. So yeah, looking forward to it. Should be fun. |
|Blake Buettner|That's great. I'm glad to hear it. I hope that it ends up being a fun weekend and the weather cooperates and the rest of it. |
|Jason Heaton|You've got some very different sort of activity going on this weekend, right? You're flying out? |
|Blake Buettner| Yeah, I leave on Saturday for a trip to Switzerland, which will go until Wednesday of next week with Audemars Piguet. They've got some new stuff to talk about. So far, everything's under NDA, but that NDA will be lifted by the time the next episode comes out. That said, because I'm away through Wednesday of next week, I would expect next episode, so 225, to be a day or two late. We can probably record it Thursday. I can't promise that I'll be able to edit and finish it by Thursday evening because we'll have hands-ons and other stories and stuff like that from the trip, but I'll push to have it out by the end of next week. So if 225 is a little bit late, you have my apologies, but sometimes this sort of stuff happens. Normally we try and record on Tuesdays and when you have now a seven hour time change and a full day schedule looking at watches and taking in press briefings and that kind of stuff, it can be difficult to find time to put the show together and I'd rather just you know, the audio quality and the rest of it work out when I, when I get home. |
|Jason Heaton|Yeah. Yeah. Well, I hope it's a good trip and I'm sure we'll hear all about the, at least some of the new APS when you come back, we'll be curious to see if, uh, come out with anything, uh, remotely TGN adjacent, any, uh, cool offshores or divers or anything like that. |
|Blake Buettner|Yeah. We'll have to see how that all kind of sorts out. Uh, obviously I can't say a ton as I've signed a lot of papers, but, uh, that's how these things go. If you're feeling like you might be short on an episode and you're a supporter, I know that the Q&A for December, which is slated to come out sometime in January, it should be out this coming weekend. So this will drop on Thursday, the 26th. And I would expect the December Q&A, which is a great one. We had a blast recording it a little while ago. I would expect it to come out Saturday or Sunday. So keep a watch on the feed for that. And that should help tide you over for a slightly later show next week. |
|Jason Heaton|Yeah, good point.  I want to give a quick shout out to, uh, to Adrian Barker, um, who's obviously got his own YouTube channel. Um, but he's also a member of the about effing time podcast along with Andrew McCutcheon and George Bamford. And, and I was made aware of a, a little shout out that Adrian did to us on a recent episode of their podcast, um, where he was wearing the TGN t-shirt and, uh, talked a little bit about, um, his love of the great NATO. And he said, he's been a listener for quite a while. So.  Adrian, if you're listening to this one, much appreciated. And thanks for the, thanks for repping us and for the shout out. That's really cool. And then we also have some, some kind of cool news from another kind of friend of the show. Uh, our old chums over at Alps and meters has offered a discount code to TGN listeners. So if you remember, um, a few years ago, uh, you and I were, we're trying out some Alps and meters stuff. We've got some great sweaters and I've got a jacket and just, they, They make such cool kind of Alpine inspired sort of nostalgic clothing, do a really nice job with it. And, uh, and we're big fans and they've offered a 10% off code that you can enter at checkout if you're a TGN listener. So you can enter TGN 10, uh, when you check out, if you buy anything on Alps and meters and they'll, they'll knock 10% off your entire order. So, um, huge thanks to, to Alps and meters for extending that discount for our listeners. And I hope people do take advantage of that because it's, uh, It's some great kit. And I know we're, we're getting into kind of late winter. I'm sure they're, they're starting to maybe even mark some stuff down. I'm not sure, but you know, end of winter is sometimes a good, good time to look for, look for stuff. Cause there's, there's at least around here, there's plenty of time left to still be wearing it. So check it out. |
|Blake Buettner|Absolutely. Yeah. It's not a brand that you necessarily commonly see discounts on. Yeah. But when the option came up, you know, it's not something that they're paying for. I wouldn't call it an ad. It's literally just, can we pass on some savings to, the TGN crew, and this way it's whether you're a supporter of the show or not, TGN 10 will get you a discount. And I mean, look, if you get a couple items in your cart, that's not an insignificant amount of money. Their product is kind of premium and it has a premium price point and a premium experience as well. And if you all really kind of like the idea of us occasionally tracking down discounts on stuff that we like and talk about, let us know, put it in the comments or let us know in Slack, whatever works.  sub stack or slack. It's something that we could approach more often, but I feel like discount codes are so commonly tied to sponsorships and it's something that we don't like to do. We don't really like the sound of it on the show, but if you all would enjoy discount, that's fine. That's something that we could start to remember when we kind of speak with brands that we like and that sort of thing. So let us know if it's something that we should do more of or or maybe we start to maintain a little list of deals corner or something like that.  Yeah. But yeah, thanks very much to our friends at Alps and Meters for that. I've been wearing their clothes all winter, so I highly support it. It's good stuff and it's nice to get a little deal every now and then. Yeah, definitely. |
|Jason Heaton|All right. Well, I think when we move into our risk check here, it kind of segues well into today's topic. |
|Blake Buettner|Yeah, this is an episode that probably doesn't need a risk check. |
|Jason Heaton|Yeah. And looking back, you know, we've done a series of these collection inspections over the years. I think we started probably one of our first 10 episodes was a collection inspection.  And we're now up to volume 10, but it's been about a year and a half since we did our last one. |
|Blake Buettner|Yeah. You know, we don't do them that commonly. When we first started, we did them a little bit more frequently cause we were, we had plenty of watches we hadn't spoken about yet, but really like, I think Jason, you feel the same way that it's not so much that we would pick watches that we think we're going to keep forever. If you actually look back at the previous nine, a couple of those watches I don't own anymore, but it's ones that kind of represent something important in your collection in the moment that the episode is made. Yeah.  And I think that's kind of a fun, it's like a snapshot, a collection inspection. So it works out pretty well that way. But yeah, there isn't a whole lot of reason to do risk check because we're both wearing the watches that we're going to talk about for the main topic. So, you know what, Jason, I'm keen. How about you kick it off with your watch and then I'll follow up with mine. I think that we've got two very different watches for the show today. |
