
# The Grey NATO – 225 – Diving Under The Ice And Into The Latest From AP
Published on Fri, 03 Feb 2023 12:00:00 -0500



## Synopsis
The hosts discuss Jason's recent trip to Switzerland to attend Audemars Piguet's watch release event, where he got to see the brand's new complicated and high-end timepieces like the new ceramic Offshore, ultra-thin perpetual calendar, and the Universal watch with 23 complications. They also talk about Jason's recent ice diving adventure in freezing temperatures where visibility was extremely low. For the final notes, Jason recommends the Netflix documentary "Hold Your Breath: The Ice Dive" and Blake raves about the new 2nd generation AirPods Pro.

## Links
- [episode page](https://thegreynato.substack.com/p/225icedivingap)
- [episode MP3](https://www.buzzsprout.com/2049759/12177804-the-grey-nato-225-diving-under-the-ice-and-into-the-latest-from-ap.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake Buettner| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 225. And it's proudly brought to you by the ever growing and always fun TGN supporter crew. We thank you all so much for your continued support. And if you're listening and don't support the show, but would like to just visit thegraynado.com for more details.  Hey, Jason, how are we doing? Keeping warm these days? |
|Jason Heaton|Barely. Yeah, trying, you know, doing my best despite my adventure last weekend. You know, it's kind of funny. We're recording this on a Thursday when we normally record on a Tuesday because of your travel this week. But it was funny. I was looking at our Slack group this morning and a few people like popped up and didn't hear us mention last week that we were going to do this late. And they were like, I can't find the episode in my feed. And I was like, you know, just glad that somebody notices, you know, that we're missing today. |
|Blake Buettner| I suppose yeah, I get we might have to change up the way we do the start of the show because I get the feeling that a good like a good percentage one in seven something like that aren't listening to the updates that we put at the front of the show and I put them right at the start so that you know that this episode will be late and we're recording this midday on a Thursday because I was in Switzerland for nearly the better part of the last week and we just didn't have the ability to reliably be able to record the show and we wanted to be even be able to talk about some stuff that kind of I try never to break the format on whether or not we can run it 6 a.m. on Eastern Time on Thursdays, but the next choice from this would be like skip this week, which we didn't want to do. Skipping a show by February is a bummer. |
|Jason Heaton|Yeah. Well, it'll be a good weekend listen for people, I hope. People have time to listen with their coffee or whatever on a Sunday. |
|Blake Buettner|And yeah, I just got back from a trip. |
|Jason Heaton| I don't know, 12 hours ago. |
|Blake Buettner|Right. So how, how, how are things for you? Uh, you're leaving on a trip, uh, just shortly after we record next week's episode. Yeah. |
|Jason Heaton|Next Wednesday, I'm flying off somewhere. Uh, probably, gosh, what is it today? We're, we're, we're, uh, below freezing. Uh, well, it's probably about 10 degrees Fahrenheit here, so it's probably gonna be another 70 degrees warmer, even more. Uh, when I get there, which I'm looking forward to not wearing socks and getting a little sun on my face, I Can't wait for that. And I'll, I'll talk more about that next week when we record, um, the day before the day before I leave. So yeah, super excited about that. I did manage to, to sneak in the ice diving, which I'll talk about a little bit later. Um, and then this next trip will involve diving of a very different sort. So definitely looking forward to that. Cause it's, you know, it's been.  I don't know. You know, this January was, was warmer than usual, but it just feels like this winter is really starting to crawl. Like it's, it's getting long and the one saving grace is the days are getting longer, which I like, but we just got a lot of snow and there's a lot of ice and yeah. Yep. Yeah. Yeah. How was Switzerland? Was it very wintry there? |
|Blake Buettner|It was super wintry, actually very similar weather to Toronto. So just, just below freezing. Yeah. Um, pretty cloudy, kind of overcast that, that kind of day where the snow in the sky are the same color. Oh yeah. Yeah.  So I had about a day in Geneva to kill before the program started on Monday, and it was a whole basically a series of presentations for what Audemars Piguet calls their kind of first semester. So the first half of the year, I believe, is their semester releases. So it's the better part of like 15 watches, 14 watches, something like that. By the time this comes out, all of those will be covered either by Bohodinky or on AP's website. We're not covering everything. Some things are here, there, that sort of thing. But basically, we had... The whole press strip was run out of their kind of headquarters in Les Brassus, which includes this incredible AP hotel. Oh, right. I'll put a photo of it. It's this really cool piece of architecture and sustainability modeling for the hotel and the rest of it. So we got to go there, got to go to the museum, got to kind of be very briefly hands on with a bunch of different watches, It wasn't your normal sort of trip because no professional level photography was allowed. So like when I accepted the trip, I kind of assumed you would have, you know, 20 minutes with every watch to take some photos with a proper camera that could be used for hands-on coverage, that sort of thing. And then just a couple of days before the trip, the edict came down from AP that there wouldn't be any, any time to do that. So if you wanted to snap a shot with your iPhone, that was acceptable. Each of these little workshops or sessions was like maybe 20, 22 minutes.  And there's eight or nine people in each one. And if it's, there's only one watch, then you can imagine what that means. Once they've actually talked about the watch and kind of done like an unveiling and all this kind of stuff, there's six minutes left. So you have a minute with the watch. So, uh, if, if the wrist shots in the, in the stories that we, that, you know, that went up on Houdinki didn't seem kind of our normal, uh, it's just cause what we had was big windows and iPhones. |
