
# The Grey NATO – 226 – Pitching The Watches We'd Love To Make (And Buy!)
Published on Thu, 09 Feb 2023 06:00:00 -0500



## Synopsis
The episode begins with a discussion about the changing weather and the onset of spring. The hosts then provide updates, including James announcing he will be traveling to Geneva for Watches and Wonders and apologizing for his controversial comments about babies on flights. Jason shares that he received a Momentum C Quartz watch and will be traveling to French Polynesia for a trip with Blancpain.

The main topic is the hosts pitching their dream watch designs. Jason proposes a 300m titanium "Monanesque" dive watch called the "Sweetwater" with a removable bezel for cleaning, powered by a Grand Seiko 9F quartz movement. James envisions a 200m titanium GMT watch with a unique bezel or pusher function to quickly adjust the GMT hand when traveling, potentially in collaboration with a brand like Braymont or Zenton.

For the final notes, Jason discusses an article about Lakpa Sherpa, a Nepalese woman who has climbed Everest 10 times but works at Whole Foods with little recognition. James recommends a video about driving the Morgan Super 3 car in Scotland.

## Links
- [episode page](https://thegreynato.substack.com/p/226watchpitches)
- [episode MP3](https://www.buzzsprout.com/2049759/12210587-the-grey-nato-226-pitching-the-watches-we-d-love-to-make-and-buy.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 226, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegraynado.com for more details. James, good morning. How are you doing?  Not too bad, yourself? I'm doing pretty well. Yeah, it's very melty here. I feel spring coming. Yeah, I think we're getting about the same here. Chilly week last week and then now it's like, yeah, sun's out till 530 and it's a lot of puddles. |
|James|Yeah, puddles, the last layers of ice, that sort of thing. Finally, you know, the Jeep, I came back from that trip and it was just like, you know, inches of pretty hard, heavy ice. The kind of stuff you don't want to remove because it's also going to take paint with it.  Yeah. So I just haven't been driving very much, just leaving it there. And it's almost now gotten to the point where I can just brush it off with with a broom or whatever. But yeah, that's always kind of fun. Yeah. With weather out of the way, let's get to the other updates for the show. We will not have an episode on March 30th, which is right during the middle of Watches and Wonders. Actually, it's the second last day that I'll be in Geneva for that. If you're feeling like you absolutely need podcasting with my voice about watches during that time, I highly recommend you subscribe to Hodinkee Radio as we'll be doing daily podcast from the fair, starting on the midday in this time zone, but the evening of the 27th. No episode on March 30th for TGN. We'll be back on April 6th with a Watches and Wonders Megasode. Jason, I'll, you know, kind of dig into anything that we found appealing, interesting, the rest of it. There was some fantastic sort of TGN-esque watches last year, and I'm basically expecting the same for this year. But, oh, the other thing to bring up is, you know, my literal sincere apologies to anyone who I angered With my take on babies in business class, I would say it was like 90% meant to be entertainment. My rants are never that serious. They're never about anything that that important. You definitely don't need my permission, but please, you know, do whatever you want with your baby, including to bring it on business class or first class or whatever you prefer. It was mostly meant to get a laugh out of people, but definitely a few people kind of sought out to set me straight. So, you know, crow eaten as it were. How about you, Jason? Any updates or you want to get into just some more general stuff|
|Jason| I think the day of or the day after you received your Momentum C Quartz, I got one in the mail as well. Oh, nice. And I got it here on the desk and it's kind of what I expected, kind of what I was hoping for. It's a cool watch and, you know, we see a lot of kind of traffic or questions on our Slack group like, Hey, you know, if I just kind of want to grab and go Quartz beater, you know, something affordable, like what do you suggest? And Skirf has always been kind of our default.  kind of still is for me, but for sure, this is a strong contender. I mean, for, for full price at 260 bucks, you can't really, you can't really go wrong with it. And it's funny, you know, it, it, it occurred to me too, that momentum is a brand that's been around for a very long time. And, and I see them at the, in the case at the dive shop, every time I go in and I just don't pay much attention to them and the watch, it just sort of struck me that the power of like good design or like nostalgic design that appeals to people's, you know, memories of, you know, in this case, like the Magnum PI show, um, It's so powerful because here's a brand that I would guess a lot of watch enthusiasts haven't really paid much attention to. And suddenly it's like the hottest release, one of the hottest releases of 2023 so far, judging by our Slack group and, and what I'm seeing on social media and how quickly they kind of sold through their, their pre-orders. And you know, it's, it's, it's just kind of funny how that works. Uh, but it's, uh, it was, it was a, it was a stroke of genius for them to release this. |
|James|Yeah. I think it's a winner. I've been wearing it basically since we recorded the last episode. It's been my, my go to for the last several days. I think it's great and I think it's fair to put it in the same sort of realm as the scurfa. I think I would lean towards the scurfa on maybe a sizing and just general how it hits my wrist. But it'd be a really tough pick one between the other, especially if you kind of prefer the look of the momentum over the scurfa, which is, yeah, a little bit more of a late 70s, early 80s vibe, whereas the scurfas are pretty modern.  Yeah, I would agree. Yeah. |
|Jason|You're about to head out on a trip, eh? Ghoshani and I are actually leaving tomorrow morning. I'll be halfway to Seattle by this time tomorrow. Um, we're recording this on a Tuesday. Uh, and then from Seattle off to, um, Papiat in French Polynesia on the Island of Tahiti, and then a little hopper flight over to Rangaroa, which is a, it's the, it's the largest coral atoll in, in French Polynesia and a very well-known dive destination for people because of the huge, congregation of different mega fauna, uh, that, that take advantage of the, the tidal flow in and out of the lagoon. And, um, so I'm, I'm really excited. This is a trip, uh, that I kind of hinted at that I'm going on with Blancpain, um, that's taking place next week. I'm flying out a little early. Um, and, uh, there should be plenty of diving going on and then they're having an event, uh, that they're going to be streaming to their boutiques and they're releasing a new watch and there's going to be a lot of Kind of old, you know, old block pond friends to catch up with on the trip. I, I'm not sure who's going on the journalist side of things, but, uh, um, I'll, I'm looking forward to meeting our old TGN guest, Lauren Ballesta. He'll be there with his very nice crack team of modern Cousteau kind of Calypso guys in their red caps, doing some cool stuff there and diving and really excited to catch up with him. And then they're offering a chance to try rebreather diving, which I'm really excited about because, uh, I think, I think rebreathers are kind of, cutting edge kind of the future of diving. |
|James|Black magic as far as I'm concerned. Yeah. |
|Jason|Yeah. |
|James|Sorcery. |
|Jason|I'm excited to try that. So yeah. And I'm, I'm, I'm super excited that Gishani is able to come along as well. She's going to be photographing the event and then, so yeah, stay tuned to check out my, my Instagram for, for photos. There'll be a lot of sharks, I'm sure a lot of cool watches. And so I'll be gone next week. You'll be, you'll be having a guest in my place.  in my chair, so to speak, for TGN. And then the following week, we'll be back to kind of recap the trip and hopefully maybe run an interview or two from Rangaroa. So that'd be great. |
