
# The Grey NATO – 228 – From Rangiroa With Love, Blancpain, and Laurent Ballesta
Published on Thu, 23 Feb 2023 06:00:00 -0500



## Synopsis
tags:

<synopsis>
This episode of The Graynado covers Jason's recent trip to French Polynesia to dive with Blancpain and the Gombessa expedition led by Laurent Ballesta. Jason describes the experience of diving in Rangiroa, including swimming with dolphins and sharks, using a rebreather for the first time, and learning about the new Blancpain Fifty Fathoms Bathyscaphe watch designed with input from Ballesta. The episode also features an interview with Ballesta, where he discusses his diving philosophy, developing special equipment for his expeditions, his home life, and other personal insights.

The hosts also discuss Jason's recent family trip, upcoming travel plans, the Graynad's new merchandise (beanies and pins), and anecdotes from listeners including a beginner's guide to hiking the Tour du Mont Blanc and a documentary about swimming the English Channel. They contemplate having Blancpain CEO Mark Hayek on a future episode as well.

## Links
- [episode page](https://thegreynato.substack.com/p/laurent2)
- [episode MP3](https://www.buzzsprout.com/2049759/12307569-the-grey-nato-228-from-rangiroa-with-love-blancpain-and-laurent-ballesta.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 228, and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you'd like to support the show, please visit thegraynado.com for more details.  James, it's good to be back in my seat here, back on air with you. Yeah, man. Missed you. Yeah. Gallup covered well for me. So, so Jason, if you're listening to this one, much appreciated and sorry if we confused any listeners with a different Jason, but I think he sounds different enough for me. |
|James Heaton|He does. Yeah, for sure. No, it was, it was obviously a treat to have him on the show. And if you missed last week's episode, Jason was away and we'll talk all about that in the coming few minutes. But we had him covered by Jason Gallup from Roll Dorf and Co, an old friend.  And guys pretty handy on the mic. So it was a fun, it was a fun chat. We had a good time. It was a, it was a big episode. Go ahead and check it out. The response has been great, uh, outside of our normal, but, uh, it's cool to have a co-host every now and then, uh, that isn't Jason or I. And, uh, and with that said, Jason, it's nice to have you back and, and also to know that you had a really good trip that we'll, uh, we'll kind of dig into shortly. |
|Jason Heaton|Yeah, it was a great trip and I'm happy to kind of recap it. And then of course we have this great interview.  We've got some big news. We dropped some new merchandise this week in the TGN shop. As of now, it's available to everybody. We're calling it the TGN Watch Cap Bundle.  And as the name suggests, this is a kind of classic watch cap, you know, call it a to call it a beanie, uh, whatever you want. It's, uh, it's made from soft acrylic, kind of a cabling. Admittedly, we tried to get this in by the holidays. I mean, we, we've been noodling on this for, for quite a while and, and we just didn't get our act together in time, but you know, there's plenty of winter left, at least here. We're, we're about to get a major snowstorm this week. Um, so I'm, I'm putting mine to good use, you know, people like beanies and, and I think on the deck of a dive boat, or if you're camping in the summer.  you know, climbing in the mountains or whatever you do, you know, a beanie is always nice to kind of have tucked in your bag and it's, uh, it's gray of course. And it has our, our TGN logo on a small tab and a really, really handsome. And then we've bundled it with, if you recall, we, we did a, a pin last year with the TGN logo, kind of a one inch lapel style pin.  We've got a new version that we're bundling with the cap, and it's kind of in a blacked-out enamel. It's really sharp. Actually, it's my favorite one. |
|James Heaton|So the first pin that we did was with white, blue, and orange, and this one, all the spots that are... Well, the TGN text is metal rather than being infilled, and then essentially the background of the logo is in black, so it's kind of like stealthy. It came out even better than I was expecting when we saw the samples and stuff. This one has also kind of been in the works for a little while.  And then, yeah, as far as the beanie goes there, I'm going to call it a toque, as is the parlance of my people. But as far as the toque goes, I was really pumped to be able to do one in the first place in that it came in at a fair price. Sometimes toques are crazy expensive, and especially if you get into cashmere or the full wool, I get it. But we didn't necessarily want to go that route. We could maybe for a re-up at some point. But I use these for a variety of things, and it's not just to cover my head. I also use them as camera wraps. Oh, good point.  I usually tuck it in, then you have a hat if you need it and you have something to cover the camera if you need it. So that can be kind of handy. |
|Jason Heaton|Yeah. And, and, you know, now that we've been kind of talking it up and how great this cap is, I, I have to say, uh, you know, we weren't quite sure, like we haven't done a cap before, so we, we just weren't sure how many to order. And what we thought was a big number is actually quickly dwindling in our inventory. And that's because, uh, as you might recall, annual subscribers receive a few perks for, for, for doing the a hundred dollar a year, um, membership level with TGN and so we opened up ordering early for our annual subscribers earlier this week and I gotta say response was tremendous. I mean we're well over half our inventory is gone so I guess the moral of the story here is act fast and if you were wondering whether you should sign up for an annual subscription to TGN this might be reason enough just to get early access to this stuff. |
|James Heaton| Yeah, and what I would say is like Jason kind of hinted at, we didn't really know how many to order of anything, and we kind of never do, but when it's pins or stickers, the overhead's pretty limited. We're still working our way through t-shirts that we bought last year, so we just didn't know what to expect when it came to the hats. If you're not able to get one, if they sell out before you get to it, I would say don't stress too much about it. We will do another run when the cool weather returns, so I would say expect another re-up of the hat, and we'll do more next time.  for the fall and then between now and then we have other stuff planned. So I would say just stay in the loop and if it's really crucial that you get the first access, you know, maybe you get two, three extra days before it goes out to the greater website and all the subscribers and the episode comes out, then yeah, consider the annual subscription level because that's one of the perks like Jason explained. |
|Jason Heaton|But I've been shipping over the past couple of days, you know, just, just hundreds of these and um, you know, since we use FedEx, uh, largely it's a two day or three day turnaround. People should have it, uh, shortly, possibly even by the time this episode goes live for those of you that had early access. So hope you're enjoying them. Be sure to post pictures, tag us, uh, would love to see them on heads around the world. |
|James Heaton|Oh, absolutely. Yeah. Or holding cameras, whatever you prefer. |
|Jason Heaton|And then, um, along with the cap, in addition to the pin that we mentioned, we're also including one of our three inch kind of classic TGN decals. And I wanted to, send out a special shout out to David, one of our listeners who actually works for the company that we get our stickers from. And he was kind enough to offer a kind of a store credit to us and that covered our latest restock of stickers. So David, if you're listening to this episode, much appreciated. We thank you so much for that kind and very generous offer. |
