
# The Grey NATO – 229 – New Divers From Sinn, Seiko, and Citizen
Published on Wed, 01 Mar 2023 15:00:00 -0500



## Synopsis
The hosts discuss several new watch releases from Citizen, including reissues of the Ecozilla dive watch and a new model with a full lume dial. They also talk about Seiko's new Sumo solar GMT dive watches and Zenit's new titanium T50 dive watch collection with interesting details like a bronze gold bezel option. The hosts share their wrist checks, with one getting a highly anticipated Pelagos 39 soon. They also discuss a Top Gear video about a company that customizes Toyota Land Cruisers for NGOs, and a new Netflix tennis documentary series "Break Point" in the style of "Drive to Survive" about Formula 1.

## Links
- [episode page](https://thegreynato.substack.com/p/newseikosinncitizen)
- [episode MP3](https://www.buzzsprout.com/2049759/12356182-the-grey-nato-229-new-divers-from-sinn-seiko-and-citizen.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 229 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show and aren't already, please visit thegreynado.com for more details.  James, a big week for us. This is the third time we've talked this week. We've got the busy schedule coming up. |
|Unknown|Yeah, it's a busy time of year. So this is, we're going to do a shorter episode for this one. We weren't actually going to do an episode. We were pretty seriously considering just taking the week that this one would like the first, you know, play of March off. But thankfully the watch world provided us a topic with some of our favorite brands launching some pretty cool watches.  So we're going to do a shorter one. You know, every now and then we do really big episodes. We call them mega sodes. I'm going to call this a short a sode. I spent the morning shoveling and I shouldn't complain cause I think we got about half the snow that you guys did. |
|Unknown|Yeah. We've had like this two day snow event and uh, it's, we're pretty well buried in here. I got out this morning before, before we recorded and had to rake the roof again. I mean it's getting old, you know, we're almost to March and it's, I believe we're in the top, at least in the top five snowiest winters.  on record here in the Twin Cities, which is saying something. So yeah, it's impressive, but it's also a bit tiresome by now. |
|Unknown|Yeah. Let's get on with the spring and summer. We had a nice taste of spring here for almost two weeks. It was, you know, it was above zero. We had a couple of really, really nice, I would almost say warm days and it was lovely. And I was just like, Oh, should I get the bike out? Put some air in the tires? Yeah. No, the answer is no, James, you shouldn't. Uh, so fair enough. And then, yeah, shortly after we record this, I still have to pack and do a bunch of planning, very early next morning, I'm on my way to Salt Lake City and then to Park City after that for a photo shoot that I'm there for a day and then I go to New York. So I was looking at the weather and it's warmer currently in Park City, which I didn't expect than it is here in Toronto. Oh, yeah. And then, yeah, the only other thing I've got to chitchat before we dig into the news from some of these great brands with the new watches is a big thanks to Matt and Greg from the Spirit of Time podcast. They had me on The episode should be live by the time this one comes out, so hit the show notes, I'll link to it, but they had me on for their sort of, I guess, the second time that they've done like a preview of the Formula One season. Oh, wow. And we ended up talking for a couple hours about all sorts of watches, including some of the stuff we'll talk about on this episode, but also about Formula One and all that kind of stuff. So if that sounds interesting, if for whatever reason you need more of my voice, the Spirit Time guys were Really just so much fun to sit and chat with a nice way to spend an evening Have a drink that sort of thing and we had a good time So if you're keen on more or if you're or if like me You're looking forward to formula one season starting very soon. It's I'm looking forward to the weekend I get back from this trip will be the first race. So Check that out and hit it up on the show notes and a big thank you to a Matt and Greg for having me on It was awesome. Oh, can't wait to hear that. Those guys are a lot of fun. Yeah, they're having a good time You want to jump into some wrist checks? |
|Unknown| Yeah, sure. Um, boring. I'm a, I'm a broken record here. I've still got the Blancpain on. I'm, I'm, I'm very well considering just, uh, you know, just tucking everything else away in a safe somewhere and just, uh, just wearing this all the time at the current rate. Fire sale. Things will change. I'm sure. And you know, next time it'll be different, but who knows for now it's the same. How about you? What are you taking on your trip? |
|Unknown|Um, on the trip I'm taking the Mito Oceanstar GMT, the LE we made for Hodinkee, obviously changing the time zone, although I'm only there for like a day. So it's not that big a deal.  but that's my kind of broken record. That's what I've got on. It's the watch like between that and the scarf. It's what I'm wearing basically all the time. Yeah, just really, really in love with both of those. The one fun note, though, is just after we record this after talking about it and writing about it. At this point, I could probably publish a coffee table book about the Pelagos 39. My ticket came up, so I'm getting one. Oh, man. So I should be able to go pick that up probably in the next two hours, and I'm looking forward to it. So I'll probably like, let's face it, I'll probably wearing that.  Yeah. But I'll take the needle with me too, as I like to have a travel watch when I travel and that sort of thing. But I'm pumped. I put in, kind of put in my interest in September and waited in line and now we've got one and I'm really excited. |
|Unknown|Yeah. It's kind of the opposite of an impulse buy. But on the other hand, I think you've vetted this watch adequately. I think it's such a known entity and I can't imagine you'll be disappointed. I mean, I'm sure you'll just wear the heck out of this thing. Can't wait. |
|Unknown| Yeah, definitely on the concept of an impulse buy, it's not. This would be the most I've ever spent on a watch. And a big thanks to the TGN supporter Slack, because that's where I sold a few watches to kind of do a, we'll call it an upward consolidation to get to this. But yeah, I think it's going to be great. It's definitely going to be on my wrist as much as possible for as long as possible.  And I'm looking forward to putting just a solid patina of scratches into that titanium. So it should be good. Obviously, if I have any news beyond that, it'll be in episode 230. Nice. Cool. But speaking of new watches, you want to want to get into the latest stuff, man, we got through everything in seven and a half minutes. That's good. That's good. Yeah. Want to kick it off with some some stuff from citizen. |
|Unknown| Yeah. New watches. Um, you know, fun episode. We've got, we've got Seiko citizen and Zen and uh, yeah, let's kick it right off with, uh, with citizen because you know, they had a couple of releases recently, um, that they're kind of throwback pieces. You know, citizens has been revisiting their, uh, their back catalog and you know, we saw the Orca recently and then even further ago than that, there was the, I guess what you call the, the challenge diver, um, that little titanium one that you and I both kind of liked and reviewed.  They've brought back the so-called Ecozilla, which is the name that collectors and citizen fans gave this watch back in... Gosh, when did it first come out? It must have been the mid-2000s, you know, kind of the forum days, the heyday of the forums. I think so, yeah. |
