
# The Grey Nato - Ep 23 - Collection Inspection Vol 3
Published on Tue, 06 Dec 2016 09:04:08 -0500



## Synopsis
This episode begins with the announcement of a holiday giveaway of a special edition Seiko SRP diver watch. The hosts then discuss two watches from their collections in a segment called "The Collection Inspection" - James talks about his Bremont Solo watch, and Jason covers his Aurus Big Crown ProPilot Altimeter watch. After that, James shares details about a recent diving trip to Bonaire where he tested some new gear like a dive computer and fins. In the "Final Notes" segment, the hosts recommend various long-form articles and videos including a piece on setting a cross-country driving record in a Morgan three-wheeler, the origins of hard-hat diving, the Trieste's record deep dive, and an analysis of the Air France flight 447 crash.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-23-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311098-the-grey-nato-ep-23-collection-inspection-vol-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 23 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. Before we get into today's main topic, James has some details on our holiday season giveaway. James, what's the deal? |
|James Stacey| Well, I mean, we could take very little credit for this, but I am really excited. My pal and colleague at a blog to watch Max found himself in a pickle when he was gifted a second Seiko SRP diver. So because he's a good and generous dude and also a fan of kind of TGN's big love for Seiko divers, he wants to give away this spare watch to the TGN audience, which is amazing. So now we have our first giveaway.  Oh, and also this isn't some garden variety SRP 777. This is actually the Patty Edition SRP A21. Awesome. One of the most fun versions of our favorite watch of 2016. The rules for the giveaway are going to be super simple. At some point in this show, Jason is going to let you know a special code word, basically like an Instagram hashtag. Then we need you to go to Instagram and follow Max. He's at WatchMax, W-A-T-C-H-M-A-X, and our account at TheGrenado.  Sometime shortly after this episode, episode 23, goes live, we will put a specific giveaway post on the TGN account. Comment on that post by tagging one friend, we recommend like your favorite adventure buddy, and use that special code word hashtag that we'll tell you later in the episode, and you're entered for the giveaway. The giveaway will run until December 31st. There will be a huge worldwide countdown to mark the end of the giveaway, and also perhaps New Year's Eve, and we will select a winner and contact you on Instagram. Be sure you're following both accounts. So what an amazing giveaway. And Max, thank you so much for the generosity. And yeah, we can move on with the show. Be sure to stay tuned for your code word hashtag for Instagram. |
|Jason Heaton|Yeah, this is this is super exciting. So thanks a lot to Max and good luck to all of our listeners out there with the with the contest. Moving on to today's main topic, we're going to do a third installment of the series that we have called The Collection Inspection, where James and I discuss a particular watch from our own collections. And previously, we've done two previous volumes of this, this being volume three. James has talked previously about his Omega Seamaster Professional and his Helios Tropic, and I tackled my own Rolex Submariner and my Bremont Supermarine 2000.  Today we've each picked a different watch, about which we're going to wax poetic. James, which one did you pick for today? |
|James Stacey|I picked a watch not unlike my Seamaster, which had been in my collection for a long time. I picked a watch I've had for quite a few years now, the Bremont Solo. It's the 43mm, the white version. I got it around Christmas 2012. And yeah, so that's the one I've got. What have you picked for today? |
|Jason Heaton| I guess we've got sort of a pilot's watch theme going here for a couple of divers like we are. I've got the AORUS Big Crown ProPilot Altimeter, which is a watch, of course, we've – I think we talked about a little bit. I brought it to Vancouver for our TGN Summit over the summer. So yeah, a couple of pilot's watches, pretty cool. I happen to really love your Solo. I mean, I know I saw it in person when I was in Vancouver, and I think I've seen it at Baselworld.  Something about that white dial on that watch, it's every time I see a picture of it that you post on Instagram, it's just, it's just so striking. It's just such a minimalist, beautiful watch. |
|James Stacey|Yeah, it's kind of razor sharp, but it's very like aesthetically, maybe traditional is the word I want. You know, like it kind of has the same sort of razor sharpness as like a Pelagos, but not that kind of stark stop sign sort of aesthetic. Yeah. And at 43 millimeters, it's roughly my largest watch.  certainly the largest that I wear frequently. And I find that it's just kind of become my go-to big watch. It's super comfortable because, you know, I love the Bremont, the triptych case. This is an early version of the white dial, which has a screw-down crown, which is a nice addition, not at all important for the way that I actually use or kind of kick around with the Solo. But, you know, the watch has been fantastic for quite a few years and I've banged it into all sorts of stuff. And that that hardened steel case really takes a scratch. Well, it looks really clean. And and yeah, I just I really adore the dial. It's kind of a matte with a bit of a silver in it. It's a strange white. It's a very different white than my Explorer 2. And and then, of course, you get kind of white metal. I think they might be white gold, but I don't remember specifically, you know, numerals and then kind of luminous elements at 12.  three, six, and nine in a date. I love the legibility. I think it looks great on a gray NATO, on a green NATO, leather strap. |
|Jason Heaton|White dials really take straps well, and you've certainly mounted it on quite a few. I think, it's funny, when the Solo first came out, I can't remember what year they introduced that watch, but it was, it just didn't do much for me. And, you know, since that time, my wife, Ghoshani, actually, she got the 37 millimeter version with the black dial.  and she wears it fairly often. It's a great watch. It's kind of risen to the top of the heap, close to the top of the heap for me when it comes to Bremont watches. I think it's, you know, it has that great, they kind of targeted this at that sort of IWC Mark series sort of aesthetic, you know, the classic pilot's watch. And yet they did it in a really original way, like I think Bremont just has a knack for doing. You know, they take these sort of classic forms, like the Supermarine with a dive watch and the Solo with a pilot's watch, and they keep the aesthetic, but they kind of do it in their own way. And of course, the build quality on these is always so good. |
|James Stacey|Yeah, I really like the finishing is relatively simple. You know, it's mostly brushed. You can actually now buy a polished version, the Solo slash PW or PB, polished white dial, polished black dial.  You know, I saw that at Basel last year and certainly not to my taste. Yeah, just because I loved brushed steel and I really like the the case while You know straight on is quite simple from any angle being the triptych case. It's actually, you know, it's nice It's a three-piece case where the lugs are built into the top segment which also kind of mounts the bezel and then below that you have kind of the middle barrel which on the on my solo is a kind of black PVD and And then you have the case back, which is a display case back. I wouldn't have paid extra to have the display case back. The movement they use, while it keeps fantastic time and has been very reliable for me, doesn't need to be seen, in my opinion. It's kind of like my Zen has a display case back. I just don't need it. And I think with a pilot's watch, you could have kind of, that's a nice canvas for a cool design, the steel case back. But yeah, they make, so this is a 43 millimeter version.  And they make a 37, which you mentioned Ghoshani having, which is a very cool watch. My buddy Paul has one of those, which I think is really neat. And at that size, it really has a very, very much a vintage appeal, especially if you're used to wearing a big watch. Right. And then just last year, they announced the Solo 32, which is a specific ladies model. So it's a chronometer, but in 32 millimeters, it's also a very nice style. Certainly again, Bremont's first specifically ladies line. So the, the solo is kind of expanded. You have in the 43 millimeter side, you have the, the white and black and polish the white and black in brushed. And then of course you have the solo CR, which one is I've never actually seen in person, but that uses kind of a cream marker and hand. Oh, I do like that one. On a black dial, which I think would probably look really smart in person. Yeah. For me, it's all about the, uh, the white dial. You know, I had seen, When I decided to buy this watch, I had been heavily weighing the S500, which is the first Bremont that I kind of borrowed from the brand for review and a watch that I still to this day really love. But, you know, I found it quite thick on wrist and certainly if you wear it with the bracelet, it's quite heavy. And when I saw the Solo, you know, I thought, oh, it's a black dial pilot's watch. It looks very nice. And then I saw the white one and it's the way that the the kind of polished markers really play with the light against the relatively matte back of the dial. And then you get some little bit of red accents at 12 and on the seconds hand. Lume is like a BGW-9 so it's effective but not like dive watch. Yeah. I'd love to see them grow this line. You know, you and I have talked about this a lot and we always kind of, I always have my fingers crossed I go to another Basel will they do a GMT. I think it would be really cool to cross an MB2 with a solo and then do the 12 hour bezel, not unlike the kind of special edition they did with, I think it was Timeless. Oh, sure. Yeah. But again, just maintain the white dial, the aesthetic of the white dial, which I think is so clean. And I find, you know, you can put this watch on, I have like an alligator leather strap. And then if you want to wear a blazer and a sweater and kind of do like more of a professor look, it still seems to work despite being kind of a big watch. Yeah. And then on a NATO, I mean, I've worn it, I've traveled to many, many places in the world with it as my go-to and current, you know, worn all day watch. It's very tough and easy to wear. It fits under a, fits under a shirt cuff without too much trouble. |
