
# The Grey NATO – 230 – Slack "Crew & A" #1
Published on Thu, 09 Mar 2023 06:00:00 -0500



## Synopsis
Jason and James discussed Jason's recent COVID-19 rebound infection and read through listener-submitted questions on various topics like travel and family life balance, dream vehicles, risky activities, diving gear recommendations, favorite aspects of the watch hobby, driving uncommon vehicles, and hopes for the upcoming watch year. They also shared book and video recommendations towards the end.

## Links
- [episode page](https://thegreynato.substack.com/p/slackqanda1)
- [episode MP3](https://www.buzzsprout.com/2049759/12404070-the-grey-nato-230-slack-crew-a-1.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 230, and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support, and if you are listening and would like to support the show directly, please visit thegreynado.com for more details.  Hey, Jason, how are we doing? |
|Jason|Well, I've been better. I, uh, you know, we, during, during the, the real pandemic shutdown, we did what we call the isolation tapes. And I think today is actually a legitimate isolation tape because I now actually have COVID. Yeah. And actually this is a rebound. We recorded two 28, I think even two 29, uh, when I was in kind of the first phase of this after my trip to Polynesia and, uh, And then that went away and I, I tested negative and then, uh, it kind of rebounded as it's, uh, as it's known to do. So I'm, I'm kind of in the second phase of it and it hasn't been, it hasn't been horrible. I really can't complain compared to how some people have had to deal with this. But, uh, um, it's, it's, it's a bit surreal to having lived through, you know, the pandemic as we all have for the past three years to, to get it now. And like, you know, all the things you read about, you know, loss of taste, loss of smell, fatigue. I mean, I've experienced it all and it's kind of like, It's like visiting a place that you've always only read about and then you experience it. Yeah. It's pretty crazy, but I'm upright and, and I'm just, I'm just trying to lay low. You know, I, I just kind of sit around the house and, and really try hard not to, not to, you know, really try hard to fight the urge to, to exercise or, or do anything, you know, even shovel snow. I've unfortunately had to kick the shanty out of the house to shovel snow and we've had plenty of it. So, yeah. But, uh,|
|James| Yeah, here we are. Well, that's a bummer, man. I hope you're feeling sharp and kind of back to normal soon. You know, I try not to do too much that you don't have to do, I suppose. Hopefully it's a single rebound. |
|Jason|Apologies in advance for any coughing or raspiness during today's episode, which looks like a fun one. Yeah. I do have to give a shout out to a listener, Matt, a local guy, actually, who dropped off a book for me in my mailbox that kind of was going around on on Slack as something I might be interested in, given my recent trip over to French Polynesia. And it was kind of a fitting book to read while isolating here. And it's a book called An Island of One's Own, or actually there was another edition called An Island of My Own, which I think is the version I have. And it was written by a guy named Tom Neal, who was a New Zealander who was living in Rarotonga and decided that he really wanted to live alone on this tiny island in a coral atoll in the Cook Islands.  Wow. So he got dropped off there. This was in the 1950s and 60s. And this is like, this is like the tropical version of Dick Preneke. I think you'd love this. The book is hard to find if you'd search for it online. The used copies are all very expensive. So thanks to Matt for, for dropping that off. Uh, Ghoshani and I read it aloud back and forth and plowed through it in like two days. And it's, it's excellent. It's very Preneke-esque and all the things that he does and builds and he makes a garden and domesticates some chickens and you know, goes fishing and, patches up an old boat that he finds and whatever. And it's, uh, it's really, really good stuff. So, uh, yeah, thanks again to Matt. And, and, you know, if you ever get a hand on your hands on this book or kind of looking for that type of story, it's a, it's a good one. |
|James|That sounds great. Yeah. I, uh, I clicked into the article you linked if, uh, you know, I'll have to keep my eye open for that book. Maybe you get lucky at a thrift store or something like that. Yeah. |
|Jason|Right. How about you? What, uh, what's new with you? You've got a shortening approach here to, uh, to some time away at watches and wonders. |
|James| Yeah, yeah, going to be doing the watch is one of the things in less than three weeks at this point, which feels crazy because we just, you know, it's been six months of kind of preparing the Houdinki scope for another round of this, you know, with so many new people and all that kind of stuff. So that's going fine. I think, you know, we're organized and pushing towards the goals on that front. There should be a ton of coverage. Like I said, we won't be doing an episode. TGN won't be doing an episode that week, but If you're not subscribed to the Hood and Key radio feed, go ahead and subscribe to that as we'll be doing daily episodes from the shows. So there'll be four episodes from Switzerland proper. There'll be a preview episode coming out the week before the show. And then my guess is we'll probably do a follow-up show or two after. And that should give you a good opportunity to also kind of get a better feel for some of the new folks who haven't, didn't kind of exist within the world of the podcast when we had it going previously.  but that's one of the things on my list. Beyond that, I got back from the Utah, New York City trip and I've just been hanging out at home, you know, dealing with some snow. We had a good dumping here a little while ago. It felt kind of cruel for the, you know, we got back on a Thursday or on a Wednesday night from New York and then I think like the first day that I could have actually slept in, I guess it would have been Saturday morning. We had a ton of snow and I was quite bitter about it, if I'm honest.  Um, but other than that, yeah, just, uh, you know, hanging out at home with the Pelagos 39. I'm just absolutely loving it. You know, it's in, and then it's also nice to have the kind of the return of formula one. This is a spoiler. If you didn't watch the Bahrain race and you're waiting for whatever reason, a jump ahead, 30 seconds, this is your warning. Uh, but it was pretty awesome with just to see something interesting happen. Obviously red bull got one, two, not interesting. I would say almost epically boring.  You know, a real bummer for Leclerc and his run, but man to see Alonso after making a move that I think a lot of people were kind of like, is this a late stage move? Is it going to work for him to go to Aston Martin to fill Vettel's role and to see both of the drivers from Aston Martin have a great race, but to see Alonso on the podium and like just having a lot of fun in in what can be.  a pretty boring race when it's just for stapping 30 seconds ahead of everybody else. Yeah, I loved it. I cannot wait for the next race. I'm super pumped about this season. It's such an easy sport because of F1 TV. This is going to sound like an ad, but it's not, but it's such an easy sport to follow that I feel like that's a portion of why I watch it every weekend. It's just like, it's so, it's so simple. Oh sure. It's like Netflix. Um, I don't have to really like you. I opened the app. It tells me when, what the schedule is for the whole weekend.  if you miss something, you just go in and watch it like it aired. It's it's it's yeah, it's it's good and we have a nice F one channel on the slack that's going and and that's been great. So yeah, no, no real complaints. A nice to be home after a trip, of course, and then otherwise just laying low organizing gear, making sure every, you know, checking boxes, you know how it is when you when you've got kind of the big the big show ahead and you've done this isn't your first rodeo, so to speak. |
|Jason|I mean this is no,|
|James| Very familiar territory. Yeah, to quote my good pal Will Holloway, this is my second rodeo. Yeah, no, I figure that it's got to be double digits, not for Watches and Wonders or SIHH, but if you factor for, you know, we're probably at, I've probably done like 10 or 11 shows or maybe 12. I'd have to go back and count. Started going in 2013. Yeah.  to Basel and a few years later started going to SIHH, and then of course we missed some because of the pandemic. But yeah, it's definitely... I don't have any stress over going. I have stress over how well we can execute. There's a certain pressure where like if I don't get my ducks in order, my boxes checked, I let a bunch of others like a downstream of letting people down. Yeah. And that ends up with letting down the audience, which would be the biggest bummer. So that's where the pressure is right now.  So just trying to stay organized, more organized than I ever have been in the past, and I think, but I think we've got the gear and the plan and the tastes and the rest of it to make it happen. So I'm always looking forward to the show, see some friends, catch up with people I haven't seen in a while. In past years, this would have been our chance to go get fondue on a night where it felt like the wind might carry us into Lake Geneva and we'd never be seen again. Right. But so I miss that kind of stuff. The icy beer. Yeah, that was crazy, right? Yeah.  That was 2017? Yeah, I think so. January. Yeah. Yeah. So that's back when SIHH was, and I think like you can listen to it, it would have been on one of the earliest TGNs. Yeah. All Luxed Out, if I remember correctly. Yeah. Might have been episode one, wasn't it? We started in 16. So maybe it was 16. Yeah. Oh yeah. I don't know. January. The memory is foggy. Yeah. Yeah. But yeah, we went for fondue. What's that spot called? Bain de Paquis.  called.  I look back on that time with fun, but man, things have changed a lot since then. We have a big chunk of kind of the main topic, so we shouldn't reminisce too much. I mean, we can do some of that on the other side of Watches and Wonders, our first episode in April. So what are you wearing today? Do you want to jump into some wrist check? |
