
# The Grey NATO – 232 – Crew & A #2
Published on Thu, 23 Mar 2023 06:00:00 -0400



## Synopsis
The hosts discuss James' upcoming trip to Switzerland for Watches and Wonders, including meeting with Tudor and attending the show. They answer questions from listeners about various topics such as budgeting for hobbies and interests, planning affordable vacations, water resistance ratings, and stolen watches. The hosts share some new gear recommendations as well.

## Links
- [episode page](https://thegreynato.substack.com/p/232crewanda2)
- [episode MP3](https://www.buzzsprout.com/2049759/12497604-the-grey-nato-232-crew-a-2.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 232 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show and aren't already, please visit thegraynado.com for more details. James, I guess speaking of travel, you are a day away from flying off to Switzerland. |
|James|Yeah, yeah, we're recording on a Tuesday and very late Wednesday night I'll head to Geneva to do a little hangout with Tudor and then switch hotels and do four or five days at Watches and Wonders. So as I've said the last several times, you know, just trying to keep everything going, make sure we don't drop any major balls, lots of solutions, lots of stories that still have to go up, you know, even into the weekend.  So just kind of working on that. Really don't have like a ton of fun experience. I've spent the past week like largely sitting in front of a laptop or shouting into a phone. |
|Jason|How have you been? Oh pretty good, pretty good. So are you going to be, speaking of meeting up with Tudor, I'm guessing you're going to meet with our former TGN guest slash host Cole Pennington, right? |
|James|Cole Pennington, absolutely. Yeah, looking forward to seeing Cole and a bunch of the team. You know, got some buddies at Tudor for sure.  getting to see the manufacturer, which is pretty exciting, not only as someone who recently bought one of their watches and, of course, one of their movements, but being able to kind of tell that story, I think there's some confusion between the Tudor, the Canisi, the Breitling, the Norcane of it all. And I think it might be kind of fun to actually just kind of get some clarity on that kind of stuff. So a nice way to start the show kind of loop, but I'll be in Geneva by the time this episode goes up. So Obviously, this will be the last episode. 2.32 will be the last episode we do before we take a little break for Watches and Wonders. And then we'll be back on April 6th with kind of a full download of our impressions from the show. Jason, you know, more on paper and me more hands-on with the stuff. But that should be good. And then I will say that at this point, I don't think I'll be able to get the monthly Q&A for March done until early April. So look forward to that kind of stuff first week or so of April.  Um, but we're going to take the next week off just to, just because, uh, you know, it's kind of 24 hours a day for watches and wonders, especially if you want to get a little bit of sleep in. |
|Jason|I've already started my, uh, you know, kind of just scratching out a list of, you know, we've already seen a few watch releases this week, uh, ahead of the show. And I know whenever we get around to our, our big episode, um, mega sewed around these shows, I always, I always, it's always nags me that I, forgetting something so I've just kind of started to like just jot on a list some of the watches. I'm not even going to mention them today because I'll save them for for our next episode which is always a fun one. |
|James|So yeah for sure there's there's been stuff released from a handful of brands some of which we've already talked about on on the previous episode and some that we're going to hold for uh two three two so just uh you know heads up for April 6th on that one and thank you very much of course for your understanding in uh in the fact that we need to take that week off so The only other thing that's kind of new for me, and I dropped this in the slack a couple days ago, is I put in an order for a new canvas strap from Postale. Before I sent you their stuff, were you aware of it? I had no idea. |
|Jason|I didn't even hear of the brand. No. This looks cool though. |
|James|Wow. Yeah. So I asked Jason Lim of Hallios. One of my favorite canvas straps that I had in the past was from a previous Seaforth. So I thought I'd check in and see if that was something I could buy. Maybe they make it in 21. I'm hoping that it'll really kind of suit the Pelagos, but it'll also work on the Mido.  double value when it comes to trying to buy this weird size at 21 millimeters. Yeah. And so Lim recommended Postale. I checked him out on Instagram. I'll put it in the show notes, of course. So far, I haven't had the strap in my hands, but I ordered a 21 with a taper to 18. Oh, nice. In sort of a nice green, and I'm really excited to see it on the watch. The Pelagos has been living on the Erica's original and it's basically perfect. I took it off very briefly yesterday when I was just rowing. I didn't want to get the Erica's unnecessarily sweaty. And it's just been, it's been great. All the stuff I said in the last episode has been good, but I think that's, that's, you know, loosely the only, only sort of TGN-esque news I've got. |
|Jason|Yeah. These straps look really cool. And a tapered canvas is something I don't think I've ever even seen. They're usually very wide all the way down to the tail. So I'll be curious to see.  to see how that looks, that'll be great. |
|James|Yeah, I thought it might suit the sort of Rolex Tudor silhouette to have a bit of a taper. Yeah, yeah. But yeah, they look like pretty solid straps. They do single piece and two piece, a bunch of different colors and a lot of them are made from like sourced material. Yeah. Which I like quite a bit. So check them out on Instagram. |
|Jason|And it looks like they're made in Finland and you can only order through like DM on Instagram, right? Yeah. |
|James|Yeah. So like I said, I don't have any hands-on experience, but the ordering process was very simple.  Answered a few questions, sizing, width, that sort of thing. Paid by PayPal, super easy. And I'll follow up once I actually get the strap in and start wearing it. But I was so far very impressed with the general process and that sort of thing. And it is sort of a premium option. It's in there in like the Ardham price point. But I think it should be good. And certainly they seem to review quite nicely. |
|Jason|Well, I don't have much new to report, you know, since we spoke to each other last time. And, you know, I'm just out the other end of COVID, as I mentioned last week, and it just kind of feels good to get back to a little bit of exercise and, and, uh, that, but nothing, nothing really new to report. I, speaking of, of Jason Lim, I, I, I pulled out my C4. So that's my wrist check for this week. I've, I've got it on a, on a gray NATO fittingly. Um, and this is the, I guess it's the first generation without the timing bezel and the pastel blue dial. And, uh, I've been wearing it about the past three days, just such a great watch. Um, it had been a while. I had, lent it to my mom for a couple of years. She, she had seen it, you know, a couple of years ago when I was wearing it and like, I've never seen her get so excited about a watch. And she saw the blue color across the dinner table or whatever. And it's like, Hey, you know, let's put a, let's put a strap on it. So I put a nice kind of Hermes leather, you know, strap that I had on it. And then she wore it like that for a couple of years. And then, then we swapped and now she's wearing the green dial Raven, which she, she likes equally well. So, um, I've got the, the hair feels back. |
|James|Yeah. |
|Jason|Yeah. So, yeah. Nice. Okay.  That's on my wrist. You've got the Pelagos. You're off to, uh, Geneva and, um, and we've got some questions to get to. This is, this is part two of our slack crew and a, as we call it. |
|James|Yeah, absolutely. So normally we do Q and a's as an audio kind of presentation. It's the fifth episode. It's what you get. If you're in either the subscriber levels, we wanted to do something that was a little bit faster and gave us a chance when we didn't really have a topic like the week before watches and wonders, everything's coming out a couple of days later.  So, you know, this works out really nicely. We have a ton of questions. And if you're not really sure of the format or whatever, go back just a couple episodes and check out the Slack Q&A part one. That should fill you in if you missed it. But if you didn't, then you should be ready for a new block of questions. And we'll kick one off with one from Jason Harrier. |
|Jason|Jason writes, my very first mechanical watch was a Rolex Milgauss gifted to me from my wife for our wedding.  It was the one one six 400 with the matte black dial and clear crystal. She had it engraved on the case back. You make every minute worth remembering, which is a great, a great quote. Um, I wore it daily for almost 10 years until it was sadly stolen while on vacation in Palm beach, Florida. I registered it with Rolex has stolen and have Toronto 24 and eBay alerts set up daily just in case it pops up. It was on an orange rubber B strap when it was stolen. He still has the box papers and bracelet. Uh, so hopefully it's still on the strap and easy to spot.  Outside of those methods, I'm curious if you have any other ideas on how to locate the watch. Also curious if you've heard of folks actually getting a stolen Rolex back that has been intercepted by them during servicing. Thanks for the advice in advance. This is a really unfortunate question, Jason. I'm really sorry to hear about that. It sounds like it was a really significant watch with a great engraving. I don't know what to say. I mean, I guess this is one step you can take is getting the word out as we're hopefully able to do with you know, our listeners. James, do you have any other ideas? I know there's some databases. |
|James|Yeah, I think there's some databases. I'm not sure how accurate they are these days. Yeah. So I would say, you know, look, look into those options as well. And if I can find any guidance for that, you know, check the show notes. Jason, definitely, you know, this, this sucks. Not ideal to lose the watch that has the sentimental value, right? Like in many cases, a watch got stolen. You go like, ah, well, maybe it's insured, that sort of thing. You move on. But sounds like this one had a nice story.  and a great engraving, which kind of stings even more. I would probably set up a daily or whatever sort of triggered alert for watch recon for this reference. And then, you know, just check in, you know, see if there's any similarities to yours or otherwise. Sometimes you can ask for a few digits of the serial number without really causing any sort of alarms to go off on the other side. And that may give you a chance. It depends on how much time you want to put into it. The Milgauss, even among Rolexes, is kind of a rare thing to see.  I mean, it can't hurt. Watch recon is really easy. It's free. You can just set a trigger for the reference or for Milgauss or both. And then once a day, you could check through and if something kind of looked like it could be yours or there's even a chance, then maybe you could dig a little bit deeper. And then as far as somebody actually getting a stolen Rolex back intercepted by servicing, I haven't heard of it, but it absolutely must happen.  I mean, especially if you have something like what police report, um, I think, which I think you need to register it with Rolex. So, uh, yeah, I think it's probably very much possible, uh, that, uh, that that kind of happens, but I don't have any specific, you know, anecdotes from, from that sort of a scenario. |
|Jason|Yeah. Yeah. Really unfortunate. And, uh, you know, best of luck, Jason. Um, it sounds like you had, uh, you had a good 10 years with it, which is, uh, you know, not, not great consolation, but, um, Yeah, too bad. We'll keep our fingers crossed for you. |
