
# The Grey NATO – 233 – Watches, Wonders, And Even More Watches
Published on Thu, 06 Apr 2023 06:00:00 -0400



## Synopsis
This podcast episode discusses new watch releases and impressions from the Watches and Wonders event in Geneva. The hosts talk about standout models from brands like Oris, Tag Heuer, Doxa, Tudor, Rolex, IWC, and more. They share their thoughts on designs, specs, pricing, and which watches excite them the most. The episode also covers some other recent releases from Timex and Seiko. Additionally, one host describes an upcoming trip to Scotland and plans for a meetup there with listeners.

## Links
- [episode page](https://thegreynato.substack.com/p/ww2023)
- [episode MP3](https://www.buzzsprout.com/2049759/12596000-the-grey-nato-233-watches-wonders-and-even-more-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 223 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you'd like to support the show directly, please visit thegreynado.com for more details. All right, after a week off for watches and wonders related to busyness, Jason, how are we doing? |
|Blake Buettner| Yeah. I mean, it's, uh, it's been a minute, huh? I mean, geez, watching you from a distance just made me tired. You were, you were very busy over there. |
|Jason Heaton|Yeah, it was a, it was a busy schedule and I'm, I'm exceedingly happy to have gotten home Friday evening, uh, laid pretty low this weekend. And now I'm just starting to dig into, I mean, all the new stuff that's even come out. We'll talk about some of it in a little while, but also all the stuff we saw there and make sure that we don't miss any stories or opportunities, you know, call in watches on loan and that kind of thing. So.  It was, um, it was a show. I'll give it that. Very busy. |
|Blake Buettner|I mean, everywhere I looked, you were, you were doing something different. It was like one at one on one side, you were doing like a longer panel discussion. Then you did the podcast and you did, I mean, it was like everywhere, every, every direction I turned there, you were, it was a, it seemed like they had cloned you or something. |
|Jason Heaton|Yeah. I got around a little bit. Um, Ben's travel plans changed. So I, I got his seat on that longer panel with Justin.  and Gary and Eric Schmidt. Yeah. And had a really nice time. That was like the Sunday morning before the show. So I actually like, because I was already in town for the tutor thing, I was relatively on or close enough to that time zone was available. And they said, you know, do you want to come talk about the new novelty? It's actually a watch I'm fairly excited about, even though they're only making a hundred in that first iteration. And I said, yeah, I mean, Hey, if you guys, if you go, if I can be, you know, if I can go have some fun with you guys, be of some value, then sure. Super. That's great. Yeah.  Um, so I was able to fill in for Ben, uh, on that and had a really fun chat with, um, I'll put this in the show notes, but it was like a panel discussion put on by long, uh, with, uh, and hosted by, or, you know, led by, um, Justin Hast and then, uh, the collector Gary G from Instagram and, and, you know, the watch world fame, of course. And then, uh, Wilhelm Schmidt, the, uh, you know, standing CEO for, uh, long, uh, so it was, it was a fun chat.  And then we did four episodes of the podcast from the show, which is fun. We had a variety of people on this year, more band and that sort of thing. I think they went pretty well. They were exceedingly difficult to record and then still put that together while also managing the rest of the schedule and trying to get stories up every day and that kind of thing. I think people seem to enjoy them and certainly I love podcasting.  No harm on that part. But it was a lot of long days and just as we kind of planned for and as you expect. I can definitely identify with the story that you wrote for Swim Proof, which I very much enjoyed about, you know, kind of what it's like to witness these things from afar. And I'm happy to have gone and gotten it all done. And so just looking forward to some warmer weather over the next month or two and then proper summer. |
|Blake Buettner|Yeah, we could use some spring here too. You're seeing the opposite, eh? Now we're up to the third snowiest winter Uh, in history. So, I mean, they're not messing around here. It's, uh, we had, uh, another gosh, eight to nine inches of snow, uh, just a few days ago. And then now it's shot up over, over the melting point for the past couple of days. So now it's more puddles and nighttime freezes and that sort of thing. But I, I managed to do my, my FedEx run with some, some TGN packages, uh, yesterday on the bike again. So now we're back to that. And, uh, You know, things are looking up. We'll see. They're saying it could be 60 degrees Fahrenheit by Saturday. So fingers crossed. |
|Jason Heaton|Yeah. Yeah. Yeah. Fingers crossed for sure. Yeah. You know, it's funny speaking about it continuing to be winter. Um, and, and, you know, the weather wasn't necessarily incredible when I was in Switzerland, but I mentioned that I had gone for this thing with Tudor beforehand. Oh yeah. Uh, which was a couple of days and, and the trip was, you know, in no small part, you know, put together by our good buddy Cole. And that included kind of a tour of the brand new Tudor manufacturing in Le Lac. |
|Unknown| Oh yeah, cool. |
|Jason Heaton|So it's a couple, it's not quite a couple hours, maybe an hour and a half, hour 45 outside of Geneva. Right, yeah, red and gray building, and it's kind of split into two, kind of, or at least logically it's split into two, with one part being for Canisi, their movement division. Okay.  and of course, Kinesi makes all of the in house movements for Tudor, and then also provides movements to a handful of other brands like Breitling and Norcain and a growing list that's part of their brief. Seeing the manufacturer was really cool. Seeing a modern manufacturer is always pretty interesting because there's so much of it. They wanna just keep the process super straightforward, really clean, dust free, all this kind of stuff. And this actually has the ability for all the watches to be on little trays, that move around on various sorts of belts. Oh yeah. In, in and out of people's desks. And it's all, it's, it's, you know, it's like something from a spaceship at times there's robots driving parts and watches around and, and this sort of thing. And so the kinesis side, they explain that kinesis like more than 80% vertically aligned. Wow. Where they're, they're producing a lot of the movements and a lot of the components of the movements. And then in this building, they're assembling all of them.  and kind of getting them ready for use and the cost certification and the rest of it. And then on the other side of the building, they're assembling and doing QC and all this kind of stuff for the watches themselves. Yeah. So whereas the movements are vertically oriented, most of Tudor's otherwise production is horizontally organized with either companies that they own around Switzerland or partners they've worked with for a very long time. And so that's how they put their watches together. So they were showing us where... Basically, literally where their assembling watches, so cases, dials, hands, all that kind of stuff, all the way up to final quality control check, engravings, if you want to do that, are all done at this process. And it was a pretty cool thing, but the part that made me giggle about the kind of doing things and not necessarily in the right climate was part of this trip also included a little day trip to this place called Alia Bay, which is an outdoor artificial surfing wave.  in the Alps. It's like past Montreux. We went and checked that out, and I'll be honest, like I didn't click on the link when they sent the thing. It just said like, hey, you know, we're going to go into the Alps and bring your bathing suit, and I was like, no, I don't think so. Yeah. And then when they said, oh, it's like a surfing thing, I thought it was kind of like the stuff you see on cruise ships or at some water parks where, you know, it's a couple inches of fast moving water and you have like a foam board. Right, right. And I've tried that before and fell and actually hurt my elbow pretty well. And I was like, I'm not going to do that before attempting to carry all of my gear for four days straight around around pal expo, but then we got there and it's like a pretty large pool. It's that's divided into kind of two triangles and if you imagine the wave coming from one vertices of the triangle and heading towards the wider side. Sure, we went it got some instruction and then went in and maybe had like 45 minutes of you know lining up for a minute or two and then going out and attempting to stand up on the board and the varying degrees of success. I didn't do very well at all.  But it was certainly fun and not an experience I've ever had before. So, uh, if, if I didn't have enough respect for people who can manage to do things like surfing or skateboarding, uh, my respect has grown even, even more so. |
