
# The Grey NATO – 234 – Our Automotive (Mis)Adventures
Published on Thu, 13 Apr 2023 06:00:00 -0400



## Synopsis
Jason and Nico discuss the arrival of spring and nice weather for driving and outdoor activities. They mention an upcoming Q&A episode for Patreon supporters. Jason talks about his upcoming trip to Scotland and an impromptu meetup planned in Glasgow. Nico gives a shoutout to Kenneth from Arkin Watches, whose titanium dive watch impressed him at Watches & Wonders. They discuss their wrist checks for the day. The main topic is cars - learning to drive, first cars, memorable cars owned, tickets and mishaps, and dream car replacements if their current vehicles were totaled. The conversation covers personal anecdotes and car enthusiast topics in a casual, friendly discussion.

## Links
- [episode page](https://thegreynato.substack.com/p/234-automotivemisadventures)
- [episode MP3](https://www.buzzsprout.com/2049759/12640714-the-grey-nato-234-our-automotive-mis-adventures.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Nico| Hello, and welcome to another episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 234. And it's proudly brought to you by the ever growing TGN supporter crew. We thank you all so much for your continued support. And if you're listening and not supporting the show, but you're interested, visit thegraynado.com for more details. Jason, Yeah. Spring is here. Give me the weather update. |
|Jason|Let me hear it. Yeah. I think we're, we must be having similar weather. I'm actually wearing shorts today. We hit, uh, we hit like 70 degrees Fahrenheit yesterday and I think it's going to get higher today and tomorrow. And I mean, it's, it's, I mean, you know, it's, it, it feels so good. It's just, it's like I sat outside yesterday in shorts and I got the old Land Rover up and running and started after having it sit all winter and I've been on my bike and it's like, you know, it's so good.  It renews your, your hope in the world when, when the snow goes away and the weather gets warm. |
|Nico|Yeah, absolutely. You know, it's going to be, it was, you know, high mid digits for 15 or something yesterday. It's going to be 20 Celsius today. Oh man. Uh, double that and add 34 to get to a Fahrenheit. Uh, and went for a nice walk in high park in the sun. I had like a Patagonia vest on and it was way too hot. It was awesome. Yeah. Birds, squirrels, and went on a bike ride recently. One of the first kind of put the air in the tires and put it out. The bike needs a bit of a service, but otherwise I think it's going to be a pretty good season. Hopefully not too short. Before we get too deep, and I appreciate the weather update as I'm sure everyone does, but before we get too deep into the show, I do want to give folks a heads up that we're recording the March Q&A. So for those on the supporter side, the February Q&A just went up, so that puts us a little bit behind obviously. So we're recording the March Q&A. It'll come up in the next little while, uh, probably mid month, maybe a little bit later, uh, give or take around the time that Jason leaves for Scotland. Uh, but we, we actually have a few slots for some questions this month. So you'd actually get a very fast answer. Um, so if you want, if you've got a question on your mind, it could be something silly, something about watches, something about cars or travel adventure, all the normal topics, whatever you like, record your question as a kind of phone call style into your voice memo app on your phone, and then send us the file.  thegraynado.com and we'll add it to the list. I think we've got two or three slots left for the upcoming one. I think it'll be a fun episode. The questions we've already got in there are great. So if you're on the supporter side, you can expect to see that in the next little while. And if you're interested in getting into the Q&A, the Slack, the rest of it, it's five bucks a month and you can visit thegraynado.com support for more options. So I think that's probably it for kind of details. You've got your trip coming up. Are you feeling ready for it? |
|Jason| Uh, more than ready. Um, we're, we're chomping at the bit, you know, we're, we're already starting to talk about packing and, and that sort of thing. And, and I think since we're keeping things deliberately loose in terms of itinerary and not booking places, um, and with access to, uh, a sleepable Land Rover, uh, our friend Lewis over in Scotland, who's lending us his defender sent me a video the other day of, um, he's, he's kindly, uh, gone above and beyond and actually built out a, a sleep platform in the back.  um with a uh like a rolling box underneath it to store stuff and a mattress and I mean I said we'd just sleep on the back with sleeping bags and he's he's gone above and beyond so yeah um that really opens up a lot of possibilities for us because we don't then need to you know book hotels ahead of time and that sort of thing so um yeah I'm we're both very excited to go and uh and I'm also excited for this little impromptu get together that that we've cooked up in, in Glasgow. It's at a place called the Finiston pub and it's at six 30 on the 23rd. So anybody in Glasgow or nearby that wants to come, please do. There's, there's plenty of room. I've, I've gotten a lot of responses, both direct messages and then emails at the great NATO at gmail.com with people saying they're going to come and, and it looks like it should be a pretty good turnout and yeah, super excited to, to get over there. Hopefully it won't be too jet lagged and kind of bleary eyed to, to meet people, but I'm sure it'll go just fine.  and should be good fun. And also thanks to everybody for the suggestions. I've gotten a lot of advice on where to go and what to see. And certainly we've done our research as well, but it's always good to add to the list. And then if we're driving by some place and see a sign, say, Oh yeah, somebody said that's worth stopping. So that's how we'll do it. |
|Nico|Yeah. You know, we saw in the Slack, like people started talking about plane flights.  playing tickets to in the like, oh, it's eighty euros. I was like, I wonder what it would be from Toronto. Well, sadly, not eighty years. |
|Unknown|Yeah, right. |
|Nico|You know, it's like fourteen hundred dollars or something around trip and I was like, I don't know if I can do that for a couple of pints in class. Yeah, right. |
|Unknown|Maybe someday, maybe someday. |
|Nico|All right, take the the TGN PJ. Yeah, yeah,|
|Jason| Are there direct flights, I'm curious, from Toronto to Glasgow? Do you know? We can't get them from here. We have to go through Amsterdam. |
|Nico|I don't think it was direct. I think it was through London or something. It might have been through London. Yeah, that sounds right.  But yeah, the direct flight thing, man, I know it's a very specific complaint, but air Canada, get me to Geneva on one plane. Come on, right? |
|Jason|Yeah, it's brutal. Yeah. Yeah. |
|Nico|Yeah. You know, speaking of a little little trips and that sort of thing with the nice weather got up to the cottage this weekend. Every every year around this time, usually the first or second weekend of April, we go up for just a few hours like to make sure the building is still standing. Yeah.  that it's not inhabited by a black bear or, you know, thirty five raccoons or something like that. It was a nice drive. The lake is still frozen, but my guess is with the weather that we just described hitting this week, you know, you know, into the teens in the twenties, that'll be that'll be done by next weekend. Yeah. So once that's done and we know that it's not going to be freezing overnight, you know, we can bring the water back into the building and get going with with another great season up there, which I'm Very very excited for so yeah pretty pumped for that. |
|Jason|Yeah. I mean, it's like overnight I mean, I think last week we were talking about snow. We had a big big dump of snow here So it's it. I mean, I don't know what happened to spring this year We've kind of gone right into summer, but I'm not complaining. |
|Nico|So no, I'll take what I can get anything That's not not more shoveling snow or or dealing with the snow is fine I had the the front roof the freedom panels. They're called on the Jeep. The one's just about drivers. |
|Unknown|Oh|
|Nico| Yeah, the front row. I had those off yesterday and went for a drive. The jeeps give me a little bit of trouble with like these, like an evap, a small evap leak that I can't quite figure out. I thought it was the gas cap. The jeep still thinks is the gas cap. It's not. So I've been taking it on these little runs to try and test a few things out. But I had a very nice drive yesterday with with the top off. So, you know, depending on on space and everything, I think we you know, the last... It was a couple of years ago that we actually took the full top off and put the soft top on for the summer. Oh, yeah. And the issue is having somewhere to store the hard top. Right. And I think at this point, that storage space in my garage is exclusively bicycles. So it may be another summer with the hard top staying on, but we'll see, we'll see. Yeah, yeah. Could you store it at the cottage? I could. I worry about, you know, animals getting into the space. You know, it's essentially like, depending on how you store it, I guess I could hoist it in the barn, so it'd be off the ground. Yeah, so that would be an option. Yeah, certainly. And then, as I mentioned on a on a previous Q and A, like I'm moving later in the summer. Oh, sure. Midsummer. So theoretically, the new place could have something like a shed or a garage or that sort of thing where it could be stored. So we'll see. I haven't found a place yet, but yeah, that's that's on the horizon to as is the possibility of more parking spots, which could be a very expensive Proposition for your boy. |
|Jason|Yeah. Yeah. Apropos of today's, uh, today's episode where we're all, yeah. And speaking of, speaking of vehicles, um, and, and Land Rover specifically, in addition to getting the, the series three, um, up and running, and by the way, it started on like the first turn after sitting for five months. Oh, that's great. I also got a much smaller Land Rover. Uh, I got this new Lego icons edition defender build kit.  Um, this is not one of the speed champions because it takes about four days to build. I think if it's anything like the, the other defender that I built a few years ago, this one's got like 2,300 pieces or something crazy like that. So looking forward to, to diving into that at some point, we were taking care of a cat for a while as a kind of foster home. And I didn't want to bust out all these tiny little pieces that a cat would enjoy playing with. So now that the cat's gone back.  to its, uh, to its other home. Um, maybe it's time to crack this open and give that a go, but I'm excited to, uh, to build that one. Absolutely. It's kind of strange talking about, uh, you know, in interest in Legos, we had one of our neighbors stop in and, and this was sitting on the dining room table and she's like, Oh, you, you know, you're, so you're, you're into Lego building. And I was like, well, not, I wouldn't say I'm into Lego building. It's like very specific one. You look around and I've got the big Saturn five rocket in my office. And then we've got like the other defender up on a bookcase and it's, uh, It is getting a little out of hand, but, uh, it's a slippery slope. It is a slippery slope. Yeah. |
