
# The Grey NATO – 235 – Collection Inspection Vol. 11 (Vintage Edition)
Published on Thu, 20 Apr 2023 06:00:00 -0400



## Synopsis
This is an episode of The Graynado podcast featuring James discussing his vintage watch, an old Buren wrist watch. The hosts also discuss Jason's vintage watch from Marathon, a company located in Canada. They explore the unique features and styling of these timepieces, touching on aspects like the Buren's stylized lettering and the Marathon's rugged design for outdoor enthusiasts. Details surrounding watch history, availability, and accessory products are also covered.

## Links
- [episode page](https://thegreynato.substack.com/p/collectioninspection11)
- [episode MP3](https://www.buzzsprout.com/2049759/12683103-the-grey-nato-235-collection-inspection-vol-11-vintage-edition.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 235 and it's proudly brought to you by our ever-growing TGN supporter crew. We thank you all so much for your continued support. And if you'd like to support the show, please visit thegraynado.com for more details. James, how are we doing on this, uh, summary? I guess we're recording on a Friday this week, but, uh,|
|James| Not too bad, man. Can you hear my tan through the microphone? It's been a nice sunny week. It's probably closer to a burn. |
|Unknown|Yeah. Somebody posted a, somebody posted a photo here on social media and said, uh, said it had like a ruler next to the ground. And it said, look, we've got almost gotten a foot of sunshine. So used to measuring snow here, but, uh, it's, it's great. |
|James| Yeah, no, it's been a great week. Super nice to basically just try and be outside as much as possible. Yeah. Due to your trip to Scotland coming up, we're recording a second one this week, so we don't really have like a ton more that we did. I would say the only noteworthy thing that I did this week I actually can't talk about yet. It's for an embargoed watch release that's coming up later this month. But what are you up to? I assume you're still kind of packing and doing logistics, you know, receiving RSVPs for the hangout at Finiston, that sort of thing. |
|Unknown| Yeah, it's, it feels like a broken record here and I'm kind of, it's just like this steady countdown to the trip. We'll be leaving, uh, I guess a week from today, um, finally. And, and yeah, just looking forward to it. And it's kind of finally in that mode of, of starting to pack and figure out what, what to take and planning multiple layers and rain gear and, you know, obviously a couple of watches and hiking boots and that sort of thing. But, uh, yeah.  Mm hmm. That's about it. And then just enjoying the weather. So the old Land Rover, the series three has a two part doors. Um, the top comes off, it just lifts out. And so I took those off yesterday and I'm really inching closer to, to going, um, full topless with, with that one, uh, the summer and just taking the roof off. I, I've toyed with the idea for years and it would actually fit in the garage. Finally, if I took the roof off and just skipped a canvas roof entirely. So then my only issue is where to store the roof, but I think I could turn it into like a little garden shed in the backyard. |
|James| Yeah, I mean that that's the like we talked about this. I think on on the last episode, the one all about our cars and stuff that or maybe it was on a Q and a recently. I'm not sure, but I'd love to get have a spot to put the top for the jeep. Yeah, I forgot the panels on the jeep. I forgot them off and parked them under a tree and now I have some cleaning in the interior to do from birds. Oh geez, what are you going to do? I but I went for a nice drive yesterday up up for to check out this watch. I can't quite talk about yet. And just it's so nice having that the sun and the wind and the noise and the rest of it. Oh, yeah. As you're driving along. And I definitely think I need to, you know, either figure out a way to occasionally take the top off easily, like whether that's, you know, setting it aside or parking, you know, putting it in the front of the driveway or something, which is kind of trashy, but do what you got to do and and do the full convertible. Because I walk in my kids to school. I walk right by a very similar model Jeep, but a black one. Yeah, they've got the top down.  And just just parked and good. And I was like, man, I miss that. Yeah, we'll see. |
|Unknown|Yes. Maybe when they get back from our trip and we're officially in warm weather because there's the S word is forecast for this weekend, which is absolutely absurd to me. But as in snow. Yeah, I heard that. Yeah, it's brutal. Yeah. But I'll choose to ignore that. |
|James|Hopefully that doesn't come to be. |
|Unknown|Yeah. But we have a fun episode lined up. We're kind of reaching back to an old sort of series of ours. But before we jump into collection inspection, what are you wearing today? |
|James|Yeah, for whatever reason, especially with the better weather and kind of getting outside and walks and a little bit of exercise and that kind of thing, I've been wearing the Apple Watch, the Apple Watch Ultra, and just really enjoying it. I set it up to run it on my right wrist. Oh, yeah. So if I'm reviewing a watch or, you know, shooting wrist shots and stuff, I don't have to worry about taking it on and off. Yeah. It took a day for that to feel normal.  And now it's kind of natural and the U. I. Is simple enough that I can do with my left hand, just like even if I'm walking around and that sort of thing. But the functionality, especially as I've talked about, like in the past where you have the SIM card or the SIM or whatever in this. So I can just go for a walk in the park and take that in my earphones. And if something actually comes up for work or family or whatever, I could still take a phone call, but I don't have my phone on me. I really like that. Yeah, I do too. Yeah, that's cool. And it can it can still do pocket cast. So if I want to listen to a podcast, I don't have to forget about that.  It's really nice. It kind of gives me a reminder like to, you know, jump on the wrong machine for a bit or go for a walk or, or this sort of thing. And it's just a kind of a nice blending of like functionality and, and tech that kind of makes my workday a little bit easier. Yeah. Not, not exactly like the world's most exciting. We've talked about this watch quite a bit when it came out and you had one for a while and my loan, I think I've got this for a few more weeks yet. And I'm hoping to maybe extend that and take it diving. |
|Unknown| Nice. Yeah. You know, it's funny you mentioned switching wrists and I remember having that and the kind of the novelty of being able to flip it and put the crown on the other side and flip the display. And, um, it, it makes me think of, of wearing watches on, on your dominant wrist or whichever wrist you normally do. And I've actually discovered that I'm sort of ambidextrous when it comes to a watch, because, you know, growing up, I always wore it on my right wrist. I'm left-handed and that seems like the natural way to wear it. And then, And then before we went to French Polynesia, I started, I went back to my left wrist because I knew I'd be wearing a dive computer on my right wrist for most of that week. And I haven't gone back now to the right wrist. So, and it doesn't bother me. You know, I, I would have thought there would have been some sort of a weird mental disconnect, but I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, I seem to be able to, kind of wear, wear on either wrist. It's, it's a, it's a strange phenomenon and I know it's only relevant or interesting to, to probably a few of us listeners and us. |
