
# The Grey NATO – 236 – The High/Low Watch Collection Challenge
Published on Thu, 27 Apr 2023 06:00:00 -0400



## Synopsis
This is episode 236 of The Graynado podcast, where Jason and James discuss topics related to travel, adventure, diving, and watches. The main topics in this episode are:

1. A discount offer from Giant Mouse Knives for TGN listeners during an upcoming watch show.
2. Jason's new Marathon Navigator GMT watch and his impressions of it.
3. A "high-low" challenge where Jason and James pick one high-end watch around $10,000 and one low-cost watch to make a two-watch collection.
4. Jason's final note recommending the stand-up comedy special "Hello World" by Nate Bargatze.
5. James' final note recommending the book "The Apollo Murders" by Chris Hadfield.

## Links
- [episode page](https://thegreynato.substack.com/p/236highlow)
- [episode MP3](https://www.buzzsprout.com/2049759/12731186-the-grey-nato-236-the-high-low-watch-collection-challenge.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 236 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you're interested in supporting the show directly, please visit thegraynado.com for more details. Hey Jason, how's it going? |
|Jason Heaton|It's going pretty well. According to this I think well in advance of its actual go live date. So, um, yeah, a week early, you know, we've gone from, from snow to heat back to snow and now it's warming up again and, and who knows what it'll be by the time this goes up. But, uh, I will be in Scotland, uh, by the time this one, um, hits people's ears. So pretty excited for that. |
|James|Yeah. Like you said, you know, with us recording this one a week early to cover for some of that travel, it kind of changes the intro, not much use for the weather and, and that sort of thing. And really no kind of distinctive news or or whatever, roughly around the time this episode comes out, there'll also be a Q&A coming out. So if you're on the supporter side of the equation, expect to see the March Q&A shortly. We got some really great questions in there. So definitely looking forward to recording that and having it up roughly around the same time this goes out towards the end of the month.  Yeah, I guess we've talked about you prepping for the trip over the last couple episodes, and at least as people are listening to this, you're already there. So I'm sure Scotland is, of course, lovely. Right. We do have kind of a cool offer. It's not something we do that often, but a friend of TGN and a supporter of TGN reached out to us with sort of a deal on some cool stuff and some product that you and I really like. You want to fill people in on that? |
|Jason Heaton|Yeah, sure. Jim, who works with Giant Mouse Knives and is a avid TGN listener and a good member of our Slack community, et cetera. He told us that giant mouse is exhibiting at the windup show in San Francisco, which, um, as this episode goes up, I believe on the 27th, um, we'll be starting, uh, the very next day and kind of in honor of that and, and, uh, in honor of his, his love for, for TGN and our community, he's offering a pretty substantial discount on any giant mouse products.  either at wind up in San Francisco, if you happen to be going for it or if you, if you're ordering online. And, um, so kind of the details that Jim provided to us, and we, we thank Jim a lot for this. This is, this is really generous and really great of him to do. It's a 30% discount code that will run during the same days as the San Francisco show. So that's April 28th to April 30th. So I believe that's a Friday, Saturday, Sunday. And, um, this is open to any TGN members to use.  And also then if members attend the show, the wind up San Francisco show, you can mention that you're a TGN member and you can get 40% off at the show. So 30% online or 40% if you buy something in person that at the windup show. Nice. The discount code for the 30% off of the online orders, which is at a giant mouse.com will be, um, get your, get your pencil ready. W U W F S F dash TGN all caps.  And again, it'll be valid from Friday, April 28th at noon Eastern through Sunday at 8 p.m. Eastern time. And we'll put that code in the in the show notes and we'll we'll pop it up on Slack maybe the day after the day of this episode going live. So, Jim, again, thanks so much. We're both big fans of Giant Mouse and really happy to have you part of the TGN community. |
|James|Yeah. And the other thing to make clear is we're not getting a cut of any of this, just in terms of disclosure.  There's no kickback from Giant Mouse to us. Jim is, like Jason said, an active member on our Slack, a buddy of ours, and we both have been given knives from the brand. I've actually used mine a ton. It's probably the nicest knife I've ever owned. We're more than happy to support Jim and we like the product, so check that out. Again, that's W-U-W-F-S-F-T-G-N. So I guess that's Windup Watchfare San Francisco-TGN is the acronym there.  Hit the show notes. That'll be easier. But a nice discount and like Jason said thanks so much to Jim and giant mouse for offering that Pretty sweet when we can offer a deal on on something we like. Yeah. Yeah, amazing All right, you want to dip into some wrist check? |
|Jason Heaton|Yeah, let's do it I'll go quickly because you have a pretty interesting one today. I've got my titanium Blancpain 50 fathoms the the big boy that I got for the Polynesia trip. I'm wearing that today. I'm still Still in my test driving mode for which watch or watches to take to Scotland. And by the time this goes up, that'll be a done deal. And we'll actually find out what I actually did take. But this is in the running. It's kind of an adventure waterproof watch because it looks like a lot of rain over there. But you have something new and interesting that's kind of breaking news, I guess, these days. |
|James|I do. Yeah. So I was actually tempted to hold episode 235 one day because this watch, it was announced like 7 a.m.  Friday the 21st, and so that's a day after, but we didn't end up bothering to do that, but I'm actually wearing the new Marathon Navigator in steel. Nice. So this is a watch that for a long time, not from its start, from the start it was in steel, but for a long time has only been offered in that sort of nylon, sort of a plastic style case, and a great watch, one that we've talked about on the show before, a good value quartz watch with you know that you have to keep in mind that marathons business is supplying governments and and like contracts. Yeah, but I got I picked one up. I had a meeting with them recently and so they're by this point there will be a review or an introducing with some live pics that sort of thing on Houdinki. So I'll put that in the show notes if you haven't seen it, but now you know the better part of a week after it came out. I've been wearing it for four or five days now. It's 41 millimeters. It's 11 millimeters thick 20 millimeter drilled lugs.  sapphire crystal, 100 meters water resistance with a screw-down crown, and it has the tritium tubes on the dial, the hands, and in the marker at 12. It's a bi-directional 12-hour bezel, really easy to use, nice light click. I am super impressed by it. I already really liked the standard one as like a not too expensive, subtle, military-adjacent sort of design, you know, from a Canadian company.  You see a lot of these that have sterile dials, don't even say Marathon on them. They've got government contract codes on the back. There's some cool stuff when you get into the Marathon world. I've owned a T-SAR and an M-SAR in the past, both of which I really liked, especially the T-SAR. Pretty cool dive watch with, in my world, connections like Canada's Coast Guard. And with this one, just exactly a steel navigator.  The case shape has been fine-tuned to sit a little flatter on your wrist, so the lugs are a little bit more curved than they were on the original Navigator design. But seeing the two right next to each other, it does look like a subtle but higher-value evolution of the original, and they're selling for $800. Now, a week after they came out, I have no idea what stock will be. Marathon said they're very serious about having the ability to fulfill as many orders as people are actually keen on, because this is a watch they've been asked for for a long time.  And certainly it leaked at some point or elements of this watch have leaked at some point in the past couple of months. So there were rumors circulating as to what it would be and what movement it has and what it would cost and all these sorts of things. At $800, the thing to keep in mind is you're getting an FO6 at a quartz. So specifically the FO6 412, which is 10 seconds a year. For someone who might want a quartz tool watch, this... I would say this very quickly jumps into the running next to the CWCs and that sort of thing. Yeah. And I just really like it. And the other thing that I'll add is I totally forgot how much I kind of love tritium tubes at night. I don't... I'm not crazy about the way they look on watches generally. Yeah, right. Versus something like Lume. But I think after a few minutes with this watch and the sort of balance that they've struck on the dial in terms of text and the dates at 4.30, everything's very legible. It's very clear. You can see how there's like an intent to this watch that is to tell time before necessarily checking all the boxes of like watch enthusiasm. But that's also part of the enthusiastic like cycle is that it's a tool first and the rest second. But at night, man, like middle of the night, this thing is very easy to wear to sleep. It sits nice and low on the wrist. There's no real like sharp edges. It's a really nice grip on the bezel. It's another thing I was impressed by. But the luminous element is so good for low light. It's not too bright where your eyes are trying to adjust to it, it's just right. It's been a long time since I had a watch with tritium tubes and it's fun every time I go to check the time in the middle of the night when I wake up or whatever and go like, that's so comfortable. There's zero eye strain in figuring out what time it is, even against something like the Pelagos, which is what I've been wearing constantly since I got it. It is a an entirely different solution with an entirely different level of performance. You're not getting a wrist shot coming in from a sunny day outside necessarily with the big glow like you can with the Vertex. I mean, the Vertex is so bright. I think my wrist shot, the loom shot was a wrist shot for the hero for that story, which is not something I can commonly do with any watch, maybe a Seiko here or there. It's much less luminous, but in actual low to no light scenarios, it's so nice. |
|Jason Heaton| Yeah, it doesn't have that initial burst that then fades. It's like this constant sort of not even low level, sort of a medium level. Yeah. If I remember, does it have different colors for the different locations on the dial? I know that the SAR watches did or do like, I think the 12 o'clock was different color. |
|James|Yeah. The 12 o'clock is orange and the rest are green. Oh, sure.  Yeah. All the touch points are great. It wears really well. I've got it on a, on a gray NATO. It comes on a black NATO. So you know how long that lasted for me. And I just really, really like it. And it's another like solid everyday watch that you could buy, especially if you're, if you dress up more on the casual side where like something like a military looking watch would suit your style. Yeah. And I think if you, if you like the vibe of a Hamilton khaki or something like that, but maybe don't want a mechanical, and you wanna go quartz, then this one gets you really nice accuracy and the tritium tubes for really not that much more money. You're still well under a grand. Obviously, it's, I think, a khaki field mechanical, something like 550, but it's nice stuff and it just kind of does exactly what you want from a watch like this, which is like it's subtle, it's easy to wear. I like that it's all kind of bead blasted, like very satinated sort of finish. Yeah. Drilled lugs. It does all the good stuff. I'm looking forward to putting some miles on it maybe putting together a larger story about kind of the back catalog or the history of the Navigator and how it got us to here. |
