
# The Grey NATO – 238 – Scotland Trip Report And Lewis Heath of anOrdain Watches
Published on Thu, 11 May 2023 06:00:00 -0400



## Synopsis
The episode starts with Jason Heaton and James Stacey discussing their recent trips - Jason visiting Vancouver and the Kootenays region of British Columbia, and James taking a trip around Scotland. James provides a detailed account of his journey through Scotland, including meeting fellow listeners and watch enthusiasts in Glasgow, touring the Anordain watchmaking facility, driving around the Scottish Highlands in a vintage Land Rover Defender, and experiencing various outdoor adventures and local hospitality.

The episode also features an interview with Lewis Heath, the founder of Anordain, who talks about the brand's ethos, their emphasis on enameling and artisanal watchmaking, and their recent collaboration with Hodinkee. The interview provides insights into Heath's background, the origins of Anordain, and their approach to watchmaking.

## Links
- [episode page](https://thegreynato.substack.com/p/238-scotland-anordain)
- [episode MP3](https://www.buzzsprout.com/2049759/12825923-the-grey-nato-238-scotland-trip-report-and-lewis-heath-of-anordain-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Graynado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 238, and it's proudly brought to you by the ever-growing TGN supporter group. We thank you all so much for your continued support, and if you're listening and interested in supporting the show, please visit thegraynado.com for more details. James, it's good to be back in the chair here behind the mic.  It's been a while. |
|Jason Heaton|Yeah. It feels like we haven't talked in a while. I definitely like, you know, I've, I've, I followed the, obviously the, the main topic for this show today is kind of a download from Scotland and your, your recent trip out there. And I, uh, I followed along on, on Instagram, but I mean, when you're on vacation, like we don't chat every single day, like we might otherwise. And, uh, I'm, I'm excited to hear about how it went. |
|James Stacey|Yeah, it was a great trip. And I guess we got back, uh, what's Tuesday. We got back last Thursday, so I'm still.  Still battling a little bit of jet lag, but it's much better coming this direction. I don't know the logic and I've given up trying to, you know, put any logic to jet lag, but on the way over there, it was hours were weird, you know, getting up and sleeping and then coming home has been actually quite pleasant. I don't mind going to bed at eight 30 and getting up at four because it gets light here around five o'clock these days. And I like mornings. And so I'm kind of enjoying it, kind of enjoying a good eight hours of kind of jet laggy sleep and some nice mornings. |
|Jason Heaton| That's nice. I'm recording this extra remotely. We record almost all of these remotely, of course, but I'm currently on the West Coast in an area called the Kootenays near Nelson, B.C., visiting my brother. So I'm also dealing with jelly, but we just decided we've been out for six or seven days, my wife and myself, and we just decided to essentially keep East Coast time. Oh, sure.  So it's, it's a little bit sleepless cause you're up a little later, you're visiting with people and doing stuff, you know, low and local time. But we've been getting up at, you know, six, uh, here so that we can be on, on time for, you know, hours with Hodinkee and that sort of thing. But I've taken a couple of days off and the only thing I'm doing today is recording this and then we're going to head up to a hot springs, but I've had a good, it's been a great like a week as of today.  uh, out on the West coast. So nice. |
|James Stacey|Yeah. Change of scenery is good, isn't it? I mean, no matter what, where you could be across state line or, or, you know, flight within the country. And it's like, it's just refreshing seeing new people and yeah. |
|Jason Heaton|Yeah. And speaking of that, I mean, I see some old friends, saw some new people. We both did hangouts in, in our, in our given spaces. So tell me about the meetup on the 23rd. |
|James Stacey|Yeah, that was funny. I mean, speaking of meeting new people, um, or just seeing different people, uh, I didn't really know what to expect. And we flew in, uh, to Glasgow on the 22nd of April. And then this, this meetup was the following evening on the 23rd. And, you know, we talked about it a few episodes ahead of time and ask people to write and say if they were coming or not. And we got a good response, but I just wasn't sure. And, um, it was a great turnout. We had, I didn't really do a head count, but I would say between 25 and 35 people maybe. And it was, it was upstairs in a private room above a really great, um, pub or restaurant called the Finiston in Glasgow.  I mean, it was, it was kind of your, your typical, uh, typical watch meetup with a lot of Scottish accents. And, and it was great, but you know, as, as it goes with these things, I mean, it was really not really about watches at all. It was more about, um, just hanging out and meeting. There was a lot of, I saw some TGN kerchiefs and t-shirts and nice, you know, NATO straps and, and, you know, familiar names, I guess, from, from listener questions and from Slack and from emails.  you know, too many people to name, of course, but, but I got to meet Tom from Clements watches and he brought a couple of his watches that I hadn't actually seen in person. That was fun. And then, uh, Kenneth from Arkin, you know, you met him in Geneva and he came and, uh, he brought, uh, he brought one of his, um, instrumentum watches, which I finally got a chance to try out. Um, and he let me kind of take it around Scotland after that, which was, uh, which was a blast. Um, what a, what a cool piece and what a great guy. And then afterwards, After the event, Ghoshani and Kenneth and I went across the street to the Ben Nevis pub and it's just this great whiskey bar with there was like this impromptu little band playing in the corner and we had a whiskey and then parted ways for the day. But yeah, it was so great to meet all these people. Chris McRiddle came and a fellow named Austin flew over from Ireland for it.  And then, um, Riley, uh, and his wife, Chelsea, um, who are from the U S but he's stationed currently in the Cotswolds in England with the air force. He, they made like a five hour drive up to see us. And that was good to see him. I've seen him, uh, kind of all over the place. Now he came to Minneapolis once and so, yeah, it's been, it's been fun. That's great. Yeah. And you know, I just got to throw out thanks to everybody who came once more and also to, to Lewis Heath, um, whose interview, um, we'll run a little later in this episode from Honor Dane and David from Scottish watches, who both kind of worked together to organize the space and round up some extra people. And, you know, that, that local connection really, really made a difference. |
|Jason Heaton|And so, you know, thanks to those guys, but, uh, yeah, on, on the same, on the same sort of trajectory for me, like I came out to Vancouver, uh, to do a little bit of work with Jason Gallop at Rolldorf. Uh, we're doing a bigger story, but my grandfather's watch, which he spoke about, on, uh, the recent episode that he was on, but you know, there's going to be a written story that I had alluded to. So out here working on that and getting the photos we need and that kind of thing. And just figured we'd throw it up on Instagram. If people wanted to swing by the new shop, it was open to the extent that he could have some people in. And I was surprised. I thought maybe, you know, five, 10 of the guys I already knew in the city would rock up and we'd have a normal hangout. It would, it was kind of compressed where I wouldn't have to see one or two of them for coffee here and two others for drinks there would all be in one spot. And man, it was probably like about the same as what you had, like probably between 30 and 40 people. Nice. Um, over the course of a couple hours, had some pizza, had some local beer and met, got to meet a handful of new folks, uh, that, you know, we we've only known either from emails or from slack and that sort of thing. So it was really nice. Some great watches showed up.  you know, got to kind of close the loop with some new friends that again, we only kind of know digitally. And then a handful of kind of the old, uh, crew from, uh, my Vancouver days also showed up. So it was great to see pretty much everybody. It was, it was just a really fun time. Uh, some great cameras, lots of great watches and a ton of great conversations. And some people made like also, yeah, some pretty significant transit to make it there. Wow. So a huge thank you to everybody who showed up to that. I know that myself and, uh, Jason and Mary from, uh, Roaldorf all, you know, very thankful for the, the turnout and for the camaraderie of the event. It was, uh, it was really fun. |
|James Stacey|Was this the first time you'd seen the new shop? |
