
# The Grey NATO – 239 – The Watches You Asked Us To Talk About
Published on Thu, 18 May 2023 06:00:00 -0400



## Synopsis
Jason and James discuss watches that listeners have requested they talk about on the show, including the Christopher Ward C65 GMT, Damasco watches, Grand Seiko sports watches, IWC Pilot's watches, and many others. They give their thoughts on the designs, prices, history, and appeal of these timepieces from a variety of well-known and lesser-known brands. They avoid going into excessive detail about copyrighted works that were mentioned.

## Links
- [episode page](https://thegreynato.substack.com/p/239watchesyouaskedfor)
- [episode MP3](https://www.buzzsprout.com/2049759/12869837-the-grey-nato-239-the-watches-you-asked-us-to-talk-about.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. This is episode 239 and it's proudly brought to you by the ever-growing TGN supporter crew. We thank you all so much for your continued support and if you're listening and interested in supporting the show, please visit thegraynado.com for more details. Hey Jason, how you doing? |
|Jason|I'm doing pretty well. It's a little earlier than we normally record so I might I might sound a little sleepier than usual, but I'm doing fine. I'm getting ready to drive off after, after we're done recording here down to Milwaukee to do a little diving. Uh, uh, probably tomorrow was the best weather day, but, uh, other than that, yeah, just, just enjoying some, some green grass and the gardens coming up and getting some tomato plants in the ground and, you know, starting to feel like summer here. |
|James| Yeah. Back from your trip and already digging into the kind of the, one of the best parts of the year, as far as weather in this part of the world. Yeah. And the season's so short. Exactly. Yeah. And the last couple of days here have been that sort of those sort of days that you get just before a thunderstorm. Oh yeah. Warm with the breeze. I mean, yesterday was incredible. I felt like I was solar powered. It was just nice. And yeah.  Man, I gotta tell you, I haven't... You've got a few things to chit chat here on the notes. I got nothing. I've been working and family's been ill, and I put in the notes like it felt like an achievement just to find the time to go get the oil changed in the Jeep. So I have very little to report as far as stuff to do. It's Tuesday when we're recording this, like Jason said a little bit earlier, goes up Thursday, and then this coming weekend is Canada's May long weekend. |
|Unknown|Oh yeah, nice. |
|James|So probably... I would think Saturday morning, we'll head up and do the first like proper weekend at the cottage, which should be fun. I'd be tempted to go Friday, but I'm in New York Thursday night for a release from a brand, which we'll talk about on next week's episode due to the timing of being Thursday night. I'm in New York for like 20 hours, maybe 22 hours, something like that. And then I get home and I guarantee that that Friday before a May long weekend will be like the toughest, longest drive into cottage country that exists. It's the one where you're considering like I should have taken a helicopter or stayed home. Yeah. Yeah. So I think probably the move would be like dawn Saturday morning. Right. Right. Which really is a nicer way to get up there. It's a little cooler. The air is a little sweeter. There's fewer people on the road and that sort of thing. So that's kind of the kind of the vibe we're at. But looking forward to that in a really big way. That's kind of my my power for the week is knowing that.  should be able to get up to the cottage and see some family, and I think a handful of my siblings will be up there as well, so it should be a nice weekend. But you've got some diving planned, but you've also been up to a few other kind of fun things. What have you been doing since you got back? |
|Jason|Yeah, well, as promised, I don't know, a while back, I mentioned this might have been the year I would take the roof off of the old Land Rover, the Series 3, and finally did that last week, which it's a bit more involved than I remember Like with a Jeep or some more modern vehicles. I mean, this is a 50 year old truck now. And, and, but the, the, the roof is, uh, kind of comes apart in pieces. You kind of take off the top sheet and then, and then the side panels, you can take it off all together, of course, but it was too heavy for me to handle on my own. And so I did it in pieces and it's just a lot of, uh, undoing a lot of nuts and bolts and keeping them all straight in a baggie. And then I kind of lifted it off in sections and, and man, you know, I should have done this.  Years ago. And it even fits in the garage now, which is, which is huge. It's never been inside a garage. And I, I laid the windscreen flat, uh, which is, which is fun, um, for a while until you go over about 15 miles an hour. And then that's just way too much wind in the face, but, uh, need some goggles and such. Yeah. Yeah. Um, so that's been fun. I mean, the, the truck just feels ironically, it's actually a lot quieter. You don't get this sort of, you know, garden shed echo that you get when the, that hard top is on. And yeah, um, just feels more nimble. It's it's the visibility is tremendous. Like it's a super short vehicle. I mean, it's just an 88 inch wheel base. And so like you look over your shoulder and there's the back of it, you know? So it's, uh, it's, it's, it's a blast. It's a lot of, a lot of fun. Um, but then the other Land Rover, I, I jumped in.  Gosh, the day after we got back from Scotland, feeling all defender-y, you know, after our trip around Scotland in one and found that the, the turn signal wasn't, um, working. So I replaced a bulb that didn't fix it. Then I replaced the actual lamp assembly. I had a spare one, um, and wired that up. And then whatever I did hosed the, uh, both the brake lights and the, and all the indicators, all the turn signals. And so.  I spent much of last weekend fiddling and troubleshooting and re-soldering and wiring and checking fuses and, you know, got advice from a number of people and I just, you know, electrical stuff is a bit of a black art. And I, I, at some point I just threw up my hands and I've, I've turned it over to the local shop here, Bishop and Rook, where I bought it. And they're, they've done well with that, uh, with that vehicle in the past. So I'm hoping they can, they can sort it out for me. So.  Nice. Down to one Land Rover. |
|James|Well, at least it's currently the one that suits the season in a nice sort of way. Yeah, yeah. That's great, man. Yeah, the electrical thing can be a real pain. Obviously, people who listen to every episode know I went through a whole thing with what seemed like a fairly small alternator issue on the Jeep a while back that would just kill the brand new battery. Yeah, right. And it just took so much time and effort to hunt down what I believed it to be. And then, of course, at a certain point, you have to take the alternator off and like test diodes and that sort of thing. And you're like, man, mechanics really do an important service. Yeah. If you're busy in life, because that took a huge amount of my time. And honestly, if I look back on it, aside from the learning experience, and the fact that I like working on vehicles, not not a wise use of my time, I should have should have dropped that thing off and been working right.  And for all I know, let's be honest, I added some lights to the Jeep, which have since been removed. They just weren't as useful as I thought they would be. But for all I know, I did that wiring wrong and that's what was, you know, maybe damaged a diode in the alternator or was causing some sort of other scenario while it was running. I'm not in such a position to say like, oh no. You know, my household wiring skills are pretty solid.  Yeah. From working on the cottage and stuff like that, but it's a whole different world when you get into the cars. And then is the... This is a dumb question, but it would be 12 volt, right? Yeah, it is. Yeah. Yeah, it's not old enough to be... I guess the series might be a six volt system. |
|Jason|No, that's 12 volt as well. Oh, okay, cool. All right. And the older ones had dynamos, they didn't have alternators. This one, fortunately, the series is modern enough to... Pretty modern, yeah. Alternator and standard battery and all that. And I've never had electrical... Well, I shouldn't say never.  I've never had serious electrical issues with that one, which everybody's always surprised about, but, uh, there's just so little on it to, to, to go wrong. And clearly whatever I did to the defender, I just added to the, to the problem. So, um, hopefully they can, they can unravel it. I mean, you know, the thing about, you talk about car mechanics and, uh, or technicians, I suppose, is more accurate term nowadays. Um, there's so much to know on a, on a vehicle. Um, everything from, you know, electrical to plumbing, to physics and fluids and, And all of that. And, you know, for an amateur, rank amateur like me, it's, you know, I'm always just sort of getting by with, with some of the simpler tasks, but I'm definitely more comfortable with a wrench in my hand than a soldering gun. Multimeter. Yeah. Multimeter. Yeah. |
|James|So. I always end up on the same four or five, like it's a YouTube video and I'd be like, you watched this four months ago. I'm like, I know I did. I know I watched it. I don't remember how to use my multimeter for this specific task. Yeah. Yeah.  you know, cross loads and things like that. Hilarious. But yeah, it's always fun. But you do quickly realize like there's a difference, like you said, between fellows like you and I who bought vehicles and then have endeavored to like kind of figure out when things kind of go wrong, aren't actually broken, but are partially. And then yeah, like a technician or a mechanic where you can that you walk in and the guys that I take the jeep to, I've taken them to, you know, a couple times.  They know that I know enough. They'll ask like two or three questions and then they'll be like, all right, we're good. We'll take care of the rest. I'll catch you guys later. It's good. They don't want to hear all the 30 things I tried that didn't work. I figure this is what it's like to be a doctor as well. You just spend a lot of your time like waiting for the person to stop talking about stuff that doesn't matter or has no medical basis at all. And then you just go, all right, well, we're going to take some blood and we'll move on.  But yeah, that's always fun. I hope you're able to sort it out nice and quickly for you, but it sounds like the other one's certainly scratching a fun kind of summery itch at this point. Yeah, entirely. Yeah, it's great. Yeah. Well, how about some wrist check? What have you got on today? |
|Jason|Well, as I am headed off on a little dive excursion, I'm wearing my biggest, baddest dive watch. I've got the 50 Fathoms on, the titanium automatic. Nice. When I was in Polynesia, they graciously gave me a long 23 millimeter NATO, um, that was kind of made for this watch. Apparently, um, they had seen me ice diving and this with, with my own NATO on it, that was just barely long enough. And so, um, they gave me one of their super long NATOs, which I'll tuck into my dive bag and strap on before I put my dry suit or before, after I put my dry suit on. So that's great. That's, uh, that's what I'm wearing. Get it, uh, get it deep and cold, uh, tomorrow. |
|James|Very nice. Yeah. I hope the dives are great.  For me this week, I've got on my Halleas Universa. It's kind of a bit of a return to a summer vibe. I've got the kind of the first series pastel blue Universa on the bracelet. I think it's like a really great sort of summer watch. It's got micro, like tool-less push button micro adjust in the clasp, which is really nice and works really well. And I just needed... It's like in some ways an opposite, still a sports watch, but like an opposite to the Pelagos, which I've been wearing a lot.  And yeah, I mean, what can you say about a Hallios? They remain very difficult to buy. You kind of have to get in line and do the thing. But I really love these watches. I believe they're still working on the Universal line in general. I think it's the navy blue one and the gray. But for me, it's this pastel and the smaller case size and the no bezel kind of has a vibe all its own. |
|Jason|Yeah, it makes me want to get the Seaforth out. I mean, pastel or orange dial watches or yellow or whatever, it's like It's starting to finally feel like that time of year when I want a little more color and more of a casual vibe with my watches. |
|James|So yeah, good choice. Yeah. It's a fun one and it is that nice time of year. You know, this is when I'll lean back into stuff like the Sea Rambler and yeah, this universe and that sort of thing. It's always nice to have a kind of a bright dial, maybe even a bright strap. I don't know. That's a bridge too far for you. |
|Jason|We'll see. Yeah. I have an orange NATO. |
|James|I've never warmed up to orange NATO. I own one. I don't know.  It can be a lot. It can be a lot. And for some reason, like, you know, I wore the Apple Watch Ultra a ton lately on the orange loop strap, the Alpine loop. It didn't bother me that much. Maybe it's because the orange is like a little bit less bright. It's still quite a bright strap. But yeah, for whatever reason, even on the Sea Rambler with the orange hand and the other accents and that, I can't, I have yet to really warm up to like a bright orange NATO as much as like a gray or something like that. |
|Jason|So. You know what? I've been wearing a lot.  Um, over the past year, I'd say is I've got, uh, a couple of ribbed NATO's from, um, what used to be called cheapest NATO straps. Uh, now it's CNN, CNS watch bands, um, out of Sweden. Um, and, and I've got, uh, one of their mustard colored ones, which is, it's kind of aging. Well, it's kind of fading out a little bit and it's, uh, Um, I think that one looks good. I mean, I would never wear like a full on orange or yellow NATO, but like this kind of mustard is this sort of toned down color that looks pretty good with a bunch of watches. So, um, but yeah, not, not usually much for, uh, for bright colored straps. |
|James|Yeah. I mean, it's, I guess it's no wonder we went with this name for the show versus some other one, but, uh, yeah.  So yeah, I want to dive into today's main topic, which is kind of an interesting one. We had a good time with the Slack crew and A's previously, and I wanted to extend that because occasionally we just get messages from people, whether it's in the TGN crew Slack or through email or DMs, like, why don't you talk about this brand? Have you heard of this watch? And like, usually it's like, I don't know that brand or I don't really care about that brand necessarily. They don't really strike me in a specific way, or I've never heard of the watch.  Yeah. And I thought it'd be kind of fun just to throw it out to the TGN Slack crew. Like, you know, what are the watches that you kind of would like us to, even just for a few minutes, like dig into, but you never hear us talk about them on the show or otherwise, and it kind of feels like a hole for you. So we got a ton of responses. I avoided kind of adding or notifying the entire thread. It's, you know, 6,000 people.  in an attempt for it to not, one, I don't think people necessarily want a notification from me asking for show suggestions, but two, just to keep it loosely under control. So we got the better part of like maybe 50, 50 plus sort of responses, and we went through and kind of picked the ones that we thought kind of fit the general topic. Some of the questions were about watches we talk about a lot, and others were like, oh, I would love to hear like a whole show topic, like a deep dive on certain brand and like that doesn't quite fit this vibe, but I've saved those ones to kind of help out on future shows. |
|Unknown|Yeah. |
|James|Kind of the plan here is more kind of like a light look at brands or maybe an explanation as to why some brands kind of hit blind spots for us, that sort of thing. So with that in mind, let's get to the first one from Jackson, who asked, I'd love to hear more about your guys' thoughts on the Christopher Ward, the 12 and where it fits into the integrated steel sports watch world.  So for those of you who don't follow Christopher Ward, the 12 is a 40 millimeter integrated bracelet steel sports watch. We need to figure out some sort of good acronym for that because it's not like a whole thing, like it's an entire category that everybody plays at. So this is the... If you follow down, if you go upstream from this, you get to obviously things like the Chopard Alpine Eagle, and then if you go beyond that, you're back to kind of the OGs of this format, the Nautilus.  arguably the Aquanaut, although we could have that argument, but definitely the Nautilus, the Royal Oak, things like that, right? And with those becoming so insanely popular in the last few years, we've seen a lot of brands, everybody from Bremont to Bell and Ross and now Christopher Ward, digging in with an integrated steel bracelet sports watch. So this, you know, a watch, and I would call it integrated, the idea is like when you can't put a different strap on the watch, Or like we had this argument on Houdinki Radio a while back was like, how do you know that it's an integrated versus not? And I said, if you can't put a NATO on it, so like if it doesn't have conventional enough lugs to suit a NATO, then it's an integrated bracelet. Yeah, yeah. I think this is an interesting watch. It's a good play by them. So they're charging 1225 for these on the bracelet. To my eyes, it looks like a very specific homage to like a Czepec Antarctique. I thought so too. |
|Jason|Or an Aquatara as well. |
|James| Or yeah, there's definitely some Aqua Terra in there with the date at six o'clock and the sort of minimal markings and that sort of thing. I think these will be very popular for them. I do worry that unlike maybe a dive watch, like steel dive watches, this might be more of a trend than an entire market segment. The watches that these reference started in the early to mid 70s, and it took them a very long time to become popular, and then they kind of like skyrocketed in popularity.  in the last, say, five to seven years, definitely in the last three years in some cases. And I don't think that somebody with a Royal Oak money or Nautilus money would go, oh, well, buy the 12 from Christopher Ward. But the Tissot PRX or similar in this price point, let's call it 500 to $2,000, I think that there is a market for people who want that sort of wrist presence, that bracelet-like, comfortable, fitting, shouldn't be too thick sort of vibe.  And I think within that zone, they've kind of put together a nice package. It's a nice looking watch. I think the sizing makes sense. It has a lot of kind of touch points that feel like they're part of the world of the integrated steel sports watch. Between kind of the case elements and the finishing on the bracelet, it's got an automatic Solita movement. How does this one hit you, Jason? |
