
# The Grey Nato - Ep 24 - Favs Of 2016
Published on Tue, 20 Dec 2016 09:13:18 -0500



## Synopsis
This episode is a recap of the best highlights from The Grey NATO podcast in 2016. Jason and James discussed their favorite watches of the year like the Seiko SRP "Turtle" diver, the Doxa Sub 300 anniversary edition, and the vintage watches they acquired. They also reminisced about the trips and adventures they went on, including summiting Mount Baker, driving a Porsche on the Autobahn, flying in the Breitling jet, and various scuba diving trips. In the "Final Notes" segment, they recommended checking out the ClickSpring YouTube channel showing a craftsman building a clock by hand, the "One Hour Watch" Instagram feed showcasing daily watch design sketches, and the classic Christmas story "The Shepherd" by Frederick Forsyth about an RAF pilot's harrowing flight home for the holidays. Overall, it was a year filled with interesting watches, travel experiences, and entertaining content for these two adventurous watch enthusiasts.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-24-favs-of-2016)
- [episode MP3](https://www.buzzsprout.com/2049759/11311097-the-grey-nato-ep-24-favs-of-2016.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 24 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. |
|Jason Heaton|I'm Jason Heaton. And I'm James Stacy. Has it been a year already? Like, 24, this is 24th episode, last episode of 2016. So we thought we would do kind of a A look back at the best bits of 2016. Don't worry, it's not like a clip show. We're not going to cut together things we already said. We're just gonna... We went through our notes for the last 23 episodes and kind of picked out our favorites. So if you're kind of just getting to the show in the last few episodes or... Maybe you just kind of want to catch up. Bring you up to the new year. I think this will be a fun episode for you. But before we get to that, I do want to remind everyone that we're running a giveaway with our buddy Max.  who's at WatchMax on Instagram. We're giving away a PADI edition Seiko SRPA21, the Prospex Diver. You have to follow WatchMax, you have to follow TheGrenado, and then you have to comment on a specific post. It's in our Instagram feed by the time you're listening to this, with a secret hashtag. We told you in episode 23, and your favorite adventure buddy has a tag. The giveaway runs until the end of the year, and we will pick a winner in early January and get you the watch.  Also, a quick note about scheduling. To better synchronize with SIHH, the big watch show in Geneva in January, episode 25, the first episode for 2017, won't be out on the 3rd of January, but rather the 10th. So you'll have to wait an extra week. That's going to be the one week that we take as a bit of a break. We were really worried about having an episode come out mid-SIHH and having really no reason for half the stuff we talk about. We will be back on the 10th with a pre-SIHH episode and then we're headed to Geneva and should see some really great watches and have plenty to talk about a couple of weeks after that. So, on with the show. Let's give it a bit of a recap. You want to start with watches, Jason? |
|James Stacey|Yeah, it seems like it was actually a really good year for watches. I think you and I have both not only handled some cool stuff and reviewed some fun stuff, but we've also acquired some really cool stuff on our own. I mean, we got to kind of share pieces and look at each other's stuff in person when we met up for our summit in Vancouver.  2016 and watches without bringing that watch up first, because in my opinion, it just stands above and beyond almost all the other watches. Yeah. |
|Jason Heaton|You know, I think like, like, you know, we've mentioned it before and it's always a ongoing online discussion, but the ideas of value and what's expensive and what's cheap is like fairly fluid throughout all of watch collecting. You know, right now, if you could get certain vintage watches at the price they were even two years ago, we would all be going nuts, but two years ago they were considered expensive. |
|Unknown|Yeah. |
|Jason Heaton|So it's kind of a crazy space to lean too hard on the value, but it is really nice when you get a watch like the 777 or its many variants, including the watch we're doing a giveaway of. It's kind of nice with these watches because it's a really easy argument to establish just how good it is for what you have to pay. Yeah. Even at its list price, which is a hair under 500 bucks, and you can pay way less than that, more like a hair over 300. Yeah.  It's a really nicely made watch. It's definitely the sort of watch you could buy. And you guarantee that people will, you know, when we get to TGN three or four thousand, many, many, many years from now, we'll be talking about, oh, went diving to Bonaire and some guy was wearing an SRP, but, you know, he had only ever never had its service and it's 15 years old. Yeah. And that sort of thing. Like that's just kind of the next generation of these watches that enthusiasts kind of claim as their own, but kind of really exist as a sport watch. |
|James Stacey| Yeah, I think, I think it's rather than, and we're not doing it, but rather than rehash, you know, the specific traits of the SRP family of watches that Seiko came out with this year, I think what strikes me is what it has kind of done to the watch world in general. And that's kind of level of watches. We're talking about the sub thousand dollar and the sub $500 level. Um, it's, it's kind of become a new benchmark. I think everybody's talking about it. I think people that weren't, you know, Seiko wasn't on their radar before, people that weren't into dive watches. You know, I've got a friend who's a big collector. He's got lots of, you know, vintage Rolexes and Pateks and everything in between. And, you know, he was so smitten by the SRP that when I showed it to him that, you know, he went out and bought like one for each of his three kids. You know, it's like, it's just that kind of watch. You know, Hodinkee does this, um, when they do a watch review, oftentimes they'll, they'll weigh it and then they'll compare its weight.  to a Seiko SKX diver, and they kind of use the SKX as like a benchmark. |
|Jason Heaton|Yeah, a base standard. |
|James Stacey|Because so many people know an SKX, so to say, okay, the Rolex Subways X, you know, compared to, I think this is what's going to happen with the SRP, and it's already starting to happen. It's that benchmark of the $500 dive watch, Seiko or whatever brand. It's just, it's become, here's what you can get, here's how good things can be at that price. |
|Jason Heaton|Yeah.  Yeah, I think it reestablishes all the many things that make Seiko great at what they do. And I think it also, yeah, it's kind of reconfigured the way that people are going to talk about watches that cost under $1,000. Certainly the way that you and I have talked about watches this year that costs under $1,000. It's always with a bit of an asterisk, which is if you just want a relatively safe play, and luckily they come in quite a few different versions.  just go with the SRP. And for years, I've just been telling friends that wanted to go to a mechanical watch or, you know, a kind of wear it and not worry about it sport watch to go with an SKX. |
|Unknown|Yeah. |
|Jason Heaton|And now you only need a little bit more money to go to an SRP. So, I mean, if that's their situation, now I have this new de facto choice. With an enthusiast, sure, I might talk about Hallios and Raven and Helsin and all sorts of other brands, Autodromo. Right.  especially when you're talking about the less niche interest level of watch collecting or watch interest. |
|Unknown|Yeah. |
|Jason Heaton|Oh, it's just an all-star. |
|James Stacey|Yeah, it is. It's a, it's a new classic, you know? |
|Jason Heaton|And it could easily be your first watch or your main, your everyday watch, your, your only sport watch if you're a diver. And, uh, you know, it's definitely a watch that we've talked a ton about, and now we've talked about again for a few minutes. But it is, I think it is the watch of 2016.  For the sorts of watches that you and I are really fascinated by, these watches that are built for actual daily use, but are still enthusiast products at the same time. Right. And can exist in almost any price point, but that's what makes the Seiko special is it's at a very low price point. |
|Unknown|Yeah. |
|James Stacey|And I really like the fact that Seiko looked into its archives. I mean, I think there are a lot of brands that do that.  almost to a fault. I mean, there's brands that just lean entirely on their archives. For sure. But I think, you know, Seiko is one of these brands that they've made so many watches that have kind of just, they feel like they've existed forever. I mean, the SKX, you know, I have a, like a reference 7002 from like the early eighties and it has like almost the same case as an SKX. I mean, you can just, it's like it, it's always been in existence. And I think the SRP has that same feel to it, even though it's a new watch, of course it conjures up something from the seventies and Seiko kind of just dropped it. They kind of just, there was no fanfare. It was just suddenly these watches just appeared. |
|Jason Heaton|There's a few leaks on like WatchiSeek. I remember seeing some images of it, but it was hard to really tell what the dimensions were like the proportions. |
|Unknown|Yeah. |
|Jason Heaton|And then it was all of a sudden, like some people had some photos that, you know, it was in, it was at some retailer in Taiwan. It was at some retailer in Malaysia, something like that. |
|Unknown|And yeah. |
|Jason Heaton|And then it just kind of became this thing that's now it's, it's like a, a plus sign on everybody's kind of dive watch collection, also an SRP. Yeah, totally. But I suppose that's enough. We'll move on from the SRP. Did you get anything else this year that really kind of resonated, that stuck with you for the duration of the year? |
|James Stacey|Yeah, the other watch, the other kind of biggie this year, the big new release that got me really excited about was the Doxa 50th Anniversary Sub 300.  Um, which actually is just being shipped. I, you know, I've seen a lot of posts on forums and on Instagram just this week, um, from people that are finally receiving the watches that they preordered. I was lucky enough to get, you know, one of the prototype pieces, uh, back in the summer. And I, I took a diving for a review for revolution magazine. I got the professional version with the orange dial and it was, it was as good as, as you could imagine, as good as you could hope for. You could argue that the bar is kind of low for them because they have this built-in enthusiast base. They're a very niche brand. Um, they, they generally appeal to kind of a core group of guys that like sort of weird looking, really purpose-built watches. And so they almost don't even, I hate to say it, they almost don't even have to try that hard. You know, they kind of just keep churning out the same look. Yeah. But with this one, they, they took it to a different level because they went back to the very first one and they, they did stuff like shrink the dial down.  domed crystal, different font. It's a thinner case. It's so authentically vintage that they just, they knocked it out of the park compared to so many other brands that are kind of like I was talking about earlier, just leaning on that archive, that vintage appeal. Doxa just took it and just said, you guys aren't doing it right. This is the way you do it. And it's just great. It's a wonderful watch. |
|Jason Heaton| Speaking of Doxa, was it this year that you got the Teagraph? |
|James Stacey|Yeah. It was a good year for me with Doxa. Yeah, for sure. It was kind of the other end of the spectrum because it was a vintage piece that I got mid-summer. It's a 1969 Sub 200 Teagraph, which is the chronograph. And that's one that I brought to Vancouver and you got to take a look at. It's the Sea Rambler with a silver dial. Another really satisfying watch. I'm an unrepentant Doc's a fanboy. You know, I love, I love the watches. As a diver, I just feel like it's, you know, I have to own one. |
|Jason Heaton|And, um, it's, uh, it's an amazing watch, the crazy bezel for a watch of its age, really cool bracelet. We've talked about all of this, you know, in, in previous episodes with that one, if you actually just go back to the TGN Summit episode, when Jason was in Vancouver, you can hear our discussion more so about the, the T graph, but That's a, that's a really crazy catch. And then, you know, you had a great post on Hodinkee about the watch and it's a definitely a really, really cool one. |
|James Stacey|Yeah. Um, and, and on your end, I mean, you, you landed a pretty interesting vintage diver, uh, this summer as well, the Silvana. |
|Jason Heaton|Yeah, I got a little, I guess I spoiled myself or I got lucky. I don't, I don't know how you call it, but you know, in, in, in the span of the year, you know, I was planning to really only get the Explorer II that had been on my list for a while.  and went from the explorer 2 to this dope sylvana skin diver that i just absolutely adore and been wearing it recently on a mesh which is on my instagram and i think it just looks perfect it's really cool and then yeah then that seiko world timer the 6117 6400 which You know, it's so nice. I am finding myself a little scared to wear it. It's in such nice condition and it's been so wet in Vancouver recently. Oh, yeah. So I find that I'll come home and when I know I'm going to be in my office for a little while, kind of a safe space. |
|Unknown|Yeah. |
|Jason Heaton|I'll put it on. Yeah. But I think it's going to get more and more wear throughout next year. And certainly I think that's the kind of watch that would be fun to take to an SIHH or a Basel. It has a lot of wrist presence and it's cool. And yeah, it was a really good year. |
|James Stacey| Those two examples, the Silvana and the Seiko, they kind of, you know how you, you have this short list in your head of watches that you kind of aspire to, or you, you are on the lookout for, and then you get these that sort of drop out of nowhere. And I got that impression, at least with Silvana more than the Seiko, that you weren't planning on those, but they sort of arrived and they end up being just such satisfying watches. Don't you think? |
|Jason Heaton| Yeah, the Sylvana was entirely like an impulse buy. It was under $1,000. You know, it was through the 1025 guys, an analog shift. So it was a fairly easy purchase. And it was one that I bought because as soon as I saw it, I knew, yeah, I'd really like that. And it kind of tied in with something like I knew, I knew the rough aesthetic was kind of being established in my brain because of that blue water, white death. Yeah, yeah. And we'll talk about that later on, because it's also in my final notes recap for the year.  But yeah, the SIL is, um, it's super, it's so much fun for the money. And it, of course, it doesn't wear anything like a new watch. And it's very refreshing because as a watch writer, you tend to get almost exclusively a bunch of new watches in, you know, with some frequency, as much frequency as you want, really. And it's, it's interesting to, to have that kind of contrast. And I can see why, why vintage becomes fairly appealing when you can send an email and pretty much borrow anything. |
|James Stacey| Right. And that, that Seiko world timer, it's just such a visually such a beautiful watch. There's so much going on in that watch. And it's one of those watches that when you've posted it on Instagram, it's like, it's such a photogenic watch. It becomes like this hero piece. You know, people just love that. It looks good on any strap. Um, it shows up really well in photos. Um, so yeah, two, two really cool scores for you. |
|Jason Heaton|Yeah. Cleaned up. And the, uh, yeah, the, the only other thing that kind of stood out in my list is obviously this is The year that we came across Toxic Nados, the only Nado I've been wearing basically since I got them in. And then, you know, I really liked Terry and what he's doing with that company. And he's offering, every time you go on the site, there's more and more and more straps and options and that sort of thing. And I think all of that is, you know, is really, is great. And then the rubber, the rubber Nado, the Zulu Diver 328 from Bonetto Cinturini, also great, you know, took one on Baker.  Uh, probably not where you would expect a rubber Renato band to go, but just super really, uh, really fun. Yeah. |
|James Stacey|It was a good year for, for bands and straps, wasn't it? Cool. Uh, that really awesome, like $15 steel bracelet this year too. |
